FID,omschrij_1,status,mutatie_dd,opmerking,gebied,divided,se_anno_cad_data,gdb_geomattr_data,shape
bonn_agreement_2006.1,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Duitsland - UK,hm,,,"LINESTRING (521782.659 6197074.079, 524961.8661000002 6187711.0646, 523141.85819999967 6179909.953400001)"
bonn_agreement_2006.2,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Denemarken - UK,hm,,,"LINESTRING (515465.25519999955 6215677.487299999, 521782.659 6197074.079)"
bonn_agreement_2006.3,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Denemarken - Zweden,hm,,,"LINESTRING (911968.085 6479291.304300001, 943525.9550000001 6468343.5758, 977428.3266000003 6436708.7226, 982467.1739999996 6429267.7326)"
bonn_agreement_2006.4,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Zweden - Noorwegen,hm,,,"LINESTRING (911968.085 6479291.304300001, 915809.4233999997 6507748.525699999, 938662.1248000003 6538344.7739, 939631.6231000004 6553207.0799)"
bonn_agreement_2006.5,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Ierland - UK Zuid,1/4,,,"LINESTRING (-465770.6034000004 5417017.7042, -462596.2550999997 5435446.4155, -447814.96329999994 5432955.2938, -444676.7631000001 5451420.8915, -429950.5025000004 5448935.1905000005, -425304.4512 5476632.728499999, -423751.97169999965 5485864.2369, -409124.8903999999 5483422.9794, -406064.8646 5501886.743899999, -397561.04679999966 5500482.455700001, -394523.1534000002 5518945.5986, -388469.7594999997 5517951.8160999995, -385445.6972000003 5536413.9142, -374586.7723000003 5534644.2926, -371593.54640000034 5553106.428200001, -360771.6536999997 5551360.9716, -357809.44049999956 5569823.126700001, -347024.61730000004 5568101.818, -344093.5939999996 5586563.969699999, -333345.8794 5584866.790999999, -330446.16949999984 5603329.248400001, -316165.17069999967 5601103.4232, -313309.7153000003 5619566.7952, -299077.81010000035 5617382.922900001, -296266.8186999997 5635847.194, -282084.0575000001 5633705.201400001, -279317.68850000016 5652170.6843, -261650.58669999987 5649551.593699999, -251048.6135999998 5648009.478800001, -248378.2912999997 5666478.7048, -241335.53000000026 5665464.149900001, -223726.18350000028 5662970.429300001, -220203.86230000015 5662478.9903, -217629.87789999973 5680951.8991, -207100.91640000045 5679494.0978999995, -204559.44849999994 5697967.8685, -187072.91569999978 5695589.9427000005, -184589.8194000004 5714065.7842, -177620.0527999997 5713132.8478999995, -175157.0094999997 5731608.839199999, -164740.04090000037 5730229.483100001, -162310.01989999972 5748706.5328, -145010.4126000004 5746459.0868999995, -142639.38489999995 5764938.4144, -128849.14300000016 5763186.3697, -126524.4441999998 5781667.291200001, -119654.43929999974 5780806.9629999995, -118733.43180000037 5788199.687000001, -115303.42260000017 5787773.3781, -114386.76460000034 5795166.234099999, -110961.81159999967 5794742.578500001, -110505.76979999989 5798439.0337000005, -105942.41089999955 5797878.0546, -105036.60879999958 5805271.3287, -100480.01350000035 5804714.955399999, -99580.32600000035 5812108.3445, -95030.36309999973 5811556.556600001, -94136.77579999994 5818950.2853999995, -90729.36820000038 5818539.490900001, -89840.17559999973 5825933.3671, -85303.67750000022 5825389.694, -83536.79530000035 5840177.702500001, -69741.52180000022 5838547.783500001, -68013.81830000039 5853337.4704, -73876.01300000027 5854026.489, -71251.6593000004 5876209.0165, -67324.19770000037 5875745.376599999, -65582.9824000001 5890533.9353, -63345.65419999976 5890270.8083999995, -61825.724399999715 5903210.660800001, -57920.9291000003 5902753.2676, -55760.868400000036 5921239.2096, -56872.13929999992 5921369.3344, -55571.251299999654 5932460.4662, -53181.95280000009 5952793.6413, -52078.12160000019 5952663.9099, -50775.137199999765 5963754.6031, -48572.56240000017 5963496.194399999, -47056.46270000003 5976435.4508, -46331.64419999998 5976350.517200001, -45651.753800000064 5982154.605, -47307.98010000028 5982348.9803, -46816.84509999957 5986526.3926, -48438.66370000038 5986717.401900001, -48133.39910000004 5989305.0547, -51057.48170000035 5989650.994999999, -51013.620600000024 5990020.7246, -47728.39149999991 5989632.171599999, -44683.792399999686 6015414.5967999995, -44683.80950000044 6015414.5985)"
bonn_agreement_2006.6,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Zweden zuidgrens,1/4,,,"LINESTRING (982467.1544000003 6429267.9549, 1015517.1577000003 6433393.608200001)"
bonn_agreement_2006.7,Quick Response Zone, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Nederland en Duitsland,1/4,,,"LINESTRING (699355.0083999997 5920876.4087000005, 698886.8079000004 5931997.3466, 697713.6375000002 5959800.2927, 696536.6710999999 5987604.092800001, 712917.2055000002 5988327.598200001, 729296.4840000002 5989109.052200001, 745674.4077000003 5989948.4734000005, 762050.8787000002 5990845.8771, 778425.7982999999 5991801.2820999995, 780094.0036000004 5964009.2345, 780675.5185000002 5954300.3914)"
bonn_agreement_2006.8,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",UK - Noord Atlantische Oceaan,1/4,,,"LINESTRING (-534885.6513999999 6413753.705, -531626.0560999997 6426500.6952, -546605.4035 6430363.788799999, -562128.5014000004 6434430.367900001, -561268.9760999996 6447815.121099999, -559471.9402999999 6474809.4475, -557590.6332999999 6501791.381999999, -555624.9742 6528760.6154, -553587.7017000001 6555551.7338, -553532.1169999996 6555714.5123, -544462.5262000002 6582282.768200001, -535399.8827 6608846.929300001, -530691.4900000002 6622654.696900001, -524585.1646999996 6633727.8891, -511915.85840000026 6656802.1076, -502800.7927000001 6673487.595799999, -498675.25519999955 6678377.272700001, -483858.47250000015 6696033.2972, -469134.4036999997 6713728.1599, -454503.28029999975 6731461.8495000005, -448717.9648000002 6738516.045700001, -439526.7896999996 6746834.9101, -433616.3213999998 6752209.8993999995, -418629.47389999963 6748338.0166, -404907.80649999995 6744851.9288, -391176.9104000004 6741419.705700001, -377436.9501 6738041.320900001, -363688.08970000036 6734716.7469999995, -349930.4938000003 6731445.9595, -336164.3214999996 6728228.9319, -322389.73369999975 6725065.638699999, -308606.8897000002 6721956.0535, -294815.94710000046 6718900.1515, -281017.0641000001 6715897.8971, -267210.3914999999 6712949.286800001, -253396.08690000046 6710054.284, -239574.30260000005 6707212.8649, -225745.1919999998 6704425.0056, -211908.9057 6701690.6822, -198065.59449999966 6699009.8693, -184215.40899999999 6696382.546399999, -170358.4974999996 6693808.687999999, -156495.0081000002 6691288.272700001, -142625.0889999997 6688821.2776, -128748.88570000045 6686407.681299999, -114866.54480000027 6684047.4618999995, -100978.2126000002 6681740.5978, -87084.03149999958 6679487.068, -73184.14780000038 6677286.852700001, -59278.70380000025 6675139.931600001, -45367.84250000026 6673046.285, -31451.70689999964 6671005.8935, -17530.43759999983 6669018.7381, -3604.1759000001475 6667084.8003, 10326.936800000258 6665204.062100001, 24262.760099999607 6663376.5065, 38203.15419999976 6661602.115700001, 52147.988099999726 6659880.8785, 54394.257199999876 6678351.9813, 56644.248999999836 6696822.6489, 67690.45610000007 6695492.988500001, 68788.59250000026 6704730.398700001, 69887.63069999963 6713967.7127, 86377.24579999968 6712043.1952, 91875.10419999994 6711418.5046, 93962.73660000041 6729901.880100001, 96053.77240000013 6748384.954299999, 104216.84850000031 6747470.159399999, 117825.14279999956 6745987.2225, 118815.21860000025 6755232.8847, 121790.25459999964 6782969.654100001, 135260.48379999958 6781549.170200001, 143344.41729999986 6780721.720400002, 146155.8898 6808470.430500001, 148974.0669999998 6836218.8213, 154278.64439999964 6835683.5603, 167542.6035000002 6834381.2128, 180810.04030000046 6833130.009399999, 183377.7226999998 6860895.803399999, 193908.38630000036 6859937.184799999, 196396.19909999985 6887708.493900001, 199007.72140000015 6887475.292399999, 212067.2446999997 6886339.6011000015, 225129.85300000012 6885254.433200002, 238195.40330000035 6884219.781800002, 240344.7597000003 6912011.818300001, 242499.07529999968 6939804.1061, 255352.09190000035 6938831.727899998, 263065.19820000045 6938272.251800001, 264388.96109999996 6956806.8999999985, 269502.75989999995 6956445.3814, 282289.01910000015 6955576.366099998, 295077.6830000002 6954757.031100001, 295653.84360000025 6964028.6022000015, 297384.9378000004 6991843.772399999, 299119.91839999985 7019659.459600002, 299699.1001000004 7028931.433400001, 312201.0870000003 7028174.688499998, 324705.2120000003 7027466.7809000015, 325719.8673999999 7046017.380399998, 326550.75739999954 7061188.236099999, 338925.0248999996 7060534.3873, 342234.6216000002 7060367.737100001)"
bonn_agreement_2006.9,Grens oliebestrijding, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006",Ierland - UK Noord,1/4,,,"LINESTRING (-534885.6513999999 6413753.705, -532664.1621000003 6413186.660599999, -517631.07689999975 6409383.7831, -502589.3881000001 6405638.545, -487539.25409999955 6401950.8969, -472480.8339999998 6398320.7919, -457414.2821000004 6394748.1808, -442339.75320000015 6391233.015699999, -427257.3997999998 6387775.2491, -426473.6952999998 6387597.193700001, -430414.6090000002 6370227.6019, -425645.39910000004 6369149.447000001, -410486.6475999998 6365761.485200001, -395320.48029999994 6362430.976399999, -380147.0455 6359157.8752999995, -364966.4868999999 6355942.135199999, -349778.94849999994 6352783.7092, -334584.5741999997 6349682.5547, -327209.9020999996 6348198.5075, -330045.1486999998 6334032.9901, -331247.5027999999 6328019.3846, -319307.13960000034 6325650.707900001, -304021.9919999996 6322670.730599999, -288730.5246000001 6319748.059800001, -273432.87260000035 6316882.6537, -258129.1732999999 6314074.4681, -246619.37660000008 6312000.825999999, -247842.27840000018 6305156.3203, -250394.65160000045 6290854.8913, -242983.7572999997 6289540.0326000005, -227588.24239999987 6286851.715399999, -222170.26559999958 6285919.4978, -223746.4731999999 6276718.6589, -218886.95579999965 6275889.4618, -203448.07789999992 6273293.352600001, -196470.58299999963 6272139.141899999, -197984.98309999984 6262932.391899999, -194659.57990000024 6262387.0133, -179177.80819999985 6259883.2773, -163690.9581000004 6257436.827400001, -148199.15479999967 6255047.6251, -146363.1523000002 6254768.3111000005, -147762.61930000037 6245551.2936, -139479.9310999997 6244302.5561999995, -139541.40830000024 6243892.063999999, -140859.95990000013 6235083.6458, -133595.61510000005 6234003.060699999, -134474.1512000002 6228060.386600001, -134958.46899999958 6224782.7019, -128717.52979999967 6223865.333699999, -130065.51549999975 6214643.628699999, -127748.42229999974 6214305.7326, -124852.89749999996 6213885.2787, -126188.31329999957 6204662.319399999, -119918.94560000021 6203759.6653, -120241.97780000046 6201504.1599, -121239.52300000004 6194535.5207, -118097.80960000027 6194087.124500001, -118622.97420000006 6190397.2148, -115478.38269999996 6189950.914999999, -114636.45129999984 6195896.953400001)"
bonn_agreement_2006.10,Quick Response Zone, ,2008-11-05T00:00:00,"Annex to the Bonn Agreement, London 2006","Ned, UK, Fra en Bel noordgrens",1/4,,,"LINESTRING (381967.81230000034 5747261.1329, 396619.6716 5746937.9407, 413833.6105000004 5746612.9526, 431047.93680000026 5746347.064300001, 448262.57299999986 5746140.2698, 465477.4417000003 5745992.5622000005, 482692.4654000001 5745903.938999999, 499907.56659999955 5745874.398499999, 517122.6677000001 5745903.938999999, 534337.6922000004 5745992.5622000005, 551552.5608999999 5746140.2698, 568767.1972000003 5746347.064300001, 571360.9417000003 5746383.3453)"
