ID,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NAAM,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,STATUS,AFKORTING,TIJDSTIP_REGISTRATIE,PUIC
2618129,166,,166,166__,Rotterdam Westelijke Splitsing - Nieuw Vennep,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,129.699747,"129,699747",Randstad Zuid,RZ,HSL,70,KUNSTWERKEN,OPC: 70-HSL,98208.643,458683.87181,52.1134646034255,4.55809727163811,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Groene Hart Tunnel,107952.213471,283,-2,gerealiseerd,,2017/10/23 09:40:12+00,1296ae7b309e47508ba07060c9fd74df
2618155,166,,166,166__,Rotterdam Westelijke Splitsing - Nieuw Vennep,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,122.240937,"122,240937",Randstad Zuid,RZ,HSL,70,KUNSTWERKEN,OPC: 70-HSL,98622.255,456483.530867,52.0937318895938,4.56449908736263,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Groene Hart Tunnel,3437.586856,283,-1,gerealiseerd,,2015/07/29 14:19:07+00,20d67fd569164a608c7d5638e2b73e3f
2618212,,,,,,,,,,,,,,,,84256.319,446928.316096,52.0062105717313,4.35686850607296,,,,Prorail,L0004,bestaand,Delft Tunnel 2e buis,3802.439256,283,-3,gerealiseerd,,2020/07/23 12:22:41+00,5d8ac1a47a8647cf872892bcb751666c
2618236,,,,,,,,,,,,,,,,84273.8005,447010.192986,52.0069486244538,4.35710616401782,,,,Prorail,L0004,bestaand,Delft tunnel,3839.634927,283,-3,gerealiseerd,,2020/07/23 12:22:41+00,2fa74ef72e844200a0774fa029dc5a56
2618237,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,64.8,"64,800000",Randstad Zuid,RZ,Den Haag,2,KUNSTWERKEN,Den Haag,81804.4535,450610.609775,52.0389848282144,4.3203768737036,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Rijswijk Tunnel,8782.322757,283,-2,gerealiseerd,,2015/07/28 14:50:19+00,cbe9a57d37ad4dbeabf09c14f797295f
2618283,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,65.3,"65,300000",Randstad Zuid,RZ,Den Haag,2,KUNSTWERKEN,Den Haag,81790.1795,450598.931816,52.0388779956527,4.32017136499103,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Rijswijk Tunnel,8790.764191,283,-2,gerealiseerd,,2015/07/28 14:50:19+00,12db91b19f5943959bdf6ac4dcadf533
2618288,525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,78.402183,"78,402183",Randstad Noord,RN,Amsterdam,9,KUNSTWERKEN,Amsterdam,119816.491953,489147.7235,52.3890538009631,4.87036867421552,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,556.094313,283,-1,gerealiseerd,,2021/10/21 14:03:33+00,7ab08e9087ae467aa7906e3cc68460d5
2618290,096,a,96,096_a,Amsterdam Muiderpoort - Duivendrecht,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,2.617663,"2,617663",Randstad Noord,RN,Duivendrecht,10,KUNSTWERKEN,Amstelsepoort,123397.0905,483285.117397,52.3365824018029,4.92351584774639,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,1320.028096,283,-1,gerealiseerd,,2022/07/20 14:48:24+00,c608bbdba2dc4aa3a481c0b866bc6bfc
2618293,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,68.936637,"68,936637",Randstad Zuid,RZ,Den Haag,2,KUNSTWERKEN,Den Haag,83989.3385,447600.024425,52.0122130802767,4.35284142076348,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Delft Tunnel 2e buis,11837.975721,283,-3,gerealiseerd,,2020/07/23 12:22:41+00,272c35df3474416f8944e8ea645ad8ae
2618294,112,,112,112__,Den Haag HS - Schiedam Centrum,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,70,"70,000000",Randstad Zuid,RZ,Den Haag,2,KUNSTWERKEN,Den Haag,84367.774,446480.991422,52.0022046766481,4.35858377031279,KUNSTWERKEN,Randstad Zuid,RZ,Prorail,L0004,bestaand,Delft tunnel 2e buis,6361.29723,283,-3,gerealiseerd,,2020/09/16 08:10:37+00,0c2eb506f04b48d7a18409ed726795bb
