VOETAFDRUK_M2;FILTERLENGTE;OPGESLAGEN_HOEVEELHEID_WARM_WA;OPGESLAGEN_HOEVEELHEID_KOUD_WA;ENERGIEBALANS_PERCENTAGE;THERMISCHE_STRAAL_W_M;THERMISCHE_STRAAL_K_M;WATERVOEREND_PAKKET;WARMTE_EN_KOUDE_OPSLAGSYS_ID;WARMTE_KOUDE_OPSLAGSYSTEEM;ID;GUID
446460;22;600000;600000;45;111.3;111.3;1;78270;Prinsenhof;794030;{20EB0978-0E74-4350-B68D-24F14E130685}
9385;40;20000;26000;;15.1;17.2;2;78271;Kinderdagverblijf Compaan;793952;{F7C2ADB5-0FD5-4D33-AAC2-CBB798C28514}
211448;30;387500;387500;-11;76.6;76.6;1;78273;Hoofdkantoor Shell International;793819;{6CFD9F3A-3224-4459-82AA-4D6F8DB0824D}
316490;30;580000;580000;5;93.7;93.7;1;78274;Stadhuis Den Haag;794017;{C9895399-1DF0-43DD-AD51-62B7E52A6D63}
209553;17;224600;223400;41;76.4;76.2;2;78292;The British School in The Netherlands;793873;{55E14E6B-5AAE-4518-8442-D25A377C01D8}
105496;45;290000;290000;1;54.1;54.1;2;78293;Kantoorgebouw Europol;793818;{F2DF7D20-290B-4081-BBBB-37FFC8DE92FD}
134702;35;288000;288000;-24;61.2;61.2;1;78295;Hoofddirectie Rijkswaterstaat;793820;{B4A570FF-623E-466F-8BAC-73561838506C}
83670;45;230000;230000;;48.2;48.2;2;78296;Kantoorgebouw Politie Haaglanden;793874;{46890390-0539-4696-8433-985B4E7A4481}
63142;35;135000;135000;17;41.9;41.9;2;78309;Kantoor KPMG en Hartstichting;793871;{6A0D935C-8A75-466D-8D37-CDD888FBB54F}
275565;18;303000;303000;8;87.4;87.4;2;78310;Kantoor IECF Vastgoed Rietveld;794034;{A2D08A11-207F-4FF3-B9C6-2367FB538740}
54020;50;165000;165000;6;38.7;38.7;2;78311;Sophia Revalidatiecentrum;794144;{BD276D3D-3D1B-4F0F-8FA7-5EFA02BB71C8}
81851;50;250000;250000;16;47.7;47.7;2;78312;Gebouwen GTI-terrein;793886;{1FDCD9ED-FD30-4842-9167-90BDC657DD4F}
37515;24;55000;55000;;32.3;32.3;1;78315;Siemens Beatrixpark fase II;793864;{9A7649AA-AACC-4E18-8D1D-FBC82B3A523F}
51156;24;75000;75000;;37.7;37.7;1;78316;Siemens Beatrixpark fase III;793865;{EB51930D-6C58-4AC6-A8B2-9EFD799A4F58}
81851;45;225000;225000;24;47.7;47.7;2;78317;NIBC Bank BV;794041;{DB499162-FDC1-4DAF-BEED-F20BA8889F47}
42078;20;45750;58200;32;32;36.4;2;78318;Kantoor en showroom Louwman Retail BV;793868;{83A11438-D78D-477D-AFFA-0C44FCF99FAD}
248463;45;683000;683000;-12;83.1;83.1;3;78319;Kantorencomplex De Monarch 1;793859;{F6B36780-240C-48E1-BDAD-3EBE514C123F}
