;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Admatec Europe B.V.;;;;;2;2
Agilent Technologies Netherlands B.V.;;;;;1;1
Ahrend Inrichten;;1;;;;1
Akron NV;;;;;1;1
Alissa + Nienke;1;;;;;1
Alphasense Ltd;;;;;1;1
ARCADIS Nederland B.V.;;;;;4;4
Architektenburo en Bouwburo Coors B.V.;;2;;;;2
Atal B.V.;;;;;1;1
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;;1;1
Bellezza Nuova Lijsten & Restauratie Atelier;;;;;1;1
Beweging 3.0;;;;;1;1
Bilthoven Biologicals B.V.;;7;7;2;2;7
BIS Bedrijfs Informatie Systemen B.V.;;1;;2;;2
bol.com B.V.;;;;;1;1
Boode B.V.;;;;;1;1
Bronkhorst Nederland B.V.;;;;;1;1
BT Brammer B.V.;;;;;1;1
Buram Electro BV;;1;;;;1
Butraco;;;;;1;1
Cocoon Holland B.V.;;;;;1;1
Combinatie Heijmans Wegen/Heijmans Civiel;;2;;;;2
Conrad Electronic Benelux B.V.;;;;;1;1
Contour Advanced Systems B.V.;;;;;1;1
Convergence Instruments;;;;;1;1
D.D.S. Electronics Europe B.V.;;;;;1;1
De Goudse N.V.;;;;;2;2
DMV Sales & Trade;;1;;;;1
Donkergroen B.V.;;1;;;;1
Drukwerkdeal Productie B.V.;;;;;1;1
Eijkelkamp Soil & Water B.V.;;;;;1;1
Elinex Power Solutions B.V.;;;;;1;1
Eneco Business BV;;;1;;;1
ENGIE Services Zuid B.V.;;1;;;;1
Envico Environment Control B.V.;;;;;1;1
Eriks B.V.;;;;;1;1
Euro-Index B.V.;;;;;1;1
EuroMedix P.O.C. N.V.;;;;;1;1
Farnell (Netherlands) B.V.;;;;;1;1
Fiction Factory B.V.;1;;;;;1
G. Bakker en Zn. B.V.;;;;;1;1
G.R. Instruments B.V.;;;;;1;1
Gem. Utrecht IBF Ontvangsten;;;;;2;2
Gradko International Ltd.;;;;;1;1
Green Fortune Nederland B.V.;;1;;;;1
Greenchoice;;;3;;;3
Hericon Vastgoed B.V.;;;;;1;1
Hobrand B.V.;;;;;1;1
Hoog Catharijne Mall of the Netherlands B.V.;;;;;1;1
Hotzone Solutions International B.V.;;;;;1;1
Hulkenberg B.V.;;;;;1;1
Inacom Instruments B.V.;;;;;1;1
Interscience B.V.;;;;;1;1
InterStep Professionals B.V.;;;;;1;1
Jan Abrahams Hovenier B.V.;;1;;;;1
Kiwi Electronics B.V.;;;;;1;1
Koenders Instruments BV;;;;;2;2
KTC Zegveld B.V.;;;1;;;1
L.A. Systems B.V.;;;;;1;1
Lasaulec B.V.;;;;;1;1
Liander N.V.;;;1;;;1
Linx Mobile Solutions;;;;;1;1
Luijten Groentechniek B.V.;;1;;;;1
Manutan B.V.;;;;;2;2
Mega Magazijninrichting B.V.;;1;;;;1
Metrohm Applikon;;;;;1;1
Mettler-Toledo B.V.;;;;;1;1
Michell Instruments Benelux B.V.;;;;;1;1
Mirion Technologies NV;;;;;1;1
Modelec Data-Industrie;;;;;1;1
Mondial Movers B.V.;;1;;;;1
MuniSense B.V.;;;;;2;2
Museumkwartier B.V.;;;;;1;1
Newport Spectra-Physics B.V.;;;;;1;1
Nsecure B.V.;;2;;;;2
O&M-Movianto Nederland B.V.;;;;6;;6
one2one;;;;;2;2
OTT Hydromet GmbH;;;;;2;2
Poolster B.V.;;1;;;;1
Poonawalla Science Park B.V.;;;;;8;8
Proefboerderij Zegveld ASG Veehouderij Lelystad;;;1;;;1
R.M. Schippers Lijsten;;;;;1;1
Rae Benelux B.V.;;;;;1;1
RS Components B.V.;;;;;1;1
Shimadzu Benelux;;;;;1;1
Sodaq M2M4ALL B.V.;;;;;1;1
STERIS SA/NV;;;;;1;1
Synspec B.V.;;;;;1;1
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;;;1;1
Technische Unie B.V.;;;;;1;1
TH&P;;1;;;;1
ThorLabs;;;;;1;1
TinyTronics;;;;;1;1
Triskem International SAS;;;;;1;1
Unica Security B.V.;;1;;;;1
UTS Nederland;;;;;2;2
Van Riemsdijk Verhuizingen B.V.;;;;;2;2
Van Tellingen Beheer B.V.;;1;;;;1
Van Veldhuijzen-Boxmeer;;1;;;;1
Veiligheidstechniek Nederland B.V.;;;;;1;1
Vermaat - Flevoziekenhuis Almere;;;;;1;1
WorkSphere;;2;;;;2
WV Technics;;;;;1;1
WVM Elektrotechniek B.V.;;1;;;;1
Zeus Magazijninrichting B.V.;;;;;1;1
Eindtotaal;1;7;7;6;8;9
