OBJECTID,Match_addr,X,Y,Hoofdcategorie,Categorie,Naam,Internet,Adres,Postcode,Plaats,GlobalID
311,"Karel Doormanstraat 16, 8061 JR Hasselt",6.09866550000001,52.588395,Sportvoorzieningen,Badminton,Badmintonvereniging Allotria,http://www.allotriabc.nl,Karel Doormanstraat 16,8061 JR,Hasselt,6ff384f5-9ac0-4e8c-b322-1cc9474e4046
312,"Ahnemstraat 18, 8043 RE Zwolle",6.05074050000002,52.529148,Sportvoorzieningen,Badminton,Genemuider Badminton Club - GBC,http://www.badmintongenemuiden.nl,Ahnemstraat 18,8043 RE,Zwolle,25dc5c57-2569-4341-8ed1-d3eece6e84d7
313,"Wilhelminaplein 1, 8064 BT Zwartsluis",6.07027049999999,52.642089,Sportvoorzieningen,Biljarten,Biljartvereniging De Bleistarte,,Wilhelminaplein 1,8064 BT,Zwartsluis,b2e34d26-f948-4d8d-8442-6e949bca1381
314,"Ridderstraat 5, 8061 GH Hasselt",6.0898905,52.590069,Sportvoorzieningen,Biljarten,Biljartvereniging Ons Genoegen,,Ridderstraat 5-7,8061 GH,Hasselt,7e910945-cc56-46fc-9517-fe00fc6b6873
315,Hotel Zwartewater,6.07191000836725,52.638359933926,Sportvoorzieningen,Bridge,Bridgeclub Zwartsluis,,"Hotel Zwartewater, De Vlakte 20",8064 PC,Zwartsluis,a098e013-31fa-45be-9926-4e2394075be1
316,"De Moerasorchidee 12, 8064 HN Zwartsluis",6.074253,52.64811,Sportvoorzieningen,Denksport,Damvereniging DSS,,De Moerasochidee 12,8064 HN,Zwartsluis,ae82de5c-feed-4e8d-8c83-b5e6bef1b76c
317,"De Moete 2, 8064 Zwartsluis",6.0650455109226,52.6404203798515,Sportvoorzieningen,Dierensportverenigingen,Duivenvereniging De Postduif T.W.,,De Moete 2,8064 AZ,Zwartsluis,bb0d6375-4ab3-4592-b864-462655cb3193
318,"Hasselterdijk 7, 8281 JN Genemuiden",6.050916,52.625205,Sportvoorzieningen,Dierensportverenigingen,Postduivenvereniging De Snelvliegers,http://www.snelvliegers.nl,Hasselterdijk 7,8281 JN,Genemuiden,3e08104e-210a-46eb-a85e-e3cd1974b6ab
319,"Teugel 11, 8061 MR Hasselt",6.10231949999999,52.599141,Sportvoorzieningen,Hengelsport,H.S.V. Zwartewaterland,http://www.hsvzwartewaterland.nl,Teugel 11,8061 MR,Hasselt,563e2c34-7634-46b8-88ca-c619168961bb
320,"Klaas Benninkstraat 44, 8281 ZZ Genemuiden",6.04379700000001,52.623369,Sportvoorzieningen,Hengelsport,Hengelaarsvereniging Het Zwarte Water,http://www.hsv-genemuiden.nl,Klaas Benninkstraat 44,8281 ZZ,Genemuiden,ecf0e05c-cc8b-439a-9601-ed617597040d
321,"Buiten de Enkpoort 17, 8061 HR Hasselt",6.09731099999999,52.586721,Sportvoorzieningen,IJsbanen,IJsbaan - achter de molen De Zwaluw,http://www.stghetzwartewater.nl,Buiten de Enkpoort 17,8061 HR,Hasselt,d69d91ba-b8cb-4f3c-b94e-7b77dfa74163
322,"Koppel 3, 8281 MA Genemuiden",6.03687600000001,52.622982,Sportvoorzieningen,IJsbanen,Volksijsbaan de Eendracht,http://www.stg-eendracht.nl/de-ijsbaan,Koppel 3,8281 MA,Genemuiden,6bacf6b0-b6c3-4b15-ae52-16d6b68a55a8
323,"Marijkestraat 6, 8064 BH Zwartsluis",6.06451950000002,52.64145,Sportvoorzieningen,IJssport,IJsclub Concordia,http://www.ijsclubconcordia.nl,Marijkestraat 6,8064 BH,Zwartsluis,f11e6186-66bb-453d-a835-058859cdcaf4
324,"Buiten de Enkpoort 17, 8061 HR Hasselt",6.09731099999999,52.586721,Sportvoorzieningen,IJssport,IJsclub Het Zwartewater,http://www.ijsclubhetzwartewater.nl/,Buiten de Enkpoort 17,8061 HR,Hasselt,02472eb5-c6d0-4322-aa0e-84aa7fd31cdd
325,"Koppel 3, 8281 MA Genemuiden",6.03687600000001,52.622982,Sportvoorzieningen,IJssport,STG De Eendracht,http://www.stg-eendracht.nl,Koppel 3,8281 MA,Genemuiden,44471002-74eb-4fa5-98ba-b29ac3d8221f
326,"Prinsenstraat 24, 8061 ZC Hasselt",6.10444799999999,52.588305,Sportvoorzieningen,MFA,Multifunctionele accommodatie Streukeler Veste,,Prinsenstraat 24,8061 ZC,Hasselt,4609b2b1-61e3-47e0-a516-8eff833a8e22
327,"Kamperdijk 3, 8281 PB Genemuiden",6.0352695,52.61589,Sportvoorzieningen,Maneges,Hippisch Centrum De Zwartewaterruiters,http://www.zwartewaterruiters.nl,Kamperdijk 3,8281 PB,Genemuiden,f7fd6982-b99b-4053-872d-ec81cd879d1d
328,"Zwartsluizerweg 5, 8061 AB Hasselt",6.09713100000002,52.597638,Sportvoorzieningen,Maneges,Manege Hasselt,http://www.rijvereniginghasselt.nl,Zwartsluizerweg 5,8061 AB,Hasselt,d97a3eb3-6962-4dd6-a6a8-261af0157167
329,"Zwolsedijk 4, 8061 RD Hasselt",6.0955965,52.574274,Sportvoorzieningen,Maneges,Stal Blanken,http://www.stalblanken.nl,Zwolsedijk 4,8061 RD,Hasselt,55d4cc6f-c52d-4f07-8fd8-dcbf28c45fd5
330,"Hasselterdijk 13b, 8281 JN Genemuiden",6.05159549999999,52.625709,Sportvoorzieningen,Motorsport,M.C. Genemuiden,http://www.mcgenemuiden.com,Hasselterdijk 13-B,8281 JN,Genemuiden,50abe2f3-5b32-4ee2-8062-8620ebf3d466
331,"Burg Malcorpslaan 7, 8061 AG Hasselt",6.09791849999999,52.595514,Sportvoorzieningen,Motorsport,Motortoerclub Hasselt,,Burgemeester Malcorpslaan 7,8061 AG,Hasselt,9c9cf487-8d43-48d7-99e8-2daacca4087c
332,"Zwolsedijk 4, 8061 RD Hasselt",6.0955965,52.574274,Sportvoorzieningen,Paardrijden,L.R. De Hanzeruiters,,Zwolsedijk 4,8061 RD,Hasselt,23da6922-f1f2-4d7f-87fa-fa0bf91dca32
333,"Zwartsluizerweg 5, 8061 AB Hasselt",6.09713100000002,52.597638,Sportvoorzieningen,Paardrijden,Rijvereniging Hasselt,http://www.rijvereniginghasselt.nl,Zwartsluizerweg 5,8061 AB,Hasselt,539b39a3-c147-4212-a650-ce654cacc244
334,"Hasselterdijk 11, 8281 JN Genemuiden",6.051051,52.625574,Sportvoorzieningen,Schietsport,Schietsportvereniging Genemuiden,http://www.schietsportvereniging-genemuiden.nl,Hasselterdijk 11,8281 JN,Genemuiden,492a4b1c-a827-4d08-884a-1c81e1f79316
335,"Westeinde 23, 8064 AJ Zwartsluis",6.06177450000001,52.638327,Sportvoorzieningen,Sport Algemeen,Stichting Ontspannings Sporten Zwartsluis,,Westeinde 23,8064 AJ,Zwartsluis,f6ce73f2-3f76-46a7-bbfd-40eb83ed6262
336,"Prinsenstraat 24, 8061 ZC Hasselt",6.10444799999999,52.588305,Sportvoorzieningen,Sporthallen,Sporthal De Prinsenhof,,Prinsenstraat 24,8061 ZC,Hasselt,fd6c807f-5394-4297-a8e5-53ab16c8742c
337,"Burg Malcorpslaan 1a, 8061 AG Hasselt",6.0966,52.593462,Sportvoorzieningen,Sportparken,Sportpark 't Hoenbroeck,,Burg. Malcorpslaan 1-A,8061 AG,Hasselt,c464045f-4690-4f92-9bc0-5fb78e9b0137
338,"Cingellanden 1, 8064 DC Zwartsluis",6.07938300000001,52.644573,Sportvoorzieningen,Sportparken,Sportpark Cingellanden,,Cingellanden 1,8064 DC,Zwartsluis,a1b81594-3234-4ec6-a283-2df94c0f8bd8
339,"Sportlaan 2b, 8281 CM Genemuiden",6.03822149999999,52.617402,Sportvoorzieningen,Sportparken,Sportpark SC Genemuiden 'De Wetering',https://www.sc-genemuiden.nl,Sportlaan 2-B,8281 CM,Genemuiden,4153e247-124e-467b-ac9c-fbf2602a93b9
340,"Havenplein 2, 8281 EV Genemuiden",6.04147499999999,52.62399,Sportvoorzieningen,Sportscholen en Fitnesscentra,Fytac Fit Zwartewaterland,http://www.fytacfysiotherapie.nl,Havenplein 2,8281 EV,Genemuiden,e08f8ffc-5b83-445f-a37c-e57432171cb1
341,"Kaai 1a, 8061 GD Hasselt",6.08874299999999,52.590375,Sportvoorzieningen,Sportscholen en Fitnesscentra,Fytac Fit Zwartewaterland,,Kaai 1-A,8061 GD,Hasselt,92f8ebd2-d39c-426a-b692-fc16cce6e18b
