version,title2,latitude,longitude,ns1:field3217,description4,ns1:field3216,description5,ns1:field3210,description6,ns1:field3211,description7,ns1:field3212,description8,ns1:field3213,description9,ns1:field3214,description10
2,Van Lidth de Jeudestraat 2,52.0935040364,5.1293062692,30041,Zonenummer,133,Objectid,24104,Automaatnummer,Van Lidth de Jeudestraat 2,Adres,Buiten Wittevrouwen,Rayon,Utrecht,Woonplaats,3581GH,Postcode
2,Maliesingel 11,52.0916101321,5.1278299711,30041,Zonenummer,134,Objectid,24105,Automaatnummer,Maliesingel 11,Adres,Buiten Wittevrouwen,Rayon,Utrecht,Woonplaats,3531BC,Postcode
2,Schoolstraat 18,52.0914657722,5.1291763055,30041,Zonenummer,135,Objectid,24106,Automaatnummer,Schoolstraat 18,Adres,Buiten Wittevrouwen,Rayon,Utrecht,Woonplaats,3581PT,Postcode
2,Pieter Nieuwlandstraat 5,52.1024629257,5.1240438622,30072,Zonenummer,558,Objectid,37209,Automaatnummer,Pieter Nieuwlandstraat 5,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3514HA,Postcode
2,Pieter Nieuwlandstraat 26,52.1028253386,5.1247925673,30072,Zonenummer,559,Objectid,37210,Automaatnummer,Pieter Nieuwlandstraat 26,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3514HS,Postcode
2,Nolenslaan 2,52.1012956135,5.1160045474,30072,Zonenummer,560,Objectid,37211,Automaatnummer,Nolenslaan 2,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3515VE,Postcode
2,Nolenslaan 26,52.1026096225,5.1163412350,30072,Zonenummer,561,Objectid,37212,Automaatnummer,Nolenslaan 26,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3515VH,Postcode
2,Samuel van Houtenstraat 14,52.1040752357,5.1169893491,30072,Zonenummer,562,Objectid,37213,Automaatnummer,Samuel van Houtenstraat 14,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3514EA,Postcode
2,Nolenslaan 59,52.1052019681,5.1171579726,30072,Zonenummer,563,Objectid,37214,Automaatnummer,Nolenslaan 59,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3515VD,Postcode
2,Samuel Mullerstraat 14,52.1051549119,5.1176276883,30072,Zonenummer,564,Objectid,37215,Automaatnummer,Samuel Mullerstraat 14,Adres,Tuinwijk nrd,Rayon,Utrecht,Woonplaats,3515EC,Postcode
