Jaar;Ketennationaliteit;Aantal unieke vreemdelingen
2019;Afghaanse;43
2019;Albanese;9
2019;Algerijnse;676
2019;Angolese;1
2019;Armeense;14
2019;Azerbeidzjaanse;18
2019;Bahamaanse;1
2019;Belarussische;63
2019;Braziliaanse;1
2019;Burger van Bosnië-Herzegovina;5
2019;Burger van Congo;1
2019;Burger van de Bondsrepubliek Duitsland;1
2019;Burger van de Republiek Noord-Macedonië;10
2019;Burger van Democratische Republiek Congo;2
2019;Burger van Trinidad en Tobago;1
2019;Chinese;5
2019;Colombiaanse;3
2019;Cubaanse;5
2019;Dominicaanse;3
2019;Egyptische;14
2019;Eritrese;42
2019;Ethiopische;5
2019;Filipijnse;1
2019;Gambiaanse;31
2019;Georgische;113
2019;Ghanese;6
2019;Guinee-Bissause;1
2019;Guinese;20
2019;Indiase;1
2019;Iraakse;71
2019;Iraanse;74
2019;Israëlische;1
2019;Italiaanse;1
2019;Ivoriaanse;3
2019;Jamaicaanse;4
2019;Jemenitische;10
2019;Joegoslavische;2
2019;Jordaanse;6
2019;Kameroense;3
2019;Kazachse;2
2019;Kirgizische;1
2019;Kosovaarse;1
2019;Kroatische;1
2019;Libanese;5
2019;Liberiaanse;4
2019;Libische;176
2019;Malinese;6
2019;Marokkaanse;623
2019;Mauritaanse;2
2019;Moldavische;88
2019;Mongolische;9
2019;Montenegrijnse;1
2019;Myanmarese;2
2019;Namibische;1
2019;Nederlandse;1
2019;Nigerese;2
2019;Nigeriaanse;56
2019;Oekraïense;28
2019;Onbekend;30
2019;Pakistaanse;9
2019;Palestijnse;4
2019;Roemeense;1
2019;Russische;28
2019;Saint Luciaanse;1
2019;Saoedi-Arabische;2
2019;Senegalese;6
2019;Servische;10
2019;Sierra Leoonse;6
2019;Soedanese;15
2019;Somalische;24
2019;Sri Lankaanse;1
2019;Staatloos;5
2019;Surinaamse;1
2019;Syrische;79
2019;Tadzjiekse;1
2019;Tsjadische;2
2019;Tunesische;132
2019;Turkse;13
2019;Venezolaanse;6
2019;Vietnamese;3
2020;Afghaanse;20
2020;Albanese;4
2020;Algerijnse;563
2020;Angolese;1
2020;Armeense;6
2020;Azerbeidzjaanse;13
2020;Bahreinse;1
2020;Belarussische;44
2020;Braziliaanse;1
2020;Burger van Bosnië-Herzegovina;3
2020;Burger van Congo;1
2020;Burger van de Republiek Noord-Macedonië;6
2020;Burger van Democratische Republiek Congo;1
2020;Burger van Trinidad en Tobago;1
2020;Burundese;1
2020;Chinese;4
2020;Colombiaanse;3
2020;Cubaanse;1
2020;Egyptische;19
2020;Eritrese;32
2020;Ethiopische;3
2020;Gambiaanse;38
2020;Georgische;58
2020;Ghanese;5
2020;Guinee-Bissause;3
2020;Guinese;21
2020;Hondurese;1
2020;Iraakse;38
2020;Iraanse;49
2020;Israëlische;2
2020;Ivoriaanse;2
2020;Jamaicaanse;2
2020;Jemenitische;10
2020;Jordaanse;6
2020;Kaapverdische;1
2020;Kameroense;3
2020;Kazachse;3
2020;Letse;2
2020;Libanese;3
2020;Liberiaanse;2
2020;Libische;116
2020;Malinese;3
2020;Marokkaanse;490
2020;Mauritaanse;1
2020;Moldavische;19
2020;Mongolische;9
2020;Nigerese;2
2020;Nigeriaanse;70
2020;Oekraïense;16
2020;Oezbeekse;1
2020;Onbekend;40
2020;Pakistaanse;6
2020;Palestijnse;5
2020;Peruaanse;1
2020;Russische;25
2020;Salvadoraanse;1
2020;Saoedi-Arabische;1
2020;Senegalese;6
2020;Servische;6
2020;Sierra Leoonse;7
2020;Soedanese;14
2020;Somalische;23
2020;Spaanse;1
2020;Staatloos;5
2020;Surinaamse;1
2020;Syrische;90
2020;Togolese;1
2020;Tsjadische;2
2020;Tunesische;117
2020;Turkse;8
2020;Ugandese;5
2020;Venezolaanse;2
2020;Vietnamese;3
2020;Zuid-Afrikaanse;1
