gebiedcode;gebiedstype;gebiednaam;opp_ha_gebied;opp_land_ha;opp_water_ha;opp_levend_agrarisch_ha;opp_levend_buurtgroen_ha;opp_levend_gedenkpark_ha;opp_levend_groene_verbinding_ha;opp_levend_landschap_ha;opp_levend_natuurgebied_ha;opp_levend_natuurpark_ha;opp_levend_sportpark_ha;opp_levend_stadsnatuur_ha;opp_levend_stadspark_ha;opp_levend_stadsplantsoen_ha;opp_levend_tuinpark_ha;opp_levend_ziekenhuiscomplex_ha
A00c;buurt;Burgwallen Oost;7,24786843289975;6,2677;0,9802;0,0000;0,0004;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A00d;buurt;Nes e.o.;5,78378970969977;5,3974;0,3864;0,0000;0,0089;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A00e;buurt;BG-terrein e.o.;10,1280111303502;8,3938;1,7342;0,0000;0,0156;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A01a;buurt;Stationsplein e.o.;26,0425267544503;13,4652;12,5773;0,0000;0,0091;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A01c;buurt;Nieuwendijk Noord;6,59899647979987;4,9947;1,6043;0,0000;0,0123;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A01f;buurt;Spuistraat Zuid;6,71081286715;5,9379;0,7729;0,0000;0,0056;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A01g;buurt;Begijnhofbuurt;7,06096872215025;7,0610;0,0000;0,0000;0,0866;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A02a;buurt;Langestraat e.o.;12,3308566503505;9,6774;2,6534;0,0000;0,0002;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A02b;buurt;Leliegracht e.o.;17,3446551405998;13,7459;3,5988;0,0000;0,0002;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A03d;buurt;Amstelveldbuurt;14,7839432238008;11,3505;3,4334;0,0000;0,0027;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A03e;buurt;Rembrandtpleinbuurt;7,68279277974953;5,9504;1,7324;0,0000;0,0401;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0992;0,0000;0,0000
A04a;buurt;Oosterdokseiland;24,2948122659008;12,1370;12,1578;0,0000;0,3360;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04b;buurt;Scheepvaarthuisbuurt;10,7781367826497;4,5154;6,2627;0,0000;0,0037;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04c;buurt;Rapenburg;16,5949982383499;9,0072;7,5878;0,0000;0,2652;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04d;buurt;Lastage;7,78041296774894;5,2409;2,5395;0,0000;0,0176;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04e;buurt;Nieuwmarkt;7,12720955585078;6,0108;1,1164;0,0000;0,0535;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04f;buurt;Uilenburg;10,6889347233999;8,1024;2,5865;0,0000;0,0168;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04g;buurt;Valkenburg;7,35911503900036;6,8153;0,5438;0,0000;0,0753;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04h;buurt;Zuiderkerkbuurt;9,10162110015014;6,8318;2,2698;0,0000;0,0074;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A04i;buurt;Waterloopleinbuurt;12,9553448358005;11,1845;1,7708;0,0000;0,0448;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05a;buurt;Westerdokseiland;33,778220593899;15,5336;18,2446;0,0000;0,8364;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05b;buurt;Haarlemmerbuurt Oost;10,1365854713006;9,2419;0,8947;0,0000;0,1884;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05c;buurt;Haarlemmerbuurt West;11,7324451429504;10,8392;0,8932;0,0000;0,0471;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05d;buurt;Westelijke eilanden;21,6567185017498;14,6828;6,9739;0,0000;0,4975;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05f;buurt;Planciusbuurt Noord;2,41274069255026;1,7822;0,6305;0,0000;0,0513;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A05g;buurt;Planciusbuurt Zuid;1,73564052599984;1,2123;0,5233;0,0000;0,1120;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06a;buurt;Driehoekbuurt;10,6075759963002;9,7562;0,8513;0,0000;0,0302;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06c;buurt;Bloemgrachtbuurt;12,7092206349002;11,2506;1,4587;0,0000;0,0027;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06d;buurt;Marnixbuurt Noord;7,21124645325043;5,4528;1,7585;0,0000;0,0285;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,5103;0,0000;0,0000
A06e;buurt;Zaagpoortbuurt;3,79385674754978;3,5029;0,2910;0,0000;0,0295;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1724;0,0000;0,0000
A06f;buurt;Marnixbuurt Midden;2,15913393994977;1,5361;0,6230;0,0000;0,0015;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06g;buurt;Elandsgrachtbuurt;20,7901996282509;18,9547;1,8355;0,0000;0,0298;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06i;buurt;Groenmarktkadebuurt;4,94658932465037;3,4958;1,4508;0,0000;0,0651;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06j;buurt;Marnixbuurt Zuid;5,12300842774997;4,0954;1,0276;0,0000;0,0181;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06k;buurt;Anjeliersbuurt Noord;9,88319145069944;9,4587;0,4245;0,0000;0,0040;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A06l;buurt;Anjeliersbuurt Zuid;11,9599686072488;11,0612;0,8987;0,0000;0,0781;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A07d;buurt;Leidsebuurt Zuidoost;5,10975769105048;4,3497;0,7600;0,0000;0,0014;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
A07e;buurt;Weteringbuurt;13,627641237251;11,9630;1,6647;0,0000;0,0453;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
