Id,"Titel kunstwerk","Achternaam Kunstenaar","Voornaam Kunstenaar","Tussenvoegsel Kunstenaar",Jaartal,Collectie,Wijk,Adres,"Materiaal 1","Materiaal 2","Materiaal 3","Materiaal 4","Materiaal 5",latitude,longitude,Omschrijving,Samenvatting,"Foto 1","Foto 2","Foto 3","Foto 4","Foto 5"
1920,Geuzenmonument,Droppert,Leen,,1982,Vlaardingen,Centrum,"Markt ",Brons,,,,,51.9082265,4.3426157,"<p>Het monument bestaat uit een groot bronzen beeld en twee losse benen daarvoor. Verder 4 bakstenen muurtjes die rondom lopen. De diameter van de muurtjes is 8 meter, ze zijn 45 cm. hoog en 38 cm. breed. In de bovenzijde van de muurtjes zijn 4 granieten blokken gemetseld (20x100x50) met daarin teksten.<br /> De zwarte &quot;zebra strepen&quot; van het beeld naar de deur onder trap van het stadhuis (vroeger gevangenis) hoort ook bij het monument.</p>",,http://beheer.kunstwacht.nl/cache/8/0/f/80f5fad1531f31d8e1edaa966ea5fc4d_700_540.jpg,http://beheer.kunstwacht.nl/cache/5/0/4/5049a10d0ca2df5ac067ed833a8e5b9a_700_540.jpg,http://beheer.kunstwacht.nl/cache/5/f/d/5fdc70c94c3b5f2081ee3183c42d1f24_700_540.jpg,http://beheer.kunstwacht.nl/cache/c/6/7/c675b14610e86b01470079315a81c55e_700_540.jpg,http://beheer.kunstwacht.nl/cache/3/2/5/32535e9b7d43907e6dabb5a69fd77114_700_540.jpg
1921,Mercurius,"Termote (1887-1978)",Albert,,1956,Vlaardingen,Centrum,"Markt Stadhuis ",Brons,,,,,51.90806423088762,4.3426090478897095,"<p>Bronzen beeld van Mercurius in een koepel staand op een betonnen piramide. Deze staat weer op een plaat van kalksteen.</p>",,http://beheer.kunstwacht.nl/cache/3/5/3/353cbe3bdd7dc346fb5444069de8069f_700_540.jpg,http://beheer.kunstwacht.nl/cache/a/5/b/a5b74e9447977caa83bddd072d215f6a_700_540.jpg,http://beheer.kunstwacht.nl/cache/e/6/b/e6b0b001759359267844150b744398f7_700_540.jpg,,
1922,"Dirk III","Termote (1887-1978)",Albert,,,Vlaardingen,Centrum,"Schoolstraat ","Frans kalksteen",,,,,51.90807415921907,4.342528581619263,"Op de hoek van een pilaar van de nis waar ook Mercurius in staat is een zandstenen beeld van Dirk III ingemetseld. Aan de zijkant van de sokkel wordt herinnerd aan de slag bij Vlaardingen van 1018.",,http://beheer.kunstwacht.nl/cache/d/1/c/d1c2d7eab7790a23393740128ac3f911_700_540.jpg,http://beheer.kunstwacht.nl/cache/1/e/1/1e12f0c88bffb475d94c10ba402b6250_700_540.jpg,http://beheer.kunstwacht.nl/cache/d/e/d/dedecacd901f3d4fa1cd1a5a17e9c6fa_700_540.jpg,http://beheer.kunstwacht.nl/cache/9/0/c/90cb15b432277fff24210d2622bdc0cb_700_540.jpg,
1923,"Monument voor een plant",Pieters,"Ian Jacob",,,Vlaardingen,Centrum,"Waalstraat ",Brons,,,,,51.9086833,4.3407974,"<p>Bronzen beeld op een betonnen sokkel met daarop 2 RVS platen.</p>",,http://beheer.kunstwacht.nl/cache/f/b/b/fbbfd05d62774e9eba4c6944699c42fe_700_540.jpg,http://beheer.kunstwacht.nl/cache/d/6/2/d6264a40fe852b054fe191ba8d630357_700_540.jpg,,,
1924,"Spelende kinderen","Gobius (1910 - 1994)","Marian (Merian / Marian Catharine)",,,Vlaardingen,Centrum,"Ambonlaan 101",Brons,,,,,51.9125937,4.3316762,,,http://beheer.kunstwacht.nl/cache/2/d/b/2dbbb76a3561ff399f98a8f2eb472971_700_540.jpg,,,,
1926,"Vliegerende jongen",Mooy,Henk,,,Vlaardingen,Centrum,"Liesveld t.h.v. nr. 145",Brons,,,,,51.9098240,4.3426926,"<p>RVS paal met daarop een bronzen beeld van een jongen die aan het vliegeren is. Het beeld staat in het winkelcentrum.</p>",,http://beheer.kunstwacht.nl/cache/d/d/1/dd1b2e7fba5b6f0f796e0d452bb5d95d_700_540.jpg,http://beheer.kunstwacht.nl/cache/b/4/5/b456c1884804a83d5ae9f530c4f907e8_700_540.jpg,http://beheer.kunstwacht.nl/cache/1/d/4/1d487ea08d809266220406a7259dfb9a_700_540.jpg,,
1927,"Compositie (Liesveldviaduct)",Winter,Jan,de,,Vlaardingen,Centrum,"Liesveldviaduct ",Metaalplastiek,,,,,51.9102910,4.3407319,"Zwart gelakt metaalplastiek tegen de buitenmuur van het wokrestaurant bevestigd.",,http://beheer.kunstwacht.nl/cache/3/a/1/3a10837ad082e6a46b23b5e47b301c5d_700_540.jpg,,,,
1928,"Imaginair portret van Frans",Wiegman,Diet,,,Vlaardingen,Centrum,"Fransenstraat ",Baksteen,Keramiek,,,,51.9090628,4.3411674,"Bakstenen muur met daarop keramiek aangebracht. In de bestrating naast het kunstwerk zijn RVS tegels met tekst aangebracht.",,http://beheer.kunstwacht.nl/cache/0/b/1/0b1e110609f9f1c11e63c7b760b77bbc_700_540.jpg,http://beheer.kunstwacht.nl/cache/b/b/e/bbe36f6a24cfaea00e824384c20e7d66_700_540.jpg,http://beheer.kunstwacht.nl/cache/f/2/f/f2f787c126715f8e579d91a4eb7a28e7_700_540.jpg,http://beheer.kunstwacht.nl/cache/4/b/b/4bb1aab246d30902806dcfb8505fddbe_700_540.jpg,
1929,"Mijn straat in de Hoogstraat",Jong,Coen,de,2006,Vlaardingen,Centrum,"Hoogstraat ",Hardsteen,Grondspots,,,,51.9104913,4.3436311,"<p>In totaal 53 grondspots die door de Hoogstraat lopen. Kijk voor alle informatie op http://www.hoogstraatmaker.nl</p>",,http://beheer.kunstwacht.nl/cache/a/6/0/a608b8e83df1deb6d68ee16b6c89799c_700_540.jpg,http://beheer.kunstwacht.nl/cache/5/a/a/5aab21fd22f41222943621e1027a1246_700_540.jpg,,,
1930,"Zonder titel (5 stuks verlichting)",Kleingeld,Jan,,,Vlaardingen,Centrum,"Scheepsmakersteeg ",Verlichting,,,,,51.9124688850909,4.344470500946045,"In de Scheepmakersteeg hangen in totaal 5 stuks verlichting.",,http://beheer.kunstwacht.nl/cache/7/2/6/7262536c3b9ad02564ff8a313e18f9af_700_540.jpg,http://beheer.kunstwacht.nl/cache/8/6/0/8600d369e6963fc0f11e4585c7bc3ca9_700_540.jpg,http://beheer.kunstwacht.nl/cache/4/e/4/4e4a94316d570ab353c2b6e999704899_700_540.jpg,http://beheer.kunstwacht.nl/cache/6/f/2/6f2f09cb14cbdb05d74496a779b7df48_700_540.jpg,http://beheer.kunstwacht.nl/cache/8/a/0/8a06f9d2c02958314b680dbe0ca88a0f_700_540.jpg
