FID,omschrijvi,gebiednaam,activiteit,bronhouder,naam,update_,opmerking,acres,comcode,comoms,se_anno_cad_data,gdb_geomattr_data,shape
militaire_gebieden.11,-,-,-,-,539,23-07-1997,munitiegeb,23.15723413,00011,in de bodem en op de bodem,,,"POLYGON ((560435.5746999998 5720430.4997000005, 560944.4001000002 5720905.0276999995, 561925.3638000004 5719805.8719, 561413.7380999997 5719354.0768, 560435.5746999998 5720430.4997000005))"
militaire_gebieden.12,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENLEGGERS",WESTGAT,LEGGEN EN VEGEN VAN MIJNEN,"BAZ NR. 1, 2002",NB 6,01-01-2002,oefengebieden,556.2124331,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((540251.2644999996 5726811.8665, 540425.6955000004 5726806.3846, 540599.4373000003 5726789.961999999, 540771.8063000003 5726762.6614, 540942.1191999996 5726724.5909, 541109.7066000002 5726675.902799999, 541273.9068 5726616.7872, 541434.0698999995 5726547.477700001, 541589.5658 5726468.2487, 541739.7800000003 5726379.412799999, 541884.1196999997 5726281.3199000005, 542022.0153000001 5726174.3572, 542152.9217999997 5726058.946900001, 542276.3239000002 5725935.5448, 542391.7341999998 5725804.6382, 542498.6968999999 5725666.742699999, 542596.7893000003 5725522.403000001, 542685.6256999997 5725372.189300001, 542764.8547 5725216.6929, 542834.1642000005 5725056.529200001, 542893.2792999996 5724892.329600001, 542941.9683999997 5724724.7422, 542980.0378999999 5724554.4288, 543007.3384999996 5724382.0603, 543023.7609999999 5724208.317500001, 543029.2434999999 5724033.887, 543023.7609999999 5723859.456499999, 543007.3384999996 5723685.714199999, 542980.0378999999 5723513.3456999995, 542941.9683999997 5723343.032299999, 542893.2792999996 5723175.4449000005, 542834.1637000004 5723011.2447, 542764.8542 5722851.081599999, 542685.6251999997 5722695.585200001, 542596.7893000003 5722545.3715, 542498.6963999998 5722401.0318, 542391.7336999997 5722263.1362, 542276.3234000001 5722132.229699999, 542152.9211999997 5722008.8276, 542022.0147000002 5721893.417300001, 541884.1191999996 5721786.454600001, 541739.7795000002 5721688.362199999, 541589.5658 5721599.525699999, 541434.0694000004 5721520.296800001, 541273.9062000001 5721450.9878, 541109.7061000001 5721391.872199999, 540942.1187000005 5721343.1841, 540771.8053000001 5721305.113600001, 540599.4368000003 5721277.812999999, 540425.6950000003 5721261.3904, 540251.2640000004 5721255.908500001, 540076.8339999998 5721261.3904, 539903.0906999996 5721277.812999999, 539730.7221999997 5721305.113600001, 539560.4088000003 5721343.1841, 539392.8213999998 5721391.872199999, 539228.6217 5721450.9878, 539068.4581000004 5721520.2973, 538912.9616999999 5721599.5263, 538762.7479999997 5721688.362199999, 538618.4088000003 5721786.4551, 538480.5126999998 5721893.4178, 538349.6062000003 5722008.8281, 538226.2040999997 5722132.2302, 538110.7938000001 5722263.1368, 538003.8311000001 5722401.032299999, 537905.7386999996 5722545.3719999995, 537816.9022000004 5722695.5857, 537737.6738 5722851.0821, 537668.3638000004 5723011.245200001, 537609.2487000003 5723175.4454, 537560.5610999996 5723343.0328, 537522.4901 5723513.3462000005, 537495.1906000003 5723685.7147, 537478.7669000002 5723859.456499999, 537473.2850000001 5724033.887, 537478.7669000002 5724208.318, 537495.1906000003 5724382.0603, 537522.4901 5724554.429300001, 537560.5610999996 5724724.742699999, 537609.2487000003 5724892.3301, 537668.3642999995 5725056.530300001, 537737.6738 5725216.693399999, 537816.9022000004 5725372.189300001, 537905.7386999996 5725522.4035, 538003.8316000002 5725666.7432, 538110.7943000002 5725804.638800001, 538226.2045999998 5725935.545299999, 538349.6067000004 5726058.9474, 538480.5132999998 5726174.3577, 538618.4093000004 5726281.3204, 538762.7484999998 5726379.412799999, 538912.9622 5726468.2491999995, 539068.4590999996 5726547.4782, 539228.6222999999 5726616.787699999, 539392.8218999999 5726675.902799999, 539560.4093000004 5726724.5909, 539730.7226999998 5726762.6614, 539903.0911999997 5726789.961999999, 540076.8339999998 5726806.3846, 540251.2644999996 5726811.8665))"
militaire_gebieden.13,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENLEGGERS",GOEREE,LEGGEN EN VEGEN VAN MIJNEN,"BAZ NR. 1, 2002",NB 9,01-01-2002,oefengebieden,247.20552582,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((549976.1946999999 5752852.6711, 550092.4813999999 5752849.016100001, 550208.3101000004 5752838.068, 550323.2224000003 5752819.867000001, 550436.7647000002 5752794.4866, 550548.4900000002 5752762.0287, 550657.9556999998 5752722.6182, 550764.7318000002 5752676.4120000005, 550868.3958 5752623.592, 550968.5385999996 5752564.367900001, 551064.7644999996 5752498.9726, 551156.6946999999 5752427.664899999, 551243.9665999999 5752350.723999999, 551326.2345000003 5752268.456599999, 551403.1738 5752181.184699999, 551474.4830999998 5752089.2545, 551539.8778999997 5751993.028000001, 551599.1025999999 5751892.8857, 551651.9220000003 5751789.2217999995, 551698.1272 5751682.4462, 551737.5377000002 5751572.9794, 551769.9966000002 5751461.2541000005, 551795.3770000003 5751347.7114, 551813.5769999996 5751232.800100001, 551824.5261000004 5751116.971899999, 551828.1804999998 5751000.6842, 551824.5261000004 5750884.397500001, 551813.5769999996 5750768.5688000005, 551795.3770000003 5750653.6565000005, 551769.9966000002 5750540.1142, 551737.5377000002 5750428.388900001, 551698.1272 5750318.9232, 551651.9215000002 5750212.1471, 551599.102 5750108.483200001, 551539.8778999997 5750008.340299999, 551474.4825999998 5749912.114399999, 551403.1738 5749820.1842, 551326.2340000002 5749732.9123, 551243.966 5749650.644400001, 551156.6946999999 5749573.7051, 551064.7644999996 5749502.3958, 550968.5379999997 5749437.001, 550868.3958 5749377.776900001, 550764.7318000002 5749324.956900001, 550657.9556999998 5749278.751800001, 550548.4894000003 5749239.3412, 550436.7641000003 5749206.882300001, 550323.2219000002 5749181.5019000005, 550208.3095000004 5749163.301899999, 550092.4808 5749152.3528, 549976.1941999998 5749148.6984, 549859.9064999996 5749152.3528, 549744.0788000003 5749163.301899999, 549629.1665000003 5749181.5019000005, 549515.6242000004 5749206.882300001, 549403.8989000004 5749239.3412, 549294.4321999997 5749278.751800001, 549187.6566000003 5749324.9574, 549083.9926000005 5749377.776900001, 548983.8503999999 5749437.001, 548887.6239 5749502.396299999, 548795.6936999997 5749573.7051, 548708.4222999997 5749650.6449, 548626.1544000003 5749732.912900001, 548549.2134999996 5749820.1842, 548477.9057999998 5749912.114399999, 548412.5104999999 5750008.3409, 548353.2863999996 5750108.4837, 548300.4669000003 5750212.1471, 548254.2607000005 5750318.9232, 548214.8502000002 5750428.3895, 548182.3916999996 5750540.114800001, 548157.0114000002 5750653.657, 548138.8108999999 5750768.569399999, 548127.8623000002 5750884.3981, 548124.2078 5751000.684699999, 548127.8623000002 5751116.9724, 548138.8108999999 5751232.800100001, 548157.0119000003 5751347.712400001, 548182.3916999996 5751461.2546999995, 548214.8502000002 5751572.98, 548254.2607000005 5751682.446699999, 548300.4669000003 5751789.2223000005, 548353.2868999997 5751892.886299999, 548412.5109999999 5751993.0286, 548477.9057999998 5752089.255000001, 548549.2139999997 5752181.1852, 548626.1544000003 5752268.456599999, 548708.4222999997 5752350.7245000005, 548795.6941999998 5752427.664899999, 548887.6244000001 5752498.973099999, 548983.8509 5752564.3684, 549083.9932000004 5752623.592499999, 549187.6571000004 5752676.4120000005, 549294.4321999997 5752722.6182, 549403.8995000003 5752762.0287, 549515.6248000003 5752794.487199999, 549629.1675000004 5752819.867000001, 549744.0788000003 5752838.068, 549859.9064999996 5752849.016100001, 549976.1946999999 5752852.6711))"
militaire_gebieden.14,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENLEGGERS",MOLENGAT,LEGGEN EN VEGEN VAN MIJNEN,"BAZ NR. 1, 2002",NB 8,01-01-2002,oefengebieden,556.2124331,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((607593.7981000002 5887293.6799, 607768.2286 5887288.1985, 607941.9714000002 5887271.7743, 608114.3393999999 5887244.474300001, 608284.6538000004 5887206.4043000005, 608452.2412 5887157.7162, 608616.4402999999 5887098.6006000005, 608776.6045000004 5887029.291099999, 608932.0998999998 5886950.062100001, 609082.3146000002 5886861.2257, 609226.6538000004 5886763.1328, 609364.5488 5886656.170600001, 609495.4563999996 5886540.7598, 609618.8585000001 5886417.3576, 609734.2682999996 5886286.451099999, 609841.2304999996 5886148.554500001, 609939.3245000001 5886004.215399999, 610028.1608999996 5885854.001700001, 610107.3892999999 5885698.5053, 610176.6978000002 5885538.341600001, 610235.8143999996 5885374.142000001, 610284.5025000004 5885206.554500001, 610322.5719999997 5885036.2411, 610349.8720000004 5884863.872099999, 610366.2961999997 5884690.129799999, 610371.7775999997 5884515.698799999, 610366.2961999997 5884341.2678, 610349.8720000004 5884167.5265999995, 610322.5714999996 5883995.157500001, 610284.5020000003 5883824.8441, 610235.8139000004 5883657.2567, 610176.6973000001 5883493.056600001, 610107.3887999998 5883332.8934, 610028.1597999996 5883177.397, 609939.3234000001 5883027.1833, 609841.2298999997 5882882.8431, 609734.2677999996 5882744.948100001, 609618.8574999999 5882614.0416, 609495.4552999996 5882490.6394, 609364.5477999998 5882375.228599999, 609226.6522000004 5882268.2664, 609082.3136 5882170.1735, 608932.0988999996 5882081.337099999, 608776.6035000002 5882002.108100001, 608616.4392999997 5881932.7996, 608452.2401999999 5881873.683499999, 608284.6522000004 5881824.9943, 608114.3377999999 5881786.924900001, 607941.9698000001 5881759.6249, 607768.2275 5881743.2017, 607593.7965000002 5881737.7203, 607419.3660000004 5881743.2017, 607245.6232000003 5881759.6249, 607073.2551999995 5881786.9254, 606902.9408 5881824.994899999, 606735.3534000004 5881873.684599999, 606571.1542999996 5881932.7996, 606410.9901 5882002.1086, 606255.4946999997 5882081.3376, 606105.2810000004 5882170.174000001, 605960.9408 5882268.267000001, 605823.0458000004 5882375.229599999, 605692.1392999999 5882490.639900001, 605568.7370999996 5882614.042099999, 605453.3262999998 5882744.949100001, 605346.3640999999 5882882.8441, 605248.2712000003 5883027.1844, 605159.4347999999 5883177.398, 605080.2052999996 5883332.8945, 605010.8973000003 5883493.057600001, 604951.7812000001 5883657.2578, 604903.0921 5883824.844699999, 604865.0225999998 5883995.158600001, 604837.7226 5884167.5276, 604821.2983999997 5884341.269400001, 604815.8169999998 5884515.699899999, 604821.2983999997 5884690.130899999, 604837.7226 5884863.8737, 604865.0230999999 5885036.2422, 604903.0926000001 5885206.555600001, 604951.7823000001 5885374.1435, 605010.8973000003 5885538.342599999, 605080.2057999996 5885698.5068, 605159.4353 5885854.002699999, 605248.2717000004 5886004.216399999, 605346.3646999998 5886148.555600001, 605453.3273 5886286.452199999, 605568.7375999996 5886417.3587, 605692.1403000001 5886540.7608, 605823.0467999997 5886656.1711, 605960.9418000001 5886763.1338, 606105.2821000004 5886861.226199999, 606255.4956999999 5886950.063200001, 606410.9911000002 5887029.2916, 606571.1552999998 5887098.6011, 606735.3543999996 5887157.7162, 606902.9424 5887206.4043000005, 607073.2567999996 5887244.4748, 607245.6248000003 5887271.7743, 607419.3671000004 5887288.1985, 607593.7981000002 5887293.6799))"
militaire_gebieden.15,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENLEGGERS",SCHOUWENBANK,LEGGEN EN VEGEN VAN MIJNEN,"BAZ NR. 1, 2002",NB 4,01-01-2002,oefengebieden,988.82210329,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((516431.47389999963 5742558.2985, 516664.0482000001 5742550.989700001, 516895.7045999998 5742529.092, 517125.5292999996 5742492.691400001, 517352.6138000004 5742441.9318, 517576.06439999957 5742377.0134, 517794.9968999997 5742298.192299999, 518008.54860000033 5742205.7809999995, 518215.87650000025 5742100.1415, 518416.1610000003 5741981.693299999, 518608.61400000006 5741850.9026999995, 518792.4742999999 5741708.2862, 518967.0164999999 5741554.4054000005, 519131.55289999954 5741389.869000001, 519285.43369999994 5741215.3268, 519428.05069999956 5741031.466499999, 519558.84080000035 5740839.013499999, 519677.2889999999 5740638.728499999, 519782.9285000004 5740431.4011, 519875.3398000002 5740217.849400001, 519954.16089999955 5739998.9164, 520019.07830000017 5739775.4662999995, 520069.83889999986 5739548.3818, 520106.23900000006 5739318.5571, 520128.13719999976 5739086.900699999, 520135.44600000046 5738854.3259, 520128.13719999976 5738621.751499999, 520106.23900000006 5738390.0951000005, 520069.83889999986 5738160.270500001, 520019.07830000017 5737933.186000001, 519954.16089999955 5737709.7348, 519875.3398000002 5737490.8029, 519782.9280000003 5737277.2511, 519677.2889999999 5737069.9233, 519558.84080000035 5736869.6382, 519428.0502000004 5736677.185799999, 519285.4331 5736493.3254, 519131.55289999954 5736318.7820999995, 518967.0164999999 5736154.246300001, 518792.4737999998 5736000.3661, 518608.61340000015 5735857.749, 518416.1610000003 5735726.958900001, 518215.87600000016 5735608.5107, 518008.54810000025 5735502.871200001, 517794.9968999997 5735410.459899999, 517576.0639000004 5735331.638800001, 517352.6133000003 5735266.7204, 517125.5292999996 5735215.9608, 516895.7045999998 5735179.560799999, 516664.0482000001 5735157.662599999, 516431.47339999955 5735150.353700001, 516198.8985000001 5735157.662599999, 515967.2421000004 5735179.560799999, 515737.4179999996 5735215.9614, 515510.3323999997 5735266.7204, 515286.8827999998 5735331.638800001, 515067.9497999996 5735410.459899999, 514854.3980999999 5735502.8718, 514647.07079999987 5735608.5107, 514446.7856999999 5735726.958900001, 514254.33380000014 5735857.749500001, 514070.4729000004 5736000.3661, 513895.9291000003 5736154.2468, 513731.3937999997 5736318.7820999995, 513577.5136000002 5736493.3259, 513434.8964999998 5736677.185799999, 513304.10639999993 5736869.638699999, 513185.65770000033 5737069.923800001, 513080.0186999999 5737277.2511, 512987.6069 5737490.8029, 512908.7862999998 5737709.7359, 512843.86789999995 5737933.1865, 512793.10830000043 5738160.271, 512756.7078 5738390.0951000005, 512734.81010000035 5738621.751499999, 512727.50069999974 5738854.326400001, 512734.81010000035 5739086.900699999, 512756.7078 5739318.5571, 512793.10830000043 5739548.3818, 512843.86789999995 5739775.4662999995, 512908.7862999998 5739998.9169, 512987.6069 5740217.849400001, 513080.0186999999 5740431.4011, 513185.65770000033 5740638.729499999, 513304.10639999993 5740839.013499999, 513434.8964999998 5741031.466499999, 513577.5136000002 5741215.3268, 513731.3937999997 5741389.8696, 513895.9297000002 5741554.4059, 514070.4729000004 5741708.2862, 514254.33380000014 5741850.9032000005, 514446.7862 5741981.693299999, 514647.07079999987 5742100.142000001, 514854.39859999996 5742205.7809999995, 515067.95040000044 5742298.1928, 515286.8827999998 5742377.0134, 515510.3323999997 5742441.9318, 515737.4179999996 5742492.691400001, 515967.24260000046 5742529.092, 516198.8996000001 5742550.989700001, 516431.47389999963 5742558.2985))"
militaire_gebieden.16,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENVEGERS",EVERINGEN,LEGGEN EN VEGEN VAN MIJNEN,"BAZ NR. 1, 2002",NB 7,02-01-2002,oefengebieden,77.07431129,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((554175.1560000004 5693948.113, 553491.1607999997 5692827.121200001, 551274.1780000003 5694102.1118, 551958.1727999998 5695223.103700001, 554175.1560000004 5693948.113))"
militaire_gebieden.17,"OEFENGEBIED VOOR MIJNENVEGERS, MIJNENJAGERS EN MIJNENLEGGERS",CALLANTSOOG,-,"BAZ NR. 1, 2002",NB 12,01-01-2002,oefengebieden,1337.4818148,01111,in de bodem t/m op het wateroppervlak,,,"POLYGON ((600961.3881999999 5854696.8884, 593102.0751999998 5854539.271, 592959.3074000003 5861954.862500001, 600806.5816000002 5862112.3792, 600961.3881999999 5854696.8884))"
militaire_gebieden.18,-,GEEN GEGEVENS,GEEN GEGEVENS,AM,EH R08,-,vlieggebieden,19213.9934923,10000,in de lucht,,,"POLYGON ((615468.3844999997 5858731.2311, 613441.7067999998 5849408.7861, 605938.7516999999 5846468.202500001, 603404.4984999998 5845474.969699999, 596599.6880000001 5848116.597200001, 590891.3505999995 5852642.478599999, 590666.5936000003 5864592.3928, 590333.4402000001 5882305.5154, 601372.4127000002 5884696.4486, 604230.2534999996 5883239.1305, 605688.5228000004 5882495.5053, 607077.9408999998 5881786.990800001, 610027.6919 5880282.8036, 612490.2320999997 5879027.065300001, 616805.2977999998 5869336.1544, 615468.3844999997 5858731.2311))"
militaire_gebieden.19,-,MARNEWAARD,Vlieggebied,STAATSCOURANT 185,EHR 2,-,vlieggebieden,431.68836447,10000,in de lucht,,,"POLYGON ((714971.6594000002 5922828.3100000005, 715413.7938000001 5923744.449100001, 715461.7352 5923843.7872, 715765.8844999997 5924474.008199999, 720945.0938999997 5925562.398800001, 721116.1212999998 5925598.3388, 721240.4857000001 5925624.474300001, 721367.6059999997 5924527.4453, 721454.4546999997 5923777.953, 721643.6415999997 5922145.296499999, 716261.8195000002 5921710.8167, 714971.6594000002 5922828.3100000005))"
militaire_gebieden.20,-,Vliehors,Vlieggebied,Staatscourant 185,EHR 4A,-,vlieggebieden,15168.8477858,10000,in de lucht,,,"POLYGON ((637079.3997 5888705.5174, 637051.8689000001 5888690.921800001, 636881.233 5888600.455499999, 636869.7854000004 5888594.6395, 636649.5154999997 5888482.7382, 636415.7770999996 5888369.0831, 636180.0910999998 5888259.5252, 635942.5290999999 5888154.0965, 635703.1634 5888052.8302, 635462.0659999996 5887955.7575, 635219.3119999999 5887862.906199999, 634974.9743999997 5887774.305299999, 634729.1276000002 5887689.9833, 634481.8464000002 5887609.964400001, 634233.2061999999 5887534.2729, 633983.2829 5887462.933, 633732.1539000003 5887395.965299999, 633479.8930000002 5887333.390799999, 633226.5787000004 5887275.229, 632972.2884999998 5887221.4964000005, 632717.0987999998 5887172.209100001, 632461.0880000005 5887127.384, 632204.3338000001 5887087.0329, 631946.9145 5887051.170299999, 631688.9082000004 5887019.805299999, 631430.3943999996 5886992.9474, 631171.4501 5886970.605, 630912.1569999997 5886952.786, 630652.5909000002 5886939.495100001, 630392.8329999996 5886930.7355, 630132.9622999998 5886926.511399999, 629873.0563000003 5886926.8223, 629357.7028999999 5886940.862, 623979.7329000002 5894188.2216, 618355.4029000001 5892561.456499999, 618254.4649 5892690.969699999, 618195.6343999999 5892766.455700001, 618039.4676999999 5892974.2125, 617886.9517999999 5893184.664100001, 617738.1312999995 5893397.7447999995, 617593.0517999995 5893613.389599999, 617451.7589999996 5893831.5348000005, 617314.2939999998 5894052.112400001, 617180.7000000002 5894275.054500001, 617051.017 5894500.2952, 616925.2846999997 5894727.7644, 616803.5418999996 5894957.394099999, 616685.8245999999 5895189.1127, 616572.1695999997 5895422.850500001, 616462.6106000002 5895658.536499999, 616357.1829000004 5895896.0985, 616255.9167 5896135.464299999, 616158.8428999996 5896376.5616, 616065.9916000003 5896619.3157, 615977.3916999996 5896863.652799999, 615893.0696999999 5897109.5001, 615813.0498000002 5897356.781199999, 615737.3594000004 5897605.4209, 615666.0195000004 5897855.343699999, 615599.0511999996 5898106.4738, 615536.4773000004 5898358.7347, 615478.3150000004 5898612.047900001, 615424.5817 5898866.339199999, 615375.2955 5899121.528899999, 615330.4693999998 5899377.5396, 615290.1193000004 5899634.2939, 615254.2561999997 5899891.713199999, 615222.8913000003 5900149.7195, 615196.0339000002 5900408.233200001, 615173.6914999997 5900667.1775, 615165.1484000003 5900791.487600001, 615155.8713999996 5900926.4706999995, 615142.5810000002 5901186.036800001, 615135.8101000004 5901386.8024, 615133.8208999997 5901445.7947, 615129.5963000003 5901705.6654, 615129.9088000003 5901965.5713, 615134.7561999997 5902225.432, 615144.1370999999 5902485.1678, 615158.0514000002 5902744.700200001, 615176.4922000002 5903003.9517, 615199.4549000002 5903262.840600001, 615226.9314000001 5903521.289100001, 615258.9156 5903779.220000001, 615295.3963000001 5904036.5518, 615336.3613 5904293.2097, 615381.8003000002 5904549.1118, 615431.6983000003 5904804.182499999, 615486.0406999998 5905058.343, 615544.8095000004 5905311.5177, 615607.9895000001 5905563.6284, 615675.5585000003 5905814.5962000005, 615747.4974999996 5906064.3467, 615823.7850000001 5906312.805, 615904.3960999995 5906559.893300001, 615989.3077999996 5906805.5372, 616078.4930999996 5907049.6625, 616171.9255999997 5907292.192600001, 616269.5769999996 5907533.056, 616371.4166000001 5907772.1788, 616477.4144000001 5908009.4878, 616587.5367 5908244.9103999995, 616701.7523999996 5908478.3752999995, 616820.0241 5908709.810799999, 616942.3174999999 5908939.147600001, 617068.5947000002 5909166.315300001, 617198.8183000004 5909391.2435, 617332.9461000003 5909613.8663, 617470.9380999999 5909834.113, 617612.7542000003 5910051.918299999, 617758.3496000003 5910267.2159, 617907.6805999996 5910479.9387, 618060.7013999997 5910690.0241, 618217.3645000001 5910897.4057, 618377.6240999997 5911102.022399999, 618541.4301000005 5911303.8104, 618708.733 5911502.710100001, 618879.4811000004 5911698.6588, 619053.6233000001 5911891.5976, 619231.1064999998 5912081.4673999995, 619411.8756999997 5912268.211300001, 619595.8767999997 5912451.7718, 619783.0532999998 5912632.0942, 619973.3483999996 5912809.1205, 620166.7045 5912982.7995, 620363.0626999997 5913153.0787, 620562.3613 5913319.903100001, 620764.5417999998 5913483.225299999, 620969.5427000001 5913642.993799999, 621177.2988999998 5913799.159399999, 621387.7494999999 5913951.675899999, 621600.8306999998 5914100.4968, 621816.4759999998 5914245.576400001, 622034.6211999999 5914386.8686999995, 622255.1978000002 5914524.333699999, 622478.1409999998 5914657.928200001, 622703.3816999998 5914787.611199999, 622930.8514 5914913.3434999995, 623160.4800000004 5915035.0857, 623392.1990999999 5915152.802999999, 623625.9369999999 5915266.4581, 623861.6229999997 5915376.017100001, 624099.1849999996 5915481.444700001, 624338.5513000004 5915582.7115, 624579.6475 5915679.7853, 624822.4016000004 5915772.636600001, 625066.7396999998 5915861.236400001, 625312.5865000002 5915945.5583999995, 625559.8677000003 5916025.5768, 625808.5067999996 5916101.2688, 626058.4301000005 5916172.608200001, 626309.5607000003 5916239.576400001, 626561.8206000002 5916302.1504, 626815.1349 5916360.313200001, 627069.4250999996 5916414.0459, 627324.6147999996 5916463.3321, 627580.6261 5916508.157199999, 627837.3808000004 5916548.508300001, 628094.7995999996 5916584.3714000005, 628352.8054 5916615.737400001, 628611.3202 5916642.594799999, 628870.2633999996 5916664.9362, 629129.5576 5916682.7563000005, 629389.1227000002 5916696.0472, 629648.8805999998 5916704.8061999995, 629908.7522999998 5916709.031400001, 630168.6578000002 5916708.7194, 630428.5179000003 5916703.8719999995, 630688.2548000002 5916694.490499999, 630947.7877000002 5916680.5768, 631207.0376000004 5916662.135399999, 631465.9265999999 5916639.172800001, 631724.3760000002 5916611.6962, 631982.3059 5916579.712099999, 632239.6387999998 5916543.2324, 632496.2955999998 5916502.2663, 632752.1988000004 5916456.827400001, 633007.2693999996 5916406.929400001, 633261.4299999997 5916352.586999999, 633514.6047 5916293.8171, 633766.7138 5916230.6382, 634017.6831 5916163.069700001, 634267.4342 5916091.1302000005, 634515.892 5916014.8432, 634762.9808 5915934.2315, 635008.6248000003 5915849.3204, 635252.7483999999 5915760.1346, 635495.2801000001 5915666.702, 635736.1435000002 5915569.0507, 635975.2652000003 5915467.211100001, 636212.5747999996 5915361.213300001, 636447.9972999999 5915251.091, 636681.4616999999 5915136.8752999995, 636912.8982999995 5915018.603599999, 637142.2345000003 5914896.309599999, 637369.4023000002 5914770.0329, 637594.3310000002 5914639.8104, 637816.9527000003 5914505.6821, 638037.2005000003 5914367.6885, 638255.0053000003 5914225.873500001, 638470.3022999996 5914080.278000001, 638683.0257000001 5913930.947000001, 638893.1106000002 5913777.926200001, 639100.4927000003 5913621.262599999, 639305.1094000004 5913461.0030000005, 639506.8979000002 5913297.1976, 639705.7976000002 5913129.8947, 639901.7448000005 5912959.146, 640094.6846000003 5912785.0043, 640284.5548999999 5912607.521199999, 640471.2982999999 5912426.7519000005, 640654.8587999996 5912242.7509, 640773.1853 5912119.9263, 640835.1801000005 5912055.573799999, 641012.2074999996 5911865.2787999995, 641185.8865 5911671.922599999, 641356.1645999998 5911475.5649999995, 641522.9906000001 5911276.2663, 641686.3118000003 5911074.0858, 641846.0806999998 5910869.085999999, 642002.2463999996 5910661.328199999, 642154.7633999996 5910450.8771, 642303.5838000001 5910237.796399999, 642448.6623 5910022.1511, 642589.9556999998 5909804.0064, 642727.4206999997 5909583.429300001, 642861.0141000003 5909360.4867, 642990.6971000005 5909135.245999999, 643116.4293999998 5908907.7763, 643238.1727 5908678.147600001, 643355.8904999997 5908446.4285, 643469.5449999999 5908212.6907, 643579.1035000002 5907977.0041000005, 643684.5317000002 5907739.4421, 643785.7984999996 5907500.076400001, 643882.8711999999 5907258.9801, 643975.7225000001 5907016.225, 644064.3229 5906771.8879, 644148.6453999998 5906526.0406, 644228.6637000004 5906278.759400001, 644304.3547 5906030.1197999995, 644375.6951000001 5905780.1975, 644442.6623 5905529.0669, 644505.2374 5905276.8071, 644563.4002 5905023.492799999, 644617.1323999995 5904769.2015, 644666.4190999996 5904514.012800001, 644711.2440999998 5904258.0011, 644751.5942000002 5904001.2468, 644787.4583999999 5903743.827500001, 644818.8228000002 5903485.8223, 644845.6813000003 5903227.307399999, 644863.1377999997 5903024.989399999, 644868.0236999998 5902968.3642, 644885.8421999998 5902709.07, 644899.1336000003 5902449.505000001, 644907.8926999997 5902189.747099999, 644912.1173 5901929.8752999995, 644911.8059 5901669.969900001, 644906.9583999999 5901410.1097, 644897.5765000004 5901150.3729, 644883.6632000003 5900890.841, 644865.2224000003 5900631.59, 644842.2597000003 5900372.701099999, 644814.7821000004 5900114.251599999, 644782.7984999996 5899856.321699999, 644746.3178000003 5899598.9888, 644705.3521999996 5899342.3321, 644659.9133000001 5899086.4288, 644610.0153000001 5898831.358200001, 644555.6733999997 5898577.1976, 644496.9035 5898324.023, 644433.7252000002 5898071.913799999, 644366.1551000001 5897820.945, 644294.2171 5897571.194, 644217.9296000004 5897322.7367, 644137.3174 5897075.647299999, 644052.4068 5896830.0034, 643963.2209999999 5896585.8793, 643869.7884999998 5896343.348099999, 643772.1370999999 5896102.4847, 643670.2975000003 5895863.3619, 643564.2997000003 5895626.053400001, 643454.1764000002 5895390.6314, 643339.9616999999 5895157.1665, 643221.6890000002 5894925.729800001, 643099.3960999995 5894696.393100001, 642973.1189000001 5894469.2259, 642842.8963000001 5894244.2971, 642708.7685000002 5894021.6754, 642570.7755000005 5893801.4277, 642428.9589 5893583.6229, 642283.3634000001 5893368.325300001, 642134.0334999999 5893155.602, 641981.0126999998 5892945.5176, 641824.3485000003 5892738.135500001, 641664.0894999998 5892533.5188, 641500.284 5892331.7303, 641431.3881000001 5892249.8234, 641332.9811000004 5892132.8311, 641162.233 5891936.8829, 640988.0913000004 5891743.943600001, 640810.6075999998 5891554.0733, 640629.8383999998 5891367.3299, 640445.8361999998 5891183.769400001, 640258.6607999997 5891003.4486, 640068.3646999998 5890826.420700001, 639875.0096000005 5890652.7422, 639678.6524999999 5890482.4636, 639479.3528000005 5890315.6381, 639277.1716999998 5890152.3159, 639072.1720000003 5889992.548, 638864.4151999997 5889836.3818, 638653.9634999996 5889683.8653, 638440.8833999997 5889535.044399999, 638225.2380999997 5889389.9659, 638007.0928999996 5889248.672499999, 637786.5152000003 5889111.2075, 637563.5721000005 5888977.614, 637338.3323999997 5888847.9311, 637110.8631999996 5888722.198799999, 637079.3997 5888705.5174))"
