OBJECTID,BORNAME,ELEMENTNUMMER,BEHEERGROEP,AANLEGJAAR,SCHOUWVAK,PEILGEBIED,OPPERVLAK,AMBITIENIVEAU,STRUCTUURGEBIED,BESCHOEIING,BEHEERDER,EIGENAAR,ONDERHOUDSPLOEG,FUNCTIE,AANWIJINGEN_UITVOERING,STRUCTUURNIVEAU,BEGROTINGSPOST,BESTEMMING,OPMERKINGEN,EXTRA_INFORMATIE_1,EXTRA_INFORMATIE_2,EXTRA_INFORMATIE_3,GROENGEBIEDCODE,GROENGEBIEDNAAM,GEMEENTE,WOONPLAATS,BUURT,WIJK,STRAAT,STRAATCODE,LIGGING,BEHEEROBJECTSOORT,BEHEEROBJECTOMSCHRIJVING,LAATSTE_MUTATIE,Shape__Area,Shape__Length
14,wateren,12146,Water niet maaien,,,,2847.24,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,,,,01.16.0002,De Grote Plas,Delft,Delft,De Grote Plas,16 Delftse Hout,Middelweg,6254,Binnen de bebouwde kom,wtr,01.16.0002.wr12146,"12 january   2022, 14:44:25",7506.69506835938,1413.44575098218
15,wateren,11819,Water niet maaien,,,,29.59,B (voldoende) - R (basis),,,HH-schap Delfland,HH-schap Delfland,,,,Perceel 1,,,,,,,01.12.0005,Bomenwijk,Delft,Delft,Bomenwijk,12 Vrijenban,Van Lodensteynstraat,3115,Binnen de bebouwde kom,wtr,01.12.0005.wr11819,"12 january   2022, 14:44:25",78.006591796875,36.4923096047863
16,wateren,11627,Water niet maaien,,,,3735.33,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.13.0001.0814,2 zijdig maaien,,01.13.0008,Park - Agnetapark,Delft,Delft,Agnetaparkbuurt,13 Hof van Delft,Van Foreestweg,1511,Binnen de bebouwde kom,wtr,01.13.0008.wr11627,"12 january   2022, 14:44:25",9846.99658203125,689.722074796945
17,wateren,11951,Water 1x maaien,2020,,,3668.87,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,2,,01.24.0002,Bedrijventerrein Voorhof,Delft,Delft,Bedrijventerrein Voorhof,24 Voorhof,Nieuwe Gracht,1132,Binnen de bebouwde kom,wtr,01.24.0002.wr11951,"12 january   2022, 14:45:38",9665.7646484375,1820.58851682036
18,wateren,3898,Water 1x maaien,,,,326.36,C (matig) - R- (sober),,,BOR,,,,,Perceel 1,,,,01.28.0005.0392,2 zijdig maaien,Louis,01.28.0005,TU-Campus,Delft,Delft,TU-Campus,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,wtr,01.28.0005.wr3898,"12 january   2022, 14:44:24",859.580810546875,282.18127825022
19,wateren,3899,Water niet maaien,,,,101.51,C (matig) - R- (sober),,,HH-schap Delfland,,,,,Perceel 1,,,,01.28.0002.1221,2 zijdig maaien,,01.28.0002,Wippolder-noord,Delft,Delft,Wippolder-Noord,28 Wippolder,Michiel de Ruyterweg,3417,Binnen de bebouwde kom,wtr,01.28.0002.wr3899,"12 january   2022, 14:44:24",267.521728515625,142.095235921055
20,wateren,5,Greppel,,,,13.76,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0004,Fledderusbuurt,Delft,Delft,Fledderusbuurt,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0004.wr5,"12 january   2022, 14:45:38",36.22509765625,47.411936289919
21,wateren,6,Greppel,,,,46.33,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0004,Fledderusbuurt,Delft,Delft,Fledderusbuurt,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0004.wr6,"12 january   2022, 14:45:38",122.009033203125,197.999385235411
22,wateren,7,Greppel,,,,4.13,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0004,Fledderusbuurt,Delft,Delft,Fledderusbuurt,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0004.wr7,"12 january   2022, 14:45:38",10.887451171875,16.1475161583978
23,wateren,4,Greppel,,,,29.42,C (matig) - R- (sober),,,BOR,Gemeente Delft,,,,Perceel 2,,,,,,,01.25.0003,Gillisbuurt,Delft,Delft,,25 Buitenhof,Prinses Beatrixlaan,4324,Binnen de bebouwde kom,wtr,01.25.0003.wr4,"12 january   2022, 14:45:38",77.48388671875,104.610777639623
