objectid;boomnummer;geovisia_id;eigenaar;beheerder;boomsoort;boomsoort_varieteit;boomsoort_nederlands;eindbeeld;hoogte;plantjaar;status_ter_indicatie;boom_def_afwezig;plantwijze;boomrooster;verlichting;epr_aanwezig;epr_preventief_inspecteren;epr_bestrijdingsmethode;epr_stadium;epr_datum_constatering;epr_risicoprofiel;epr_datum_mech_bestreden;epr_datum_1_bio_bestrijding;epr_datum_2_bio_bestrijding;nazorgboom;projectnaam;geo_shape;geo_point_2d
21591;68745.0;F8A590D6-0E24-4843-8AA2-63A3CD0644B0;BOR;BOR Stedelijk;Quercus robur;Onbekend;Zomereik;TR 4.20;12-15;1960;Waardevol;False;Bomenrij;False;;;;Geen biologische bestrijding;;;Veel risico mensen;;;;;;"{""coordinates"": [5.45019229085204, 51.48358815593857], ""type"": ""Point""}";51.48358815593857, 5.45019229085204
21594;70584.0;BA5F8C3C-40AB-4CF5-B5F6-B9EAA8948B82;BOR;BOR Stedelijk;Gleditsia triacanthos;Sunburst;Valse christusdoorn cv;TR 4.20;12-15;1990;;False;Bomenrij;False;;;;;;;;;;;;;"{""coordinates"": [5.501553158196358, 51.4269337199127], ""type"": ""Point""}";51.4269337199127, 5.501553158196358
21601;69271.0;87B3ECB1-EC7E-46C2-B47E-7405F28140AA;BOR;BOR Stedelijk;Acer pseudoplatanus;Onbekend;Gewone esdoorn cv;TR 4.20;0-6;2015;;False;Solitair;False;False;;;;;;;;;;;;"{""coordinates"": [5.521683480181794, 51.44998115824231], ""type"": ""Point""}";51.44998115824231, 5.521683480181794
21605;73587.0;F5FF184E-DCCF-437A-B91A-7E454E8B0CCB;BOR;BOR Stedelijk;Acer platanoides;Cleveland;;TR 4.20;6-9;1970;Waardevol;False;Bomenrij;False;False;;;;;;;;;;;;"{""coordinates"": [5.520566268777686, 51.4481167091378], ""type"": ""Point""}";51.4481167091378, 5.520566268777686
21610;69298.0;0E278100-596E-441A-ACAE-BAC8E420CDBC;BOR;BOR Stedelijk;Amelanchier arborea;Robin Hill;Krentenboom;TR 4.20;0-6;2015;;False;Bomenrij;False;False;;;;;;;;;;;;"{""coordinates"": [5.450344591853133, 51.448399936833376], ""type"": ""Point""}";51.448399936833376, 5.450344591853133
21618;65578.0;B0B32409-3CE7-4275-B598-81EC0DAAC2C4;BOR;BOR Stedelijk;Acer campestre;Elsrijk;Veldesdoorn cv;TR 4.20;0-6;2010;;False;Bomenrij;False;;;;;;;;;;;;;"{""coordinates"": [5.51635044647369, 51.42554849712876], ""type"": ""Point""}";51.42554849712876, 5.51635044647369
21619;64315.0;C3DA45CE-95C0-450B-B9DC-4C4379DECEAE;BOR;BOR Stedelijk;Quercus petraea;Onbekend;Wintereik;TR 4.20;12-15;1976;Waardevol;False;Solitair;False;False;;;Biologische bestrijding Bacillus;;;Veel risico mensen;;2022-05-18T02:00:00+00:00;;;;"{""coordinates"": [5.5135707117996775, 51.45295737313017], ""type"": ""Point""}";51.45295737313017, 5.5135707117996775
21625;73023.0;5ECBD901-F142-4165-BB36-D41417571605;BOR;BOR Natuur;Pinus sylvestris;Geen;Grove den;Vrij uitgroei;9-12;1975;Waardevol;False;Wildverband;False;;;;;;;;;;;;;"{""coordinates"": [5.513692398282426, 51.457732711924905], ""type"": ""Point""}";51.457732711924905, 5.513692398282426
21626;78197.0;BBEE958A-3F88-48AD-A9F0-6EFF73B4E0A0;BOR;BOR Stedelijk;Pyrus calleryana;Chanticleer;Sierpeer cv;TR 3.00;6-9;2008;;False;Bomenrij;False;False;;;;;;;;;;;;"{""coordinates"": [5.4693488879793435, 51.429071917288134], ""type"": ""Point""}";51.429071917288134, 5.4693488879793435
21627;78199.0;B5542E30-1138-43F1-9CEA-E31F859697EA;BOR;BOR Stedelijk;Populus alba;Geen;Witte abeel;TR 3.00;18-24;1960;Waardevol;False;Wildverband;False;False;;;;;;;;;;;;"{""coordinates"": [5.442738136182493, 51.41281712570837], ""type"": ""Point""}";51.41281712570837, 5.442738136182493
