OBJECTID,GUID,REF_FYSIEKE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,REF_FUNC_SPOORTAK_NAAM_LANG,SPOORSTAAF_LINKS_RECHTS
1,bfab7e8e-9ec2-37d4-86db-888eaa49e34a,1b299246-d50e-4afd-baf5-4f0d5ff946fc,187P,534.498611,251412.445,475728.667,21.44,251846.352,475428.711,21.514,543,c,543,543_c,Hengelo,Zp-Esg,Zutphen - Enschede Grens ,45.503063,"45,503063",46.024532,"46,024532",ProRail,Noord-Oost,NO,Baan,Twente,410,Twente,32,VolkerRail,Oost,543_187P_45.5,Rechts
3,51feda31-5dd7-1676-9e26-77b214538e5c,691d4e0f-8b5c-4527-bfaa-04793b89e136,477R,52.933129,119670.164,489150.00186038,6.82846611,119617.231,489149.885,6.647,525,c,525,525_c,Amsterdam Singelgracht Aansl.,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,180.7,"180,700000",180.647008,"180,647008",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Midden,525_477R_78.9,Rechts
6,fe7a5472-efc0-e273-2b6c-f65c3bccfa99,94b28fd5-a0fe-4d74-8e24-9fb8546dcd65,1113BV,523.020483,106131.461,424098.466,0.247,105805.939,424460.342,-0.053,542,a,542,542_a,Dordrecht,Bd-Rtd,Breda - Rotterdam Centraal ,28.5,"28,500000",29.020671,"29,020671",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,119_1113BV_28.2,Rechts
7,c9772a90-f8e8-99fe-c46c-30eb55cd8f35,17946b5b-5b32-4afc-bd2a-10d2a2552a54,ST_X0591,958.548689,63635.522,438954.442,5.407,62732.097,438634.069,5.214,950,e,950,950_e,Barendrecht Vork - Rotterdam Maasvlakte,Bot-Mvt,"Rotterdam, Botlek - Rotterdam, Emplacement Maasvlakte",38.466821,"38,466821",39.425586,"39,425586",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_ST_X0591_38.5,Rechts
8,4eb45d6e-2487-97d0-5efe-fb2a56a5fae8,ba7e78f5-41f9-48ea-8fa0-bd15d5b891f1,869BL,35.108744,162566.238,383965.619,17.707,162532.462,383956.104,17.653,618,b,618,618_b,Eindhoven,Vl-Ehv,Venlo - Eindhoven ,50.423872,"50,423872",50.457963,"50,457963",ProRail,Zuid,Z,Baan,De Peel,300,Eindhoven,24,ASSET Rail,Zuid-Oost,618_869BL_50.4,Rechts
10,d14568fc-1bee-489a-aca2-fe4a23852e09,d8e5c999-5cd0-4996-a468-a871b001b457,933R,19.825576,99429.49586413,411252.15827006,2.8050726,99428.554,411271.961,2.758,801,f,801,801_f,Moerdijk Industrieterrein,Mdw-Cih,Middenweg - Centrale Insteekhaven ,500.000039,"500,000039",500.019053,"500,019053",Derden - Overig - Coatex en Omya,Zuid,Z,Baan,Zeeland,310,Roosendaal,19,Strukton Rail,Zuid-West,801_933R_302.1,Rechts
11,ab230795-c428-46ef-90e1-5cfc995374ef,35890eb7-ad36-454a-9258-be940577a03e,59AS,115.428988,39004.574,387506.386,5.554,38946.059,387605.796,5.704,817,h,817,817_h,Vlissingen Sloehaven,Frkw-Qh,Frankrijkweg - Quarleshaven ,310.637027,"310,637027",310.751598,"310,751598",Strukton Rail Short Line,Zuid,Z,Baan,Zeeland,310,Goes,18,Strukton Rail,Zuid-West,817_59AS_310.6,Rechts
12,015b184c-378e-37ba-2476-933fed4a6cc8,89fcc636-c383-4b29-b87e-148e94e05aef,1379AL,33.715713,158402.647,386351.17,18.808,158425.684,386326.552,18.931,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,54.663404,"54,663404",54.697154,"54,697154",ProRail,Zuid,Z,Baan,Brabant,330,Boxtel,23,ASSET Rail,Zuid-West,054_1379AL_54.6,Rechts
13,6a587bc7-075d-c862-ca32-975558d750d3,6b405db6-6f2c-4cff-af41-beb32caeef47,482V,1.561565,88632.636,433036.594,3.037,88634.099,433036.048,3.037,468,g,468,468_g,Rotterdam Eemhaven,Whz-Rdhw,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam Den Hamweg ",400.45402,"400,454020",400.452459,"400,452459",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,468_482V_400.5,Rechts
16,2ceb378b-2b6a-4f95-bad6-621c0088e050,f662c76c-3f11-48c0-a1bf-e012f3dd842a,12R,47.496998,263835.354,471188.548,39.739,263788.44984122,471196.02895412,39.739,028,,28,028__,Hengelo - Enschede Grens,Zp-Esg,Zutphen - Enschede Grens ,59.727,"59,727000",59.679819,"59,679819",Derden - Overig - DB Netz,,,Baan,,,,,,,778_12R_56.3,Rechts
