FID,id,jaar,soortnaam_opname,soortnaam_uniform,datum,x,y,tijd,substraat,lengte__m_,breedte__m_,oppervlak__m2__1,naam_waterlichaam,deelwaterlichaam,waterlochaam_code,gdb_geomattr_data,shape
biezen_2020.1227,2020-017,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103940.239678,440846.085606,10:19:35,Stortsteen,5,2,10,Hollandsche IJssel,,NL94_7,,POINT (103940.23970000073 440846.0855999999)
biezen_2020.1228,2020-018,2020,Schoenoplectus lacustris,Schoenoplectus lacustris,2020-08-25T00:00:00,103922.0074,440834.885967,10:20:28,Stortsteen,1,1,1,Hollandsche IJssel,,NL94_7,,POINT (103922.0073999986 440834.88599999994)
biezen_2020.1229,2020-019,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103927.580746,440837.084104,10:20:58,Stortsteen,1,1,1,Hollandsche IJssel,,NL94_7,,POINT (103927.58069999889 440837.08410000056)
biezen_2020.1230,2020-020,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103856.9239,440828.978967,10:22:15,Slib,12,2,24,Hollandsche IJssel,,NL94_7,,POINT (103856.92390000075 440828.9789999984)
biezen_2020.1231,2020-021,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103821.616879,440823.192719,10:23:06,Slib,10,3,30,Hollandsche IJssel,,NL94_7,,POINT (103821.61690000072 440823.1926999986)
biezen_2020.1232,2020-022,2020,Schoenoplectus lacustris,Schoenoplectus lacustris,2020-08-25T00:00:00,103818.0054,440824.437833,10:23:55,Slib,4,2,8,Hollandsche IJssel,,NL94_7,,POINT (103818.00539999828 440824.43780000135)
biezen_2020.1233,2020-023,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103802.600833,440824.790067,10:25:15,Slib,8,1,8,Hollandsche IJssel,,NL94_7,,POINT (103802.60080000013 440824.7901000008)
biezen_2020.1234,2020-024,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103704.977765,440819.03113,10:27:01,Slib,8,1,8,Hollandsche IJssel,,NL94_7,,POINT (103704.97780000046 440819.0311000012)
biezen_2020.1235,2020-025,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103691.550465,440814.331557,10:27:47,Slib,6,1,6,Hollandsche IJssel,,NL94_7,,POINT (103691.55050000176 440814.3315999992)
biezen_2020.1236,2020-026,2020,Schoenoplectus lacustris,Schoenoplectus lacustris,2020-08-25T00:00:00,103674.000733,440803.3427,10:28:30,Slib,3,1,3,Hollandsche IJssel,,NL94_7,,POINT (103674.00070000067 440803.34270000085)
biezen_2020.1237,2020-027,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103636.828213,440775.779023,10:29:14,Slib,25,2,50,Hollandsche IJssel,,NL94_7,,POINT (103636.82820000127 440775.77899999917)
biezen_2020.1238,2020-028,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103582.1181,440741.954833,10:29:55,Slib,12,2,24,Hollandsche IJssel,,NL94_7,,POINT (103582.11809999868 440741.95479999855)
biezen_2020.1239,2020-029,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103562.083067,440729.283767,10:30:47,Slib,15,4,60,Hollandsche IJssel,,NL94_7,,POINT (103562.08309999853 440729.28379999846)
biezen_2020.1240,2020-030,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103565.058667,440713.531667,10:31:27,Slib,6,2,12,Hollandsche IJssel,,NL94_7,,POINT (103565.058699999 440713.53170000017)
biezen_2020.1241,2020-031,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103495.421853,440688.03691,10:34:16,Slib,20,4,80,Hollandsche IJssel,,NL94_7,,POINT (103495.42190000042 440688.0368999988)
biezen_2020.1242,2020-032,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103472.352521,440469.004033,10:37:21,Slib,10,1,10,Hollandsche IJssel,,NL94_7,,POINT (103472.3524999991 440469.00400000066)
biezen_2020.1243,2020-033,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103460.672435,440399.9988,10:38:38,Slib,12,4,48,Hollandsche IJssel,,NL94_7,,POINT (103460.67240000144 440399.9987999983)
biezen_2020.1244,2020-034,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103452.667566,440383.569016,10:39:17,Slib,6,2,12,Hollandsche IJssel,,NL94_7,,POINT (103452.66759999841 440383.5689999983)
biezen_2020.1245,2020-035,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103441.647633,440357.0352,10:40:01,Slib,5,4,20,Hollandsche IJssel,,NL94_7,,POINT (103441.64759999886 440357.0351999998)
biezen_2020.1246,2020-036,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103433.714054,440326.191584,10:40:40,Slib,15,7,105,Hollandsche IJssel,,NL94_7,,POINT (103433.71409999952 440326.1915999986)
biezen_2020.1247,2020-037,2020,Bolboschoenus laticarpus,Bolboschoenus maritimus/laticarpus,2020-08-25T00:00:00,103411.062,440045.9998,10:43:44,Stortsteen,7,4,28,Hollandsche IJssel,,NL94_7,,POINT (103411.06199999899 440045.99980000034)
