OBJECTID,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,REF_DIENSTREGELPUNT_PUIC
1,Zoetermeer Oost,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ztmo,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d4975498-6f9a-4f52-93f7-ada3b5b836ad,ZTMO,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Zoetermeer Oost,Den Haag HS,224e4220-f518-4343-89e1-0a7437f73d6e
2,Voorburg,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Vb,Ja,Stop-station,Gd-Gvc,Gouda - Den Haag Centraal ,107,,107,107__,Moordrecht Aansl. - Den Haag Binckhorst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,,Den Haag HS,951fbc4c-56d9-49ee-9144-8069d20c11fc
3,Den Haag Binckhorst,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Bkh,Ja,Goederen emplacement,Bkh-Gv,Den Haag Binckhorst - Den Haag HS ,564,d,564,564_d,Den Haag Binckhorst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,78125bc9-75e5-41d1-9585-d4eee139a25f,BKH,bde0944a-d3df-446d-85b1-60b8789b4eb1,GV,Den Haag Binckhorst,Den Haag HS,d4cb321c-5af9-4f94-93b2-842810a22901
4,Grijpskerk aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Gka,Ja,OA Overloop-aansluiting,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cf9c42f1-c9d9-493d-8c47-2a54aee013bb,GKA,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Grijpskerk aansl.,Groningen,8ef36ac8-5f33-456b-bf85-6e654d33c9bf
5,"Reitdiep, brug o/h - bij Groningen",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Rdp,Ja,BR Beweegbare brug,Gn-Dz,Groningen - Delfzijl ,006,,6,006__,Groningen - Sauwerd,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,381751cc-2730-415b-be73-e182e709be15
6,Wildervank,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Wdv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,c0b18037-9276-499c-99bf-583bfe7feea9
7,Bareveld,Station,Nederland,Onbekend,Nee,Nee,Nee,Nee,Brv,Nee,Stop-station,Skn-Zb,Stadskanaal Hoofdstation - Zuidbroek ,305,,305,305__,Stadskanaal Hoofdstation - Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,92428a84-7c1e-40fb-8f38-6bd9bbbaa33c
8,Leeuwarden Camminghaburen,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Lwc,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,002,,2,002__,Leeuwarden - Groningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,ddd3cd78-955d-40f5-a0e2-b8e52164cf24
9,Kropswolde,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Kw,Ja,Stop-station,Hlg-Nscg,Harlingen - Nieuweschans Grens ,004,,4,004__,Waterhuizen Aansl. - Zuidbroek,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,18e2bdf0-d7dd-44c2-8cd1-87fddece5346
10,"Harinxmakanaal, brug o/h van - tussen Leeuwarden en Grou-Jirnsum",Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Hrmk,Ja,BR Beweegbare brug,Zl-Lw,Zwolle - Leeuwarden ,009,,9,009__,Meppel - Leeuwarden,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,,Groningen,85e32dc0-015e-433f-996f-1e142ec65a45
