;9100 - GWW;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9520 - BZK specifiek;9550 - Fin specifiek;Eindtotaal
VWR International B.V.;;;;4;;;4
WaarborgHolland B.V.;;;;;;3;3
Westburg B.V.;;;2;;;;2
Westfalen Gassen Nederland B.V.;;;2;;;;2
Wijn- en Whisky Specialist van der Boog;;;;;;1;1
Wilten Instrumenten;;;;1;;;1
Xerox (Nederland) B.V.;;;;;;1;1
XRAY Automotive B.V.;;;;;;1;1
Xtend studievereniging ICA;;;;;;1;1
Zematra B.V.;;;;1;;;1
Zep Industries B.V.;;;1;;;;1
ZiuZ Holding B.V.;;;1;;;;1
ZWL Expertise Centrum B.V.;;;;;;2;2
Eindtotaal;2;1;4;7;4;9;9
