systeem;feitgroep;projcode;mate;aantal;initieelbedrag;;;;;;;A4 (Hoofddorp rechts);KL0601
WAHV ;Snelheid;KL0610;E 25_tem_30km;432;89.850;;;;;;;;
WAHV ;Snelheid;KL0610;F 31_tem_39km;266;69.515;;;;;;;;
WAHV ;Snelheid;KL0611;A tem_10km;85.965;3.066.719;;;;;;;;
WAHV ;Snelheid;KL0611;B 11_tem_15km;9.635;867.709;;;;;;;;
WAHV ;Snelheid;KL0611;C 16_tem_20km;3.464;442.147;;;;;;;;
WAHV ;Snelheid;KL0611;D 20_tem_25km;1.397;242.405;;;;;;;;
WAHV ;Snelheid;KL0611;E 25_tem_30km;728;146.383;;;;;;;;
WAHV ;Snelheid;KL0611;F 31_tem_39km;388;93.940;;;;;;;;
WAHV ;Snelheid;KL0612;A tem_10km;79.057;2.836.742;;;;;;;;
WAHV ;Snelheid;KL0612;B 11_tem_15km;14.802;1.370.768;;;;;;;;
WAHV ;Snelheid;KL0612;C 16_tem_20km;6.001;793.479;;;;;;;;
WAHV ;Snelheid;KL0612;D 20_tem_25km;1.580;274.577;;;;;;;;
WAHV ;Snelheid;KL0612;E 25_tem_30km;702;143.611;;;;;;;;
WAHV ;Snelheid;KL0612;F 31_tem_39km;439;102.743;;;;;;;;
WAHV ;Snelheid;KL0613;A tem_10km;76.889;2.705.376;;;;;;;;
WAHV ;Snelheid;KL0613;B 11_tem_15km;12.431;1.149.549;;;;;;;;
WAHV ;Snelheid;KL0613;C 16_tem_20km;5.074;662.202;;;;;;;;
WAHV ;Snelheid;KL0613;D 20_tem_25km;1.363;239.698;;;;;;;;
WAHV ;Snelheid;KL0613;E 25_tem_30km;531;108.344;;;;;;;;
WAHV ;Snelheid;KL0613;F 31_tem_39km;322;80.236;;;;;;;;
WAHV ;Snelheid;KL0614;A tem_10km;126.450;4.114.807;;;;;;;;
WAHV ;Snelheid;KL0614;B 11_tem_15km;15.409;1.301.046;;;;;;;;
WAHV ;Snelheid;KL0614;C 16_tem_20km;6.154;704.409;;;;;;;;
WAHV ;Snelheid;KL0614;D 20_tem_25km;1.953;285.193;;;;;;;;
WAHV ;Snelheid;KL0614;E 25_tem_30km;1.056;171.090;;;;;;;;
WAHV ;Snelheid;KL0614;F 31_tem_39km;817;150.939;;;;;;;;
WAHV ;Snelheid;KL0615;A tem_10km;91.541;2.922.679;;;;;;;;
WAHV ;Snelheid;KL0615;B 11_tem_15km;10.399;851.327;;;;;;;;
WAHV ;Snelheid;KL0615;C 16_tem_20km;4.163;451.020;;;;;;;;
WAHV ;Snelheid;KL0615;D 20_tem_25km;1.296;182.924;;;;;;;;
WAHV ;Snelheid;KL0615;E 25_tem_30km;668;102.584;;;;;;;;
WAHV ;Snelheid;KL0615;F 31_tem_39km;545;94.104;;;;;;;;
WAHV ;Snelheid;KL0618;A tem_10km;39.446;1.265.322;;;;;;;;
WAHV ;Snelheid;KL0618;B 11_tem_15km;2.788;283.782;;;;;;;;
WAHV ;Snelheid;KL0618;C 16_tem_20km;1.163;167.828;;;;;;;;
WAHV ;Snelheid;KL0618;D 20_tem_25km;483;90.024;;;;;;;;
WAHV ;Snelheid;KL0618;E 25_tem_30km;245;54.577;;;;;;;;
WAHV ;Snelheid;KL0618;F 31_tem_39km;102;24.393;;;;;;;;
WAHV ;Snelheid;KL0619;A tem_10km;38.545;1.306.523;;;;;;;;
WAHV ;Snelheid;KL0619;B 11_tem_15km;2.224;229.110;;;;;;;;
WAHV ;Snelheid;KL0619;C 16_tem_20km;895;129.470;;;;;;;;
WAHV ;Snelheid;KL0619;D 20_tem_25km;358;64.155;;;;;;;;
WAHV ;Snelheid;KL0619;E 25_tem_30km;181;39.775;;;;;;;;
WAHV ;Snelheid;KL0619;F 31_tem_39km;92;21.479;;;;;;;;
WAHV ;Snelheid;KL0620;A tem_10km;279.547;9.545.191;;;;;;;;
WAHV ;Snelheid;KL0620;B 11_tem_15km;49.688;4.279.139;;;;;;;;
WAHV ;Snelheid;KL0620;C 16_tem_20km;23.140;2.840.291;;;;;;;;
WAHV ;Snelheid;KL0620;D 20_tem_25km;11.701;1.937.862;;;;;;;;
WAHV ;Snelheid;KL0620;E 25_tem_30km;6.284;1.231.403;;;;;;;;
WAHV ;Snelheid;KL0620;F 31_tem_39km;3.897;980.057;;;;;;;;
WAHV ;Snelheid;KL0621;A tem_10km;206.016;6.904.165;;;;;;;;
WAHV ;Snelheid;KL0621;B 11_tem_15km;35.573;3.068.718;;;;;;;;
WAHV ;Snelheid;KL0621;C 16_tem_20km;16.003;1.985.189;;;;;;;;
WAHV ;Snelheid;KL0621;D 20_tem_25km;8.050;1.336.763;;;;;;;;
WAHV ;Snelheid;KL0621;E 25_tem_30km;4.169;810.472;;;;;;;;
WAHV ;Snelheid;KL0621;F 31_tem_39km;2.319;543.823;;;;;;;;
WAHV ;Snelheid;KL0622;A tem_10km;43.108;1.499.368;;;;;;;;
WAHV ;Snelheid;KL0622;B 11_tem_15km;5.773;522.995;;;;;;;;
WAHV ;Snelheid;KL0622;C 16_tem_20km;1.800;234.565;;;;;;;;
WAHV ;Snelheid;KL0622;D 20_tem_25km;628;110.715;;;;;;;;
WAHV ;Snelheid;KL0622;E 25_tem_30km;259;51.826;;;;;;;;
WAHV ;Snelheid;KL0622;F 31_tem_39km;107;23.082;;;;;;;;
WAHV ;Snelheid;KL0623;A tem_10km;30.706;1.058.370;;;;;;;;
WAHV ;Snelheid;KL0623;B 11_tem_15km;3.790;340.868;;;;;;;;
WAHV ;Snelheid;KL0623;C 16_tem_20km;1.226;161.221;;;;;;;;
WAHV ;Snelheid;KL0623;D 20_tem_25km;493;86.818;;;;;;;;
WAHV ;Snelheid;KL0623;E 25_tem_30km;186;38.002;;;;;;;;
