Leverancier;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
A. Pietersen;;1;;;;1
ADP International Services B.V.;;;;;4;4
Advocatenkantoor Dijkgraaf B.V.;;;;1;;1
AON Nederland C.V.;;;;;1;1
DAS;;;;1;;1
EDGE NEXT Management B.V.;2;;;;;2
Edith van Ewijk;;2;;;;2
Fischer Advocaten B.V.;;;;1;;1
FNV Veiligheid;;;;1;;1
HaskoningDHV Nederland B.V.;;;;1;;1
Joris Sprakel Advocaat;;;;1;;1
Lectric Opleidingen B.V.;;;1;;;1
Len Middelbeek Communicatie Support;;1;;;;1
Mentorjam B.V.;;1;;;;1
OnePlanet Journalistiek;;1;;;;1
Part-up B.V.;2;2;;;;2
Purfacts B.V.;;2;;;;2
Quest Consult;;1;;;;1
Rob D. van den Berg;;1;;;;1
SD Worx Nederland B.V.;;;;;1;1
SEO Economisch Onderzoek;;1;;;;1
Siebe Weide advies;;;;2;;2
St. Beheer Derdengelden Fischer Advocaten BV;;;;2;;2
Stg Kenniscenter CfPB;;;2;;;2
Sticht. Info.voorzien. Ontwikkel.sam.werk.;;1;;;;1
Stichting Beheer Derdengelden de Binnenstad;;;;1;;1
Stichting NBTC Holland Marketing;;1;;;;1
Stuiver & Weijling B.V.;;;;1;;1
Sweco Nederland B.V.;;;;1;;1
TMF Netherlands B.V.;;;;;7;7
TODAY DESIGNERS B.V.;;2;;;;2
Triple Blue;;;1;;;1
Troje Training en Theater;;1;;;;1
TwynstraGudde Adviseurs;;1;;;;1
Vanberkel Professionals Holding B.V.;;1;;;;1
WITh Accountants B.V.;;1;;;1;1
XpatCoach;1;;;;;1
Eindtotaal;2;4;2;3;7;7
