;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Accor Hospitality Nederland N.V.;1;;1
Alex Buijk Magisch Entertainment;1;;1
Anna Vastgoed & Cultuur;1;;1
Anresound;1;;1
ANWB B.V.;;1;1
Aon Nederland C.V.;;1;1
Ardis Organisatieontwikkeling B.V.;1;;1
Aristo Eindhoven B.V.;1;;1
Athlon Car Lease Nederland B.V.;;2;2
Atos Nederland B.V.;1;;1
Autorent Vitesse;;1;1
Bakker Bogers;;1;1
BCN B.V.;1;;1
Bilder B.V.;1;;1
Bilderberg Grand Hotel Wientjes;1;;1
Cap Invest B.V.;;1;1
Centrum Quadraat;1;;1
CGI Nederland B.V.;;1;1
Christelijke Hogeschool Windesheim;1;;1
Collect Car B.V.;;1;1
Compu'Train;1;;1
Congresbureau KIVI NIRIA;1;;1
Cultuurmakelaar;1;;1
De Boerinn B.V.;1;;1
De frietbakkerie;1;;1
De HorecaCoach Nederland;1;;1
De Witte Vosch B.V.;1;;1
Diesel Service West B.V.;;2;2
Element X Customs;1;;1
Euroborg N.V.;1;;1
Firma Hof der Muzen;1;;1
Geling's Langste Autowasstraat B.V.;;1;1
Gran Mercado B.V.;1;;1
Groepsaccommodatie Het Voshuys B.V.;1;;1
Het Goudkantoor;1;;1
Het Kookplein;1;;1
Het Nutshuis;1;;1
Hogeschool Windesheim;1;;1
Holding Beheermaatschappij Ropeni B.V.;1;;1
Homerun Utrecht;1;;1
Hostinn;1;;1
Hotel Mitland;1;;1
Hotel Nieuwerkerk aan den IJssel B.V.;1;;1
Hotel-Conferentiecentrum Zonne;1;;1
Huize Molenaar B.V.;1;;1
ICT Partners B.V.;;1;1
INBC Verhuur B.V.;2;;2
INE Mensenwerk;1;;1
Inspiratie op Locatie B.V.;1;;1
Instituut Onderw.ond.steun. Instondo B.V.;1;;1
Jonkheer Sound & Light B.V.;1;;1
Kasteel Huize Harmelen;1;;1
Kolpinghuis Nijmegen B.V.;1;;1
Kunsthandel KRUIS-WEG;1;;1
Landgoed Lockhorst;1;;1
Landhuis Eten en Drinken;1;;1
Lang zullen ze leven;1;;1
Leaseplan Nederland N.V.;;5;5
Leyhoeve Horeca Groningen B.V.;1;;1
Lockerbox NL B.V.;1;;1
Meetingselect B.V.;7;;7
Muziekhuis Da-Capo B.V.;1;;1
Nationale Reisopera STG;1;;1
Noorderpoort;1;;1
OneClick;1;;1
Onemeeting.com B.V.;2;;2
Openbare Bibliotheek Amsterdam;1;;1
Oscars;1;;1
Oudaen B.V.;1;;1
oud-Katholieke parochie van de H. Martinus;1;;1
O-Utrecht;1;;1
Pasteur Beleggingen B.V.;;1;1
Paviljoen Pool;1;;1
Pieter Buisman Advies;1;;1
Plein 19 Den Haag B.V.;1;;1
Reflexis Solutions B.V.;1;;1
Retraiterie Rottemeren;1;;1
Rijksmuseum Volkenkunde;1;;1
Riso Music;1;;1
Samaya B.V.;1;;1
Scandinavisch Dorp;1;;1
SCENZA Holding B.V.;;1;1
Seats2Meet.com Utrecht B.V.;1;;1
Solutio Pharma;1;;1
Stadscafé De Observant;1;;1
Stadslab Groningen B.V.;1;;1
Stg. Nederlands Instituut voor Beeld & Geluid;1;;1
Sticht. voor Onderw. op Reformator. Grondslag;1;;1
Stichting ContourdeTwern;1;;1
Stichting Eurosonic Noorderslag;1;;1
Stichting Fontys;2;;2
Stichting Het Huis;1;;1
Stichting Nationale Bioscoopbon;1;;1
Stichting Next Nature Network;1;;1
Stichting Oogfonds Nederland;1;;1
Stichting University College Roosevelt;1;;1
Taxibedrijf Poll;;1;1
Taxicentrale De Neckar;;1;1
Tower Leisure B.V.;1;;1
Travelcard B.V.;;1;1
Trust Krediet Beheer (TKB);;1;1
Twentsche Foodhal B.V.;1;;1
Vereniging van Leraren in Levende Talen;1;;1
Vergadercentrum Vredenburg;1;;1
Vitam;1;;1
Walhalla in De Meern B.V.;1;;1
Walter Benedict B.V.;1;;1
Wensink;;1;1
Wepublic B.V.;1;;1
Workspace4U B.V.;1;;1
Worldmeetings.com B.V.;2;;2
X Styling & Image;1;;1
Zes Events;2;;2
Zwarte Woud Vastgoed B.V.;1;;1
Eindtotaal;7;5;7
