FID,klasse,gdb_geomattr_data,shape
heggen.1,Heg/Haag,,"LINESTRING (176970.8359999992 309118.2569999993, 176976.01399999857 309134.77600000054, 176982.11800000072 309150.0870000012, 176985.26999999955 309160.55999999866, 176985.52699999884 309161.4120000005, 176986.39600000158 309163.5859999992)"
heggen.2,Heg/Haag,,"LINESTRING (176982.186999999 309134.436999999, 176979.9750000015 309128.0760000013, 176975.6259999983 309115.82400000095)"
heggen.3,Heg/Haag,,"LINESTRING (177031.89400000125 309542.5920000002, 177027.188000001 309543.0850000009)"
heggen.4,Heg/Haag,,"LINESTRING (177040.36100000143 309618.6559999995, 177038.43400000036 309619.25400000066)"
heggen.5,Heg/Haag,,"LINESTRING (177301.39499999955 310435.18400000036, 177292.45699999854 310419.51000000164)"
heggen.6,Heg/Haag,,"LINESTRING (177268.8280000016 310493.8049999997, 177274.54100000113 310473.493999999, 177275.05299999937 310471.6719999984)"
heggen.7,Heg/Haag,,"LINESTRING (177268.3509999998 310493.9770000018, 177268.31899999827 310494.0799999982, 177261.59200000018 310515.84600000083, 177260.62700000033 310520.5540000014)"
heggen.8,Heg/Haag,,"LINESTRING (177249.91899999976 310555.88899999857, 177245.0540000014 310570.10500000045, 177238.86100000143 310587.98600000143, 177232.81599999964 310604.69000000134, 177226.10599999875 310623.2010000013, 177222.40300000086 310630.6559999995, 177214.62900000066 310643.05999999866, 177205.28299999982 310657.3990000002, 177196.21700000018 310669.58999999985)"
heggen.9,Heg/Haag,,"LINESTRING (177192.81599999964 310605.81500000134, 177194.77299999818 310599.83900000155)"
heggen.10,Heg/Haag,,"LINESTRING (177157.9549999982 310709.08999999985, 177155.7659999989 310720.1479999982, 177156.3669999987 310732, 177157.46599999815 310757.4620000012, 177158.90700000152 310789.1240000017, 177159.83999999985 310817.7479999997, 177159.54399999976 310845.2679999992, 177158.7800000012 310875.65199999884, 177157.61400000006 310896.65100000054)"
heggen.11,Heg/Haag,,"LINESTRING (177169.58100000024 310849.1620000005, 177170.01099999994 310860.9310000017, 177170.02699999884 310875.1270000003, 177169.4210000001 310882.5940000005, 177169.41800000146 310889.76999999955)"
heggen.12,Heg/Haag,,"LINESTRING (177157.51399999857 310901.1240000017, 177155.58199999854 310930.5329999998, 177154.12700000033 310950.91699999943, 177152.44399999827 310980.98699999973, 177150.4459999986 311012.29199999943, 177148.14699999988 311041.0489999987, 177147.4530000016 311050.51399999857, 177146.66899999976 311055.46499999985, 177145.58700000122 311058.59800000116)"
heggen.13,Heg/Haag,,"LINESTRING (177708.6799999997 310940.1079999991, 177704.3839999996 310940.1860000007, 177678.05000000075 310945.7100000009, 177646.23000000045 310951.9789999984, 177614.66000000015 310958.3189999983, 177585.35599999875 310964.12099999934, 177554.4389999993 310970.1950000003, 177523.686999999 310976.3280000016)"
heggen.14,Heg/Haag,,"LINESTRING (177523.686999999 310976.3280000016, 177510.13500000164 310944.07400000095, 177495.90900000185 310905.3040000014, 177485.6169999987 310878.5080000013, 177474.22800000012 310849.01999999955, 177468.98800000176 310836.23600000143)"
heggen.15,Heg/Haag,,"LINESTRING (177523.686999999 310976.3280000016, 177529.75499999896 310993.01399999857, 177536.01900000125 311009.6020000018, 177541.85799999908 311023.2969999984, 177546.311999999 311034.9979999997, 177548.063000001 311042.77699999884)"
heggen.16,Heg/Haag,,"LINESTRING (177123.91899999976 311382.51099999994, 177131.11400000006 311392.59899999946)"
heggen.17,Heg/Haag,,"LINESTRING (176922.8830000013 311652.8370000012, 176929.39400000125 311658.63500000164, 176950.21400000155 311671.3269999996, 176952.11899999902 311675.09699999914, 176954.6259999983 311685.2969999984)"
heggen.18,Heg/Haag,,"LINESTRING (177132.80200000107 311742.688000001, 177133.37700000033 311736.1979999989, 177134.87999999896 311731.1339999996)"
heggen.19,Heg/Haag,,"LINESTRING (177476.12799999863 311828.77699999884, 177489.51300000027 311832.67500000075)"
heggen.20,Heg/Haag,,"LINESTRING (177522.87200000137 311931.2659999989, 177527.93189999834 311904.9184000008)"
heggen.21,Heg/Haag,,"LINESTRING (177412.45800000057 312141.59099999815, 177417.73580000177 312144.3958999999)"
heggen.22,Heg/Haag,,"LINESTRING (177462.08199999854 312146.3269999996, 177470.6169999987 312141.76300000027)"
heggen.23,Heg/Haag,,"LINESTRING (177409.41600000113 312150.67599999905, 177414.5940000005 312152.69099999964)"
heggen.24,Heg/Haag,,"LINESTRING (177406.01900000125 312158.91000000015, 177412.1790000014 312162.3040000014)"
heggen.25,Heg/Haag,,"LINESTRING (177403.2950000018 312168.36100000143, 177408.21400000155 312170.97300000116)"
heggen.26,Heg/Haag,,"LINESTRING (177458.1799999997 312204.3029999994, 177465.26159999892 312203.23110000044)"
heggen.27,Heg/Haag,,"LINESTRING (177436.28299999982 312209.0639999993, 177436.2490000017 312208.6719999984, 177436.89499999955 312197.9979999997)"
heggen.28,Heg/Haag,,"LINESTRING (177436.28299999982 312209.0639999993, 177447.7410000004 312205.8960000016, 177448.30299999937 312214.4439999983)"
heggen.29,Heg/Haag,,"LINESTRING (177430.12000000104 312210.76900000125, 177436.28299999982 312209.0639999993)"
heggen.30,Heg/Haag,,"LINESTRING (177456.83399999887 312214.5780000016, 177465.23699999973 312214.0769999996)"
heggen.31,Heg/Haag,,"LINESTRING (177436.9549999982 312216.73600000143, 177436.28299999982 312209.0639999993)"
heggen.32,Heg/Haag,,"LINESTRING (177427.54300000146 312219.7190000005, 177426.2901000008 312213.3845000006)"
heggen.33,Heg/Haag,,"LINESTRING (177417.7890000008 312223.68299999833, 177415.8049999997 312216.6550000012)"
heggen.34,Heg/Haag,,"LINESTRING (177548.57600000128 312224.5069999993, 177516.90799999982 312237.86199999973, 177516.7890000008 312235.59800000116, 177520.59600000083 312222.5320000015)"
heggen.35,Heg/Haag,,"LINESTRING (177463.15359999985 312232.59420000017, 177465.85300000012 312233.5320000015, 177469.1259999983 312235.4510000013, 177469.64799999818 312237.4389999993, 177469.62799999863 312238.868999999)"
heggen.36,Heg/Haag,,"LINESTRING (177480.73600000143 312237.60500000045, 177487.80200000107 312235.83999999985, 177487.94799999893 312231.7740000002, 177487.21799999848 312227.4750000015, 177481.46200000122 312225.2960000001)"
heggen.37,Heg/Haag,,"LINESTRING (177400.38699999824 312238.006000001, 177393.90399999917 312232.90300000086)"
heggen.38,Heg/Haag,,"LINESTRING (177492.48699999973 312248.23000000045, 177489.7340000011 312240.70800000057)"
heggen.39,Heg/Haag,,"LINESTRING (177394.12900000066 312249.67599999905, 177388.627700001 312241.4930000007)"
heggen.40,Heg/Haag,,"LINESTRING (177428.24799999967 312250.1400000006, 177432.45600000024 312260.6169999987)"
heggen.41,Heg/Haag,,"LINESTRING (177384.59800000116 312255.6649999991, 177380.50200000033 312248.561999999)"
heggen.42,Heg/Haag,,"LINESTRING (177432.45600000024 312260.6169999987, 177434.58300000057 312259.8029999994)"
heggen.43,Heg/Haag,,"LINESTRING (177375.8759999983 312261.8299999982, 177372.80820000172 312255.0744000003)"
heggen.44,Heg/Haag,,"LINESTRING (177424.1000000015 312263.81599999964, 177420.35500000045 312253.94099999964)"
heggen.45,Heg/Haag,,"LINESTRING (177424.1000000015 312263.81599999964, 177432.45600000024 312260.6169999987)"
heggen.46,Heg/Haag,,"LINESTRING (177413.71299999952 312267.79399999976, 177411.73600000143 312261.19200000167)"
heggen.47,Heg/Haag,,"LINESTRING (177413.71299999952 312267.79399999976, 177424.1000000015 312263.81599999964)"
heggen.48,Heg/Haag,,"LINESTRING (177367.17500000075 312267.8299999982, 177362.7899999991 312256.70899999887)"
heggen.49,Heg/Haag,,"LINESTRING (177559.69399999827 312271.29399999976, 177564.65100000054 312264.65900000185)"
heggen.50,Heg/Haag,,"LINESTRING (177414.94200000167 312271.8969999999, 177413.71299999952 312267.79399999976)"
heggen.51,Heg/Haag,,"LINESTRING (177405.96200000122 312273.65399999917, 177404.26999999955 312267.3049999997)"
heggen.52,Heg/Haag,,"LINESTRING (177405.96200000122 312273.65399999917, 177414.94200000167 312271.8969999999)"
