GEMEENTE|GEBIED|GEBDNAAM|BUURT|BUURTNAAM|minX|minY|maxX|maxY|landscape_minX|landscape_maxX|landscape_minY|landscape_maxY|portrait_minX|portrait_maxX|portrait_minY|portrait_maxY
599|8|Kralingen-Crooswijk|36|Nieuw Crooswijk|93006|438751|95812|440362|93006|95812|438564|440549|93006|95812|437572|441541
599|3|Delfshaven|23|Spangen|89136|436352|90135|437491|88830|90441|436352|437491|89136|90135|436215|437628
599|12|IJsselmonde|84|Lombardijen|94320|431482|96652|433495|94063|96909|431482|433495|94320|96652|430840|434137
599|23|Botlek-Europoort-Maasvlakte|7|Europoort|65101|435087|75253|444776|63327|77027|435087|444776|65101|75253|432755|447108
599|3|Delfshaven|24|Nieuwe Westen|89672|435965|91076|437590|89225|91523|435965|437590|89672|91076|435785|437770
599|18|Spaanse Polder|53|Spaanse Polder|87665|437327|89655|439256|87296|90024|437327|439256|87665|89655|436884|439699
599|15|Charlois|93|Heijplaat|88111|433473|88843|434715|87599|89355|433473|434715|88037|88917|433473|434715
599|5|Noord|32|Blijdorp|89927|437517|91902|439426|89565|92264|437517|439426|89927|91902|437075|439868
599|8|Kralingen-Crooswijk|37|Oud Crooswijk|93014|438168|94205|439108|92945|94274|438168|439108|93014|94205|437796|439480
599|3|Delfshaven|20|Delfshaven|90265|435392|91472|436103|90265|91472|435320|436175|90265|91472|434894|436601
599|14|Prins Alexander|63|Ommoord|95651|440392|98304|443044|95102|98853|440392|443044|95651|98304|439842|443594
599|4|Overschie|55|Zestienhoven|88598|438796|91391|442509|87369|92620|438796|442509|88598|91391|438678|442627
599|4|Overschie|52|Noord Kethel|85730|440139|87998|442327|85317|88411|440139|442327|85730|87998|439629|442837
599|14|Prins Alexander|44|'s-Gravenland|96279|436676|98531|438486|96125|98685|436676|438486|96279|98531|435989|439173
599|10|Feijenoord|82|Hillesluis|94062|433848|95414|435300|93711|95765|433848|435300|94062|95414|433618|435530
599|1|Rotterdam Centrum|19|Dijkzigt|91034|435920|92367|436825|91034|92367|435901|436844|91034|92367|435430|437315
599|6|Hillegersberg-Schiebroek|60|Schiebroek|91063|440129|93416|443971|89523|94956|440129|443971|90880|93599|440129|443971
599|12|IJsselmonde|83|Oud IJsselmonde|94833|434054|99197|435567|94833|99197|433267|436354|94833|99197|431725|437896
599|6|Hillegersberg-Schiebroek|64|Terbregge|93022|439786|95997|442075|92891|96128|439786|442075|93022|95997|438827|443034
599|12|IJsselmonde|90|Beverwaard|97775|432495|99129|434982|96693|100211|432495|434982|97572|99332|432495|434982
599|16|Hoogvliet|99|Hoogvliet Zuid|82838|428647|85966|431544|82354|86450|428647|431544|82838|85966|427884|432307
599|1|Rotterdam Centrum|11|Oude Westen|91401|436337|92101|437513|90919|92583|436337|437513|91335|92167|436337|437513
599|6|Hillegersberg-Schiebroek|62|Hillegersberg Noord|92325|440059|94600|442728|91575|95350|440059|442728|92325|94600|439785|443002
599|6|Hillegersberg-Schiebroek|65|Molenlaankwartier|93636|440611|95316|442979|92802|96150|440611|442979|93636|95316|440607|442983
