;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
(BBP) Beerens-Business Press B.V.;;1;;;;;1
1848 B.V.;;1;;;;;1
24Baby.nl B.V.;2;;;;;;2
2B-Xclusive;1;;;;;;1
A.P. van Staveren;1;;;;;;1
About Flowers;;;;1;;;1
Adfo Groep B.V.;;1;;;;;1
Adviesbureau Hollander en van der Mey B.V.;5;;;;;;5
Agility PR Solutions;;;;;;1;1
Alpha.One B.V.;2;;;;;;2
Ambachtelijke Bakkerij Merks V.O.F.;;;;1;;;1
Amsterdam University Press AUP B.V.;;1;;;;;1
Anchor Woman;;;;;1;1;1
Anneke Nunn Tekst & Concept;;;;;;1;1
ANP Photo;1;;;;;6;6
Arbor Media Services B.V.;;;;;;1;1
Arenda Oomen Fotografie;1;;;;;;1
Audax Publishing B.V.;;1;;;;;1
B.V. Weekbladpers;;1;;;;;1
Bar Bistro Speakers;;;;1;;;1
Bart Versteeg fotograaf;1;;;;;1;1
Behavior Change Group B.V.;1;;;;;;1
Behavioural Design;1;;;;;;1
Beter Engels Vertaalbureau;;;1;;;;1
BHD Communicatie;1;;;;;;1
Binnenlands Bestuur B.V.;;1;;;;;1
BKB;3;;;;;;3
Blauw Research B.V.;3;;;;;;3
Blue Luna B.V.;;;;;1;;1
Bobbe International B.V.;;3;;;;;3
Boekhandel Van Stockum Belinfante & Coebergh;;1;;;;;1
Boekwinkeltjes B.V.;;1;;;;;1
Bohn Stafleu Van Loghum;;2;;;;;2
bol.com B.V.;;1;;;;;1
BoldData B.V.;1;;;;;;1
Boom B.V.;1;;;;;;1
BooM Consultancy B.V.;1;;;;;;1
Boom uitgevers Den Haag;;1;;;;;1
BrandDeli C.V.;2;;;;;;2
Bredemeijer Group B.V.;;;;1;;;1
Bureau BlauwGeel B.V.;1;;;;;;1
Bureau G.I.T.;;;;;1;;1
Bureau Spraakwater;;;;;1;;1
Bureau voor Overheidscommunicatie B.V.;4;;;;;;4
Bureau Zuidema B.V.;;;;;2;;2
Carnegie-Stichting;;;;;1;;1
CDA-bestuurdersvereniging;;1;;;;;1
Centraal Boekhuis B.V.;;1;;;;;1
Centre Ceramique;;1;;;;;1
Cheil Benelux B.V.;1;;;;;;1
Classic FM B.V.;2;;;;;;2
