Leveranciers;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
ABS Den Elzen Den Haag;;;1;1
anoniem;1;;2;2
ANWB B.V.;1;;;1
APCOA Parking Nederland B.V.;1;;;1
Ardea Auto Lisse;;;1;1
Athlon Car Lease;;;1;1
Athlon Car Lease Nederland B.V.;1;;5;5
Athlon Car Lease Rental Services B.V.;;;7;7
Auto Arena B.V.;;;1;1
Auto Lease Groningen B.V.;;;2;2
Auto-Ambacht Zoetermeer;;;1;1
Autobedrijf van den Udenhout B.V.;;;1;1
Autobedrijf van Veen B.V.;;;1;1
Autohaag Zeeuw BV;;;1;1
Autohaas Autoverhuur;;;1;1
Autohaas B.V.;;;1;1
Automobielbedrijf Blekkink Aalten B.V.;;;1;1
AVIS Autoverhuur B.V.;;;2;2
Bilderberg Hotel De Bovenste Molen;;1;;1
Bilderberg Hotel De Buunderkamp;;1;;1
Bilderberg Hotel 't Speulderbos;;1;;1
BMW Den Haag B.V.;;;4;4
Brasserie/Restaurant Babbilage;;2;;2
Brezan Automaterialen;;;1;1
Budget Rent a Car;1;;;1
Buitengoed Hagenhorst Exploitatie B.V.;;1;;1
CAOP;;1;;1
Car Cleaning Correct B.V.;;;1;1
Cardon Automotive B.V.;;;1;1
Carlton Beach Club;;1;;1
Carwash Aqua Clean;;;1;1
Century Autogroep;2;;;2
Connexxion Taxi Services B.V.;;;2;2
D' Uston en Allard;;;1;1
De Baak Noordwijk B.V.;1;;;1
De Belgische Loodsensociëteit;;1;;1
De Pelikaan Texel Hotel & Appartementen;1;;;1
De Pomp Tweewielers;1;;;1
De Raat Security Products B.V.;;;1;1
Diffens Holding B.V.;;;1;1
Eden Eindhoven Hotel Exploitatie II B.V.;;1;;1
Euromobil Nederland B.V.;2;;;2
Europcar Autoverhuur B.V.;2;;;2
Exploitatie Maatschappij Komfort B.V.;;2;;2
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
Fire-Control B.V.;;;1;1
Firma Hof der Muzen;;1;;1
FleetCor Technologieën B.V.;;;1;1
Fleetlogic B.V.;;;2;2
Fletcher Hotel De Witte Raaf;;1;;1
G.Z.G. Auto-Onderdelen B.V.;;;1;1
Henze Autobanden B.V.;;;1;1
Hertz Automobielen Nederland B.V.;2;;;2
Hop Taxi B.V.;1;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;1;;;1
HR Via Care B.V.;;;7;7
HTM Specials B.V.;;;1;1
Interim Direct;;;4;4
Jozua Aanhangwagens B.V.;;;1;1
Jungheinrich Nederland B.V.;;;1;1
Kamsteeg Auto Groep B.V.;;;1;1
Kasteel Oud-Poelgeest B.V.;;2;;2
Kemper Fietsen B.V.;;;1;1
Kerkhof en Zonen Beheer;;;1;1
Kings Shop;;;5;5
Köhler Autoverhuur B.V.;;;1;1
KPE Holding B.V.;;;1;1
Landgoed de Horst;;3;;3
Leaseplan Nederland N.V.;;;7;7
Letterop;;;2;2
Local Service Card;;;1;1
Mercedes-Benz Leiden;;;1;1
Mercure Den Haag Central;;1;;1
Motus B.V.;;1;;1
Multirent Beverwijk;1;;;1
Munckhof Taxi B.V.;;;4;4
Noordzee Services B.V.;;;3;3
Park-line B.V.;;;2;2
Pouw Meppel;;;1;1
Profile Tyre Center Blok;;;2;2
Profile Tyrecenter Van Kleef;;;1;1
Proline Automotive Solutions;;;1;1
Pure Mobility;;;1;1
Remto Automaterialen;;;1;1
Schadecentrum Apeldoorn B.V.;;;1;1
Scooter-Ypenburg;;;1;1
Shell Nederland Verkoopmaatschappij B.V.;;;1;1
Shellstation J. van der Vegte B.V.;;;1;1
Stalschaft;1;;;1
Steegro Banden;;;1;1
Stichting Rataplan Fiets;1;;;1
Still Intern Transport B.V.;;;2;2
Stokman Den Helder B.V.;;;1;1
Taxi Boute B.V.;1;;;1
Taxibel Centrale;1;;;1
TCR Vervoer  Regio Raalte;;;1;1
TOTAL Nederland N.V.;;;1;1
Travelcard Nederland B.V.;;;5;5
Truckland Zuid-Holland B.V.;;;2;2
Van Berkel ®;;;4;4
Van der Mey-Advies;1;;;1
Van der Spek Heftrucks B.V.;;;1;1
Van Vliet Autobedrijven;;;1;1
VCK Travel B.V.;3;;;3
Volkswagen Centrum Nijmegen;;;1;1
Watersnoodmuseum;;1;;1
Wittebrug;;;4;4
Wittebrug Autoschade B.V.;;;1;1
Eindtotaal;4;4;8;8
