;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Abus Kraansystemen B.V.;1;;;;1
Bouter B.V.;2;;;;2
Bouwinvest Dutch Institutional Office Fund NV;;;;2;2
Bredenoord B.V.;1;;;;1
Buko Infrasupport B.V.;1;;;;1
C.T. Systems B.V.;1;;;1;1
Cannock Chase Public;;1;;;1
Chubb Fire & Security Amsterdam;1;;;;1
Chubb Fire & Security B.V.;1;;;;1
Complex E-Techniek B.V.;1;;;;1
Deba 2000 B.V.;2;;;;2
Deelen Metaaltechniek en Zonweringen;1;;;;1
DELTA Energie B.V.;;1;;;1
DELTA Fiber Nederland B.V.;;1;;;1
dormakaba Nederland B.V.;1;;;;1
Dräger Nederland B.V.;1;;;;1
E.ON Benelux Levering B.V.;;2;;;2
Eneco Zakelijk;;4;;;4
Enexis Netbeheer B.V.;;2;;;2
ENGIE Energie Nederland N.V.;;5;;;5
Flanderijn Invordering B.V.;;1;;;1
Heijmans Utiliteit;;;;1;1
Hollandse Visveiling IJmuiden;;;;1;1
Hoogendoorn Automatisering B.V.;1;;;;1
Hoveniersbedrijf Walinga;;1;;1;1
Ingenieursbureau Ebatech B.V.;;1;;;1
Interscience B.V.;1;;;;1
J.P. van Eesteren B.V.;1;;;;1
Jaspersons Vastgoed B.V.;;;;1;1
Joulz Infradiensten B.V.;1;;;;1
Joulz Meetbedrijf B.V.;;1;;;1
Kenter;;1;;;1
Krämer Bouw B.V.;1;;;;1
Labair;1;;;;1
Liander N.V.;;3;;;3
Maasmond B.V.;5;;;4;6
Maasmond Leeuwarden B.V.;1;;;;1
Madeko Office Solution B.V.;1;;;;1
Manutan B.V.;1;;;;1
Marne Verhuur Bolsward;;1;;1;1
Mondial Movers B.V.;;;3;;3
N.V. Waterbedrijf Groningen;;1;;;1
NS Vastgoed B.V.;;;;2;2
Oasen N.V.;;1;;;1
R.B.A. Frijlink thodn de Gelderse IJzerhandel;1;;;;1
Sandfirden Technics B.V.;1;;;;1
Satellietkantoor Utrecht;1;1;;;2
Spiering Beveiligingstechniek;1;;;;1
Stedin;;2;;;2
T & G Terrein- en Groenvoorziening B.V.;3;;;;3
Technische Unie;1;;;;1
THT Elektrotechniek B.V.;1;;;;1
Toering Ship Supply;;;;1;1
Top Movers Nederland B.V.;;;;1;1
Trenton B.V.;;1;;;1
VBT Groep B.V.;1;;;;1
Vink Lisse B.V.;1;;;;1
Visafslag Den Oever Beheer B.V.;;;;1;1
Visser Print & Sign;1;;;;1
Wageningen Food Safety Research;;;;5;5
Walas Projects B.V.;1;1;;1;1
Zeehaven IJmuiden N.V.;;1;;;1
Zeeuwse Visveiling Breskens N.V.;;1;;;1
Ziggo B.V.;;;;1;1
Eindtotaal;6;6;3;6;7
