Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Bazelmans Audio Visual Rentals;;;;2;;;;2
Bespeak B.V.;;;;;;;2;2
Bikkels en Bolides;;;2;;;;;2
Bluedesk CRM B.V.;;;;2;;;;2
BQA B.V.;;;;2;;;;2
CM.COM Netherlands B.V.;;;;;;2;;2
Co̦peratie SURF UA;;;;2;;;;2
ConoScenza B.V.;;;;2;;;;2
Coolblue B.V.;1;;2;;;;;2
Delving B.V.;;;;;;;2;2
Detron Information Technology B.V.;;;;;;2;;2
Esri Nederland;;;;2;;;;2
F. Haverkamp Holding B.V.;;;;;;;2;2
Falco Networks;;;;2;;;;2
Fenicks Erfgoed;;;2;;;;;2
Forrester Research B.V.;;;;;;;2;2
Fullred B.V.;;;;2;;;;2
Future Communication Consultants B.V.;;;;;;;2;2
Gartner Nederland B.V.;;;;;;;2;2
GP-Staffing B.V.;;;;;;;2;2
Heuvelman Sound & Vision B.V.;2;;;;;;;2
IBM Nederland B.V.;;;;2;;;;2
ICT Partners Noord B.V.;;;;2;;;;2
Ideas to Interconnect B.V.;;;;;;;2;2
IDfuse B.V.;;;;;;;2;2
Ilionx;;;;2;;;;2
IlionX Group B.V.;;;;2;;;;2
Informagic;;;;;;;2;2
Intermax Group B.V.;;1;;1;;;2;2
Jeol (Europe) B.V.;;2;;;;;;2
Kantar Netherlands B.V.;;;;;;;2;2
Knoppel Consulting Services;;;;;;;2;2
LicenseConsult B.V.;;;;2;;;;2
Lloyd's Register Nederland B.V.;;;;2;;;1;2
Manufacturing Investments B.V.;;;;;;2;;2
Mendix Technology B.V.;;;;;;;2;2
Michael Bailey Associates Limited;;;;2;;;;2
MyForms;;;1;;;;1;2
OCLC B.V.;;;;2;;;;2
OD Solutions Nederland B.V.;;2;;;;;;2
Planon B.V.;;;;2;;;1;2
politie;;;;;;;2;2
PQR B.V.;;;;2;;;;2
Quint Wellington Redwood Nederland B.V.;;;;;;;2;2
QuoVadis Trustlink B.V.;;;;1;;;2;2
Securit B.V.;;1;;2;;;;2
Seven Stars Noord B.V.;;;;2;;;;2
Shuttel B.V.;2;;;;;;;2
SMT Simple Management Technologies B.V.;;;;;;;2;2
Snater;;;;2;;;;2
Sonic Foundry International B.V.;;;;;;;2;2
Stichting Beheer Derdengelden X Pact;;;;;;;2;2
Stichting het Rijksmuseum;2;;;;;;;2
Surfly B.V.;;;;2;;;;2
Survalyzer Nederland B.V.;;;1;2;;;;2
Talent123;;;;2;;;;2
TCN SIG Telehousing Exploitatie B.V.;2;1;;;;;;2
Tele2 Mobiel B.V.;;;;;;2;;2
Ter Hoeven & Partners B.V.;;2;;;;;;2
Testwerk B.V.;;;;2;;;;2
TOPdesk Nederland B.V.;;;;;;;2;2
Total Design B.V.;;;;;;;2;2
Trigonus B.V.;;;;2;;;;2
Van Campen Consulting;;;;2;;;;2
Veenman B.V.;2;1;;;;1;;2
Webstate B.V.;;;;2;;;;2
Xomnia B.V.;;;;;;;2;2
YNNO B.V.;;;;;;;2;2
Ziggo B.V.;;;;;;2;;2
Andarr Technology Services;;;;3;;;;3
B.V.D.A. International B.V.;3;;;;;;;3
Baker Tilly Berk Breda;;;;3;;;;3
Bit Direct;2;;;;;1;2;3
Bloemendaal Consultancy B.V.;;;;3;;;;3
Conclusion Implementation B.V.;;;;3;;;;3
ESN Automatisering B.V.;3;2;1;1;;1;1;3
ESN Service en Netwerkbeheer B.V.;1;2;;1;;;2;3
Improvement B.V.;;;;;;;3;3
Infoprojects;;;;;;;3;3
Itcg Projects B.V.;;;;3;;;;3
Onestopsourcing B.V.;;;;3;;;;3
Pricewaterhousecoopers Advisory N.V.;;;;;;;3;3
Reframing Studio B.V.;;;;;;;3;3
SmartAgreements B.V.;;;3;;;;2;3
Square Mobile Business Solutions B.V.;;;;3;;;;3
Verdonck, Klooster & Associates B.V.;;;;;;;3;3
Andriessen & Partners B.V.;;;;4;;;;4
Bechtle direct B.V.;4;;;;;;;4
BMC Advies B.V.;;;;4;;;;4
Bouwcombinatie DUO2 V.O.F.;;1;4;;;;;4
Community Network Groningen B.V.;;2;;2;;2;;4
Everest B.V.;;;;4;;;;4
IJsfontein Interactive Space B.V.;;;;4;;;;4
Interscience B.V.;4;;;1;;;;4
Intimus International Netherlands B.V.;;4;;;;;;4
IPN Telecom N.V.;;;;;;4;;4
MediaCaster B.V.;;4;;;;;1;4
New Nexus B.V.;;;;4;;;;4
PBLQ B.V.;;;;4;;;;4
Picturae ICT B.V.;;;;4;;;;4
Quintor B.V.;;;;4;;;;4
Repromat B.V.;;4;;;;;;4
Tele2 Nederland B.V.;;;;;3;4;1;4
Triple A Services;;;;2;;3;2;4
USoft B.V.;;;;4;;;;4
Vodafone Libertel B.V.;;;;3;;3;;4
Brunel CR B.V.;;3;;;;;4;5
Canon Nederland N.V.;1;4;1;2;;;1;5
Centralpoint Amstelveen B.V.;5;1;;;;1;;5
HeadFirst B.V.;;;;5;;;;5
PCI Nederland B.V.;;;;;;2;5;5
SURFnet B.V.;;;;4;4;4;;5
USG Capacity;;;;5;;;;5
Vodafone;;1;;;;5;;5
Yacht;;;;5;;;;5
blueriq;;;;6;;;;6
Brunel Nederland B.V.;;;;6;;;;6
Citrus;;;2;6;;;;6
Detron Lifecycle Services;3;;;5;2;4;;6
Get There Business Solutions;;;;6;;;;6
Haddock Solutions B.V.;5;5;;;;;;6
i3 groep;;6;;;;;3;6
Internedservices;;;;;;1;6;6
Ordina Business Consulting & Solutions B.V.;;;;;;;6;6
Pro 10 B.V.;;;;6;;;;6
SLTN IT Products B.V.;;;6;5;;;;6
Totality Holding B.V.;;;;6;;;;6
Buyitdirect.com B.V.;7;1;1;1;;2;;7
Centric Netherlands B.V.;;;;7;;;;7
CGI Nederland B.V.;;;;7;;;;7
Cimsolutions;;;;7;;;5;7
Fast Flex B.V.;;;;7;;;;7
Harvey Nash B.V.;;;;7;;;4;7
KPN B.V.;7;;;4;1;2;6;7
KPN Contact lokatie Eindhoven;;;;3;2;1;7;7
LINKIT B.V.;;;;7;;;7;7
Ordina Beheer & Outsourcing;;;;;;;7;7
SAP Nederland B.V.;;;2;7;;;;7
SoftwareONE B.V.;;;;7;;;;7
Sogeti Nederland B.V.;;;;7;;;;7
SQL Integrator B.V.;;;;7;;;;7
Capgemini Nederland B.V.;1;;;8;;;7;8
Centralpoint Nijmegen B.V.;7;7;1;6;4;2;4;8
De Staffing Groep Nederland B.V.;;;;8;;;;8
Get There ICT Solutions B.V.;;;;8;;;;8
KPN Consulting B.V.;;;;8;1;;5;8
Ordina N.V.;;;;8;;;;8
Protinus IT B.V.;6;7;6;7;7;4;4;8
Telindus-ISIT B.V.;7;7;2;5;1;;1;8
Atos Nederland B.V.;3;7;2;7;;;8;9
COMPAREX Nederland B.V.;2;5;6;9;7;;6;9
Eindtotaal;9;9;7;11;8;7;9;13
