FID,VLAKNR,LOCATIE,STOFGROEP,STOFFEN,CONTOUR_OPMERKING,DIEPTE_VERONTREINIGING,DIEPTE_GRONDWATER,GEVAL,BESLUIT,RAPPORTNUMMER,GEOMETRIE
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54de,37,Keimate 08,Minerale Olie,Minerale Olie (totaal),S-contour overgenomen uit rapport,"1,5-3 m-mv","1,5 m-mv",Ja,-,3340 (VO 2),"POLYGON ((188212.445762106 432240.778644579, 188212.001754147 432240.514256323, 188211.3166306 432239.876851764, 188211.078622487 432239.210546413, 188211.065432416 432238.303125474, 188211.425258647 432237.763679539, 188212.097192122 432237.152655123, 188212.816844585 432236.393432446, 188213.949083566 432235.970176506, 188215.144752255 432236.274721802, 188216.266321813 432237.200960937, 188216.509371224 432238.193150429, 188216.442834041 432238.902133469, 188216.23624737 432239.602967737, 188215.807363306 432240.203322731, 188215.325718956 432240.557520838, 188214.891793593 432240.922388368, 188214.50306657 432241.250206333, 188213.992521428 432241.403445892, 188213.431736648 432241.284148423, 188212.92681963 432241.051181608, 188212.445762106 432240.778644579))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54dd,41,Lentseveld 38-40,Minerale Olie,Minerale Olie (totaal),S-contouren overgenomen uit rapport,"1,5-5 m-mv","1,5 m-mv",Nee,-,894 (VO ) 895 (NO 1),"POLYGON ((187688.726653976 431122.534013409, 187685.816231466 431122.00484568, 187684.757896007 431120.152758628, 187683.699560549 431119.09442317, 187683.434976684 431116.977752253, 187683.434976684 431114.861081336, 187684.493312143 431114.067329743, 187686.08081533 431113.273578149, 187688.197486247 431113.273578149, 187690.314157164 431114.596497472, 187692.695411945 431116.184000659, 187693.224579674 431118.036087711, 187693.224579674 431119.623590899, 187692.695411945 431121.211094086, 187691.372492622 431122.00484568, 187688.726653976 431122.534013409))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54dc,41,Lentseveld 38-40,Minerale Olie,Minerale Olie (totaal),S-contouren overgenomen uit rapport,"1,5-5 m-mv","1,5 m-mv",Nee,-,894 (VO ) 895 (NO 1),"POLYGON ((187727.355898205 431122.534013409, 187729.737152986 431122.269429545, 187731.060072309 431123.592348868, 187732.118407768 431124.121516597, 187732.118407768 431125.44443592, 187731.853823903 431128.884026159, 187730.795488445 431131.000697076, 187729.207985257 431133.117367993, 187728.149649799 431134.175703451, 187726.297562747 431132.852784128, 187725.503811153 431132.588200263, 187724.710059559 431131.529864805, 187723.916307966 431131.000697076, 187723.387140236 431129.677777753, 187723.122556372 431128.090274566, 187723.122556372 431127.561106836, 187723.122556372 431126.502771378, 187723.122556372 431125.179852055, 187723.387140236 431124.650684326, 187724.710059559 431123.063181139, 187726.826730476 431122.798597274, 187727.355898205 431122.534013409))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54db,53,Nieuwe Nonnendaalseweg 253-255,Metalen,"Chroom, Koper, Nikkel",S-contour overgenomen uit rapport,4-15 m-mv,"3,15 m-mv",Ja,-,430 (VO 1) 2387 (NO 1) 2557 (NO 2),"POLYGON ((186290.422678454 428247.13535091, 186288.094340446 428246.606183181, 186285.871835983 428245.653681268, 186283.331830883 428244.383678718, 186281.744327696 428243.431176806, 186279.839323871 428242.05534071, 186278.040153591 428240.362003977, 186275.076814308 428237.504498239, 186272.325142116 428234.858659593, 186269.785137016 428231.683653218, 186268.303467375 428229.35531521, 186266.39846355 428226.921143656, 186263.223457175 428220.994465089, 186261.953454625 428217.819458714, 186260.260117891 428213.586116881, 186259.413449525 428210.30527696, 186258.77844825 428207.130270585, 186258.566781158 428202.791095206, 186259.307615979 428199.298588193, 186260.577618529 428196.652749547, 186262.482622354 428194.959412814, 186265.234294546 428194.112744447, 186267.562632554 428194.112744447, 186271.160973112 428194.959412814, 186274.653480125 428196.970250185, 186279.415989687 428200.039423014, 186285.554335346 428206.177768672, 186289.152675904 428210.622777597, 186292.751016462 428216.549456164, 186295.714355746 428221.841133456, 186298.042693754 428228.296979752, 186299.524363396 428234.541158956, 186299.524363396 428238.986167881, 186298.783528575 428242.584508439, 186297.619359571 428244.59534581, 186295.396855108 428246.606183181, 186292.645182916 428247.241184456, 186290.422678454 428247.13535091))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54da,63,Pelseland 06,Minerale Olie,Minerale Olie (totaal),S-contour overgenomen uit rapport,"2-2,5 m-mv",2 m-mv,Ja,-,3336 (VO 1),"POLYGON ((188342.397018463 432103.925221724, 188338.229822596 432102.139280638, 188334.459502525 432098.368960567, 188331.681371947 432094.598640497, 188330.490744557 432089.836130934, 188330.292306658 432086.065810864, 188331.482934049 432082.890804489, 188334.657940424 432079.715798114, 188339.222012088 432078.326732825, 188342.992332158 432078.723608622, 188345.968900635 432080.509549708, 188349.342344908 432085.073621372, 188352.120475486 432090.034568833, 188352.318913385 432094.598640497, 188352.517351283 432095.987705786, 188350.929848096 432099.559587958, 188348.945469111 432102.139280638, 188348.151717518 432103.925221724, 188344.778273244 432104.32209752, 188342.397018463 432103.925221724))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d9,14,Dennenstraat-Neerbosscheweg te Nijmegen,Metalen,"Nikkel, Zink","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 2-3 m-mv, niet in diepte afgeperkt!",2 m-mv,Mogelijk,-,3639 (VO 1),"POLYGON ((184870.736769451 427299.74300505, 184862.005501919 427297.361750269, 184855.655489169 427292.996116503, 184852.083606998 427288.233606941, 184849.305476419 427282.677345785, 184848.511724826 427277.121084628, 184849.305476419 427271.961699269, 184852.083606998 427264.421059128, 184857.639868154 427259.261673769, 184865.577384091 427256.483543191, 184877.483657998 427257.277294785, 184889.786807701 427262.436680144, 184898.914951029 427268.786692894, 184903.280584794 427275.533581441, 184903.280584794 427280.296091003, 184901.693081607 427288.630482738, 184896.533696248 427292.996116503, 184887.405552919 427296.964874472, 184877.880533794 427299.74300505, 184870.736769451 427299.74300505))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d8,14,Dennenstraat-Neerbosscheweg te Nijmegen,Metalen,"Nikkel, Zink","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 2-3 m-mv, niet in diepte afgeperkt!",2 m-mv,Mogelijk,-,3639 (VO 1),"POLYGON ((184763.977180091 427448.571428878, 184756.039664154 427448.571428878, 184743.339638654 427440.237037144, 184738.974004888 427432.696397004, 184736.989625904 427423.568253675, 184738.180253294 427414.836986144, 184746.117769232 427406.105718613, 184753.261533576 427403.724463832, 184763.977180091 427402.930712238, 184778.661584576 427408.883849191, 184789.377231091 427421.583874691, 184792.949113263 427430.712018019, 184788.980355294 427441.427664535, 184775.883453998 427448.968304675, 184763.977180091 427448.571428878))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d7,19,"Dr Jan Berendsstraat 24, De Ruyterstraat",VOCL,Tetrachlooretheen (PER),"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",20-30 m-mv,20-22 m-mv,Ja,-,2562 (OO1) 3862 (NO 1) 799 (VO 1) 197 (OO1) 1996 (NO 3),"POLYGON ((187156.899611457 428123.627146409, 187141.289163447 428119.724534406, 187131.14237224 428108.016698398, 187131.14237224 428090.845205587, 187123.337148235 428020.59818954, 187115.531924229 427908.202963865, 187121.776103434 427795.80773819, 187131.92289464 427705.26713973, 187155.338566656 427660.7773629, 187181.876328274 427624.873332476, 187235.73237391 427592.871914055, 187268.514314731 427578.822510845, 187311.44304676 427574.139376442, 187363.738047595 427582.725122848, 187437.887675645 427608.482362065, 187470.669616466 427627.995422078, 187500.329467686 427659.216318099, 187513.598348495 427695.900870923, 187506.57364689 427717.755498138, 187483.938497275 427746.634826957, 187423.057750035 427823.906544609, 187340.322375579 427909.764008666, 187308.320957158 427944.106994289, 187271.636404334 428003.426696729, 187241.976553114 428051.819085561, 187207.633567491 428097.089384791, 187178.754238672 428116.602444804, 187164.704835462 428125.18819121, 187152.996999454 428124.407668809, 187156.899611457 428123.627146409))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d6,21,Energieweg 19,Metalen,Kwik,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Aangetroffen op 2-3 m-mv Niet in de diepte afgeperkt!,"1,9 m-mv",Nee,-,647 (VO 1),"POLYGON ((185402.403915895 428741.048171203, 185399.546410157 428741.61967235, 185397.260405567 428741.048171203, 185394.021899065 428739.143167378, 185392.307395622 428736.28566164, 185392.307395622 428733.23765552, 185392.497896005 428730.380149783, 185393.831398682 428728.284645575, 185396.117403272 428726.37964175, 185397.45090595 428725.61764022, 185399.355909775 428725.427139838, 185402.594416277 428725.427139838, 185405.261421632 428726.951142898, 185407.166425457 428728.284645575, 185408.8809289 428731.142151313, 185409.071429282 428733.99965705, 185408.690428517 428735.904660875, 185406.404423927 428738.57166623, 185404.499420102 428739.714668525, 185402.403915895 428741.048171203))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d5,23,Fabrieksweg,Minerale Olie,Minerale Olie (totaal),"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Onbekend,"3,42-4,10 m-mv",Mogelijk,-,1301 (VO 1),"POLYGON ((185896.14322474 429374.321657101, 185886.522955424 429355.882807578, 185879.708597992 429339.44818083, 185876.501841553 429326.621155075, 185874.497618779 429315.798352094, 185876.501841553 429304.574704558, 185878.506064327 429296.156968907, 185884.51873265 429293.351057023, 185890.130556418 429291.346834248, 185898.147447514 429292.549367913, 185903.759271282 429300.967103565, 185912.177006934 429324.616932301, 185915.784607928 429352.275206585, 185914.982918818 429370.313211553, 185908.168561386 429379.131791759, 185899.750825734 429378.33010265, 185896.14322474 429374.321657101))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d4,29,Griftdijk Noord 15,Metalen,Nikkel,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 2-3 m-mv, niet in diepte afgeperkt ","2,5 m-mv",Mogelijk,-,615 (VO 1) 950 (VO 2),"POLYGON ((187047.608619498 431057.111746909, 187036.496097185 431053.936740534, 187026.97107806 431045.205473003, 187021.414816904 431032.505447503, 187021.414816904 431021.39292519, 187026.97107806 431016.630415628, 187032.527339217 431011.867906065, 187038.083600373 431009.486651284, 187048.402371092 431006.311644909, 187054.752383842 431005.517893315, 187065.864906154 431011.074154471, 187069.833664123 431018.217918815, 187076.977428467 431030.124192721, 187076.977428467 431040.44296344, 187069.833664123 431050.761734159, 187060.308644998 431058.699250096, 187052.37112906 431058.699250096, 187047.608619498 431057.111746909))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d3,30,Griftdijk 16 en 17,Metalen,Arseen,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 1,2-3,2 m-mv, niet in diepte afgeperkt ","1,35-1,7 m-mv",Mogelijk,-,2282 (VO 1) 2331 (NO 1),"POLYGON ((186660.565182365 432716.976931822, 186656.605949416 432717.529382931, 186653.6595435 432717.345232562, 186650.805212768 432716.056179973, 186648.963709071 432714.951277755, 186647.766731668 432712.833548503, 186647.766731668 432710.807894436, 186649.239934626 432709.426766662, 186652.094265357 432708.229789259, 186657.342550895 432709.242616293, 186663.235362727 432710.992044805, 186666.457994197 432712.925623688, 186667.010445307 432714.582977015, 186666.642144567 432715.687879234, 186663.511588281 432716.792781452, 186660.565182365 432716.976931822))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d2,32,Griftdijk Noord 44,Metalen,Arseen,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 1,3-2,3 m-mv, niet in diepte afgeperkt ","1,3 m-mv",Mogelijk,-,847 (VO 1),"POLYGON ((187052.432091922 431892.975015027, 187048.622084272 431892.763347935, 187046.505413355 431891.070011202, 187045.447077897 431887.895004827, 187045.447077897 431884.719998452, 187046.082079172 431882.391660443, 187047.14041463 431880.063322435, 187049.68041973 431878.581652793, 187051.797090647 431877.734984427, 187055.395431205 431878.793319885, 187057.723769213 431880.69832371, 187058.993771763 431883.661662993, 187059.628773038 431885.354999727, 187060.052107222 431887.471670643, 187057.723769213 431891.070011202, 187053.067093197 431893.186682118, 187052.432091922 431892.975015027))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d1,34,Grootstalselaan,Metalen,Arseen,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 14-15 m-mv, niet in diepte afgeperkt ",7-8 m-mv,Ja,-,Briefrapport MO grondwater december 2006 voormalige stortplaats Grootstal te Nijmegen,"POLYGON ((186278.113635298 424461.203031609, 186270.938120891 424470.172424619, 186264.958525551 424472.564262754, 186258.380970678 424471.96630322, 186252.999334872 424470.770384153, 186248.813618135 424461.203031609, 186249.411577668 424450.439759998, 186254.793213474 424431.305054911, 186262.566687416 424406.788714019, 186273.927918561 424390.643806602, 186285.289149706 424387.654008932, 186292.464664113 424390.045847068, 186297.846299919 424393.633604272, 186299.640178521 424399.613199611, 186296.650380851 424416.356066562, 186291.86670458 424435.490771649, 186278.113635298 424461.203031609))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54d0,42,Leuvensbroek b,Metalen,Lood,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 2,1 m-mv, niet in diepte afgeperkt.","3,1 m-mv",Mogelijk,-,90 (VO 1),"POLYGON ((181998.612468293 427322.228706469, 181988.134947256 427316.116819197, 181982.314102235 427305.348255908, 181982.605144486 427291.96031236, 181989.590158511 427282.355918076, 182001.231848553 427276.826115306, 182008.79894708 427277.99028431, 182017.821256862 427283.229044829, 182023.933144134 427290.214058854, 182026.261482142 427302.437833398, 182025.970439891 427308.54972067, 182017.821256862 427317.572030452, 182009.963116084 427322.51974872, 181998.612468293 427322.228706469))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54cf,49,Microweg b,Metalen,"Chroom, Zink","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 1,7-2,8 m-mv, niet in diepte afgeperkt","1,7 m-mv",Mogelijk,-,56 (VO 1),"POLYGON ((183822.078973792 428056.101620967, 183819.919969457 428055.831745425, 183817.221214038 428054.077554403, 183815.332085245 428051.378798984, 183814.52245862 428048.275230252, 183815.601960787 428046.251163688, 183818.030840664 428043.822283811, 183822.213911563 428042.472906102, 183826.666858004 428043.68734604, 183828.96080011 428045.981288146, 183829.095737881 428049.489670191, 183827.611422401 428053.807678861, 183825.452418066 428055.291994341, 183823.833164814 428055.966683196, 183822.078973792 428056.101620967))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54ce,50,Microweg 20,BTEXN,Benzeen,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 1,5-2,5 m-mv, niet in diepte afgeperkt ","1,5 m-mv",Nee,-,1102 (VO 1) 1187 (NO 1) 4440 (VO 2),"POLYGON ((183932.706117792 428002.991701829, 183930.126425113 428001.205760743, 183929.13423562 427999.419819657, 183928.538921925 427996.840126977, 183928.935797722 427994.458872196, 183931.7139283 427993.268244805, 183933.301431488 427993.069806907, 183935.087372573 427993.268244805, 183937.667065253 427994.458872196, 183938.262378948 427996.641689079, 183938.262378948 427998.626068063, 183935.881124167 428001.404198641, 183934.690496777 428002.79326393, 183932.706117792 428002.991701829))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54cd,51,Molenweg 121,VOCL,Tetrachlooretheen (PER),"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 3,1-5,1 m-mv, niet in diepte afgeperkt","3,7 m-mv",Mogelijk,-,3865 (VO 1),"POLYGON ((185917.194294292 427809.516388084, 185915.160967293 427809.376158636, 185914.179361155 427808.604896671, 185913.618443362 427808.043978878, 185913.618443362 427807.06237274, 185913.75867281 427806.010651879, 185914.249475879 427805.589963534, 185915.932229258 427804.748586845, 185917.474753188 427804.748586845, 185919.437965464 427804.888816293, 185920.068997981 427806.150881327, 185919.928768532 427807.342831637, 185919.227621291 427808.464667223, 185918.105785705 427809.306043912, 185917.194294292 427809.516388084))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54cc,56,Nijverheidsweg 30,VOCL,"1,1,1-Trichloorethaan","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op:  2,6-4,7 m-mv, niet in diepte afgeperkt","2,76 m-mv",Ja,-,"1523 (VO 1) 1526 (NO 3), 1525 (NO 2)","POLYGON ((185176.91660411 429562.313519531, 185170.60627894 429549.692869191, 185163.594806528 429532.164188162, 185157.985628599 429517.440096098, 185157.985628599 429508.325181963, 185163.594806528 429504.819445757, 185174.112015145 429502.716004034, 185186.031518245 429505.520592999, 185192.341843415 429513.934359892, 185197.249874103 429537.773366091, 185197.951021344 429555.30204712, 185195.847579621 429562.313519531, 185193.042990656 429568.623844702, 185188.836107209 429572.129580907, 185182.525782039 429570.026139184, 185176.91660411 429562.313519531))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54cb,88,Zandsepad 09,BTEXN,"Xylenen (som), Minerale Olie (totaal)",S-contour overgenomen uit rapport,"2-5,5 m-mv","1,1 m-mv",Ja,-,1750 (VO) 2437 (NO 1),"POLYGON ((188374.850673581 432191.001124702, 188367.895292949 432190.328023351, 188362.061747903 432189.206187765, 188360.603361641 432187.411250828, 188359.369342497 432184.04574407, 188358.808424704 432178.660933258, 188359.818076731 432172.490837536, 188361.725197227 432168.900963661, 188363.85668484 432167.330393841, 188370.475514797 432170.134982806, 188377.767446105 432173.163938888, 188382.927889799 432174.958875825, 188386.742130791 432176.978179879, 188389.097985521 432178.660933258, 188389.21016908 432184.943212539, 188388.985801963 432189.094004206, 188386.966497908 432191.674226054, 188383.937541827 432191.786409612, 188374.850673581 432191.001124702))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54ca,89,Zaligestraat 8,Minerale Olie,Minerale Olie (totaal),I-contour overgenomen uit rapport,"Aangetroffen op 3-5,5 m-mv, verticaal niet afgeperkt",2 m-mv,Nee,-,4290 (VO 1),"POLYGON ((187042.683831463 430342.688726938, 187041.513047862 430342.298465738, 187040.732525461 430340.971577657, 187040.888629941 430339.332480616, 187041.513047862 430337.849488055, 187042.527726983 430336.912861174, 187044.010719544 430337.147017894, 187044.869294184 430337.927540295, 187044.791241944 430339.956898536, 187044.400980744 430341.830152297, 187043.698510583 430342.532622458, 187042.683831463 430342.688726938))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c9,85,Weg door Jonkerbos 053-055,Metalen,"Koper, Zink, Cadmium","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Koper/Zink aangetroffen op 9,5-10 m-mv, niet in diepte afgeperkt.","7,5 m-mv",Mogelijk,-,706 (VO 1) 707 (NO 1) 2929 (VO 1),"POLYGON ((185379.371721163 425685.808328469, 185365.481068272 425688.586459048, 185358.813554885 425680.807693429, 185354.36854596 425670.250797232, 185358.257928769 425661.360779382, 185364.369816041 425651.359509301, 185372.704207776 425649.692630954, 185382.149851741 425650.248257069, 185390.484243476 425660.805153266, 185390.484243476 425671.917675579, 185384.927982319 425682.474571776, 185381.594225626 425687.475206816, 185381.594225626 425685.252702354, 185379.371721163 425685.808328469))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c8,87,Wolfkuilseweg 270,Metalen,Koper,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Aangetroffen op 5-6 m-mv, verticaal niet afgeperkt","1,5-1,9 m-mv",Mogelijk,-,2893 (VO 1),"POLYGON ((185359.350272308 428656.104057576, 185348.013931515 428660.999295646, 185337.965811266 428654.042904704, 185341.057540573 428647.086513763, 185352.909169584 428642.96420802, 185360.123204635 428651.466463615, 185359.350272308 428656.104057576))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c7,70,Thijmstraat 139/141,VOCL,Tetrachlooretheen (PER),"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.","Diepte Thijmstraat onbekend, locatie hoek Thijmstraat/Bredestraat: aangetroffen op 20-22 m-mv, niet in diepte afgeperkt!",Onbekend,Mogelijk,-,9S4420.A0 (NO ontwikkeling Willemskwartier oost),"POLYGON ((187015.603206657 427230.649194584, 187004.115547481 427177.941111303, 187011.098242274 427160.37175021, 187023.937390766 427158.119268018, 187062.229588021 427170.507920071, 187083.402920621 427201.366926095, 187064.482070213 427224.116996229, 187032.496823093 427231.324939242, 187015.603206657 427230.649194584))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c6,15,Derde van Hezewijkstraat 23-25,Metalen,"Chroom, Nikkel",I-contour overgenomen uit rapport,17-28 m-mv,"15,5 m-mv",Ja,-,2280 (NO 5) 4341 (NO 10),"POLYGON ((186455.204308859 427908.811650031, 186438.535525391 427905.636643656, 186426.629251484 427898.492879312, 186414.722977578 427878.649089469, 186380.591659047 427779.43014025, 186376.622901078 427756.411344031, 186382.972913828 427732.598796219, 186406.785461641 427702.436235656, 186430.598009453 427684.179949, 186455.204308859 427675.448681469, 186474.254347109 427678.623687844, 186502.035652891 427704.817490437, 186517.116933172 427742.123815344, 186527.435703891 427814.355210375, 186524.260697516 427857.217796437, 186513.941926797 427879.442841062, 186479.810608266 427902.461637281, 186455.204308859 427908.811650031))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c5,24,Gerstweg 02,VOCL,"Trichlooretheen, cis-1,2-Dichlooretheen, Tetrachlooretheen (PER)","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Cis: 3-63 m-mv Tri: 3-53 m-mv ,5 m-mv,Ja,-,833 (NO 2) 4333 (OO2),"POLYGON ((184895.357731732 426455.765918199, 184838.472200847 426448.489861923, 184786.216887592 426418.062717496, 184761.742880118 426384.989734423, 184738.591791967 426337.364638798, 184720.070921446 426268.572834007, 184714.117784493 426195.150811585, 184729.331356706 426146.202796637, 184759.758501133 426095.931862366, 184803.414838789 426050.952605387, 184878.821240196 426025.15567859, 184933.722392097 426038.384871819, 184987.962084336 426066.166177601, 185044.18615556 426123.713168147, 185069.983082357 426202.426867861, 185075.274759649 426263.942616377, 185058.738268112 426311.567712002, 185028.311123685 426363.823025257, 184988.623543998 426416.078338512, 184937.029690404 426447.828402262, 184895.357731732 426455.765918199))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c4,24,Gerstweg 02,VOCL,"Trichlooretheen, cis-1,2-Dichlooretheen, Tetrachlooretheen (PER)","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Cis: 3-63 m-mv Tri: 3-53 m-mv ,5 m-mv,Ja,-,833 (NO 2) 4333 (OO2),"POLYGON ((184713.456324831 426336.041719476, 184688.320857696 426339.349017783, 184645.325979701 426334.057340491, 184616.883214258 426328.104203538, 184606.961319336 426320.828147262, 184602.992561368 426292.385381819, 184647.310358685 426201.103948538, 184717.4250828 426121.067329502, 184784.893968269 426072.780774215, 184862.946208321 426045.660928095, 184964.149536524 426033.093194528, 185047.493453868 426040.369250804, 185086.519573894 426065.504717939, 185117.608177982 426104.530837965, 185108.347742722 426158.770530205, 185086.519573894 426189.197674632, 185042.863236237 426222.932117366, 184956.212020586 426265.265535699, 184891.388973763 426306.937494371, 184806.722137097 426330.750042184, 184713.456324831 426336.041719476))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c3,54,Nieuwe Ubbergseweg 160,BTEXN,Xylenen,"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Onbekend,2 m-mv,Ja,-,papieren rapport MOsrapportage door Geofox-Lexmond bv,"POLYGON ((189853.433198074 428132.054813439, 189845.894085838 428131.077521112, 189842.26414291 428126.749512236, 189842.12452972 428121.164984653, 189844.079114374 428110.693995437, 189850.780547473 428106.924439319, 189858.598886088 428107.762118456, 189867.53413022 428113.486259228, 189869.628328063 428120.606531895, 189867.952969788 428126.749512236, 189861.1119235 428131.915200249, 189853.433198074 428132.054813439))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c2,57,Nijverheidsweg 34,VOCL,"Tetrachlooretheen (PER), Chroom","Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",Onbekend,"2,95 m-mv",Ja,-,360 (NO 1) 4336 (NUO),"POLYGON ((185116.085030738 429462.563393519, 185109.473079962 429464.18264677, 185103.535818041 429463.642895686, 185100.297311538 429459.594762558, 185099.217809371 429456.086380514, 185100.162373767 429450.688869676, 185106.36951123 429445.696172152, 185116.624781822 429439.75891023, 185125.395736933 429437.330030354, 185130.523372228 429438.409532521, 185135.246194211 429442.052852336, 185135.381131982 429445.156421068, 185133.087189876 429449.474429738, 185125.800550245 429456.356256056, 185116.085030738 429462.563393519))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c1,61,Oude Weurtseweg 9-13,VOCL,Tetrachlooretheen (PER),"Contour door medewerker gemeente ingeschat, op basis van informatie rapport. Exacte grenzen verontreiniging niet bekend.",6-12 m-mv,"4,43 m-mv",Ja,-,MO bodem/grondwatersanering door Tauw (papieren rapport),"POLYGON ((186966.706574852 428774.399340734, 186958.769058914 428775.589968125, 186952.419046164 428774.002464937, 186949.244039789 428770.033706969, 186946.862785008 428766.461824797, 186947.656536602 428759.71493625, 186950.43466718 428752.968047703, 186955.594052539 428747.411786547, 186959.959686305 428745.030531766, 186968.690953836 428746.618034953, 186972.659711805 428749.396165531, 186975.83471818 428753.761799297, 186977.02534557 428758.524308859, 186977.02534557 428764.874321609, 186973.850339195 428770.430582766, 186966.706574852 428774.399340734))"
MIL_WAT_GWVERONT.fid-36cc8544_1861f90ef02_-54c0,84,Weezenhof 50-08,VOCL,"Tetrachlooretheen (PER), cis-1,2-Dichlooretheen",S-contour overgenomen uit rapport,"Aangetroffen op 2-3 m-mv, niet in diepte afgeperkt","1,9-2,18 m-mv",Ja,-,3642 (NO 1),"POLYGON ((183955.099721324 423769.156486286, 183963.635338718 423768.302924547, 183968.650013937 423768.943095851, 183971.85087046 423771.610476287, 183973.771384373 423773.317599766, 183984.867686985 423786.974587596, 183990.309143074 423795.403509772, 183992.656437857 423812.261354125, 183983.480649159 423822.717485433, 183968.436623502 423830.399541087, 183937.281620014 423830.719626739, 183922.344289575 423825.811646738, 183916.262662182 423811.621182821, 183916.582747834 423806.713202819, 183935.467801318 423783.026864551, 183955.099721324 423769.156486286))"
