Lichtmastn,latitude,longitude
DVR01290-0301,52.2619055124,6.1610197308
DVR01290-0303,52.2615000427,6.1608848746
DVR06640-0302,52.2641847728,6.1411055555
DVR03080-0308,52.2586231877,6.181664459
DVR02220-0302,52.2617385849,6.1543511414
DVR02220-0304,52.2623312693,6.153880261
DVR00345-0302,52.2738739532,6.1619897936
DVR02810-0312,52.2617697105,6.1416221122
DVR02870-0425,52.2474660072,6.2093539161
DVR01380-0301,52.2635346161,6.1496950681
DVR01380-0302,52.2634393506,6.1494556275
DVR01380-0303,52.2633135569,6.1495706459
DVR01380-0304,52.2631936629,6.1497212877
DVR01310-0303,52.261390753,6.1615161667
DVR03980-0601,52.258483645,6.164127917
DVR03423-0302,52.2738596147,6.1623362173
DVR05510-0301,52.2578034135,6.1763940699
DVR06640-0401,52.2648251124,6.1392501408
DVR06640-0402,52.2646884687,6.1389106532
DVR08130-0970,52.2745642151,6.1616993914
DVR08430-000129,52.2531474363,6.1931951102
DVR08430-000657,52.2530644054,6.1930088779
DVR09371-0602,52.2897375816,6.1580416966
DVR10940-0310,52.2780410641,6.274079459
DVR10560-0001,52.2930296961,6.2805180531
DVR10850-0002,52.2811940849,6.3274039987
000083,52.2954709517,6.3144344557
003250,52.2589490727,6.2632020674
DVR06605-0001,52.2754959012,6.2692102399
DVR02220-0308,52.2631699157,6.1540632256
DVR07420-0302,52.2602379836,6.1750342034
DVR70002-0001,52.248026209,6.2972924801
DVR70002-0002,52.2479818153,6.2975340969
DVR70002-0003,52.2480157524,6.2979592104
DVR70002-0004,52.2481125014,6.2978226049
DVR70002-0601,52.2480934152,6.2982293108
DVR70002-0602,52.2483005892,6.2982508766
DVR70003-0001,52.252015609,6.2798477597
DVR70003-0002,52.252025966,6.2802352218
DVR70003-0003,52.252037783,6.2806014824
DVR70003-0004,52.2520519402,6.281043847
DVR70003-0005,52.2520689408,6.2814957763
DVR70003-0006,52.252084482,6.2819264466
DVR70003-0007,52.2520959691,6.2823354838
DVR70003-0008,52.2521156289,6.2828207427
DVR70003-0009,52.2521274735,6.2831822521
DVR70003-0010,52.2521384872,6.2836530768
DVR70003-0011,52.2521290079,6.2841329959
DVR70000-0701,52.2514761118,6.2815529454
DVR70000-0702,52.2516642021,6.2813713397
DVR70000-0703,52.2517972784,6.2815487402
DVR70000-0704,52.2518062348,6.2818780686
DVR70005-0001,52.2511989123,6.2800167575
DVR70005-0002,52.2512113952,6.2805088305
DVR70005-0003,52.2512291532,6.2808609435
DVR70005-0004,52.2512402845,6.2813174997
DVR70005-0005,52.2512505685,6.2816720014
DVR70005-0007,52.2514941539,6.2822520721
DVR70005-0008,52.2517539449,6.2822335313
DVR70010-0002,52.2517096373,6.336755914
DVR70010-0003,52.2519054065,6.3371430643
DVR70010-0004,52.2520773876,6.3374904304
DVR70010-0005,52.2523019411,6.3378367399
DVR70010-0006,52.2524756573,6.3381765121
DVR70010-0007,52.2526235324,6.3385233714
DVR70010-0008,52.2527837745,6.3388312175
DVR70011-0001,52.2481383769,6.28241168
DVR70011-0002,52.2480317174,6.2827787681
DVR70011-0003,52.2479417568,6.2831001689
DVR70011-0004,52.2478489144,6.2834167572
DVR70012-0001,52.252113181,6.2979456063
DVR70012-0002,52.2518858279,6.2979951321
DVR70012-0003,52.2516514749,6.2980509702
DVR70012-0004,52.2513959263,6.2980977113
DVR70013-0001,52.2495477316,6.2765451057
DVR70013-0002,52.2497529788,6.2763657622
DVR70013-0003,52.2498511577,6.2762931365
DVR70013-0004,52.2500099347,6.2761606725
DVR70013-0005,52.2501671717,6.276029773
DVR70015-0001,52.2527710083,6.3391277265
DVR70015-0002,52.2526577163,6.3397243189
DVR70015-0003,52.2525390295,6.3402422334
DVR70015-0004,52.2524204197,6.3407503269
DVR70015-0005,52.2522643843,6.3414147329
DVR70015-0007,52.2509284059,6.3454311592
DVR70015-0009,52.2427482103,6.3478845676
DVR70016-0001,52.2500642809,6.2838559143
DVR70016-0002,52.250001318,6.2834816723
DVR70016-0003,52.2499739157,6.283248207
DVR70016-0004,52.2499021485,6.2827096356
DVR70016-0005,52.2498013703,6.2823628283
DVR70016-0006,52.2496051055,6.2820619619
DVR70016-0007,52.2493905456,6.2818865284
DVR70016-0008,52.2491571685,6.2817129315
DVR70016-0009,52.2489686088,6.2815712966
DVR70016-0010,52.248768453,6.2814199235
DVR70016-0011,52.2484940949,6.2812220693
DVR70016-0012,52.248295612,6.2810634395
DVR70016-0013,52.2480576786,6.2808922997
DVR70017-0001,52.2485180835,6.292571043
DVR70017-0002,52.2483305272,6.2926039627
DVR70017-0003,52.2481723047,6.2925986532
DVR70017-0004,52.2480016477,6.2927046092
DVR70017-0005,52.247852174,6.292748047
DVR70017-0006,52.2477386867,6.2929882609
DVR70017-0007,52.2477231572,6.2931460578
DVR70017-0008,52.2476669445,6.2935433441
DVR70017-0009,52.2476223591,6.2938109434
DVR70017-0010,52.2474806779,6.2940483739
DVR70017-0011,52.2473115946,6.2941250852
DVR70017-0012,52.2471355151,6.2942081102
DVR70017-0013,52.246985947,6.2943003366
DVR70017-0014,52.2470311259,6.2946477144
DVR70017-0601,52.2471135128,6.2949958523
DVR70017-0602,52.2471629893,6.2952631632
DVR70017-0603,52.2473701639,6.2952847146
