FID,ZAAKNUMMER,STATUS,LAT,LON,BEGINDATUM,EINDDATUM,DATASETNAAM,CATEGORIE,AANTAL_STEMMEN,DESCRIPTION,MEDIA1,MEDIA2,MEDIA3,GEOM
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-3342,0014ESUITE481122023,open,53.2052,6.5056,2023-02-02 20:10:09.770416,null,Openbare Verlichting,Openbare verlichting; Meer dan 3 lampen branden niet in de straat,1,HPT0wBC1tGichtVyXiLXtxOj9B5SJit34GlJXomLrb1wEAWowUb/W44XZvmcquQNMx55WznzDtY3SGBbBq0fEg==,null,null,null,POINT (229729.973 580419.932)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-3341,0014ESUITE481082023,open,53.2476,6.599,2023-02-02 20:06:06.763748,null,Openbare Verlichting,Openbare verlichting; Lamp brandt niet,1,2NzNPniQza0wc/Ia1mV0Gg==,null,null,null,POINT (235887.186 585243.408)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-3340,0014ESUITE480932023,open,53.2257,6.5136,2023-02-02 19:16:14.426804,null,Melding Openbare Ruimte,Vervuiling openbare ruimte; Fiets,1,oYpIAg84ZuhrPV+cvcHv12xNBJRR2liOBYSSe2Y2JXAjqx4l70NPKxcvpFpStKTaDo7U0Zgw/t4dsGSt2JVUI1On1NqVYDlepylW/U74hl0i56TkvfR/DwWq2UQcEedMl1yukMqIEZ5UhySQxrRmi146cwXpbH9iqFUfu7c0eAA129DUEgdpr+wjb1iNYnSP,null,null,null,POINT (230223.008 582707.646)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333f,0014ESUITE480612023,open,53.2355,6.6123,2023-02-02 18:27:20.437636,null,Melding Openbare Ruimte,Verkeer; Gevaarlijke kruispunten en situaties,1,S91gBBxj2Q6yhSRbjic/0UZMSjGlEhStCS0J/34JYmfNSV4VlqptHtB6V+TgteZJ2NzNPniQza0wc/Ia1mV0Gg==,null,null,null,POINT (236795.144 583908.019)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333e,0014ESUITE480422023,open,53.1984,6.5586,2023-02-02 17:53:59.556044,null,Openbare Verlichting,Openbare verlichting; Overig,1,OUzIOD6akcHbRZdXUJgmgyOgPNi330yC1OzstYrd7sg=,null,null,null,POINT (233279.59 579725.187)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333d,0014ESUITE480402023,open,53.2119,6.5807,2023-02-02 17:52:43.497944,null,Melding Openbare Ruimte,Afval; Grofvuil,1,Dfpp7UZV0QYOdTgQHgB94rQAAZ5oyz/OFMYROcu1aBIKRrvXrfM8/LkQFtvVn0usCkTKnLjUWfJfrdSUYl8ZQG1+UKHjHXY/bfHE6UE1oFE=,null,null,null,POINT (234731.84 581246.882)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333c,0014ESUITE480182023,open,53.1989,6.5793,2023-02-02 17:30:50.542688,null,Melding Openbare Ruimte,Openbare verlichting; Overig,1,rhV4p7CvkIemG4VL72Bau2oqhShDzFnFTgMWtzZ6Z106hlKx4weBRyLi8F6rrysSn5Ff5YTZvhF6ZEgbTUjw6KlwtrSIUtIkG7ZIp0Tl4VJ8C/3eNSVBLZTTMaWYQDcaqDd4DyxCZR+9agANqGNYNIpPf8RSIBs0oCZP5riA7BNEjiMq2WGRWl34sne17lcSwZGWikTFdcFmuOl5VaMYcquRfOarlDUMrRwA7+5znc+NAtYtDrxbe4K5hbnmiiBVLLg2R7haEHitWdT3sFOdfU6pawA1LEux0fWF2J8rZ4pQxXgbC3Xiy1K4DFnFYmTvXCsrnTe2yBtcLQma2RAiA/+i11SdD+Atar3F94UxTaaKzr5yQOSBiwlbkHYT3ll9Ir5Jv8LIgLrRbqpKXwmPJ7PA6Cv4qXsfHeaCoRm6Oan3Tf2yGvJZNWOao/4Q6UCkgVI+25r1RYHTCZz4oFA2V1URXBtkK/Zgk/ZQE4QjM9YpyfKHvwSIk5CCvUfsxL97ppkqYtwHKsA4GZePY1IvgA==,null,null,null,POINT (234662.996 579802.376)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333b,0014ESUITE479812023,open,53.224,6.5527,2023-02-02 16:56:40.000022,null,Melding Openbare Ruimte,Wegen; Kapot / verzakt / opgedrukt,1,BeYu+pD0FPtifLVNbBtsuovTnZ+zeGJLuT8xtosBCDrjOp09MNV+1qJRkxEa6T8OzRXbNJ0TeGdvkjKxcYdC3ngPLMw3CBfaQm4KTobz99Mel+NGawePyQzRt0Xs3ZG/IEIEfsxRf7YTQL9ItN0hyBFo1Z3M0bpW6BY541gR0Bk=,63dbdd37e90aa304769b2a79,null,null,POINT (232839.455 582558.632)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-333a,0014ESUITE479542023,open,53.2183,6.5643,2023-02-02 16:41:28.496704,null,Melding Openbare Ruimte,Verkeer; Overig,1,EphS8EnPiBAfWo//IQS4WDkt6QtHiFi7tH/qdZBbztdtBWgcrpRHGZXwRWqlSu/YGQjcUSMsZnDwR7o+BlWPOCLXomgzJoU8wZKVoaU1rspKVsIYsFe4+Tgo4lS2S/6XqROHDrZ+9R0CXXQQQGBb5S6ScltoSB0QFoDCmiF75+cSKlLvQVt+cZk6aB/7VZOMGMbltVWesECEuOZic7f1Q2Qk4EXsj6VmWqjI+bT53RiQWBkMlieq+pLXcn3BtEVK0fzo0v3Lp2QO9W2VcgfnYvQPkJLoVMZbATgKh9rvyetyJ85aJjvGmKmQW+UCoIKQn4y5FQtAeuyBcT7S3IOsUxybhqibkTxZLG0OimiKz53botW2njR4MX9PuUviappcypzH8/vZU1fsBD0gJtKEoA==,null,null,null,POINT (233627.128 581936.081)
MELDINGEN_OPENBARE_RUIMTE.fid-214b96d3_1861f3a11df_-3339,0014ESUITE479492023,open,53.2368,6.6063,2023-02-02 16:39:21.253255,null,Melding Openbare Ruimte,Groen; Snoeien,1,BORy7zpSL1yMhvX72fQHhvbp7yjkUDiHiAmxB8+RTEYmXYRFSy0vSc1OFco6i5U7Hxx6aUoSqVcRLqaHfBBDgXzod0dRsnKrs4YsNtGn5Nh++MbrTlI25gW36PXYogG/kJVMpDPuCMLn4AhUC5CSxv4qFZdeRigxnRNzRsUYteEvTmGv0aK92umWpj83XzAoG81BLhGXDBPh7QEJfQPbTsEAGjDr2gHlvm0QQhbgl9QpIobKLhrmBznWQ1uBVKVtBJBHOLIe61kWztF9JZSKMQ==,null,null,null,POINT (236397.957 584042.418)
