Stembureau_naam;Stembureau_nummer;Stembureau_adres;Stembureau_plaats;BVD;PvdA;VVD;GL;CDA;CUSGP;D66;WEK;SP;VSP;Geldig;Blanco;Ongeldig;Oproep;
1 Stadhuis;1;Stadhuis ingang Voorstraat 367 3300 AA;Dordrecht;227;57;89;88;38;38;113;22;118;20;810;2;3;1471;
2 Stadskantoor;2;Stadskantoor Spuiboulevard 300 3311 GR;Dordrecht;273;98;99;125;86;73;203;22;134;34;1147;6;10;1446;
3 Het Praathuis;3;Het Praathuis Marienbornstraat 3 A 3311 XN;Dordrecht;87;56;15;71;11;23;69;16;70;20;438;0;2;1248;
4 Centrum Stapal;4;Centrum Stapal Otto Dickeplein 1 3311 TV;Dordrecht;253;72;68;50;40;20;78;13;73;68;735;3;4;1298;
5 Schoolgebouw;5;Schoolgebouw Vest 92 3311 TX;Dordrecht;167;63;36;101;47;15;50;9;88;21;597;7;2;1377;
6 Wielborgh, het Stadswiel;6;Wielborgh, het Stadswiel Beverwijckstraat 49 3311 GB;Dordrecht;201;50;92;54;45;25;70;9;66;37;649;1;1;1454;
7 Schoolgebouw;7;Schoolgebouw Blekersdijk 94 3311 LG;Dordrecht;172;69;66;69;56;47;111;15;90;18;713;1;1;1388;
8 Kunstkerk;8;Kunstkerk Museumstraat 65 3311 XP;Dordrecht;129;64;55;59;35;18;104;8;94;26;592;1;6;1458;
9 Regiokantoor;9;Regiokantoor Noordendijk 250 3311 RR;Dordrecht;192;124;56;102;50;25;78;9;93;20;749;0;10;1471;
10 Schoolgebouw;10;Schoolgebouw Oranje Vrijstaatplein 2 3312 EP;Dordrecht;200;54;42;64;41;62;77;16;81;20;657;2;1;1369;
11 Stadhuis (extra);11;Stadhuis (extra) ingang Voorstraat 367 3311 CT;Dordrecht;161;47;93;64;39;37;118;12;80;9;660;3;4;0;
15 Schoolgebouw;15;Schoolgebouw Vogelplein 44 3312 GS;Dordrecht;340;57;59;126;87;84;133;14;114;28;1042;5;6;1294;
17 Lokalencomplex;17;Lokalencomplex Aalscholverstraat 2 3312 RG;Dordrecht;142;44;9;37;34;43;58;5;39;12;423;0;0;962;
18 Werkplaats Oost;18;Werkplaats Oost Madoerastraat 2 3312 CJ;Dordrecht;148;35;36;60;26;47;67;10;39;16;484;1;3;1269;
19 Kerkgebouw Pinkstergemeente;19;Kerkgebouw Pinkstergemeente Noordendijk 262 3312 AM;Dordrecht;175;36;92;15;56;61;58;12;51;22;578;1;3;1465;
20 De Vrije school;20;De Vrije school Dubbelmondestraat 1 3312 NB;Dordrecht;201;76;24;82;49;88;79;7;82;38;726;0;1;1307;
22 School de Repelaer;22;School de Repelaer Standhasenstraat 47 3312 LN;Dordrecht;242;67;46;66;79;146;108;15;72;29;870;2;0;1569;
25 Buurthuis Staart-West;25;Buurthuis Staart-West Maasstraat 25 3313 GE;Dordrecht;95;61;17;27;14;39;21;6;33;25;338;4;0;903;
26 Wantijschool;26;Wantijschool Maasstraat 204 3313 GL;Dordrecht;115;47;23;14;12;29;19;12;53;23;347;1;4;845;
27 School de Regenboog;27;School de Regenboog Volkerakweg 60 3313 BN;Dordrecht;191;58;17;9;49;36;35;7;59;55;516;2;1;1380;
29 Woon- en Zorgcentr. Merwelanden;29;Woon- en Zorgcentr. Merwelanden Haringvlietstraat 515 3313 EM;Dordrecht;221;127;30;15;55;28;27;16;56;72;647;4;5;1271;
30 Zorgcentrum Thureborgh;30;Zorgcentrum Thureborgh Mauritsweg 157 3314 JG;Dordrecht;151;40;28;52;42;78;55;9;53;34;542;3;1;1410;
33 Soc. Cultureel Centrum Aksa;33;Soc. Cultureel Centrum Aksa Willem de Zwijgerlaan 1 3314 NX;Dordrecht;90;180;16;16;115;24;37;9;54;26;567;8;2;1410;
34 Prinsemarij;34;Prinsemarij Nassauweg 2 3314 JR;Dordrecht;152;79;30;32;68;52;42;4;76;48;583;4;2;1345;
36 Gebouw Dorswedo;36;Gebouw Dorswedo Brouwersdijk 4 3314 GR;Dordrecht;235;47;35;49;64;84;43;18;58;57;690;1;0;1326;
37 Prins Bernhardschool;37;Prins Bernhardschool Willaertstraat 2 3314 WZ;Dordrecht;217;41;29;21;58;84;47;2;57;42;598;3;4;1509;
38 Het Weizigt NMC;38;Het Weizigt NMC Van Baerleplantsoen 30 A 3314 BH;Dordrecht;169;71;37;42;73;76;79;16;77;19;659;0;1;1540;
39 Julianakerk;39;Julianakerk Mauritsweg 286 3314 LT;Dordrecht;147;124;23;47;55;106;22;5;58;22;609;2;3;1307;
