ISIL codes door het Nationaal Archief toegekend aan Nederlandse archiefinstellingen;;;
Plaats;Instelling;ISIL code;Toegekend op
Alkmaar;Regionaal Archief Alkmaar;NL-AmrRAA;18-8-2009
Almelo;Gemeente Almelo;NL-AmlHA;28-8-2015
Alphen aan den Rijn;Streekarchief Rijnlands Midden;NL-AlSARM;2-3-2009
Amersfoort;Archief Eemland;NL-AmfAE;8-6-2009
Amsterdam;Anne Frank Stichting;NL-AsdAFS;30-8-2012
Amsterdam;NIOD;NL-AsdNIOD;20-2-2012
Amsterdam;Rijksmuseum;NL-AsdRM;7-3-2013
Amsterdam;Stadsarchief Amsterdam;NL-AsdSAA;21-11-2008
Amsterdam;Universiteitsbibliotheek van Amsterdam ;NL-AsdUvA;15-10-2012
Amsterdam;ATRIA;NL-AsdATRIA;31-3-2014
Amsterdam;Joods Historisch Museum;NL-AsdJHM;19-2-2015
Amsterdam;Stichting Amstel 218;NL-AsdSA218;24-2-2015
Amsterdam;Waterschap Amstel, Gooi en Vecht ;NL-AsdWAGV;21-5-2015
Amsterdam;Internationaal Instituut voor Sociale Geschiedenis;NL-AsdIISG;1-5-2016
Appingedam;Gemeente Appingedam;NL-ApgGA;14-11-2014
Arnhem;Gelders Archief;NL-AhGldA;2-5-2013
Arnhem;Stichting Oude Gelderse Kerken ;NL-AhSOGK;12-1-2015
Assen;Drents Archief;NL-AsnDA ;24-8-2009
Assen;Provincie Drenthe;NL-AsnPD;14-11-2014
Avereest ;Historische Vereniging Averees;NL-DdvHVA;8-12-2014
Bedum;Gemeente Bedum;NL-BdmGB;14-11-2014
Beilen;Gemeente Midden-Drenthe;NL-BlGMD;14-11-2014
Bentelo;Vereniging Heemkunde Ambt Delden ;NL-BtloVHAD;27-3-2014
Bergen op Zoom;West Brabants Archief ;NL-BozWBA;16-8-2016
Bolsward;Archief- en Documentatiecentrum voor R.K. Friesland;NL-BwdADRKF;12-10-2015
Borne;Heemkunde Vereniging Borne ;NL-BnHVB;24-12-2013
Borne;Gemeente Borne;NL-BnGB;13-10-2016
Breda;Stadsarchief Breda;NL-BdSA ;13-1-2009
Breukelen;RHC Vecht en Venen;NL-BklVV;4-11-2013
Brielle;Streekarchief Voorne-Putten en Rozenburg ;NL-BleSAVPR;8-6-2009
Broekland;Stichting Historie Broekland ;NL-BkldSHB;17-7-2012
Buitenpost;Gemeente Achtkarspelen;NL-BtpGA;14-11-2014
Burgum;Gemeente Tytsjerksteradiel;NL-BgmGT;14-11-2014
Coevorden;Gemeente Coevorden;NL-CoGC;14-11-2014
Dalfsen;Historische Kring Dalfsen ;NL-DsHKD;16-9-2014
Delden;St. Historisch Centrum Hof van Twente Twentsstreekarchief ;NL-DdnTSA;22-6-2014
Delft;Archief Delft;NL-DtAD;20-2-2012
Delft;Archiefdienst Hoogheemraadschap Delfland ;NL-DtHHD;1-5-2013
Delfzijl;Gemeente Delfzijl;NL-DzGD;14-11-2014
