FID,materiaal,categorie,type,aanlegjaar,geometrie
O10002_Rioolkaart_put_OD.1,PVC/gietijzer,kolk,Straatkolk,1998,MULTIPOINT ((172255.067 508151.471))
O10002_Rioolkaart_put_OD.2,beton/gietijzer,kolk,Trottoirkolk,1982,MULTIPOINT ((172644.859 508933.81))
O10002_Rioolkaart_put_OD.3,beton/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((172612.496 508925.371))
O10002_Rioolkaart_put_OD.4,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172703.299 508895.22))
O10002_Rioolkaart_put_OD.5,beton/gietijzer,kolk,Trottoirkolk,2020,MULTIPOINT ((172710.191 508831.99))
O10002_Rioolkaart_put_OD.6,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((172608.184 508860.541))
O10002_Rioolkaart_put_OD.7,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((172604.578 508830.909))
O10002_Rioolkaart_put_OD.8,beton/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172571.75 508940.041))
O10002_Rioolkaart_put_OD.9,beton/gietijzer,kolk,Trottoirkolk,2017,MULTIPOINT ((172411.769 508993.125))
O10002_Rioolkaart_put_OD.10,PVC/gietijzer,kolk,Trottoirkolk,1994,MULTIPOINT ((172419.062 508981.795))
O10002_Rioolkaart_put_OD.11,beton/gietijzer,kolk,Straatkolk,2020,MULTIPOINT ((172446.622 508929.486))
O10002_Rioolkaart_put_OD.12,PVC/gietijzer,kolk,Trottoirkolk,1977,MULTIPOINT ((172545.534 508885.211))
O10002_Rioolkaart_put_OD.13,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((172566.868 508839.911))
O10002_Rioolkaart_put_OD.14,PVC/gietijzer,kolk,Trottoirkolk,1975,MULTIPOINT ((172508.38 508829.166))
O10002_Rioolkaart_put_OD.15,beton/gietijzer,kolk,Trottoirkolk,1990,MULTIPOINT ((172694.921 508711.407))
O10002_Rioolkaart_put_OD.16,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((172623.657 508782.497))
O10002_Rioolkaart_put_OD.17,beton/gietijzer,kolk,Straatkolk,1978,MULTIPOINT ((172592.924 508811.953))
O10002_Rioolkaart_put_OD.18,beton/gietijzer,kolk,Trottoirkolk,1969,MULTIPOINT ((172650.282 508730.345))
O10002_Rioolkaart_put_OD.19,PVC/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((172737.041 508678.289))
O10002_Rioolkaart_put_OD.20,PVC/gietijzer,kolk,Straatkolk,1969,MULTIPOINT ((172710.016 508691.82))
O10002_Rioolkaart_put_OD.21,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172499.223 508637.677))
O10002_Rioolkaart_put_OD.22,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172521.614 508617.717))
O10002_Rioolkaart_put_OD.23,beton/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172511.896 508679.948))
O10002_Rioolkaart_put_OD.24,PVC/gietijzer,kolk,Trottoirkolk,1974,MULTIPOINT ((172510.95 508663.274))
O10002_Rioolkaart_put_OD.25,PVC/gietijzer,kolk,Trottoirkolk,1994,MULTIPOINT ((172327.6 508913.592))
