OBJECTID,HELLING,LENGTE,Z_BEGIN,Z_EIND,Shape__Length
1,26,135.46959062,9.8371,6.4138,135.469590621856
2,26,4.99996196,-18.6119,-18.7362,4.99996196149963
3,26,5.00001048,-18.757,-18.8821,5.00001047767941
4,26,247.77793714,-1.5819,-7.7751,247.777937136762
5,26,4.75214682,-11.6331,-11.758,4.75214681888261
6,26,10.00001655,-3.2804,-3.5393,10.0000165460951
7,26,54.33910683,8.0919,6.7347,54.3391068253155
8,26,9.93038861,2.9413,2.6868,9.93038861367883
9,26,183.54097925,8.2622,3.6532,183.540979252493
10,26,248.75804754,1.4184,-4.8002,248.758047536623
11,26,4.99993609,-5.4009,-5.5269,4.99993609206711
12,26,377.25411992,0.7466,-8.6858,377.254119914371
13,26,164.12916404,12.363,8.2601,164.129164046191
14,26,208.07500006,-2.5727,-7.7746,208.075000052541
15,26,5.00005085,7.6102,7.4798,5.00005085000563
16,26,129.66076713,11.5696,8.3288,129.660767127089
17,26,848.86009008,9.1137,-12.111,848.860090076777
18,26,216.43194483,27.7707,22.3633,216.431944836642
19,26,4.99998663,-0.2854,-0.4088,4.99998663147196
20,26,469.28531479,-8.4856,-20.219,469.285314789981
21,26,1157.9377774,17.452,-11.5015,1157.93777740572
22,26,8.26406579,10.9981,10.7858,8.26406578414772
23,26,54.45904059,7.9684,6.6083,54.4590405863132
24,26,187.02001964,7.4334,2.7577,187.020019642377
25,26,214.63642869,-2.5342,-7.8989,214.636428693106
26,26,15.77000149,2.5506,2.1488,15.7700014951012
27,26,21.4019481,-2.5351,-3.0863,21.4019481011277
28,26,205.47922507,-4.9414,-10.115,205.479225070844
29,26,180.32083696,10.9461,6.4387,180.320836958354
30,26,155.59704949,-1.814,-5.7031,155.597049494544
31,26,26.37135212,-1.5281,-2.2077,26.3713521224534
32,26,610.39009761,0.9007,-14.4113,610.390097610174
33,26,9.99997334,-5.3092,-5.5629,9.99997333731483
34,26,79.70480928,-3.7127,-5.706,79.7048092833613
35,26,4.99991498,5.3706,5.2458,4.99991498265095
36,26,4.9999402,6.6146,6.4847,4.99994020319055
37,26,131.60306018,-2.5374,-5.8266,131.603060183954
38,26,24.99997377,-2.9375,-3.5792,24.9999737652453
39,26,372.06389663,0.691,-8.6146,372.063896632586
40,26,5.00000794,2.7099,2.5832,5.00000794151924
41,26,20.00000215,3.3273,2.8153,20.0000021547609
42,26,244.179884,-1.6713,-7.7746,244.179884005425
43,26,405.69300427,0.9068,-9.2382,405.693004267958
44,26,5.00004801,2.8681,2.743,5.00004800483286
45,26,73.90999242,-3.1676,-5.0144,73.9099924203115
46,26,354.75088445,-0.7447,-9.6712,354.750884442805
47,26,10.00001875,-20.0537,-20.3128,10.0000187458506
48,26,184.02677208,12.8594,8.2592,184.026772079786
49,26,9.9999597,8.7818,8.5254,9.99995970615531
50,26,187.69162552,-0.1077,-4.7994,187.691625519301
51,26,4.9999393,-11.6585,-11.7906,4.99993929767249
52,26,10.00000869,4.1687,3.9184,10.0000086879394
53,26,198.72413644,2.2786,-2.687,198.724136442474
54,26,4.65553841,2.4459,2.3239,4.65553840781165
55,26,2.14102952,7.3756,7.3178,2.14102952131294
56,26,12.376466,2.2138,1.9005,12.3764660033701
57,26,3.26858154,9.6023,9.52,3.26858154282068
58,26,10.00001875,-20.6162,-20.8671,10.0000187458506
59,26,11.80939713,6.4294,6.1313,11.8093971275344
60,26,232.3674553,4.99,-0.8143,232.367455301744
61,26,244.81634369,28.3642,22.2448,244.816343696536
62,26,1.1206958,8.4261,8.3971,1.12069580235534
63,26,5.00008131,-1.0694,-1.1989,5.00008130501429
64,26,4.9999901,6.2562,6.1292,4.9999900999902
65,26,9.99999813,-5.3316,-5.5857,9.99999813346869
66,26,202.93801786,-15.5045,-20.5834,202.938017857745
67,26,4.99996849,2.8443,2.7153,4.99996849160552
68,26,154.24004004,8.6686,4.8137,154.240040039552
69,26,20.00003485,11.5026,10.9981,20.0000348545809
70,26,14.99995349,-3.1283,-3.513,14.9999534922756
71,26,201.57863387,1.6074,-3.4292,201.578633875287
72,26,29.9999582,-3.1375,-3.9008,29.9999581992484
73,26,4.99996653,5.5651,5.4421,4.99996653380608
74,26,201.57905276,1.6074,-3.4291,201.579052761568
75,26,9.34291715,4.5334,4.2998,9.34291715447825
76,26,574.82187855,0.4094,-13.9628,574.821878544996
77,26,75.92204919,-1.8156,-3.7127,75.9220491907197
78,26,9.99999478,3.5832,3.3265,9.99999477795925
79,26,30.00001045,-4.0279,-4.7953,30.0000104504082
80,26,184.12293262,12.7366,8.1343,184.122932620627
81,26,173.90259087,10.9477,6.5823,173.902590870624
82,26,849.63565546,9.1537,-12.0904,849.635655458423
83,26,123.93610785,-11.1198,-14.2342,123.936107847208
84,26,4.05577241,2.2482,2.1429,4.05577241166542
85,26,152.35854676,8.6215,4.8137,152.358546762163
