FID,omschr,afst_glg,hgte_glg,beginwdl,beginkm,eindwdl,eindkm,kantcode,wegnummer,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
geluids_beperkingen_kenmerk.1,Geluidswand,6.5 -> 6.5,5 -> 5,R,66.51000214,R,66.56700134,T,002,KLK0007947586,L,I,,"LINESTRING (132853.8627000004 450318.19110000134, 132855.50710000098 450375.1673000008)"
geluids_beperkingen_kenmerk.2,Doorzichtig geluidsscherm,6.5 -> 6.5,5 -> 5,R,66.56700134,R,66.59899902,T,002,KLK0007947587,L,I,,"LINESTRING (132852.9395999983 450286.20439999923, 132853.8627000004 450318.19110000134)"
geluids_beperkingen_kenmerk.3,Geluidswal met daarop of -in een scherm,9.5 -> 10,6 -> 6,R,66.69999695,R,66.77700043,T,002,KLK0007947590,L,I,,"LINESTRING (132846.45169999823 450108.3258000016, 132849.61349999905 450185.2608000003)"
geluids_beperkingen_kenmerk.4,Geluidswal met daarop of -in een scherm,10 -> 10,6 -> 6,R,66.77700043,R,67.73400116,T,002,KLK0007947591,L,I,,"LINESTRING (132818.27679999918 449160.75569999963, 132822 449316, 132836 449772, 132842 450000, 132846.45169999823 450108.3258000016)"
geluids_beperkingen_kenmerk.5,Geluidswand,6.5 -> 6.5,6 -> 5,R,77.51599884,R,77.69999695,T,027,KLK0007967270,L,I,,"LINESTRING (138777.55649999902 453700.88650000095, 138736 453636, 138729 453624, 138724 453615, 138720 453609, 138681.81850000098 453544.97250000015)"
geluids_beperkingen_kenmerk.6,Geluidswand,6.5 -> 6.5,5 -> 3,R,77.69999695,R,78,T,027,KLK0007967271,L,I,,"LINESTRING (138960.09490000084 453939.96869999915, 138915 453887, 138793 453725, 138777.55649999902 453700.88650000095)"
geluids_beperkingen_kenmerk.7,Geluidswal,7.5 -> 7.5,3 -> 3,R,169.80999756,R,169.84899902,T,001,KLK0008048654,L,I,,"LINESTRING (260189.4310999997 478903.11459999904, 260170.8638000004 478909.0678999983, 260144.38489999995 478910.1651000008)"
geluids_beperkingen_kenmerk.8,Geluidswal,25 -> 9.5,3 -> 3,R,169.76300049,R,169.81799316,H,001,KLK0008048670,R,I,,"LINESTRING (260098.66230000183 478882.0439000018, 260154.49130000174 478886.4160999991)"
geluids_beperkingen_kenmerk.9,Geluidswal met daarop of -in een scherm,5.5 -> 5.5,6 -> 3,R,23.15600014,R,23.47999954,T,001,KLK0008049307,L,I,,"LINESTRING (141459.07710000128 476368.4829000011, 141449.79410000145 476377.0095999986, 141440.68620000035 476385.67819999903, 141426.3636999987 476399.67020000145, 141413.12959999964 476413.1559999995, 141399.42060000077 476427.7179999985, 141385.9813000001 476442.5476000011, 141375.53390000015 476454.46719999984, 141362.6004000008 476469.69260000065, 141345.54989999905 476490.6435999982, 141329.87629999965 476510.9050000012, 141317.94249999896 476526.9585000016, 141306.4087000005 476543.3029000014, 141291.2969999984 476565.89609999955, 141283.70949999988 476577.81969999894, 141273.3189000003 476594.9096999988, 141266.19530000165 476607.11630000174, 141258.8359999992 476620.16369999945)"
geluids_beperkingen_kenmerk.10,Niet doorzichtig geluidsscherm,5.5 -> 2.5,3 -> 3,R,24.15999985,R,24.22500038,T,001,KLK0008049331,L,I,,"LINESTRING (142023.87429999933 475888.944600001, 141975.59470000118 475930.9574000016)"
