GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,ID,Shape__Area,Shape__Length
132,,132,132__,Moordrecht Aansl. - Rotterdam Kleiweg,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,43.845106,"43,845106",Randstad Zuid,RZ,99791.53371,440943.2455,51.954183035887,4.58406778266233,Prorail,L0004,bestaand,,352.263073,283,ee368ce66fb94aa19270d874dbea4ce0,3,,2018/11/29 13:21:11+00,5924790,0,0
513,a,513,513_a,Geldermalsen,Ut-Btl,Utrecht Centraal - Boxtel ,25.758561,"25,758561",Zuid,Z,147021.879,432712.853739,51.8828908330926,5.27132784827958,Prorail,L0004,bestaand,,2977.329395,283,04e72d55418949c894284596fc054b6b,2,gerealiseerd,2022/09/05 09:50:45+00,5924794,0,0
046,,46,046__,Meteren Aansl. - s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,34.402928,"34,402928",Zuid,Z,146455.751,424351.075167,51.8077241087453,5.26331205654573,Prorail,L0004,bestaand,,109.519589,283,53a5fd4d118e4e1fbc797690f0a56524,1,,2018/12/04 07:40:29+00,5925409,0,0
087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,26.994143,"26,994143",Randstad Noord,RN,140433.597,472214.918312,52.237802518805,5.1739559121107,Prorail,L0004,bestaand,,57.159412,283,36edd48e967543b082e97d09e83abbe1,1,gerealiseerd,2015/05/19 10:35:58+00,5925543,0,0
087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,26.993048,"26,993048",Randstad Noord,RN,140446.85,472220.415644,52.2378522772854,5.17414969461896,Prorail,L0004,bestaand,,70.02061,283,c2c00204762c431e9c4fc0b0732e51af,1,gerealiseerd,2015/05/19 10:35:58+00,5925566,0,0
087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,22.108893,"22,108893",Randstad Noord,RN,139297.7395,476977.189008,52.2805732201843,5.15710631561086,Prorail,L0004,bestaand,,3197.964512,283,13972259fafd4b33990a08370af38e88,1,gerealiseerd,2015/05/19 10:35:58+00,5925569,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,20.027906,"20,027906",Randstad Noord,RN,147541.635411,489588.825,52.3940949849674,5.27763130230261,Prorail,L0004,bestaand,,406.446046,283,e5f4a546e1964f25855beb2dc6dc59c2,2,gerealiseerd,2020/09/18 16:17:41+00,5925570,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,16.970378,"16,970378",Randstad Noord,RN,145303.100529,487653.5835,52.376667015601,5.24480021879453,Prorail,L0004,bestaand,,472.370997,283,443a2b52105e4688859b4055cc49a9cc,2,gerealiseerd,2020/09/18 16:17:58+00,5925574,0,0
,,,,,,,,,,,143581.317,487505.190894,52.3753002505396,5.21952004958238,Prorail,L0004,bestaand,,219.638819,283,0549b1563a474320bd2f0c207bbd222e,4,gerealiseerd,2015/05/20 14:51:55+00,5925614,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,20.064228,"20,064228",Randstad Noord,RN,147578.301419,489602.637,52.3942196169497,5.27816966781947,Prorail,L0004,bestaand,,413.268584,283,3ead8751467a4e489ae8b32b7a53f44d,2,gerealiseerd,2020/09/18 16:18:34+00,5925620,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,39.967938,"39,967938",Randstad Noord,RN,160806.866,502250.505397,52.5079103505085,5.47273499669692,Prorail,L0004,bestaand,,6892.971649,283,4d7b9292220b458cbe5d70d67dc6e13f,4,gerealiseerd,2015/05/20 14:51:56+00,5925623,0,0
135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,15.159966,"15,159966",Randstad Noord,RN,143506.623144,487491.597,52.3751765177033,5.21842363347779,Prorail,L0004,bestaand,,7550.16942,283,28c05c16e4814d75910e072e830faddb,4,gerealiseerd,2015/05/20 14:51:55+00,5925647,0,0
544,a,544,544_a,Breda,Bd-Ehv,Breda - Eindhoven ,0.639208,"0,639208",Zuid,Z,112906.956488,400907.857,51.5954933693377,4.77971241769251,Prorail,L0004,bestaand,,19577.361273,283,ccf51747ea0f445aa48b4e441d1ea1b4,2,,2018/12/05 15:32:16+00,5928389,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,70.055042,"70,055042",Noord-Oost,NO,255428.1615,530100.283649,52.7489373862828,6.87462431848652,Prorail,L0004,bestaand,,71.857171,283,d1f6c699bc8d4633ae3f4f1b40ee154e,2,gerealiseerd,2022/02/11 08:38:16+00,5928648,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,55.336365,"55,336365",Noord-Oost,NO,246228.6665,520386.567006,52.6632849407792,6.73572700666867,Prorail,L0004,bestaand,,296.314211,283,1d659fd65dd049a4a76848a212d8b990,2,gerealiseerd,2015/08/07 13:57:09+00,5928723,0,0
205,,205,205__,Mariënberg - Almelo,Mrb-Aml,Mariënberg - Almelo ,5.937157,"5,937157",Noord-Oost,NO,235367.1665,497282.688689,52.4573943376103,6.56962885111163,Prorail,L0004,bestaand,,175.715319,283,8c09b98d93ae438db17b5ed117306d4a,2,gerealiseerd,2018/01/15 14:45:05+00,5928726,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,59.210138,"59,210138",Noord-Oost,NO,247697.064,523910.739599,52.6947009850707,6.75841458712465,Prorail,L0004,bestaand,,16.327214,283,58fda2cfb1694dd49766f928d026b6fc,1,gerealiseerd,2015/08/07 13:57:01+00,5928872,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,70.023467,"70,023467",Noord-Oost,NO,255405.8495,530077.66227,52.748738275406,6.87428707345461,Prorail,L0004,bestaand,,114.305051,283,006fbac05d654cd8a12fddcce37aa92b,1,gerealiseerd,2015/08/07 13:57:01+00,5928876,0,0
203,,203,203__,Mariënberg - Emmen,Hea-Emn,Herfte Aansl. - Emmen ,75.290919,"75,290919",Noord-Oost,NO,257014.637,534742.759355,52.7903504652484,6.89955253262401,Prorail,L0004,bestaand,,245.622833,283,c336eeae50004992acc8dcb4e3b94fe4,1,gerealiseerd,2020/01/15 10:08:38+00,5928877,0,0
161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,34.135595,"34,135595",Noord-Oost,NO,190698.39328,505175.229,52.5330596863684,5.91331453728098,Prorail,L0004,bestaand,,63.950875,283,b925c2f3001f45a0bcdf7d3a7fcd6aef,3,gerealiseerd,2015/11/02 10:50:28+00,5933861,0,0
