 Programma;Productnaam;Naam aanvrager ;Bedrag 2016 ;Subsidiesoorten;;;;;
Samenleven ;Sport;C.M.V. Soli Deo Gloria ;? 4.523,00;Incidenteel;;;;;
Samenleven ;Sport;Atletiek Vereniging AAA ;? 1.817,00;Incidenteel;;;;;
Samenleven ;Kunst en cultuur;C.O.V. Egberts ;? 900,00;Incidenteel;;;;;
Samenleven ;Sport;Vereniging Alblasserdamse IJsclub ;? 900,00;Incidenteel;;;;;
Samenleven ;Sport;Wielerrondecomite Alblasserwaard ;? 900,00;Incidenteel;;;;;
Samenleven ;Sport;Werkgroep Vakantie Bijbelweek;? 400,00;Incidenteel;;;;;
Samenleven ;Maatsch. Ondersteuning;Stichting Welzijn Alblasserdam ;? 480.118,00;Jaarsubsidie;;;;;
Samenleven ;Kunst en cultuur;Stichting Openbare Bibliotheek A tot Z ;? 382.724,00;Jaarsubsidie;;;;;
Samenleven ;Vastgoed;"Cultureel Centrum ""Landvast""";? 318.000,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Stichting Rivas Zorggroep ;? 314.058,00;Jaarsubsidie;;;;;
Samenleven ;Sportcomplexen ;Beheerstichting Sport Alblasserdam ;? 243.837,00;Jaarsubsidie;;;;;
Samenleven ;Onderwijs Algemeen;St Peuterspeelzalen Papendrecht (WASKO);? 156.145,00;Jaarsubsidie;;;;;
Samenleven ;Kunst en cultuur;Stichting Huisvestiging Bibliotheek;? 112.046,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Jeugd Punt;? 104.966,00;Jaarsubsidie;;;;;
Samenleven ;Maatsch ondersteuning;Stichting Yulius ;? 55.283,00;Jaarsubsidie;;;;;
Samenleven ;Onderwijs Algemeen;St. Reformatorische Peuterspeelzalen Alblasserdam ;? 36.648,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Stichting Ds. G.H. Kerstenonderwijscentrum;? 19.925,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Samenwerkingsverband Passend Verbinden;? 15.120,00;Jaarsubsidie;;;;;
Samenleven ;Vreemdelingen;VluchtelingenWerk Zuidvleugel ;? 4.000,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Stg tot het Verstr v Chr Ond op Geref Grondslag ;? 3.780,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Stichting RST Zorgverleners ;? 3.450,00;Jaarsubsidie;;;;;
Samenleven ;Jeugd;Stichting Voorkom!;? 1.380,00;Jaarsubsidie;;;;;
Actief;Sport;Voetbalvereniging Alblasserdam;? 2.590,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Verenigde Alblasserdamse Hengelaars ;? 2.350,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Clubgebouw V.V. de Alblas ;? 2.130,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Christelijke Korfbal Club Kinderdijk;? 1.820,00;Jeugdwaarderingssubsidie;;;;;
;;Z. & P.C. de Wiekslag;? 1.660,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Alblasserdamse Gymnastiek Vereniging KDO ;? 1.355,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Volleybalvereniging Smash '66;? 1.095,00;Jeugdwaarderingssubsidie;;;;;
;;Alblasserdam Turkse Kulturele Vereniging;? 985,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Vv De Zwerver ;? 730,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Chr muziekver Soli Deo Gloria ;? 620,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Hockeyclub Souburgh ;? 615,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Badmintonclub Alblasserdam BCA ;? 550,00;Jeugdwaarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Stichting Scouting Alblasserdam;? 520,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;ATV Alblasserdamse Tennis Vereniging ;? 290,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Atletiek Vereniging AAA ;? 110,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Muziekvereniging Excelsior ;? 60,00;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Vereniging A-Town B-Boyz ;;Jeugdwaarderingssubsidie;;;;;
Actief;Sport;Podtduivenver De Doorzetters;;Jeugdwaarderingssubsidie;;;;;
Samenleven ;Jeugd;Dienst Gezondheid & Jeugd Zuid-Holland Zuid;? 26.971,00;Projectsubsidie;;;;;
Samenleven ;Jeugd;Samenwerkingsverband Primair Onderwijs Zuid-Hollan ;? 15.120,00;Projectsubsidie;;;;;
Samenleven ;Sportcomplexen ;Stichting Sporthal Molenzicht;? 52.118,00;Investeringssubsidie;;;;;
Actief;Economie;Stichting Voedselbank Alblasserdam;? 12.656,00;Investeringssubsidie;;;;;
Samenleven ;Kunst en cultuur;Chr muziekver Soli Deo Gloria ;? 10.000,00;Waarderingssubsidie;;;;;
Samenleven ;Kunst en cultuur;Muziekvereniging Excelsior ;? 10.000,00;Waarderingssubsidie;;;;;
Samenleven ;Recreatie & toerisme;SFEA (St. Fondsenwerving evenementen Alb);? 8.800,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Stichting Jeugdland ;? 4.593,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Stichting Slachtofferhulp Nederland, regio Zuidwes ;? 4.302,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Stichting Voedselbank Alblasserdam;? 3.000,00;Waarderingssubsidie;;;;;
Samenleven ;Recreatie & toerisme;SFEA (St. Fondsenwerving evenementen Alb);? 2.200,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Stichting Scouting Alblasserdam;? 2.086,00;Waarderingssubsidie;;;;;
Samenleven ;Kunst en cultuur;Historische Vereniging West-Alblasserwaard ;? 1.480,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;De KNV EHBO afd Alblasserdam ;? 2.000,00;Waarderingssubsidie;;;;;
Samenleven ;Recreatie & toerisme;SFEA (St. Fondsenwerving evenementen Alb);? 1.500,00;Waarderingssubsidie;;;;;
;;Speeltuinvereniging Kinderdijk;? 1.370,00;Waarderingssubsidie;;;;;
Samenleven ;Kunst en cultuur;Alblasserdam Turkse Kulturele Vereniging ;? 1.271,00;Waarderingssubsidie;;;;;
Samenleven ;Kunst en cultuur;Stichting Wereldwinkel ;? 1.040,00;Waarderingssubsidie;;;;;
Samenleven ;Kunst en cultuur;St. Het Evenemententeam Alblasserdam ;? 900,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;St Seniorenraad Alblasserdam ;? 825,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Gehandicapten Adviesraad Alblasserdam ;? 825,00;Waarderingssubsidie;;;;;
Samenleven ;Verkeer;VVN afd West Alblasserwaard ;? 687,00;Waarderingssubsidie;;;;;
Samenleven ;Maatsch. ondersteuning;Ned Patientenvereniging;? 522,00;Waarderingssubsidie;;;;;
;;;? 2.442.666,00;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
