Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Schaken,Boven IJ - Nieuwendam,www.sv-bovenij.nl,Damstede college,Rode Kruisstraat 83,1025KM,Amsterdam,Noord,,,,52.39539993,4.92660183
Schaken,De Raadsheer,www.svderaadsheer.nl,De Poort,Kattenburgerstraat 150,1018JH,Amsterdam,Centrum,,,,52.37295641,4.91938985
Schaken,Dovenschaakclub TOG,www.facebook.com/Amsterdamse-Doven-Schaakclub-TOG-1999370573662672,Dovenontmoetingscentrum,Stadhouderskade 89,1073AV,Amsterdam,Centrum,Ja,,,52.35762466,4.89531572
Schaken,Zukertort Amstelveen,www.zukertortamstelveen.nl,Go Centrum,Schokland 14,1181HV,Amsterdam,Zuid,,,,52.31523042,4.86291681
Schaken,Caϊssa,www.caissa-amsterdam.nl,Huis van de Wijk Lydia,Roelof Hartplein 2,1071TR,Amsterdam,Zuid,,,,52.35301894,4.8815695
Schaken,Oosten/toren,www.oostentoren.nl,Koningskerk,James Wattstraat 56,1097DM,Amsterdam,Oost,,,,52.35171324,4.92492702
Schaken,ENPS,schaakclub.blogspot.nl,Pastorie Vredeskerk,Pijnackerstraat 9,1072JS,Amsterdam,Zuid,,,,52.35016976,4.89004124
Schaken,De Volewijckers,www.schaakverenigingdevolewijckers.nl,Sportpark Buiksloterbanne,Baron de Coubertinlaan 6,1034ZK,Amsterdam,Noord,,34290660,ja,52.40119918,4.92028197
Schaken,Het Grasmat,www.hetgrasmat.nl,Sportpark Drie Burg,Fizeaustraat 10,1097SC,Amsterdam,Oost,,,,52.34281351,4.92906986
Schaken,EsPion,www.espion.amsterdam,Torendael,Veluwelaan 21,1079PX,Amsterdam,Zuid,,,,52.33847157,4.89743542
Schaken,Stichting Schaakschool Indische buurt,www.checkmemove.nl,,Makassarplein 1,1095RP,Amsterdam,Oost,,,,52.36468337,4.94155845
Schermen,Rana,www.schermvereniging-rana.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,,,52.34806995,4.88444373
Schermen,Scherm Centrum Amsterdam (SCA),www.schermcentrumamsterdam.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40533778,,52.33911327,4.850591
Schermen,ASVV Esprit,www.schermen-esprit.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,,,52.3779916,4.87847974
Schermen,Contre Temps,www.contretemps.nl,Het Marnix,Marnixplein 1,1015ZN,Amsterdam,Centrum,,,,52.3779916,4.87847974
Schermen,Schermvereniging Zaal Amsterdam Zuid,www.zaalamsterdamzuid.com,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,40530545,,52.33997926,4.85410708
Schermen,Zaal AmsterdamZuid,www.zaalamsterdamzuid.com,Sporthallen Zuid,Burgerweeshuispad 54,1076EP,Amsterdam,Zuid,,,,52.33997926,4.85410708
Skeeler/skate,SKITS,www.skits.nl,Jaap Edenbaan,Radioweg 64,1098NJ,Amsterdam,Oost,,52955214,,52.34897301,4.94536705
Skeeler/skate,Noord,gonoord.com,Noord,Aambeeldstraat 12,1021KB,Amsterdam,Noord,,,,52.38432844,4.92824001
Skeeler/skate,A.S.S.V. Hogerop,www.hogerop.org,Sporthal De Weeren,Beemsterstraat 1,1023TH,Amsterdam,Noord,,40538504,,52.39029624,4.94582561
Skeeler/skate,Survivors RS,www.survivors.nl,Sporthal Oostenburg,Oostenburgergracht 151,1018ND,Amsterdam,Centrum,,40535105,,52.36808996,4.92521155
Skeeler/skate,Skatepark,geen website,Sportpark Kadoelen,Sportpark Kadoelen 4,1035NB,Amsterdam,Noord,,,,52.41498241,4.91030345
Sloeproeien,Het Juiste Tuig,www.hetjuistetuig.com,Hoek Prins Hendrikkade/Kromme Waal,Kromme Waal 5,1011BS,Amsterdam,Centrum,,,,52.37523112,4.90304259
Sloeproeien,Masrova sloeproeivereniging,www.masrova.nl,Masrova,Veemkade 267,1019CZ,Amsterdam,Oost,,40534542,,52.37427222,4.93897434
Sloeproeien,Watersportvereniging De Schinkel,www.wvdeschinkel.nl,WV de Schinkel,Jachthavenweg 140,1081KJ,Amsterdam,Zuid,,40532750,,52.33336026,4.85438707
Sportschieten,Club Kaliber,www.clubkaliber.com,Club Kaliber,Lijnbaansgracht 162-1,1016VX,Amsterdam,Centrum,,34149890,,52.37010602,4.87772289
Sportschieten,Schietsportvereniging Buitenveldert,www.ssvb.nl,Schietbaan,Aalsmeerderdijk 456,1436BM,Aalsmeerderbrug,Buiten Amsterdam,,,,52.2686662,4.73715685
Sportschieten,Cartouche,www.sv-cartouche.nl,Schietbaan,Hoofdweg,2131MB,Hoofddorp,Buiten Amsterdam,,,,52.32517992,4.72022072
Sportschieten,Superschot,www.superschot.nl,Schietbaan,Lijnbaansgracht 162-1,1016VX,Amsterdam,Centrum,,40531725,,52.37010602,4.87772289
Sportschieten,Schietvereniging Euroarms,www.sv-euroarms.nl,Schietbaan,Jan Rebelstraat 15-H,1069CA,Amsterdam,Nieuw-West,,34320173,,52.3611266,4.78562696
Sportschieten,John Wesley Hardin,www.johnwesleyhardin.nl,Schietbaan,Papaverweg 15,1032KE,Amsterdam,Noord,,,,52.39447663,4.91130273
Sportschieten,Shooting '82,www.facebook.com/pg/Shooting-82-180913785615396,Schietbaan,Papaverweg 15,1032KE,Amsterdam,Noord,,,,52.39447663,4.91130273
Sportschieten,SSV Colt45,www.colt45.nl,Schietbaan,Papaverweg 15,1032KE,Amsterdam,Noord,,40530634,,52.39447663,4.91130273
Sportschieten,Schietvereniging Target,www.svtarget.nl,Schietbaan,Julianaplein 1,1097DN,Amsterdam,Oost,,40533802,,52.34686577,4.91890565
Sportschieten,SV 84,www.sv84.nl,Schietbaan,Julianaplein 1,1097DN,Amsterdam,Oost,,,,52.34686577,4.91890565
Sportschieten,S.S.V. 7.62,nl-nl.facebook.com/pg/svhalfweg,Schietbaan Halfweg,Spaarndammerweg 3,1165MR,Halfweg,Buiten Amsterdam,,,,52.38706655,4.74148606
Sportschieten,Shogun,www.svshogun.nl,Schietcentrum ,Jan Rebelstraat 15,1069CA,Amsterdam,Nieuw-West,,40534275,,52.3611266,4.78562696
Sportschieten,Schietsportvereniging Westerpark,www.sv-westerpark.nl,Schietcentrum ,Vredenhofweg 9c,1051LM,Amsterdam,West,,51056143,,52.38355335,4.86366912
Sportschieten,SSV De Vrijheid,www.ssv-devrijheid.nl,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,,,52.33599411,4.95880523
Sportschool,Akademia Training Club,www.akademiatraining.nl,Akademia Training Club,Javaplein 14,1094HW,Amsterdam,Oost,,50476270,,52.36420681,4.93930051
Sportschool,All Sports,www.healthcity.nl/sportscholen/grand-cafe-all-sports,All Sports,Van der Hooplaan 237,1185LN,Amstelveen,Buiten Amsterdam,,,,52.28935453,4.85315491
Sportschool,ASC (USC),www.usc.uva.nl,AMC Sportcentrum,Meibergdreef 27,1105AZ,Amsterdam,Zuidoost,,,,52.29233356,4.95903768
Sportschool,American Fitness,www.americanfitness.nl,American Fitness,Blasiusstraat 144,1091CZ,Amsterdam,Oost,,33176009,,52.3575454,4.91334293
Sportschool,Sportcentrum Amstelcampus (USC),www.usc.uva.nl,Amstelcampus,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,,,52.35863353,4.91002045
Sportschool,Amsterdam Buitenveldert Sportclub,www.amsterdambuitenveldertsportclub.nl,Amsterdam Buitenveldert Sportclub,Noordhollandstraat 59,1081AS,Amsterdam,Zuid,,65380746,,52.32513389,4.86592738
Sportschool,Apollo Health en Fitness,www.apollohealth.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,,,52.34806995,4.88444373
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Amstelstraat 22,1017DA,Amsterdam,Centrum,,37092459,,52.36609885,4.89936216
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Koningin Wilhelminaplein 13,1062HH,Amsterdam,Nieuw-West,,37092459,,52.35455594,4.84112747
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Distelweg 80,1031HH,Amsterdam,Noord,,37092459,,52.39399237,4.90269872
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Stadhouderskade 74-75,1072AE,Amsterdam,West,,37092459,,52.35800831,4.89033509
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Arent Janszoon Ernststraat 1,1083GP,Amsterdam,Zuid,,37092459,,52.33180442,4.88924922
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Europaboulevard 21,1079PC,Amsterdam,Zuid,,37092459,,52.33870365,4.89269305
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam,Rijnsburgstraat 9-11,1059AT,Amsterdam,Zuid,,37092459,,52.34760514,4.85023884
Sportschool,Basic-Fit,www.basic-fit.com,Basic-Fit Sportschool Amsterdam Overtoom Ladies,Overtoom 37-43,1054HB,Amsterdam,West,,37092459,,52.36306678,4.87727084
Sportschool,Keluarga Silat Perisai Diri Ned.,www.perisaidiri.nl,Basisschool de Kaap,Christiaan de Wetstraat 23,1091NG,Amsterdam,Zuidoost,,40534240,,52.35446737,4.91905633
Sportschool,De Bonte Kraai,www.buurthuizenzuidoost.nl,Buurthuis De Bonte Kraaij,Kraaiennest 68,1104CD,Amsterdam,Zuidoost,,,,52.31724105,4.98006344
Sportschool,Club West (USC),www.usc.uva.nl,Club West,Dokter Meurerlaan 10,1067SM,Amsterdam,Nieuw-West,,,,52.36742093,4.80599475
Sportschool,Fit20,www.fit20.nl,Coengebouw,Kabelweg 37,1014BA,Amsterdam,West,,,,52.39267105,4.84659321
Sportschool,Crossfit Zeeburg,www.crossfitzeeburg.com,Crossfit Zeeburg,Cruquiusweg 96H,1019AJ,Amsterdam,Oost,,,,52.36773622,4.95041085
Sportschool,Duofit,www.duofit.nl,Duofit,Radioweg 64,1098NJ,Amsterdam,Oost,,34360033,,52.34897301,4.94536705
Sportschool,Fitness Studio Onna,www.fitnessonna.nl,Fitness Studio Onna,Remijden 2,1068XB,Amsterdam,Nieuw-West,,,,52.36166721,4.80385331
Sportschool,Fitness Zuidas,www.fitness-zuidas.nl,Fitness Zuidas,Wijenburg 90A,1082VW,Amsterdam,Zuid,,,,52.33187385,4.87187803
Sportschool,Vitae Sport,www.vitaesport.nl,Fons Vitae Lyceum,Richard Holstraat 8,1071SM,Amsterdam,Zuid,,59551445,,52.35213917,4.87761656
Sportschool,Fysiomed,www.fysiomed.org,Fysiomed,IJsbaanpad 6,1076CV,Amsterdam,Zuid,,34302500,,52.34186357,4.85544269
Sportschool,Pro-Fit Amsterdam Oost,www.profit-amsterdamoost.nl,Fysiotherapie Amsterdam Oost,Willem Beukelsstraat 151-B,1097CR,Amsterdam,Oost,,34370162,,52.35229218,4.9281941
Sportschool,Bodyshape,www.bodyshapesylvia.nl/,Gymzaal Verbindingsstraat ,Verbindingstraat 2,1073TJ,Amsterdam,Zuid,,,,52.35284882,4.89884731
Sportschool,Life & Kicking,www.lifeandkicking.nl,Life & Kicking Fitness,Eva Besnyöstraat 29,1087KR,Amsterdam,Oost,,34259356,ja,52.35228282,5.00387204
Sportschool,Mirror Centre,www.mirrorcentre.nl,Mirror Centre,Ter Gouwstraat 3,1093JX,Amsterdam,Oost,,34200290,,52.35975523,4.93136122
Sportschool,Mobilis Fitness,www.mobilisfitness.nl,Mobilis Fitness,Van Leijenberghlaan 10,1082GM,Amsterdam,Zuid,,34250964,,52.33254272,4.8789858
Sportschool,Motion3,www.motion3.nl,Motion3,IJburglaan 473,1087BE,Amsterdam,Oost,,,,52.35932885,4.98818872
Sportschool,MOVE//West,www.movewest.nl,MOVE//West,Hannie Dankbaarpassage 33,1053RT,Amsterdam,West,,,,52.36653754,4.86857893
Sportschool,Only 4 Ladies,www.only4ladies.nl,Only4Ladies,Tweede Oosterparkstraat 79A,1091HX,Amsterdam,Oost,,34110592,,52.3567716,4.91537691
Sportschool,Bijlmer Sportcentrum,optisport.nl/locaties/healthclubamsterdamzuidoost,Optisport,Anton de Komplein 157,1102DR,Amsterdam,Oost,,11064605,ja,52.31527429,4.95762875
Sportschool,Panatta-Gym,www.panatta-gym.nl,Panatta-Gym,Oudeschans 30,1011LB,Amsterdam,Centrum,,33212191,,52.37151063,4.90403091
Sportschool,PCH Fitness (USC),www.usc.uva.nl,PCH Fitness,Spuistraat 134,1012VB,Amsterdam,Centrum,,,,52.37410321,4.88983173
Sportschool,Personal Health Club,www.personalhealthclub.nl,Personal Health Club Amsterdam,Breitnerstraat 4,1077BL,Amsterdam,Zuid,,33292829,,52.35169664,4.87296887
Sportschool,Selin Health and Fitness,www.selinhealthandfitness.nl,Personal Training Studio,Krelis Louwenstraat 1-C02,1055KA,Amsterdam,West,,,,52.38315031,4.84620773
Sportschool,The Gym,www.thegym.amsterdam,Personal Training Studio,Ruysdaelkade 161,1072AS,Amsterdam,Zuid,,,,52.35321358,4.88718896
Sportschool,Reebok Crossfit 020,www.reebokcrossfit020.nl,Reebok Crossfit 020,Hoogoorddreef 3,1101BA,Amsterdam,Zuidoost,,,,52.30999503,4.94691665
Sportschool,Body Fit,www.sportcentrumkops.nl,Sportcentrum Kops,Weesperzijde 115,1091EN,Amsterdam,Oost,,40535111,,52.35071883,4.91212422
Sportschool,SportCity Weteringdwarsstraat,www.sportcity.nl,SportCity Wetering,Eerste Weteringdwarsstraat 3,1017TL,Amsterdam,Centrum,,,,52.36185664,4.88857433
Sportschool,A3 sport,www.facebook.com/a3demunnik,Sporthal De Weeren,Beemsterstraat 656,1027ED,Amsterdam,Noord,,67601782,ja,52.40119389,4.95933828
Sportschool,Luki Goshi,www.lukigoshi.nl,Sporthal Wethouder Verheij,Polderweg 300,1093KP,Amsterdam,Oost,,34185499,,52.35788575,4.93135106
Sportschool,Spark United,www.sparkunited.nl/gebruikers/spark-united-buurtsportvereniging,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,55541542,,52.37924265,4.78522141
Sportschool,Sports World Amsterdam,www.sportsworldamsterdam.nl,Sports World Amsterdam,Oranje Vrijstaatkade 21,1093KS,Amsterdam,Oost,,,,52.35625014,4.92906326
Sportschool,Crossfit Flames,www.crossfitflames.nl,Sportschool,Van Marwijk Kooystraat 4,1114AG,Duivendrecht,Buiten Amsterdam,,,,52.33232143,4.92241359
Sportschool,Scandic Active Club,www.activeclub.nl/amsterdam,Sportschool,Damrak 1,1012LG,Amsterdam,Centrum,,,,52.37714446,4.89803853
Sportschool,Fit20,www.fit20.nl,Sportschool,Grimburgwal 5,1012GA,Amsterdam,Centrum,,,,52.36939987,4.89346721
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Haarlemmer Houttuinen 37-43,1013GM,Amsterdam,Centrum,,51328585,,52.38097737,4.8916346
Sportschool,Fit aan 't IJ,www.fitaantij.nl,Sportschool,KNSM-laan 11,1019LA,Amsterdam,Centrum,,,,52.3775301,4.93768444
Sportschool,Mejiro gym,www.mejirogym.nl,Sportschool,Lauriergracht 86,1016RM,Amsterdam,Centrum,,,,52.37152034,4.880551
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Lijnbaansgracht 350,1017XB,Amsterdam,Centrum,,51328585,,52.36004543,4.89389426
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Looiersgracht 26,1016VS,Amsterdam,Centrum,,51328585,,52.36882043,4.88181522
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Valkenburgerstraat 28,1011LZ,Amsterdam,Centrum,,51328585,,52.37031446,4.90825815
Sportschool,New York Gym,www.newyorkgym.nl,Sportschool,Veemkade 598,1019BL,Amsterdam,Centrum,,,,52.37584078,4.92840567
Sportschool,Palestra Sports Amsterdam,www.palestrasports.nl,Sportschool,Marius Bauerstraat 233,1062AK,Amsterdam,Nieuw-West,,33177857,ja,52.36250506,4.837834953
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Osdorpplein 135,1068SR,Amsterdam,Nieuw-West,,51328585,,52.35975629,4.80638876
Sportschool,Fit20,www.fit20.nl,Sportschool,Overschiestraat 55,1062HN,Amsterdam,Nieuw-West,,,,52.34804326,4.83993076
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Buikslotermeerplein 119,1025ET,Amsterdam,Noord,,51328585,,52.39949166,4.93619227
Sportschool,The Temple,www.thetemple.nl,Sportschool,IJdoornlaan 245,1024KM,Amsterdam,Noord,,,,52.39260498,4.95632083
Sportschool,Fitness Center IJburg,www.fitnesscenterijburg.nl,Sportschool,Diemerparklaan 35,1087GN,Amsterdam,Oost,,60948299,,52.35642,4.99649682
Sportschool,Fitness Center Weesp,www.fitnesscenterweesp.nl,Sportschool,Amstellandlaan 80,1382CH,Weesp,Oost,,,ja,52.3104356,5.0254178
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Linnaeushof 4,1098KH,Amsterdam,Oost,,51328585,,52.35361221,4.93302938
Sportschool,Brightside,www.brightsidefitness.nl,Sportschool,Baarsjesweg 289-H,1058AG,Amsterdam,West,,,,52.35963791,4.85580382
Sportschool,Ettaki Gym,www.ettakigym.nl,Sportschool,Bilderdijkkade 59-61,1053VJ,Amsterdam,West,,55971148,,52.36759539,4.87077304
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Bos en Lommerplein 284-286,1055RW,Amsterdam,West,,32132088,,52.37785477,4.84409703
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Bos en Lommerplein 92,1055EK,Amsterdam,West,,32132088,,52.37829064,4.8465776
Sportschool,Gym West,www.gymwest.nl,Sportschool,Jan van Galenstraat 41,1056BH,Amsterdam,West,,34271962,,52.37512396,4.86391547
Sportschool,Vondelgym,www.vondelgym.nl,Sportschool,Overtoom 143,1054HG,Amsterdam,West,,61550132,,52.36191432,4.87288536
Sportschool,David Lloyd,www.davidlloyd.nl,Sportschool,Overtoom 557,1054LK,Amsterdam,West,,17111830,,52.35761623,4.85593079
Sportschool,Crossfit Aka,www.crossfitaka.nl,Sportschool,Piri Reisplein 1,1057KH,Amsterdam,West,,34394223,,52.36662059,4.86057105
Sportschool,Fitness4me,www.fitness4me.nl,Sportschool,Postjesweg 128 G,1061AX,Amsterdam,West,,32132088,,52.36434561,4.83961222
Sportschool,The Family Gym,www.fitness-centrum.nl,Sportschool,Tweede Kostverlorenkade 132-135,1053SE,Amsterdam,West,,,,52.36397951,4.86002014
Sportschool,Rasalila,www.rasa-lila.nl/website,Sportschool,Tweede Kostverlorenkade 67,1053SB,Amsterdam,West,,,,52.36648852,4.86228481
Sportschool,R Grip Gym (MMA),www.r-grip.nl,Sportschool,Tweede Kostverlorenkade 69,1053SB,Amsterdam,West,,34307053,,52.36633496,4.86211044
Sportschool,Shape all in Centre,www.shape-all-in.nl,Sportschool,Van Hallstraat 617,1051HE,Amsterdam,West,,54646952,,52.3794373,4.87207659
Sportschool,Femme Gym,www.femmegym.nl,Sportschool,Vancouverstraat 6,1056DV,Amsterdam,West,,63067218,,52.3733121,4.85465613
Sportschool,Crossfit Aka,www.crossfitaka.nl,Sportschool,Willem de Zwijgerlaan 350,1055RD,Amsterdam,West,,34394223,,52.38263125,4.8577471
Sportschool,Anytime Fitness,www.anytimefitness.nl,Sportschool,Amsteldijk 161,1079LH,Amsterdam,Zuid,,,,52.34469449,4.91239216
Sportschool,Nippon do,www.nippondo.nl,Sportschool,Derde Schinkelstraat 18,1075TL,Amsterdam,Zuid,,,,52.35302791,4.85491422
Sportschool,Vondelgym,www.vondelgym.nl,Sportschool,Eduard van Beinumstraat 110,1077CZ,Amsterdam,Zuid,,61550132,,52.33997072,4.86945132
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Europaboulevard 3,1079PC,Amsterdam,Zuid,,51328585,,52.34032159,4.89291041
Sportschool,Dutch Strength,www.dutchstrength.nl,Sportschool,Hobbemakade 7,1071XK,Amsterdam,Zuid,,33261543,ja,52.35838612,4.88614714
Sportschool,Fit for free,www.fitforfree.nl,Sportschool,Hoogoordplein 7,1101DT,Amsterdam,Zuidoost,,51328585,,52.31133881,4.94787655
Sportschool,Fit20,www.fit20.nl,Sportschool,Paasheuvelweg 1,1105BE,Amsterdam,Zuidoost,,,,52.30015266,4.95157353
Sportschool,Kawayan Fighting Arts School,www.kawayan.org,Sportschool ,Ketelhuisplein 41,1054RD,Amsterdam,West,,,,52.36356313,4.86945461
Sportschool,Gé Koning,www.sportschoolgekoning.nl,Sportschool (onder het Zuiderbad),Hobbemakade 9,1071XK,Amsterdam,Zuid,,50583700,,52.35838612,4.88614714
Sportschool,Sportschool Nique,www.sportschoolnique.nl,Sportschool Nique,Amsteldijk 161,1079LH,Amsterdam,Zuid,,,,52.34469449,4.91239216
Sportschool,Squash City,www.squashcity.nl,Squash City,Ketelmakerstraat 6,1013DE,Amsterdam,Centrum,,33258386,,52.38333339,4.88978696
Sportschool,Fresh Supportive Health Club,www.fresh-fitness.nl,Tolstraat 59,Tolstraat 59,1073RW,Amsterdam,Zuid,,34203001,,52.35204154,4.90142477
Sportschool,Trainmore,www.trainmore.nl,Trainmore Amsterdam De Pijp,Tweede van der Helststraat 2,1072PC,Amsterdam,Zuid,,32042913,,52.35295694,4.89460046
Sportschool,Ultimate Fitness Amsterdam,www.ultimatefitnessamsterdam.nl,Ultimate Fitness Amsterdam,Molukkenstraat 200,1098TW,Amsterdam,Oost,,,,52.35754314,4.94049984
Sportschool,Sportcentrum Universum (USC),www.usc.uva.nl,Universitair Sportcentrum,Science Park 306,1098XH,Amsterdam,Oost,,,,52.35564969,4.95629984
Sportschool,Vondelgym,www.vondelgym.nl/youngsters/stadspas,Vondelgym,Wibautstraat 132,1092GL,Amsterdam,Oost,,61550132,,52.35458313,4.92072864
Sportschool,Mobilis Fitness,,,Breitnerstraat 4,1077 BL,Amsterdam,Zuid,,34250964,,52.35169664,4.87296887
Squash,All Sports,www.healthcity.nl/sportscholen/grand-cafe-all-sports,All Sports,Van der Hooplaan 237,1185LN,Amstelveen,Buiten Amsterdam,,,,52.28935453,4.85315491
Squash,De Mirandabad,www.amsterdam.nl/demirandabad,De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,,,52.33873416,4.90227468
Squash,Frans Ottenstadion,www.asrc.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,40530037,,52.33911327,4.850591
Squash,Frans Ottenstadion,www.fransottenstadion.nl,Frans Otten Stadion,IJsbaanpad 43,1076CV,Amsterdam,Zuid,,33125126,,52.33911327,4.850591
Squash,MeerSquash & Activity,www.meersquash.nl,MeerSquash & Activity,Arnolduspark 13,2132CR,Hoofddorp,Buiten Amsterdam,,,,52.30965223,4.70600612
Squash,Sportcentrum De Wildenhorst,www.wildenhorst.nl,Sportcentrum De Wildenhorst,Sloterweg 301,1171VB,Badhoevedorp,Buiten Amsterdam,,40597350,,52.33375683,4.77153832
Squash,Squashbanen,www.healthcity.nl,Sportcentrum Escapade,Escapade 1,1183NM,Amstelveen,Buiten Amsterdam,,,,52.30415977,4.8840293
Squash,Sportcentrum Match,www.sportclubmatch.nl,Sportcentrum Match,Sint Gilleshof 5,1066PZ,Amsterdam,Nieuw-West,,,,52.34531268,4.80950887
Squash,Squashvereniging Amsterdam,www.squashverenigingamsterdam.nl,Sportclub Match,Sint Gilleshof 5,1066PZ,Amsterdam,Nieuw-West,ja,53153251,ja,52.34531268,4.80950887
Squash,Squash City,www.squashcity.nl,Squash City,Ketelmakerstraat 6,1013DE,Amsterdam,Centrum,,,,52.38333339,4.88978696
Squash,Sports World,www.sportsworldamsterdam.nl,Squash World,Oranje Vrijstaatkade 31,1093KS,Amsterdam,Oost,,,,52.3563596,4.92952549
Squash,Squashclub Borchland,www.borchland.nl,Squashclub Borchland,Borchlandweg 6-12,1114BD,Amsterdam-Duivendrecht,Buiten Amsterdam,,55268412,,52.31582756,4.9276264
Squash,Universitair Sportcentrum,www.usc.uva.nl,Universitair Sportcentrum,Science Park 306,1098XH,Amsterdam,Oost,,,,52.35564969,4.95629984
Squash,Zuiver Amsterdam,www.zuiveramsterdam.nl,Zuiver Amsterdam,Koenenkade 8,1081KH,Amsterdam,Zuid,,,,52.33101422,4.85234665
Squash,Zwembad & Sportcentrum Wethouder Duran,www.zwembaddiemen.nl,Zwembad & Sportcentrum Wethouder Duran,Ouderkerkerlaan 10,1112BE,Diemen,Buiten Amsterdam,,,,52.33599411,4.95880523
Streetdance,Buurtvereniging Jacob Maris,www.jacobmaris.com,Buurthuis Jacob Maris,Columbusplein 253,1057TX,Amsterdam,West,,40535350,,52.36571126,4.85527593
Sup,Sup Sup Club,www.supsupclub.com,Amstel Boat House,Amsteldijk 223,1079LK,Amsterdam,Zuid,,67866530,,52.33846375,4.90648882
Sup,M&M Sup,www.mm-sup.com,IJburg Strand,Pampuslaan 501,1087HP,Amsterdam,Oost,,51579715,,52.35454154,5.01725339
Sup,Sportmomentje,www.sportmomentje.nl,Jeugdland Amsterdam,Valentijnkade 131,1095KH,Amsterdam,Oost,,63649055,,52.35901971,4.95573736
Sup,Kano & SUP Amsterdam,www.kanoensupamsterdam.nl,Roeicentrum Berlagebrug,Weesperzijde 1094,1097DS,Amsterdam,Oost,,35029626,,52.34833311,4.91299394
Sup,Supschool Sup&Meer,www.supenmeer.nl,Supschool Sup&Meer,Boeierspad 5,1081KE,Amsterdam,Zuid,,,,52.33247276,4.85322841
Surfen,Amsterdam Windsurfing ,www.amsterdamwindsurfing.nl,Clubhuis en plankstalling,Riekerweg 40,1066BT,Amsterdam,Nieuw-West,,40531494,,52.33384464,4.83074524
Surfen,Gaasperplas Windsurfing,www.gaasperplaswindsurfing.nl,Clubhuis Gaasperplas,Driemondweg 25,1108AJ,Amsterdam,Zuidoost,,40533174,,52.30418918,4.99827556
Surfen,Sportmomentje,www.sportmomentje.nl,Jeugdland Amsterdam,Valentijnkade 131,1095KH,Amsterdam,Oost,,63649055,,52.35901971,4.95573736
Surfen,Surfcenter IJburg,www.surfcenterijburg.nl,Strand Centrumeiland,Pampuslaan 501,1087HP,Amsterdam,Oost,,65863887,,52.35454154,5.01725339
Survivalrun,Survivalrunvereniging RUIG,www.ruig-amsterdam.nl,Sportpark De Eendracht,Bok de Korverweg 20,1067HR,Amsterdam,Nieuw-West,,,,52.37924265,4.78522141
Taekwondo,American Fitness,www.americanfitness.nl,American Fitness,Blasiusstraat 144,1091CZ,Amsterdam,Oost,,33176009,,52.3575454,4.91334293
Taekwondo,Chung Mu,www.chungmu.nl,Chung-Mu,Papaverhoek 25,1032JZ,Amsterdam,Noord,,40530647,,52.39322864,4.91162464
Taekwondo,Stichting Evolution Sports,www.evolutionsports.nl,Gymzaal John Hadleystraat 2,John Hadleystraat 2,1086WB,Amsterdam,Oost,ja,34120573,ja,52.36123334,4.98192068
Taekwondo,Taekwon-Do School Amsterdam,www.taekwondoschoolamsterdam.nl,Gymzaal Marcanti College,Jan van Galenstraat 31,1051KM,Amsterdam,West,,34315722,ja,52.37522361,4.86613178
Taekwondo,José's Taekwondo Academy ,www.jose-taekwondo-academy.nl,Sportcentrum Caland,Eliza van Calcarstraat 2,1068RR,Amsterdam,Nieuw-West,,40538575,,52.35443917,4.80713356
Tafeltennis,US Tafeltennis,www.ustafeltennis.nl,Amstelcampus sporthal,Tweede Boerhaavestraat 10,1091AN,Amsterdam,Oost,,40531993,,52.35863353,4.91002045
