Sport,Naam,Website,Naam accommodatie,Adres accommodatie,Postcode accommodatie,Plaats accommodatie,Stadsdeel,Aangepast sporten,KvK,Stadspas,x,y
Klimsport,Monk Bouldergym,monk.nl/amsterdam,Monk Bouldergym Amsterdam,Aambeeldstraat 26,1021KB,Amsterdam,Noord,,,,52.38347556,4.92940664
Klimsport,Mountain Network Amsterdam,mountain-network.nl/klimcentra/locaties/klimhal-amsterdam,Mountain Network Amsterdam,Erasmusgracht 297,1061MD,Amsterdam,Nieuw-West,,,,52.37499876,4.84213872
Klimsport,Klimhal Amsterdam,www.klimhalamsterdam.nl,Sloterdijk,Naritaweg 48,1043BZ,Amsterdam,Nieuw-West,,,,52.38810853,4.82793429
Klimsport,Adventure Park Amsterdam,www.projectadventure.nl,Sportpark De Eendracht,Bok de Korverweg 6,1067HR,Amsterdam,Nieuw-West,,,,52.37827918,4.78639297
Klimsport,The Treeclimbing Company,www.thetreeclimbingcompany.com,Sportpark De Eendracht,Bok de Korverweg 6,1067HR,Amsterdam,Nieuw-West,,53870271,,52.37827918,4.78639297
Klimsport,Universitair Sportcentrum,www.usc.uva.nl,Universitair Sportcentrum,Science Park 306,1098XH,Amsterdam,Oost,,,,52.35564969,4.95629984
Korfbal,Sporting West,www.sportingwest.nl,CultuurparkWestergasfabriek,Klönne plein 10-12,1014DD,Amsterdam,West,,40530171,ja,52.38725893,4.87041182
Korfbal,AKC Blauw Wit,www.akcblauwwit.nl,Sporthal Blauw Wit,Joos Banckersweg 18A,1056EP,Amsterdam,West,G-Korfbal,40531926,ja,52.3757839,4.85669711
Korfbal,SKVA Studenten Korfbal Vereniging Amsterdam,www.skvamsterdam.nl,Sporthal Blauw Wit,Joos Banckersweg 18 A,1056EP,Amsterdam,Zuid,,34176218,,52.3757839,4.85669711
Korfbal,DKV Victoria,www.dkvvictoria.nl,Sporthal Diemen,Prins Bernhardlaan 2,1111ET,Diemen,Buiten Amsterdam,,40536736,,52.3384643,4.96858557
Korfbal,AW/DTV,www.awdtv.nl,Sporthal Gaasperdam,Ravenswaaipad 5,1106AW,Amsterdam,Zuidoost,,40539272,ja,52.29676965,4.97825726
Korfbal,a.s.v. Swift,www.swiftkorfbal.nl,Sporthal Zeeburg,Insulindeweg 1001,1095DH,Amsterdam,Oost,,40531826,,52.36594199,4.95130945
Korfbal,Oranje Nassau,www.oranjenassau.net,Sportpark 't Loopveld,Aanloop 1,1183SZ,Amsterdam,Zuid,,40531836,ja,52.31967237,4.88697187
Korfbal,DKV Victoria,www.dkvvictoria.nl,Sportpark De Diemen,Sportlaan 13a,1111PX,Diemen,Buiten Amsterdam,,40536736,,52.33812948,4.97836456
Korfbal,AW/DTV,www.awdtv.nl,Sportpark Drie Burg,Drie Burgpad 7,1097HK,Amsterdam,Oost,,40539272,ja,52.34019666,4.93336689
Korfbal,Vlug en Vaardig,www.vlugenvaardig.nl,Sportpark Melkweg,Meteorenweg 276,1035RN,Amsterdam,Noord,,40531767,ja,52.42049819,4.87261375
Korfbal,AKC Rohda,www.rohda.com,Sportpark Ookmeer,Willinklaan 4,1067SL,Amsterdam,Nieuw-West,,40530320,ja,52.3702618,4.80249217
Korfbal,a.s.v. Swift,www.swiftkorfbal.nl,Sportpark Parkschouwburg,Plantage Parklaan 20a,1018ST,Amsterdam,Centrum,,40531826,,52.3681904,4.90974937
Korfbal,Triaz,www.triaz.nl,Sportpark Van Heenvlietlaan,Van Heenvlietlaan 6,1083CL,Amsterdam,Zuid,,34163529,,52.33065251,4.88191651
Korfbal,K.V.A.,www.kvaweb.nl,Startbaan,Startbaan 1,1185XP,Amstelveen,Buiten Amsterdam,,40531797,,52.2875451,4.85961473
Kung-Fu,Sportschool Ken,www.kenkungfu.nl,Gymzaal Akersluis 1B,Akersluis 1B,1066ER,Amsterdam,Nieuw-West,,34335964,,52.34449717,4.79495355
Kung-Fu,Associatie Wing-Chun Kung-Fu,www.wing-chun.nl,Gymzaal Akerwateringstraat 2,Akerwateringstraat 2,1069GE,Amsterdam,Nieuw-West,,,,52.35505659,4.78498999
Kung-Fu,Golden Dragon,www.goldendragonkungfu.nl,Gymzaal OBS Narcis Querido,Jan den Haenstraat 41,1055WC,Amsterdam,Nieuw-West,,,,52.37937858,4.8606342
Kung-Fu,Golden Dragon,www.goldendragonkungfu.nl,Sloterpark - noordwestzijde,Sloterparkbadlaan,1064GV,Amsterdam,Nieuw-West,,,,52.37371302,4.8213286
Kunstschaatsen,Ekijsa,www.ekijsa.eu,Jaap Edenhal,Radioweg 64,1098NJ,Amsterdam,Oost,,41204305,,52.34897301,4.94536705
Kunstschaatsen,F.S.A.,www.figureskatingamsterdam.com,Jaap Edenhal,Radioweg 64,1098NJ,Amsterdam,Oost,,,,52.34897301,4.94536705
Lacrosse,Amsterdam Lions Lacrosse,www.amsterdamlacrosse.nl,Soccer club De Meer,Drie Burgpad 3,1097HK,Amsterdam,Oost,,,,52.34105234,4.93150923
Lacrosse,Amsterdam Lacrosse,www.amsterdamlacrosse.nl,Sportpark Middenmeer,Radioweg 71,1098NG,Amsterdam,Oost,,34209874,ja,52.35157968,4.94335947
Multisport,Monkey Moves,www.monkeymoves.nl,Apollohal,Apollolaan 4,1077BA,Amsterdam,Zuid,,65161750,ja,52.34806995,4.88444373
Multisport,Monkey Moves,www.monkeymoves.nl,Gymzaal Arent Janszoon Ernststraat,Arent Janszoon Ernststraat 112,1082LP,Amsterdam,Zuid,,65161750,ja,52.33231476,4.87822551
Multisport,Monkey Moves,www.monkeymoves.nl,Gymzaal Welnastraat 845,Welnastraat 845,1096GJ,Amsterdam,Oost,,65161750,ja,52.33972138,4.9187967
Survivalrun,Survival Club,www.survivalclub.nl,Sportpark Transformatorweg,Transformatorweg 10,1014AK,Amsterdam,West,,,ja,52.3936135,4.86027412
Onderwatersport,Divection,www.divection.nl,De Mirandabad,De Mirandalaan 9,1079PA,Amsterdam,Zuid,,34148326,,52.33873416,4.90227468
Onderwatersport,A.G.T. Onderwatersport,www.agt-onderwatersport.nl,Hogeschool van Amsterdam,Willinklaan 5,1067SL,Amsterdam,Nieuw-West,,,,52.37141402,4.80306224
Onderwatersport,Duikteam Amsterdam,www.duikteamamsterdam.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,,,52.39826964,4.91872836
Onderwatersport,Duikteam Down Under,www.down-under.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,33222250,,52.39826964,4.91872836
Onderwatersport,Duikteam Thalassa,www.thalassa.nl,Noorderparkbad,Sneeuwbalweg 5,1032VS,Amsterdam,Noord,,41207942,,52.39826964,4.91872836
Onderwatersport,Amsterdam O.V. ,www.ova-amsterdam.nl,Sloterparkbad,President Allendelaan 3,1064GW,Amsterdam,Nieuw-West,,,,52.37001857,4.81712029
