CODE;PLAATSINGSDATUM;BETAALAUTOMAATNUMMER;VERKOOPPUNT;GSM_NUMMER;METERPLAATSNUMMER;STRAAT;BUURT;WIJK;STADSDEEL;X;Y;LONG;LAT;ID;GUID
14390-0011M;2010-07-01;43183;Nee;2240;4352;Populierstraat;Bomenbuurt;Bomen- en Bloemenbuurt;Segbroek;78440.664;455293.404;4.270308574352253;52.080613304890264;1112534;{3651B369-C5BE-C93B-E053-530A0B0A5339}
8960-0999M;1997-08-27;44012;Nee;2236;4374;Kempstraat;Transvaalkwartier-zuid;Transvaalkwartier;Centrum;79846.408;453445.213;4.291219766744603;52.06419671532207;1112535;{3651B369-C5BF-C93B-E053-530A0B0A5339}
3210-0045M;2009-07-01;40512;Nee;2263;4100;Conradkade;Sweelinckplein e.o.;Duinoord;Scheveningen;79335.596;455325.815;4.283354873432025;52.08102758269669;1112536;{3651B369-C5C0-C93B-E053-530A0B0A5339}
5130-0013M;2009-02-01;Verkooppunt;Ja;2232;4002;Fahrenheitstraat;Valkenboskwartier;Valkenboskwartier;Segbroek;78802.232;454371.981;4.275788151771967;52.07238265225636;1112537;{3651B369-C5C1-C93B-E053-530A0B0A5339}
12280-0014M;2010-10-11;45083;Nee;2256;4393;Mijtensstraat;Schildersbuurt-west;Schildersbuurt;Centrum;80860.802;453186.327;4.306066597902759;52.06200684890697;1112538;{3651B369-C5C2-C93B-E053-530A0B0A5339}
19690-0013M;1996-04-16;Verkooppunt;Ja;1881;2525;Weteringkade;Rivierenbuurt-noord;Stationsbuurt;Centrum;82201.979;454422.89;4.325357420018505;52.073297446919156;1112539;{3651B369-C5C3-C93B-E053-530A0B0A5339}
PM-4127;2009-07-01;40539;Nee;2240;4127;Koningin Emmakade;Koningsplein e.o.;Regentessekwartier;Segbroek;79826.742;455146.18;4.29055839630288;52.079480151644006;1112540;{3651B369-C5C4-C93B-E053-530A0B0A5339}
9810-0005M;2010-10-11;Verkooppunt;Ja;2241;4413;Krusemanstraat;Schildersbuurt-oost;Schildersbuurt;Centrum;81272.244;453567.831;4.31198307388101;52.06549024553766;1112541;{3651B369-C5C5-C93B-E053-530A0B0A5339}
12280-0001M;2010-10-11;Verkooppunt;Ja;2256;4401;Abraham van Beyerenstraat;Schildersbuurt-west;Schildersbuurt;Centrum;80643.685;453275.452;4.3028816191614085;52.06277869714999;1112542;{3651B369-C5C6-C93B-E053-530A0B0A5339}
8460-0007M;1997-06-26;41071;Nee;1937;2816;Joan Maetsuyckerstraat;Bezuidenhout-oost;Bezuidenhout;Haagse Hout;83080.928;456077.614;4.337827044110144;52.088282974875156;1112543;{3651B369-C5C7-C93B-E053-530A0B0A5339}
10040-0191M;2011-07-01;45252;Nee;2240;4484;Laan van Meerdervoort;Heesterbuurt;Valkenboskwartier;Segbroek;78169.721;454675.289;4.266495792721315;52.075020997375034;1112544;{3651B369-C5C8-C93B-E053-530A0B0A5339}
4120-0019M;2003-01-06;Verkooppunt;Ja;2082;3611;Doorniksestraat;Belgisch Park;Belgisch Park;Scheveningen;80396.647;458406.71;4.298157375328974;52.10885863242857;1112545;{3651B369-C5C9-C93B-E053-530A0B0A5339}
16730-0009M;2013-07-01;48297;Nee;2244;4724;Soesterbergstraat;Leyenburg;Leyenburg;Escamp;78914.251;453102.694;4.27770462997198;52.06099136394908;1112546;{3651B369-C5CA-C93B-E053-530A0B0A5339}
PM-2389;1992-10-20;Verkooppunt;Ja;1820;2389;Kleine Nobelstraat;Kortenbos;Centrum;Centrum;80878.443;454987.217;4.305932755018004;52.07819336472717;1112547;{3651B369-C5CB-C93B-E053-530A0B0A5339}
17370-0720M;1992-10-20;45328;Nee;1555;387;Strandweg;Vissershaven;Scheveningen;Scheveningen;78015.523;457651.43;4.263575109937795;52.10174504567548;1112548;{3651B369-C5CC-C93B-E053-530A0B0A5339}
17840-0013M;1992-11-06;48172;Nee;1591;982;Theresiastraat;Bezuidenhout-midden;Bezuidenhout;Haagse Hout;82699.292;455611.102;4.332358359238642;52.08404081876962;1112549;{3651B369-C5CD-C93B-E053-530A0B0A5339}
5690-0008M;2009-05-01;40377;Nee;2241;4068;Gerard Doustraat;Schildersbuurt-noord;Schildersbuurt;Centrum;80617.83;454054.532;4.302334913412811;52.06977662409779;1112550;{3651B369-C5CE-C93B-E053-530A0B0A5339}
11570-0004M;2004-10-05;41069;Nee;1644;3673;Mauvestraat;Nassaubuurt;Benoordenhout;Haagse Hout;81946.391;456202.747;4.321248847983951;52.08925896736841;1112551;{3651B369-C5CF-C93B-E053-530A0B0A5339}
17920-0012M;1997-10-30;43126;Nee;2018;3109;Timorstraat;Archipelbuurt;Archipelbuurt;Centrum;80210.285;456382.2;4.295881616598305;52.090639836720555;1112552;{3651B369-C5D0-C93B-E053-530A0B0A5339}
2891-0501M;1993-06-14;45313;Nee;1672;1999;2e De Carpentierstraat;Bezuidenhout-midden;Bezuidenhout;Haagse Hout;83130.479;455562.368;4.338658501177585;52.08365899279395;1112553;{3651B369-C5D1-C93B-E053-530A0B0A5339}
10580-0081M;2013-07-01;48285;Nee;2258;4708;Leyweg;Morgenstond-oost;Morgenstond;Escamp;78374.009;452352.369;4.2699964578093095;52.05417397781404;1112554;{3651B369-C5D2-C93B-E053-530A0B0A5339}
