jaar;variabele;gem;SD;bron
2013;VCRIMINALITEIT_R;6.5;0.53;sdbc
2011;VCRIMINALITEIT_R;6.5;0.605;sdbc
2009;VCRIMINALITEIT_R;6.9;0.594;sdbc
2007;VCRIMINALITEIT_R;6.7;0.66;sdbc
2005;VCRIMINALITEIT_R;6.6;0.7;sdbc
2020;VCRIMITOE_P;17.0;7.979;sdbc
2019;VCRIMITOE_P;14.0;6.849;sdbc
2018;VCRIMITOE_P;14.0;6.219;sdbc
2017;VCRIMITOE_P;13.0;6.726;sdbc
2016;VCRIMITOE_P;14.0;6.092;sdbc
2015;VCRIMITOE_P;16.0;8.266;sdbc
2014;VCRIMITOE_P;16.0;7.23;sdbc
2020;VCRIMIGELIJK_P;46.0;8.811;sdbc
2019;VCRIMIGELIJK_P;49.0;9.078;sdbc
2018;VCRIMIGELIJK_P;48.0;7.966;sdbc
2017;VCRIMIGELIJK_P;49.0;8.081;sdbc
2016;VCRIMIGELIJK_P;49.0;9.129;sdbc
2015;VCRIMIGELIJK_P;48.0;8.969;sdbc
2014;VCRIMIGELIJK_P;47.0;9.108;sdbc
2020;VCRIMIAF_P;7.0;4.019;sdbc
2019;VCRIMIAF_P;8.0;5.002;sdbc
2018;VCRIMIAF_P;8.0;4.167;sdbc
2017;VCRIMIAF_P;8.0;4.887;sdbc
2016;VCRIMIAF_P;8.0;4.442;sdbc
2015;VCRIMIAF_P;8.0;5.185;sdbc
2014;VCRIMIAF_P;8.0;4.547;sdbc
2021;VJEUGDIGE_P;2.0;1.403;sdbc
2020;VJEUGDIGE_P;2.3;1.644;sdbc
2019;VJEUGDIGE_P;2.6;1.259;sdbc
2018;VJEUGDIGE_P;2.3;1.455;sdbc
2017;VJEUGDIGE_P;2.5;6.529;sdbc
2016;VJEUGDIGE_P;2.8;1.561;sdbc
2015;VJEUGDIGE_P;3.2;1.389;sdbc
2014;VJEUGDIGE_P;3.5;1.623;sdbc
2013;VJEUGDIGE_P;3.8;1.633;sdbc
2012;VJEUGDIGE_P;4.5;1.75;sdbc
2011;VJEUGDIGE_P;5.1;1.894;sdbc
2021;VVOLWASSEN_P;0.8;0.664;sdbc
2020;VVOLWASSEN_P;0.9;0.741;sdbc
2019;VVOLWASSEN_P;0.9;0.738;sdbc
2018;VVOLWASSEN_P;0.9;0.913;sdbc
2017;VVOLWASSEN_P;1.0;1.027;sdbc
2016;VVOLWASSEN_P;1.2;0.907;sdbc
2015;VVOLWASSEN_P;1.3;1.081;sdbc
2014;VVOLWASSEN_P;1.4;1.671;sdbc
2020;LOVERL_P;22.0;12.254;sdbc
2019;LOVERL_P;17.0;12.244;sdbc
2018;LOVERL_P;19.0;11.016;sdbc
2017;LOVERL_P;14.0;9.088;sdbc
2016;LOVERL_P;15.0;9.001;sdbc
2015;LOVERL_P;16.0;9.762;sdbc
2014;LOVERL_P;16.0;10.353;sdbc
2020;LOVERLTOE_P;23.0;7.455;sdbc
2019;LOVERLTOE_P;21.0;9.842;sdbc
2018;LOVERLTOE_P;18.0;7.178;sdbc
2017;LOVERLTOE_P;13.0;6.227;sdbc
2016;LOVERLTOE_P;14.0;6.727;sdbc
2015;LOVERLTOE_P;14.0;6.35;sdbc
2014;LOVERLTOE_P;13.0;5.584;sdbc
2020;LOVERLGELIJK_P;60.0;8.04;sdbc
2019;LOVERLGELIJK_P;54.0;8.7;sdbc
2018;LOVERLGELIJK_P;54.0;7.475;sdbc
2017;LOVERLGELIJK_P;43.0;8.16;sdbc
2016;LOVERLGELIJK_P;45.0;8.089;sdbc
2015;LOVERLGELIJK_P;47.0;7.887;sdbc
2014;LOVERLGELIJK_P;47.0;9.406;sdbc
2020;LOVERLAF_P;9.0;5.952;sdbc
2019;LOVERLAF_P;7.0;3.992;sdbc
2018;LOVERLAF_P;7.0;4.135;sdbc
2017;LOVERLAF_P;6.0;3.995;sdbc
2016;LOVERLAF_P;7.0;4.021;sdbc
2015;LOVERLAF_P;7.0;5.03;sdbc
2014;LOVERLAF_P;7.0;4.93;sdbc
2020;LDRONKEN_P;7.0;8.683;sdbc
2019;LDRONKEN_P;7.0;8.351;sdbc
2018;LDRONKEN_P;6.0;9.575;sdbc
2017;LDRONKEN_P;6.0;7.908;sdbc
2016;LDRONKEN_P;6.0;7.483;sdbc
2015;LDRONKEN_P;6.0;7.397;sdbc
2020;LDRUGSOVL_P;9.0;6.911;sdbc
2019;LDRUGSOVL_P;7.0;5.657;sdbc
2018;LDRUGSOVL_P;7.0;5.715;sdbc
2017;LDRUGSOVL_P;6.0;5.516;sdbc
2016;LDRUGSOVL_P;6.0;4.943;sdbc
2015;LDRUGSOVL_P;7.0;5.412;sdbc
2020;LHORECA_P;4.0;5.143;sdbc
2019;LHORECA_P;5.0;5.165;sdbc
2018;LHORECA_P;5.0;5.931;sdbc
2017;LHORECA_P;5.0;5.553;sdbc
2016;LHORECA_P;4.0;4.807;sdbc
2015;LHORECA_P;4.0;4.353;sdbc
2021;LAIRBNBOVL_P;5.0;4.786;sdbc
2019;LAIRBNBOVL_P;5.0;4.856;sdbc
2020;LBUURTBEW_P;9.0;4.582;sdbc
2019;LBUURTBEW_P;8.0;3.616;sdbc
2018;LBUURTBEW_P;7.0;3.349;sdbc
2017;LBUURTBEW_P;7.0;3.831;sdbc
2016;LBUURTBEW_P;8.0;3.543;sdbc
2015;LBUURTBEW_P;8.0;4.739;sdbc
2020;LLASTIGGEV_P;5.0;4.531;sdbc
2019;LLASTIGGEV_P;4.0;3.554;sdbc
2018;LLASTIGGEV_P;3.0;3.714;sdbc
2017;LLASTIGGEV_P;4.0;3.455;sdbc
2016;LLASTIGGEV_P;4.0;3.165;sdbc
2015;LLASTIGGEV_P;4.0;3.258;sdbc
2020;LJONGERENOVL_P;14.0;7.856;sdbc
2019;LJONGERENOVL_P;10.0;5.974;sdbc
2018;LJONGERENOVL_P;10.0;6.157;sdbc
2017;LJONGERENOVL_P;11.0;6.56;sdbc
2016;LJONGERENOVL_P;11.0;6.408;sdbc
2015;LJONGERENOVL_P;11.0;6.766;sdbc
2021;LBURENOVERLAST_R;7.1;0.497;sdbc
2019;LBURENOVERLAST_R;7.3;0.437;sdbc
2017;LBURENOVERLAST_R;7.3;0.419;sdbc
2015;LBURENOVERLAST_R;7.3;0.401;sdbc
2013;LBURENOVERLAST_R;7.3;0.434;sdbc
2011;LBURENOVERLAST_R;7.2;0.455;sdbc
2009;LBURENOVERLAST_R;7.2;0.416;sdbc
