buurtnr;naam;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
140000;Binnenstad-Noord;741;737;734;760;788;823;826;890;883;879;871;858;867;846;840;866;848;884
140001;Binnenstad-Zuid;1042;1049;1075;1089;1127;1179;1208;1256;1283;1273;1257;1275;1285;1275;1362;1422;1460;1499
140002;Binnenstad-Oost;342;342;342;345;347;364;377;413;436;447;449;452;444;427;438;472;482;503
140003;Binnenstad-West;152;155;155;167;175;187;188;192;195;200;206;207;204;205;214;224;243;255
140004;Noorderplantsoen;2;2;2;2;2;3;3;3;3;4;4;4;4;3;3;2;2;2
140005;Hortusbuurt-Ebbingekwartier;392;416;430;435;452;502;544;576;636;658;653;655;650;658;700;726;726;761
140007;UMCG;44;45;46;42;45;43;37;38;37;38;37;40;41;39;38;37;33;33
140008;Stationsgebied;59;63;65;62;60;60;56;64;63;62;58;59;57;62;67;65;68;65
140100;De Meeuwen;64;67;70;71;77;83;90;92;100;101;106;101;101;95;113;103;105;106
140101;Oosterpoort;313;331;331;352;363;385;400;442;479;472;464;471;500;519;569;570;586;624
140102;Herewegbuurt;72;83;85;82;93;106;108;137;146;150;157;166;162;162;165;170;171;175
140103;Rivierenbuurt;184;198;203;215;238;267;296;308;336;358;359;358;368;377;393;396;388;414
140104;Grunobuurt;69;66;67;82;85;101;115;115;110;132;147;155;161;172;158;153;160;182
140105;Badstratenbuurt;38;36;38;37;40;46;52;62;62;58;61;69;76;79;83;89;97;89
140106;Zeeheldenbuurt;77;78;79;84;99;118;133;145;155;167;172;159;173;178;193;215;202;228
140107;Laanhuizen;36;37;36;45;51;56;61;56;63;71;68;68;80;92;99;85;91;101
140108;Stadspark;18;18;17;16;14;15;15;17;19;16;15;15;14;15;13;13;11;12
140109;Martini Trade Park;80;76;73;73;74;72;77;80;74;67;69;67;92;102;111;113;124;122
140200;Oranjebuurt;102;100;102;113;124;131;146;161;175;187;175;173;195;196;192;216;223;222
140201;Noorderplantsoenbuurt;163;175;180;203;216;230;251;282;304;316;298;291;307;319;335;336;352;386
140202;Schildersbuurt;337;350;345;336;376;386;425;483;487;508;467;472;494;499;480;506;538;582
140203;Kostverloren;68;69;72;76;83;96;114;125;131;140;145;146;148;173;185;198;201;208
140300;De Hoogte;143;140;133;149;155;164;169;185;179;197;220;236;232;242;256;256;277;294
140301;Indische buurt;217;234;259;274;310;351;399;413;444;462;437;420;441;441;451;506;561;583
140302;Professorenbuurt;213;212;215;212;239;266;292;322;329;354;397;375;365;383;409;428;439;452
140400;Gorechtbuurt;129;143;142;153;174;205;218;240;250;259;260;265;263;278;307;324;325;330
140401;Vogelbuurt;76;76;79;84;85;85;92;108;107;110;119;124;128;137;156;142;172;181
140402;Bloemenbuurt;59;64;67;72;85;90;108;108;126;127;122;127;146;160;159;179;187;194
140403;Florabuurt;31;33;40;47;57;71;73;84;91;84;79;77;81;68;61;59;70;98
140404;Damsterbuurt;47;45;59;54;53;56;60;70;83;78;68;74;74;70;83;83;76;77
140500;De Linie;5;6;8;18;22;25;41;45;62;63;66;70;64;76;71;91;102;105
140501;Europapark;8;13;13;43;73;78;80;97;109;124;123;120;123;121;122;140;167;211
140502;Eemskanaal;125;125;126;124;124;130;142;154;154;153;146;149;149;170;193;212;222;232
140503;Kop van Oost;4;3;3;3;3;3;3;13;19;30;34;31;27;32;46;48;70;76
140504;Woonschepenhaven;5;4;2;3;3;4;5;9;8;9;6;4;5;9;8;12;10;14
140505;Driebond;124;131;132;131;141;151;149;143;153;158;150;147;148;173;174;191;188;186
140506;Eemspoort;63;105;129;162;211;253;302;328;337;339;359;368;372;371;378;389;401;423
140507;Euvelgunne;139;142;145;143;151;162;165;160;158;161;157;150;157;167;170;172;171;165
140508;Winschoterdiep;134;140;160;173;168;160;162;166;171;168;163;167;160;159;149;153;142;140
140509;Stainkoel'n;2;2;2;3;3;3;3;3;2;2;2;2;2;2;2;2;2;4
140510;Roodehaan;6;6;6;6;5;6;6;5;5;6;5;5;5;6;5;6;6;4
140511;Waterhuizen;;;;;;;;;;;;;;;;;;
140600;Sterrebosbuurt;72;71;65;63;58;63;59;62;55;57;58;60;63;60;70;78;97;91
140601;Coendersborg;108;120;119;127;129;150;155;162;170;167;169;183;192;196;190;197;203;216
140602;Klein Martijn;22;23;26;27;28;24;29;35;39;35;38;39;38;40;40;43;43;44
140603;Villabuurt;66;61;62;54;52;54;57;63;71;74;77;80;83;82;84;82;91;82
140604;Helpman;289;306;311;335;374;397;432;450;481;491;475;488;478;488;537;567;593;648
140605;De Wijert;98;113;113;123;134;160;167;190;196;212;211;209;235;259;251;278;291;293
