OBJECTID,GZNIDENT,GZNOMSCH,GZNSOORT,GLOBALID,LEG_ZIENSWIJZE,LEG_GEREED_VOOR_CL,KWKSTATU,WSZDEELGEBIED,Shape__Area,Shape__Length
165,BC10395,zone WGS,18,986086d0-79ca-4ef0-bb42-52a5805045dd,,,300,,149.443702697754,75.024792326117
166,BC10412,zone WGS,18,5bf0e6dd-4b88-4dfe-9418-b36fa09c0a63,,,300,,112711.327201843,4426.1143720613
167,BC10413,zone WGS,18,1418c19a-13cf-452b-940e-f5800d4f777a,,,300,,429.62313079834,352.402431899493
168,BC10423,zone WGS,18,d43753bd-ac5b-46a7-9d56-843663dc3c14,,,300,,6553.48345184326,2006.65074464942
169,BC10427,zone WGS,18,fc3f65e3-4688-4662-a6b4-acb40518c2dd,,,300,,17020.5426254272,3750.3093127519
170,BC10430,zone WGS,18,df1928c2-3868-4d3e-9628-548e62f156d3,,,300,,1352.91751098633,560.520242257431
171,BC10771,zone WGS,18,b65531fd-0b0b-4002-b560-68705d04ebea,,,300,,481.945594787598,368.43019493405
172,BC10777,zone WGS,18,0533b2f7-0ecd-42f2-9f3d-1ad18d3dd875,,,300,,5700.78223419189,1809.54207904127
173,BC10780,zone WGS,18,008c87c0-9ff8-4be8-9cc4-201509ba456f,,,300,,81132.2988967896,5115.7440188973
174,BC10795,zone WGS,18,e00c53b8-abae-43c6-b6ba-b03a5e5b945c,,,300,,45035.0529251099,5994.28377452241
175,BC10807,zone WGS,18,2eadca4a-5f08-4772-bcc6-80cfe3002278,,,300,,91.321403503418,103.330810198982
176,BC10817,zone WGS,18,432462e6-6b42-4251-ac4a-7c41e30a2bf2,,,300,,1139.21409606934,520.579043675409
177,BC10822,zone WGS,18,994586bd-00ab-4bff-ab1f-8cb862a2a062,,,300,,17610.3758010864,1428.40522160983
178,BC10824,zone WGS,18,e8565c8d-8d4a-4958-86b8-c8def43aa3d7,,,300,,1.29190826416016,20.5997628428349
179,BC10830,zone WGS,18,38a53dd6-345a-4d0d-954b-28763fef0480,,,300,,1859.32061004639,408.806777703262
180,BC10835,zone WGS,18,90250d57-8495-4636-82ef-c420ebaad2a3,,,300,,792.041175842285,128.723958541385
181,BC10861,zone WGS,18,c7a631cb-a1e8-4409-ac2a-8a5490b74a25,,,300,,500.762275695801,302.834761582375
182,BC10888,zone WGS,18,b99b6ae8-ea60-4bd4-b7c9-d8e783c12bf7,,,300,,20558.0892181396,5175.04391598788
183,BC10893,zone WGS,18,4b4c8010-99cf-4d26-b61c-5450f776a9bc,,,300,,303.666618347168,256.654464625144
184,BC10895,zone WGS,18,cf8551bf-f4cb-4379-b6bc-6b72bc729417,,,300,,139.078079223633,53.6746553939739
185,BC10897,zone WGS,18,72fab797-617c-46ce-bf5f-c0277c041277,,,300,,922.342170715332,523.665157731934
186,BC10899,zone WGS,18,ddcb22f0-96ae-4c16-810e-e36cb634b497,,,300,,6854.07357788086,2456.32938195647
187,BC10903,zone WGS,18,431c11dd-d7d1-40e6-92f7-da5d2ca2ca40,,,300,,1666.06228637695,1133.3422011099
188,BC10906,zone WGS,18,9f7d8a3d-c3d3-4580-b902-56232f704164,,,300,,69.0485305786133,136.571128162677
189,BC10922,zone WGS,18,527cf5f8-72f1-425c-88ee-33ad7170f54a,,,300,,558446.581642151,42217.824984619
190,BC10924,zone WGS,18,96bba488-2989-4db0-b01f-7de4822b0c00,,,300,,96652.3353805542,10168.6370391725
191,BC10925,zone WGS,18,14da5998-6afe-4391-bbb2-71c4809597d7,,,300,,70.6085433959961,60.9685619217045
192,BC24854,Beschermingszone_15 WRW,11,23b481b5-a45a-41d4-9316-4d750badec54,,,300,,541103.721511841,68905.6682009925
193,BC25810,Binnentalud WRW,10,9be898f0-87e1-4167-beab-21df68e2adc0,,,300,,336.495834350586,211.513660514428
194,BC25818,Kruin WRW,10,1f8f3119-31e0-46f3-8e0d-6fc41d1e80a8,,,300,,345.615257263184,81.560419631875
195,BC25825,Buitentalud WRW,10,fbcbf8c4-f888-43f2-8d9a-2fa83a42e975,,,300,,633.109268188477,142.610562383151
