Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A.P.S. (Aviation Patch Supplies);1;;;;;1
A.S.D. Aruba Supplies & Distribution N.V.;;1;;;;1
AAB Beveiligingen B.V.;1;;;;;1
Advantage Real Estate;;2;;;;2
Affinity Water Limited;;1;;;;1
AGVR B.V.;3;;;;;3
AJP Trading;;2;;;;2
Aledda N.V.;;1;;;;1
Alewijnse Marine Rotterdam B.V.;;5;;;;5
Alklima B.V.;;2;;;;2
Al-Ko Kober B.V.;;;1;;;1
Allied Joint Force Command Naples;;1;;;;1
Amarant Groep;3;;;;;3
Ambiente;;1;;;;1
Annuziata Trincone;;2;;;;2
Anscombe & Ringland;;2;;;;2
Antengra (Antillean Engraving);;1;;;;1
Aqualectra Distribution;;;7;;;7
ArjoHuntleigh Nederland B.V.;1;;;;;1
Aruba Gas Supply Co. Ltd.;;;1;;;1
Asito Gebõudereinigung GmbH;;1;;;;1
Astrid Weinreich;;2;;;;2
ATCO Curacao NV;;1;;;;1
Athena B.V.;;2;;;;2
ATS Systems B.V.;2;;;;;2
AVIAM CORPORATE HOUSING, LTD.;;6;;;;6
AWM M³nster;;2;;;;2
AXA Stenman Nederland B.V.;1;;;;;1
B.V. Motor-Parts Etten-Leur;;;1;;;1
Baader Wõscherei &chem. Reinigung;;1;;;;1
Bakker Professional B.V.;1;;;;;1
Balance Consultancy Group BV;;2;;;;2
Barbara und Gerold Neuhaus;;1;;;;1
Barth Slijkhuis B.V.;1;;;;;1
Bauverein Wesel Aktiengesellschaft;;2;;;2;2
BCS Office Supplies B.V.;1;;;;;1
Be Metal;;1;;;;1
Berimex B.V.;;;1;;;1
Besselink Electro Import B.V.;1;;;;;1
Better Deals Curaþao N.V.;;1;;;;1
Bhv-Specialist.Nl;1;;;;;1
Biljartfabriek Van den Broek;1;;;;;1
Blackwind, LLC;;2;;;;2
Bob's Bloemen en Zo;1;;;;;1
Boels Verhuur;1;;;;1;1
BOOLCHANDS;;1;;;;1
Boolchands Digitalworld;;1;;;;1
Bos Elektro B.V.;;1;;;;1
Bouwhekken Nederland B.V.;1;;;;;1
Bouwmaat Nederland B.V.;1;;;;;1
Bovenregionaal kantoor;;;1;;;1
Brabant Water N.V.;;;4;;;4
Brack Capital Germany (Netherlands) XXXI B.V.;;2;;;;2
Brezan Automaterialen Goes;1;;;;;1
Brigitte Horn;;2;;;;2
British Gas;;1;;;;1
British Gas Business;;1;;;;1
Bron Snijder wonen en slapen;1;;;;;1
Build Master Group;;6;;;;6
Building Depot Holding B.V.;;1;;;;1
Buko Verhuur B.V.;;;;;3;3
Bukom Service B.V.;2;;;;;2
Bundesamt Infra I 2 f³r Infrastruktur Umweltschutz und Dienstleistungen der Bundeswehr;;7;;;;7
Bundeswehr-Dienstleistungszentrum;;1;;;;1
Bunzl Verpakkingen Arnhem B.V.;1;;;;;1
Buren Systems International B.V.;;1;;;;1
Business Fashion;1;;;;;1
CADG Engineering Pte. Ltd.;;3;;;;3
Camp Supply International AS;;4;;;;4
Caribbean Fasteners N.V.;;1;;;;1
CASIEM IMMOBILIARE SRL;;1;;;;1
Casteau Resort SA;;2;;;;2
Catis Marine Division N.V.;;1;;;;1
Century 21 Maximmo Ivest Immo sprl;;2;;;;2
Christine Hoffmann;;1;;;;1
CHROO GROUP;;2;;;;2
Chubb Fire & Security Apeldoorn;;1;;;;1
Chubb Fire & Security B.V.;1;;;;;1
Coldmix B.V.;;1;;;;1
Company7;1;;;;;1
Connie Dorough Properties;;1;;;;1
Conrad Electronic Benelux B.V.;1;;;;;1
Contact Oud-Mariniers';1;;;;;1
CORT BUSINESS SERVICES CORPORATION;;2;;;;2
Cort Business Services Uk Ltd;;1;;;;1
Corten Staal Twente Jurg Bergsma;1;;;;;1
Corvias Military Living;;2;;;;2
Cosgroves;;1;;;;1
Critical Communication Carib B.V. (Formerly Zenitel Caribbean);;2;;;;2
Cronauer, H. und T.;;;;;1;1
Crown Automotives B.V.;;1;;;;1
Cummins, I.K. & Cummins, C;;1;;;;1
Curacao Tools & Fasteners;;1;;;;1
Curant Rechtsanwaltsgesellschaft mb;;1;;;;1
Curaþao Industrial Services N.V.;;1;;;;1
DAF Trucks N.V.;2;;;;;2
Damen Holding;;3;;;;3
DBR Generatorsets;;;1;;;1
De Blauwe deel;1;;;;;1
De Schaar;1;;;;;1
De Vries Projekt Design B.V.;1;;;;;1
Deba 2000 B.V.;1;;;;;1
DeliNova B.V.;;;;;1;1
DELTA Comfort B.V.;;;1;;;1
Delta Elektronika B.V.;;;1;;;1
Deltex B.V.;1;1;;;;1
Den Hartigh Adviesgroep B.V.;1;;;;;1
Destil B.V.;1;;;;;1
Deu Con Isaf - Mazar-e-Sharif;;4;;;;4
DEU EinsKtgt RS EinsWVSt Mazar-e Sharif;;5;;;;5
Deucon Isaf Prt Kunduz;;2;;;;2
DFAS Rome;;7;;;;7
DFAS-Limestone;;2;;;;2
DFR Koln - Marienburg B.V.;;2;;;;2
Diaber Benelux B.V.;;;6;;;6
Die Becker GbR;;2;;;;2
Diepenmaat Sport V.O.F.;1;;;;;1
Dierenkliniek Velp;1;;;;;1
Diesel-Buchli B.V.;;;1;;;1
Digicel Aruba;;1;;;;1
Dijkhuizen Technische Handelsmaat- maatschappij Curaþao (Dijtham Curaþao) N.V.;;1;;;1;1
DIJTHAM ARUBA HOLDING N.V.;;1;;;;1
Dijtham Home 'N Garden N.V.;;2;;;;2
Dirksen Schoonmaakartikelen B.V.;1;;;;;1
Discountoffice.nl B.V.;1;;;;;1
Diversa Marine B.V.;;4;;;;4
Dixi Sanitary Services B.V.;6;;;;;6
Dokkumer Vlaggen Centrale B.V.;1;;;;;1
Don RÚgulo Castellanos Espada;;2;;;;2
Don.Pablo Mayoral Revuelta;;2;;;;2
DPS Power B.V.;;;2;;;2
DR. SEIFERT - WILMERSDORFER HOCHBAU - AKTIENGESELLSCHAFT;;2;;;;2
DRAGT;1;;;;;1
Dreams Mons;;1;;;;1
DREHTAINER GmbH Spezial Container und Fahrzeugbau;;1;;;;1
Drentea Kantoormeubelen;1;;;;;1
Dunea N.V.;;;3;;;3
Dynaf Caribbean B.V.;;1;;;;1
E.ON Benelux Levering B.V.;;;10;;;10
E.ON Energie Deutschland GmbH;;1;;;;1
Eco Toilet B.V.;5;;;;;5
Ecolog International FZE;;1;;;;1
Ee Consult B.V.;1;;;;;1
Eijsink Afrekensystemen B.V.;1;;;;;1
Elektro Caumanns GmbH & Co. KG;;1;;;;1
Elektrotechnik Ralf Frenking;;1;;;;1
Elmar V.O.F.;;;6;;;6
Emken Meisterbetrieb;;1;;;;1
Endinet;;;2;;;2
Enduris B.V.;;;2;;;2
Eneco Services B.V.;;;3;;;3
Eneco Zakelijk;;;7;;;7
ENER-G Nedalo B.V.;;;1;;;1
Energie und Wasser Potsdam GmbH;;1;;;;1
Energieversorgung Mittelrhein AG;;1;;;;1
Enexis Netbeheer B.V.;;;7;;;7
ENGIE Services West B.V.;;;1;;;1
Ennatuurlijk B.V.;;;3;;;3
ENWOR;;1;;;;1
E-ON;;1;;;;1
E-regio Euskirchen;;1;;;;1
Erhart Horvßth Anna;;1;;;;1
Eriks B.V.;;;1;;;1
Euro-Index B.V.;;1;;;;1
European Energy Auction B.V.;;;3;;;3
Evides Drinkwater;;;1;;;1
Evides N.V.;;;3;;;3
EWE Vertrieb GmbH;;1;;;;1
EWV Energie-und Wasser Vers GmbH;;1;;;;1
