Gebrek identificatie,Ingangsdatum gebrek,Einddatum gebrek,Gebrek paragraaf nummer,Gebrek artikel nummer,Gebrek omschrijving,Ingangsdatum gebrek DT,Einddatum gebrek DT
005,20170401,20180901,,nl02,Goedkeuringsdocument ontbreekt bij taxi of OV-voertuig,04/01/2017 12:00:00 AM,09/01/2018 12:00:00 AM
008,20170401,20180901,,nl05,VIN in kentekenregister wijkt af t.o.v. VIN in voertuig,04/01/2017 12:00:00 AM,09/01/2018 12:00:00 AM
009,20170401,20180901,,nl06,VIN in voertuig is (gedeeltelijk) niet leesbaar/ontbreekt,04/01/2017 12:00:00 AM,09/01/2018 12:00:00 AM
010,20170401,,,nl07,Beoordelen keuringsaspect niet mogelijk,04/01/2017 12:00:00 AM,
011,20170401,,,nl08,Beoordelen afgedekt onderdeel niet mogelijk  niet gemeld,04/01/2017 12:00:00 AM,
012,20170401,,,nl09,Tellerstand niet vermeld of GT op APK-rapport,04/01/2017 12:00:00 AM,
013,20170401,,,nl10,Tellerstand wijkt (>500km) af t.o.v. voertuig,04/01/2017 12:00:00 AM,
014,20170401,,,LER.H,"KM-stand wijkt >500 km af t.o.v. voertuig, niet gemeld",04/01/2017 12:00:00 AM,
015,20170401,,,nl12,"Tellerstand wijkt (>500 km) af, gewijzigd voor aankomst",04/01/2017 12:00:00 AM,
01A,20170401,20170402,,5.*.51,Aantal lichten niet juist volgens voorschrift,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
021,20170401,,,5.*.1,Voertuig komt niet overeen met register (m.u.v. VIN),04/01/2017 12:00:00 AM,
022,20170401,,,5.*.1,"Gasinstallatie (gedeeltelijk) aanwezig, niet in register",04/01/2017 12:00:00 AM,
023,20170401,,,LER.G,Aantal cilinders komt niet overeen met kentekenregister,04/01/2017 12:00:00 AM,
027,20170402,,,5.*.1,Kentekenplaat afgeschermd,04/02/2017 12:00:00 AM,
028,20170401,,,5.*.1,Kentekenplaat niet aanwezig,04/01/2017 12:00:00 AM,
029,20170401,,,5.*.1,Kentekenplaat ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
02A,20170401,20170402,,5.*.51,Plaats licht(en) wijkt (wijken) af,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
030,20170401,,,5.*.1,Kentekenplaat; letter/cijfers niet goed leesbaar,04/01/2017 12:00:00 AM,
031,20170401,,,5.*.1,Voertuig niet voorzien van juiste kentekenplaten,04/01/2017 12:00:00 AM,
033,20170401,,,5.*.3,"Roestschade, te veel dikteafname materiaal",04/01/2017 12:00:00 AM,
034,20170401,,,5.*.3,Roestschade > 50% dikteafname materiaal,04/01/2017 12:00:00 AM,
035,20170401,,,5.*.3,Roestschade dorpel,04/01/2017 12:00:00 AM,
036,20170401,,,5.*.3,Roestschade dragende delen en verankeringen,04/01/2017 12:00:00 AM,
037,20170401,,,5.*.3,Roestschade hoofdbalk,04/01/2017 12:00:00 AM,
038,20170401,,,5.*.3,Roestschade hulpbalk,04/01/2017 12:00:00 AM,
039,20170401,,,5.*.3,Roestschade plaatdeel,04/01/2017 12:00:00 AM,
03A,20170401,20170402,,5.*.51,Voorgeschreven licht(en) ontbreekt (ontbreken),04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
040,20170401,,,5.*.3,"Roestschade frame, voor- of achtervork",04/01/2017 12:00:00 AM,
041,20170401,,,5.*.3,Roestschade subframe,04/01/2017 12:00:00 AM,
042,20170401,,,5.*.3,Roestschade subframe bevestigingspunt,04/01/2017 12:00:00 AM,
043,20170401,,,5.*.3,Roestschade wielkast,04/01/2017 12:00:00 AM,
044,20170401,,,5.*.3,Roestschadereparatie ondeugdelijk,04/01/2017 12:00:00 AM,
045,20170401,,,5.*.3,"Roestschadereparatie ondeugdelijk, schade > 4 E",04/01/2017 12:00:00 AM,
046,20170401,,,5.*.3,Dragende delen misvormd of gescheurd,04/01/2017 12:00:00 AM,
047,20170401,,,5.*.3,"Dragende delen ernstig misvormd, gescheurd, gebroken",04/01/2017 12:00:00 AM,
048,20170401,,,5.*.3,Dragende delen ondeugdelijk bevestigd,04/01/2017 12:00:00 AM,
049,20170401,,,5.*.3,Dragende delen 1 van meerdere bevestigingsmiddelen los,04/01/2017 12:00:00 AM,
04A,20170401,20170402,,5.*.53,Kleur lichten wijkt af/niet toegestaan,04/01/2017 12:00:00 AM,04/02/2017 12:00:00 AM
050,20170401,,,5.*.3,Dragende delen  bevestigingsmiddelen los,04/01/2017 12:00:00 AM,
051,20170401,,,5.*.3,Hoofdbalk gescheurd,04/01/2017 12:00:00 AM,
052,20170401,,,5.*.3,Hulpbalk gescheurd,04/01/2017 12:00:00 AM,
