index,jaar,fase,verantwoordelijk_minister,hoofdstuk_naam,hoofdstuk_nummer,artikel_naam,artikel_nummer,beleid_of_niet_beleid,rbv_model,artikelonderdeel_naam,artikelonderdeel_nummer,instrument_of_uitsplitsing_apparaat_naam,instrument_of_uitsplitsing_apparaat_nummer,regeling_detailniveau_naam,regeling_detailniveau_nummer,vuo,bedrag
A.15.46571.7.332369.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,Hoofdvaarwegennet,15,,,"15.06 Netwerkgebonden kosten",46571,"Bijdrage aan agentschappen",7,RWS,332369,U,0
XVII.2.45641.10.332370.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame ontwikkeling, voedselzekerheid, water en klimaat",2,,,"2.3 Klimaat",45641,"Bijdrage aan (inter-)nationale organisaties",10,"Hernieuwbare energie",332370,U,0
XV.11.35236.0.0.V,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Uitvoeringskosten,11,,,,35236,0,0,,,V,0
XII.16.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Openbaar vervoer en spoor",16,,,,35236,0,0,,,V,0
IIB.3.35236.20.332371.U,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"De Nationale ombudsman",3,,,,35236,"Institutionele inrichting",20,"Taakuitoefening Nationale ombudsman",332371,U,0
IIB.2.24887.0.0.O,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"Algemene Rekenkamer",2,,,Ontvangsten,24887,0,0,,,O,0
XIII.40.35236.16.332372.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Apparaatsuitgaven Kerndepartement",40,,,,35236,"Materiële uitgaven",16,ICT,332372,U,0
VII.1.45823.5.332373.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,"1.2 Democratie",45823,Inkomensoverdrachten,5,"Vergoeding rouwvervoer",332373,U,0
XVI.1.26419.1.332374.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,"4. Ethiek",26419,"Subsidies (regelingen)",1,Abortusklinieken,332374,U,0
XV.2.35236.6.0.U,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,"Bijstand, Participatiewet en Toeslagenwet",2,,,,35236,Opdrachten,6,,,U,0
IX.11.35236.17.332375.O,2020,OWB,"Hoekstra, W.B.","Financiën en Nationale Schuld",IX,"Financiering staatsschuld",11,,,,35236,Rente,17,"Rentebaten vlottende schuld",332375,O,0
IIB.2.35236.20.332376.U,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"Algemene Rekenkamer",2,,,,35236,"Institutionele inrichting",20,"Recht- en doelmatigheidsbevordering",332376,U,0
VII.3.45581.6.332377.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,Woningmarkt,3,,,"3.1 Woningmarkt",45581,Opdrachten,6,"NHG risicovoorziening",332377,U,0
V.6.25491.21.0.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,"Nog onverdeeld",6,,,"Nog onverdeeld (HGIS)",25491,"Nog te verdelen",21,,,U,0
XIII.4.35236.7.332378.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan agentschappen",7,RIVM,332378,U,0
A.14.46575.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,"Regionaal, lokale infrastructuur",14,,,"14.01 Grote regionaal/lokale projecten",46575,"Realisatieprog. Reg/lok",0,,,U,0
XIII.40.35236.16.332379.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Apparaatsuitgaven Kerndepartement",40,,,,35236,"Materiële uitgaven",16,DICTU,332379,U,0
XIII.5.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een veilig Groningen met perspectief",5,,,,35236,0,0,,,O,0
XII.23.46576.7.332380.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Meteorologie, seismologie en aardobservatie",23,,,"2 Aardobservatie",46576,"Bijdrage aan agentschappen",7,KNMI,332380,U,0
XIII.5.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een veilig Groningen met perspectief",5,,,,35236,0,0,,,O,0
XVII.2.45641.10.332381.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame ontwikkeling, voedselzekerheid, water en klimaat",2,,,"2.3 Klimaat",45641,"Bijdrage aan (inter-)nationale organisaties",10,"Klimaatprogramma's (non-ODA)",332381,U,0
XV.11.35236.8.332382.U,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Uitvoeringskosten,11,,,,35236,"Bijdrage aan ZBOs/RWTs",8,"Uitvoeringskosten UWV",332382,U,0
IX.11.35236.17.332383.O,2020,OWB,"Hoekstra, W.B.","Financiën en Nationale Schuld",IX,"Financiering staatsschuld",11,,,,35236,Rente,17,"Rente derivaten lang",332383,O,0
XIII.40.35236.16.332384.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Apparaatsuitgaven Kerndepartement",40,,,,35236,"Materiële uitgaven",16,"Overige materiële uitgaven ",332384,U,0
XV.3.35236.0.332385.U,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Arbeidsongeschiktheid,3,,,,35236,0,0,"Re-integratie WIA/WAO/WAZ/ZW/WW nominaal",332385,U,0
VI.37.46577.1.332386.U,2020,OWB,"F.B.J. Grapperhaus","Justitie en Veiligheid",VI,Migratie,37,,,"37.3 Terugkeer",46577,"Subsidies (regelingen)",1,"Overige subsidies",332386,U,0
XIII.4.35236.7.332387.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan agentschappen",7,RVO.nl,332387,U,0
IIB.2.35236.0.0.V,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"Algemene Rekenkamer",2,,,,35236,0,0,,,V,0
XIII.1.35236.0.332388.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Goed functionerende economie en markten",1,,,,35236,0,0,"Ontvangsten ACM",332388,O,0
XII.17.25171.1.332389.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,"Subsidies (regelingen)",1,"Subsidie Caribisch Nederland tarieven Bonaire",332389,U,0
XVII.1.25507.0.0.O,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame economische ontwikkeling,handel en investeringen",1,,,"Ontvangsten DGGF",25507,0,0,,,O,0
XVI.4.26429.1.332390.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,"Zorgbreed beleid",4,,,"1. Positie cliënt en transparantie van zorg",26429,"Subsidies (regelingen)",1,Overige,332390,U,0
XII.17.25171.7.332391.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,"Bijdrage aan agentschappen",7,RWS,332391,U,0
A.15.46578.0.0.O,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,Hoofdvaarwegennet,15,,,"15.09 Ontvangsten",46578,0,0,,,O,0
IX.11.35236.0.332392.U,2020,OWB,"Hoekstra, W.B.","Financiën en Nationale Schuld",IX,"Financiering staatsschuld",11,,,,35236,"Overige baten",0,"Aflossing vaste schuld",332392,U,0
A.14.26450.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,"Regionaal, lokale infrastructuur",14,,,"RSP-ZZL: Pakket Bereikbaarheid",26450,"RSP-ZZL: RB projecten",0,,,U,0
XII.17.25171.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,0,0,,,U,0
V.7.35236.0.0.V,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,0,0,,,V,0
V.7.35236.16.332393.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,"Materiële uitgaven",16,SSO's,332393,U,0
XIII.5.35236.1.332394.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een veilig Groningen met perspectief",5,,,,35236,"Subsidies (regelingen)",1,"Geestelijke bijstand/overige",332394,U,0
XV.3.35236.0.332395.U,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Arbeidsongeschiktheid,3,,,,35236,0,0,"IVA nominaal",332395,U,0
XII.23.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Meteorologie, seismologie en aardobservatie",23,,,,35236,0,0,,,V,0
XIII.4.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,0,0,,,O,0
XV.2.35236.0.0.V,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,"Bijstand, Participatiewet en Toeslagenwet",2,,,,35236,0,0,,,V,0
XII.17.25171.6.332396.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,Opdrachten,6,"Opdrachten Caribisch Nederland",332396,U,0
XII.25.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Brede doeluitkering",25,,,,35236,0,0,,,V,0
XIII.4.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,0,0,,,O,0
VI.93.35236.0.0.O,2020,OWB,"F.B.J. Grapperhaus","Justitie en Veiligheid",VI,Geheim,93,,,,35236,0,0,,,O,0
XII.22.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Omgevingsveiligheid en milieurisico's",22,,,,35236,0,0,,,V,0
V.7.35236.16.332397.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,"Materiële uitgaven",16,"Overige materiële uitgaven ",332397,U,0
XII.17.25171.6.332398.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,Opdrachten,6,"Opdrachten GIS",332398,U,0
XV.7.35236.0.332399.O,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Kinderopvang,7,,,,35236,0,0,"Algemene ontvangsten",332399,O,0
VI.92.35236.0.0.O,2020,OWB,"F.B.J. Grapperhaus","Justitie en Veiligheid",VI,"Nog onverdeeld",92,,,,35236,0,0,,,O,0
XII.24.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Handhaving en toezicht",24,,,,35236,0,0,,,V,0
VII.1.45863.9.332400.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,"1.1 Bestuur en regio",45863,"Bijdrage aan medeoverheden",9,"Compensatiepakket Zeeland",332400,U,0
XII.13.25159.9.332401.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Bodem en ondergrond",13,,,"Ruimtegebruik bodem",25159,"Bijdrage aan medeoverheden",9,"Overige bijdrage aan medeoverheden",332401,U,0
XII.17.25171.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,0,0,,,U,0
XVI.2.26423.0.0.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,"Curatieve zorg",2,,,"3. Ondersteuning van het zorgstelsel",26423,"Curatieve ggz",0,,,U,0
A.15.46571.0.332402.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,Hoofdvaarwegennet,15,,,"15.06 Netwerkgebonden kosten",46571,"Overige netwerkgebonden kosten",0,RWS,332402,U,0
XVI.2.26423.0.332403.U,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,"Curatieve zorg",2,,,"3. Ondersteuning van het zorgstelsel",26423,"Curatieve ggz",0,Overige,332403,U,0
XII.17.25171.6.332404.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,Opdrachten,6,Opdrachten,332404,U,0
VII.3.46124.6.332405.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,Woningmarkt,3,,,"3.3 Woningbouw",46124,Opdrachten,6,Woningbouwimpuls,332405,U,0
XVI.1.35236.0.332406.O,2020,OWB,"Hugo de Jonge (Minister van Volksgezondheid, Welzijn en Sport) en Bruno Bruins (Minister voor Medische Zorg en Sport)","Volksgezondheid, Welzijn en Sport",XVI,Volksgezondheid,1,,,,35236,0,0,Overige,332406,O,0
XII.16.46581.6.332407.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Openbaar vervoer en spoor",16,,,"1 Spoor",46581,Opdrachten,6,Opdrachten,332407,U,0
XIII.4.35236.8.332408.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan ZBOs/RWTs",8,TNO-SodM,332408,U,0
XVII.2.45652.10.332409.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame ontwikkeling, voedselzekerheid, water en klimaat",2,,,"2.2 Water",45652,"Bijdrage aan (inter-)nationale organisaties",10,"Drinkwater en sanitatie",332409,U,0
IIB.3.24887.0.0.O,2020,OWB,"K.H. Ollongren","Overige Hoge Colleges van Staat en Kabinetten van de Gouverneurs",IIB,"De Nationale ombudsman",3,,,Ontvangsten,24887,0,0,,,O,0
A.14.26450.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,"Regionaal, lokale infrastructuur",14,,,"RSP-ZZL: Pakket Bereikbaarheid",26450,"RSP-ZZL: RB projecten",0,,,U,0
VII.3.45581.7.332410.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,Woningmarkt,3,,,"3.1 Woningmarkt",45581,"Bijdrage aan agentschappen",7,"RVO.nl (uitvoeringskosten BEW)",332410,U,0
V.7.35236.16.332411.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,"Materiële uitgaven",16,ICT,332411,U,0
XIII.40.35236.0.0.V,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Apparaatsuitgaven Kerndepartement",40,,,,35236,0,0,,,V,0
XV.3.35236.0.0.O,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Arbeidsongeschiktheid,3,,,,35236,0,0,,,O,0
XIII.4.35236.7.332412.U,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,"Bijdrage aan agentschappen",7,RWS,332412,U,0
V.7.35236.15.332413.U,2020,OWB,S.A.Blok,"Buitenlandse Zaken",V,Apparaat,7,,,,35236,"Personele uitgaven",15,"Eigen personeel",332413,U,0
A.14.46575.0.0.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,"Regionaal, lokale infrastructuur",14,,,"14.01 Grote regionaal/lokale projecten",46575,"Realisatieprog. Reg/lok",0,,,U,0
XV.3.35236.0.0.O,2020,OWB,"W. Koolmees","Sociale Zaken en Werkgelegenheid",XV,Arbeidsongeschiktheid,3,,,,35236,0,0,,,O,0
XII.17.25171.1.332414.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,"Subsidies (regelingen)",1,Leefbaarheidsfonds,332414,U,0
A.14.35236.0.0.V,2020,OWB,"C. van Nieuwenhuizen Wijbenga",Infrastructuurfonds,A,"Regionaal, lokale infrastructuur",14,,,,35236,0,0,,,V,0
XII.25.25201.0.332415.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Brede doeluitkering",25,,,"Brede doeluitkering",25201,0,0,"Bijdrage BDU",332415,U,0
XIII.4.35236.0.0.O,2020,OWB,"E.D. Wiebes","Economische Zaken en Klimaat",XIII,"Een doelmatige energievoorziening en beperking van de klimaatverandering",4,,,,35236,0,0,,,O,0
XVII.2.45641.10.332416.U,2020,OWB,"S.A.M. Kaag","Buitenlandse Handel & Ontwikkelingssamenwerking",XVII,"Duurzame ontwikkeling, voedselzekerheid, water en klimaat",2,,,"2.3 Klimaat",45641,"Bijdrage aan (inter-)nationale organisaties",10,"Klimaat algemeen",332416,U,0
XII.17.25171.1.332417.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,Luchtvaart,25171,"Subsidies (regelingen)",1,"Subsidie omploegen graan",332417,U,0
VII.1.45823.9.332418.U,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,"1.2 Democratie",45823,"Bijdrage aan medeoverheden",9,"Diverse bijdragen",332418,U,0
XII.24.25198.7.332419.U,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,"Handhaving en toezicht",24,,,"Handhaving en toezicht",25198,"Bijdrage aan agentschappen",7,"het agentschap ILT",332419,U,0
XII.17.35236.0.0.O,2020,OWB,"C. van Nieuwenhuizen Wijbenga","Infrastructuur en Waterstaat",XII,Luchtvaart,17,,,,35236,0,0,,,O,0
VII.1.35236.0.0.V,2020,OWB,"K.H. Ollongren","Binnenlandse Zaken en Koninkrijksrelaties",VII,"Openbaar bestuur en democratie",1,,,,35236,0,0,,,V,0
