woonplaats;wijk;buurt;periode;aantal_ritten_in_periode;aantal_passagiers_in_periode;aantal_kilometers_per_periode;gemiddeld_aantal_km_per_rit
Zaandam;Nieuw West;Westerspoor;201708;113;115;728.90;6.5
Zaandam;Oude Haven;Het Eiland;201507;113;113;629.70;5.6
Krommenie;Krommenie West;Noorderham;201701;92;92;840.10;9.1
Zaandam;Pelders- en Hoornseveld;Peldersveld;201608;174;176;1068.20;6.1
Zaandam;Oude Haven;Het Eiland;201707;128;128;619.40;4.8
Westzaan;Westzaan;J.J. Allanbuurt;201506;9;9;51.80;5.8
Krommenie;Krommenie West;Zuiderham;201809;175;;1832.62;10.5
Zaandam;Zaandam West;Schilders- en Waddenbuurt;201703;45;45;237.40;5.3
Zaandam;Zaandam Zuid;Achtersluispolder;201612;4;4;42.80;10.7
Krommenie;Krommenie Oost;Rosariumbuurt;201610;160;165;1339.00;8.4
Zaandam;Poelenburg;Poelenburg;201508;293;297;2319.10;7.9
Wormerveer;Wormerveer;Wormerveer Zuid;201612;136;139;1174.20;8.6
Wormerveer;Wormerveer;Wormerveer Noord;201805;447;457;5064.60;11.3
Zaandam;Rosmolenwijk;Rosmolenbuurt;201510;434;437;2945.80;6.8
Koog aan de Zaan;Westerkoog;Westerkoog;201608;273;274;2297.90;8.4
Zaandam;Nieuw West;Westerwatering;201505;166;169;1415.50;8.5
Zaandijk;Rooswijk;Rooswijk Noord;201710;127;127;846.60;6.7
Krommenie;Krommenie West;Noorderham;201708;89;89;842.00;9.5
Zaandam;Kogerveldwijk;Kogerveld;201511;99;101;767.40;7.8
Zaandam;Nieuw West;Westerspoor;201701;62;62;557.20;9.0
Zaandam;Pelders- en Hoornseveld;Peldersveld;201808;197;;1621.54;8.2
Zaandam;Oude Haven;Havenbuurt;201810;112;;524.60;4.7
Westknollendam;Wormerveer;Westknollendam;201711;33;35;578.40;17.5
Krommenie;Krommenie West;Willis;201502;11;11;171.10;15.6
Krommenie;Krommenie Oost;Snuiverbuurt;201809;141;;1227.69;8.7
Assendelft;Assendelft-Noord;Waterrijk;201708;41;42;402.70;9.8
Koog aan de Zaan;Westerkoog;Westerkoog;201808;273;;2439.49;8.9
Koog aan de Zaan;Oud Koog a/d Zaan;Oud Koog;201602;233;239;1173.20;5.0
Assendelft;Assendelft-Noord;Waterrijk;201701;84;85;708.50;8.4
Assendelft;Assendelft-Zuid;Centrum;201501;244;250;2390.50;9.8
