FID,categorie,type,aanlegjaar,geometrie
O10002_Rioolkaart_streng_OD.1,rioolleiding,hemelwaterafvoer,1987,"MULTILINESTRING ((178140.409 504123.78, 178157.586 504201.208))"
O10002_Rioolkaart_streng_OD.2,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((177180.449 503044.87, 177164.819 503007.14))"
O10002_Rioolkaart_streng_OD.3,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((177040.129 503160.99, 176987.169 503166.34))"
O10002_Rioolkaart_streng_OD.4,rioolleiding,hemelwaterafvoer,1979,"MULTILINESTRING ((177781.369 502824.49, 177771.199 502848.28))"
O10002_Rioolkaart_streng_OD.5,rioolleiding,gemengd stelsel,1976,"MULTILINESTRING ((177612.189 505879.38, 177650.839 505857.28))"
O10002_Rioolkaart_streng_OD.6,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176688.079 503313.79, 176722.369 503310.26))"
O10002_Rioolkaart_streng_OD.7,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176706.929 503190.59, 176739.349 503187.3))"
O10002_Rioolkaart_streng_OD.8,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176635.761 503081.258, 176602.659 503095.04))"
O10002_Rioolkaart_streng_OD.9,rioolleiding,hemelwaterafvoer,1990,"MULTILINESTRING ((176572.879 503107.52, 176542.289 503119.93))"
O10002_Rioolkaart_streng_OD.10,rioolleiding,hemelwaterafvoer,1995,"MULTILINESTRING ((176809.436 504821.094, 176754.392 504841.563))"
O10002_Rioolkaart_streng_OD.11,rioolleiding,hemelwaterafvoer,1995,"MULTILINESTRING ((176666.754 504746.155, 176718.91 504697.844))"
O10002_Rioolkaart_streng_OD.12,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((175799.747 495787.354, 175836.589 495726.512))"
O10002_Rioolkaart_streng_OD.13,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((175866.378 495827.266, 175846.73 495815.764))"
O10002_Rioolkaart_streng_OD.14,rioolleiding,droogweerafvoer,1971,"MULTILINESTRING ((172603.382 508869.189, 172586.43 508883.064))"
O10002_Rioolkaart_streng_OD.15,rioolleiding,droogweerafvoer,1971,"MULTILINESTRING ((172624.026 508852.5, 172603.382 508869.189))"
O10002_Rioolkaart_streng_OD.16,rioolleiding,droogweerafvoer,1971,"MULTILINESTRING ((172733.862 508824.652, 172740.876 508835.096))"
O10002_Rioolkaart_streng_OD.17,rioolleiding,droogweerafvoer,1971,"MULTILINESTRING ((172755.406 508825.348, 172759.724 508831.462))"
O10002_Rioolkaart_streng_OD.18,rioolleiding,droogweerafvoer,1996,"MULTILINESTRING ((176785.896 497352.663, 176804.215 497341.194))"
O10002_Rioolkaart_streng_OD.19,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((175942.784 495914.275, 175951.997 495934.311))"
O10002_Rioolkaart_streng_OD.20,rioolleiding,hemelwaterafvoer,1994,"MULTILINESTRING ((176004.242 496125.742, 176043.53 496081.619))"
O10002_Rioolkaart_streng_OD.21,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176808.819 503182.66, 176803.739 503132.12))"
O10002_Rioolkaart_streng_OD.22,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176879.619 503038.98, 176894.994 503077.18))"
O10002_Rioolkaart_streng_OD.23,rioolleiding,droogweerafvoer,1990,"MULTILINESTRING ((176257.821 503179.129, 176229.389 503190.966))"
O10002_Rioolkaart_streng_OD.24,rioolleiding,droogweerafvoer,1979,"MULTILINESTRING ((178629.138 505154.25, 178621.629 505115.16))"
O10002_Rioolkaart_streng_OD.25,rioolleiding,droogweerafvoer,1979,"MULTILINESTRING ((178522.658 505134.53, 178472.879 505144.59))"
O10002_Rioolkaart_streng_OD.26,rioolleiding,gemengd stelsel,1960,"MULTILINESTRING ((177831.479 505480.34, 177856.419 505523.91))"
O10002_Rioolkaart_streng_OD.27,rioolleiding,gemengd stelsel,1960,"MULTILINESTRING ((177597.949 504774.32, 177591.509 504725.24))"
O10002_Rioolkaart_streng_OD.28,rioolleiding,gemengd stelsel,1960,"MULTILINESTRING ((177604.409 504823.8, 177597.949 504774.32))"
O10002_Rioolkaart_streng_OD.29,rioolleiding,gemengd stelsel,1961,"MULTILINESTRING ((177526.02 504879.94, 177520.19 504835.88))"
O10002_Rioolkaart_streng_OD.30,rioolleiding,gemengd stelsel,1961,"MULTILINESTRING ((177531.91 504925, 177526.02 504879.94))"
O10002_Rioolkaart_streng_OD.31,rioolleiding,gemengd stelsel,1980,"MULTILINESTRING ((177596.7 505106.13, 177621.56 505100.72))"
O10002_Rioolkaart_streng_OD.32,rioolleiding,droogweerafvoer,2008,"MULTILINESTRING ((175139.214 506090.746, 175185.952 506069.356))"
O10002_Rioolkaart_streng_OD.33,rioolleiding,droogweerafvoer,2008,"MULTILINESTRING ((175074.841 506077.315, 175092.242 506112.246))"
O10002_Rioolkaart_streng_OD.34,rioolleiding,droogweerafvoer,2008,"MULTILINESTRING ((175027.02 505981.788, 175041.28 506010.39))"
O10002_Rioolkaart_streng_OD.35,rioolleiding,gemengd stelsel,1960,"MULTILINESTRING ((177682.9 505076.385, 177642.44 505084.4))"
O10002_Rioolkaart_streng_OD.36,rioolleiding,gemengd stelsel,2007,"MULTILINESTRING ((175544.543 496213.965, 175513.201 496249.125))"
O10002_Rioolkaart_streng_OD.37,rioolleiding,hemelwaterafvoer,1973,"MULTILINESTRING ((177208.471 503581.109, 177148.372 503584.581))"
O10002_Rioolkaart_streng_OD.38,rioolleiding,gemengd stelsel,1976,"MULTILINESTRING ((177589.645 505749.289, 177632.215 505725.159))"
O10002_Rioolkaart_streng_OD.39,rioolleiding,droogweerafvoer,1975,"MULTILINESTRING ((178324.939 505262.38, 178336.949 505269.5))"
O10002_Rioolkaart_streng_OD.40,rioolleiding,droogweerafvoer,1978,"MULTILINESTRING ((178413.879 505290.38, 178410.089 505300.31))"
