Verkiezing;Gemeente;Stembureau_naam/totaal;Stembureau_nummer;Partij;Aantal_stemmen;Stembureau_woonplaats;Stembureau_wijknaam;Stembureau_buurtnaam;Stembureau_straatnaam;Stembureau_huisnummer;Stembureau_huisnummer_toevoeging;Stembureau_postcode;Stembureau_latitude;Stembureau_longitude;Stembureau_x;Stembureau_y;Stembureau_BAG_referentienummer;CBS_gemeentecode;CBS_wijkcode;CBS_buurtcode
TK2021;Stichtse Vecht;Gemeentekantoor;1;50PLUS;14;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;BBB;6;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;BIJ1;12;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;CDA;218;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;CODE ORANJE;7;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;ChristenUnie;51;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;D66;441;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;DE FEESTPARTIJ (DFP);1;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;DENK;13;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;Forum voor Democratie;58;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;GROENLINKS;99;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;JA21;65;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;JEZUS LEEFT;0;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
TK2021;Stichtse Vecht;Gemeentekantoor;1;JONG;4;Maarssen;Maarssen;Omgeving Goudestein;Endelhovenlaan;1;;3601 GR;5.032985;52.144572;130753.67;461879.72;333100000019517;G1904;WK190401;BK19040107
