OBJECTID,REF_WISSEL_KRUISING_PUIC,NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,REF_WISSEL_KRUISING_NAAM,M_GANG_VAN_T,M_GANG_TOT_T,GELDIG_VANAF,PUBLICATIEDATUM,LATITUDE_BEGIN,LATITUDE_EIND,IS_BERIJDBAAR,BI_DIRECTIONEEL,LONGITUDE_BEGIN,LONGITUDE_EIND,M_GANG_TOT,M_GANG_VAN
1,27259e52-273a-4dfc-ab78-a3b915e73b90,Rechts,25.17463915,88890.39999999,434690.293,3.378,88914.08,434698.72899999,3.378,X0267,"-2,754","22,421",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.89679715,51.89687578,Ja,Onbekend,4.42670701,4.42704938,22.421,-2.754
2,27259e52-273a-4dfc-ab78-a3b915e73b90,Links,30.69532456,88890.39999999,434690.293,3.378,88918.395,434702.88199999,3.378,X0267,"-2,754","27,941",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.89679715,51.89691362,Ja,Ja,4.42670701,4.42711127,27.941,-2.754
3,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Rechts,46.01961546,119241.77,490730.78899999,1.21,119278.728,490703.368,1.21,97A/97B,"-13,035","32,985",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.40324417,52.40300013,Ja,Ja,4.86175718,4.86230316,32.985,-13.035
4,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Links-Links,43.27391633,119241.77,490730.78899999,1.21,119277.78599999,490706.873,1.21,97A/97B,"-13,035","30,239",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.40324417,52.40303157,Ja,Ja,4.86175718,4.86228894,30.239,-13.035
5,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Rechts-Links,40.38772963,119242.88,490727.189,1.21,119277.78599999,490706.873,1.21,97A/97B,"-10,123","30,265",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.40321188,52.40303157,Ja,Ja,4.86177388,4.86228894,30.265,-10.123
6,24e6d075-1697-4e3e-9f08-6ad0d4d9c710,Rechts-Rechts,43.0815601,119242.88,490727.189,1.21,119278.728,490703.368,1.21,97A/97B,"-10,123","32,959",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.40321188,52.40300013,Ja,Ja,4.86177388,4.86230316,32.959,-10.123
7,2fd545e6-53b0-4493-ad42-9dd078c85116,Links-Links,50.75750691,61279.50299999,440133.541,5.23899999,61270.449,440183.42999999,5.23899999,1583/1585,"-14,819","35,938",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.94174667,51.94219345,Ja,Ja,4.02416131,4.02401605,35.938,-14.819
8,2fd545e6-53b0-4493-ad42-9dd078c85116,Rechts-Rechts,51.9539118,61282.517,440132.87099999,5.23899999,61273.294,440183.944,5.23899999,1583/1585,"-16,015","35,939",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.94174116,51.94219855,Ja,Ja,4.02420531,4.02405728,35.939,-16.015
9,2fd545e6-53b0-4493-ad42-9dd078c85116,Links-Rechts,50.78400656,61279.50299999,440133.541,5.23899999,61273.294,440183.944,5.23899999,1583/1585,"-14,819","35,965",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.94174667,51.94219855,Ja,Ja,4.02416131,4.02405728,35.965,-14.819
10,2fd545e6-53b0-4493-ad42-9dd078c85116,Rechts-Links,51.9793142,61282.517,440132.87099999,5.23899999,61270.449,440183.42999999,5.23899999,1583/1585,"-16,015","35,965",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.94174116,51.94219345,Ja,Ja,4.02420531,4.02401605,35.965,-16.015
11,b85593df-da08-4b19-b236-623c0b1fd95a,Links,62.63815129,131061.013,480945.424,0.643,131007.474,480977.89899999,0.613,902,"-4,500","58,138",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.31594176,52.31623129,Ja,Ja,5.03612635,5.03533888,58.138,-4.5
12,b85593df-da08-4b19-b236-623c0b1fd95a,Rechts,62.6323272,131061.013,480945.424,0.643,131008.873,480980.12599999,0.613,902,"-4,500","58,132",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.31594176,52.31625137,Ja,Ja,5.03612635,5.03535924,58.132,-4.5
13,afd3cc3d-b471-44b9-964d-3ec0b396689a,Rechts,127.18507957,98247.8,460068.526,-0.13,98129.51399999,460115.248,-0.13,317,"-5,700","121,485",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.12591307,52.12632082,Ja,Ja,4.5584379,4.55670291,121.485,-5.7
14,afd3cc3d-b471-44b9-964d-3ec0b396689a,Links,127.18030987,98247.8,460068.526,-0.13,98128.61199999,460112.9,-0.13,317,"-5,700","121,480",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.12591307,52.12629963,Ja,Ja,4.5584379,4.55669013,121.48,-5.7
15,514169ce-81df-4100-b5b2-59a0639828a5,Links,58.95781581,115756.892,532948.5,0.881,115759.88099999,532889.618,0.895,1205A,"-4,500","54,458",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.78240598,52.78187706,Ja,Ja,4.80556477,4.80561609,54.458,-4.5
16,514169ce-81df-4100-b5b2-59a0639828a5,Rechts,56.99051816,115756.892,532948.5,0.881,115757.604,532891.525,0.895,1205A,"-4,500","52,491",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.78240598,52.78189403,Ja,Ja,4.80556477,4.80558211,52.491,-4.5
17,9aef7265-3d6c-4474-b75e-ac02979740b1,Links,65.04474126,134540.12899999,478718.93699999,0.401,134591.7,478679.298,0.401,119A,"-3,899","61,145",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.29607146,52.29571711,Ja,Ja,5.08728388,5.08804225,61.145,-3.899
18,9aef7265-3d6c-4474-b75e-ac02979740b1,Rechts,53.90440301,134540.12899999,478718.93699999,0.401,134581.59099999,478684.50599999,0.401,119A,"-3,899","50,005",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.29607146,52.29576355,Ja,Ja,5.08728388,5.08789375,50.005,-3.899
19,dee0920a-679a-44f4-a7ed-d2c7ae92f530,Links,31.18252824,148502.761,411239.75599999,6.67499999,148508.722,411270.33799999,6.67499999,2165,"-3,899","27,283",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.68990129,51.69017625,Ja,Ja,5.29323785,5.29332348,27.283,-3.899
20,dee0920a-679a-44f4-a7ed-d2c7ae92f530,Rechts,40.36962727,148502.761,411239.75599999,6.67499999,148512.755,411278.869,6.67499999,2165,"-3,899","36,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.68990129,51.69025297,Ja,Ja,5.29323785,5.29338165,36.47,-3.899
21,4e2af8a4-e416-4fe2-9026-45e4f029fe7b,Rechts,40.36981855,112963.976,551944.386,1.476,112958.561,551984.39099999,1.355,1105B,"-3,899","36,471",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.95289564,52.9532547,Ja,Ja,4.76173391,4.76164818,36.471,-3.899
22,4e2af8a4-e416-4fe2-9026-45e4f029fe7b,Links,34.8463958,112963.976,551944.386,1.476,112957.107,551978.51699999,1.373,1105B,"-3,899","30,947",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.95289564,52.95320181,Ja,Ja,4.76173391,4.76162731,30.947,-3.899
23,211a2ac5-6e2e-497f-a7f8-11e639fe87fb,Rechts,37.23199056,187833.475,334302.82799999,51.17099999,187856.16399999,334332.348,51.051,231A,"-3,377","33,855",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,50.99743193,50.99769597,Ja,Ja,5.85489641,5.85522229,33.855,-3.377
24,211a2ac5-6e2e-497f-a7f8-11e639fe87fb,Links,34.26859541,187833.475,334302.82799999,51.17099999,187852.552,334331.26,51.078,231A,"-3,377","30,891",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,50.99743193,50.99768639,Ja,Ja,5.85489641,5.85517074,30.891,-3.377
25,c5a8b349-d504-4632-9f17-016c46cae5e9,Rechts,51.52106246,108863.152,503692.14199999,0.6,108824.543,503726.25599999,0.6,219B,"-4,501","47,020",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.51895181,52.51925513,Ja,Ja,4.70747098,4.70689747,47.02,-4.501
26,c5a8b349-d504-4632-9f17-016c46cae5e9,Links,51.50541023,108863.152,503692.14199999,0.6,108822.944,503724.297,0.6,219B,"-4,501","47,005",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.51895181,52.51923739,Ja,Ja,4.70747098,4.70687418,47.005,-4.501
27,9bff31d2-58fd-48cc-92bb-d1a460236e43,Rechts,38.58712473,91188.12099999,433837.02799999,3.334,91172.365,433801.842,3.39,010,"-4,499","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.88939662,51.88907859,Ja,Ja,4.46024416,4.46002183,34.088,-4.499
28,9bff31d2-58fd-48cc-92bb-d1a460236e43,Links,38.56472758,91188.12099999,433837.02799999,3.334,91174.762,433800.851,3.39,010,"-4,499","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.88939662,51.88906996,Ja,Ja,4.46024416,4.46005683,34.065,-4.499
29,255fc577-6c13-47a3-9f5c-a27b1269a169,Rechts-Rechts,45.99447131,81607.60499999,453716.249,3.64199999,81640.58599999,453748.242,3.64199999,311B/315A,"-13,036","32,959",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06686897,52.06716085,Ja,Ja,4.31684113,4.31731517,32.959,-13.036
30,255fc577-6c13-47a3-9f5c-a27b1269a169,Links-Links,45.99380804,81605.823,453718.086,3.64199999,81638.804,453750.079,3.64199999,311B/315A,"-13,035","32,959",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06688524,52.06717712,Ja,Ja,4.31681475,4.31728879,32.959,-13.035
31,255fc577-6c13-47a3-9f5c-a27b1269a169,Rechts-Links,46.0200663,81607.60499999,453716.249,3.64199999,81638.804,453750.079,3.64199999,311B/315A,"-13,036","32,984",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06686897,52.06717712,Ja,Ja,4.31684113,4.31728879,32.984,-13.036
32,255fc577-6c13-47a3-9f5c-a27b1269a169,Links-Rechts,46.02010984,81605.823,453718.086,3.64199999,81640.58599999,453748.242,3.64199999,311B/315A,"-13,035","32,985",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06688524,52.06716085,Ja,Ja,4.31681475,4.31731517,32.985,-13.035
33,be3c2c64-c3a3-4b06-944a-4ad2b3c57d90,Rechts,39.68016789,135784.442,456110.775,4.482,135764.404,456145.02399999,4.482,2621,"-3,600","36,080",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.09291886,52.09322599,Ja,Ja,5.10680463,5.1065103,36.08,-3.6
34,be3c2c64-c3a3-4b06-944a-4ad2b3c57d90,Links,38.01254287,135784.442,456110.775,4.482,135763.35,456142.35499999,4.482,2621,"-3,600","34,412",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.09291886,52.09320197,Ja,Ja,5.10680463,5.10649508,34.412,-3.6
35,dbe6c594-d4f9-4abe-8315-f65f7e4c69be,Links,38.56528367,87068.53299999,453684.679,-2.206,87093.58999999,453655.363,-2.16699999,75,"-4,500","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06728175,52.06702136,Ja,Ja,4.39647809,4.3968493,34.065,-4.5
36,dbe6c594-d4f9-4abe-8315-f65f7e4c69be,Rechts,38.58852903,87068.53299999,453684.679,-2.206,87091.55599999,453653.754,-2.16699999,75,"-4,500","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.06728175,52.06700665,Ja,Ja,4.39647809,4.39681996,34.088,-4.5
37,b8a346fe-15e5-4478-a261-664a7d3a2703,Links,38.58815364,240981.76,486629.829,11.388,241010.369,486603.98599999,11.388,67A,"-4,500","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.36081819,52.36058149,Ja,Ja,6.64948554,6.64989884,34.088,-4.5
38,b8a346fe-15e5-4478-a261-664a7d3a2703,Rechts,38.56519877,240981.76,486629.829,11.388,241008.518,486602.05699999,11.388,67A,"-4,500","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,52.36081819,52.36056445,Ja,Ja,6.64948554,6.64987117,34.065,-4.5
39,a2964802-a753-40b7-ab80-7ede9dea1c7a,Rechts,38.58826874,80021.13199999,431716.276,4.216,80058.853,431724.24599999,4.216,913,"-4,500","34,089",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.86894574,51.86902244,Ja,Ja,4.29851506,4.29906093,34.089,-4.5
40,a2964802-a753-40b7-ab80-7ede9dea1c7a,Links,38.56440303,80021.13199999,431716.276,4.216,80058.24199999,431726.76699999,4.216,913,"-4,500","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.86894574,51.86904502,Ja,Ja,4.29851506,4.29905151,34.065,-4.5
41,a3a8cd1b-1d2d-4d9e-80d4-0cbd90593533,Rechts,62.6326998,158028.26999999,386772.95899999,18.91799999,158068.171,386724.68099999,18.91799999,1373A,"-4,500","58,132",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.47000875,51.46957458,Ja,Ja,5.43078283,5.43135667,58.132,-4.5
42,a3a8cd1b-1d2d-4d9e-80d4-0cbd90593533,Links,62.43185083,158028.26999999,386772.95899999,18.91799999,158069.958,386726.50799999,18.898,1373A,"-4,500","57,931",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.47000875,51.46959099,Ja,Ja,5.43078283,5.4313824,57.931,-4.5
43,6a6e934f-67c6-4def-8c72-c4db20b49a40,Rechts,38.58766164,88092.84299999,432223.427,3.47699999,88129.979,432213.07,3.551,W2-4,"-4,500","34,088",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.87453156,51.87444294,Ja,Ja,4.41560009,4.4161413,34.088,-4.5
44,6a6e934f-67c6-4def-8c72-c4db20b49a40,Links,38.56510757,88092.84299999,432223.427,3.47699999,88130.603,432215.58799999,3.551,W2-4,"-4,500","34,065",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.87453156,51.87446564,Ja,Ja,4.41560009,4.41614988,34.065,-4.5
45,7af1781f-e7c7-496e-b337-28787a7ed525,Rechts,34.83788815,136704.032,398688.064,12.997,136722.31299999,398717.68699999,12.925,205,"-3,900","30,938",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.57681994,51.5770868,Ja,Ja,5.12326276,5.12352494,30.938,-3.9
46,7af1781f-e7c7-496e-b337-28787a7ed525,Links,40.36986917,136704.032,398688.064,12.997,136722.976,398723.71299999,12.997,205,"-3,900","36,470",2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,51.57681994,51.57714099,Ja,Ja,5.12326276,5.12353419,36.47,-3.9
