FID,id,gebied,omschrijving,geldig_van,geldig_tot,aanmaak_dd,mutatie_dd,bron,entiteit,systeem,status,lengte_km,se_anno_cad_data,gdb_geomattr_data,shape
diepwaterroute.49,49,Noord Hinder,Verbinding tussen DW en Noord Hinder 1,2008-07-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,10.36643256,,,"LINESTRING (480901.33249999955 5778743.3401, 480458.4411000004 5772209.83, 480198.25299999956 5768400.7776)"
diepwaterroute.50,50,Noord Hinder,Verbinding tussen DW en Noord Hinder 2,2008-07-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,5.14398128,,,"LINESTRING (480198.25299999956 5768400.7776, 479858.5318 5763268.026699999)"
diepwaterroute.71,72,Brown Ridge,Diepwaterroute Brown Ridge westzijde 1,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,37.12633046,,,"LINESTRING (520805.17760000005 5879237.2261, 531393.0223000003 5914821.801000001)"
diepwaterroute.72,73,Brown Ridge,Diepwaterroute Brown Ridge oostzijde 1,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,35.97203315,,,"LINESTRING (544017.3481999999 5909266.607999999, 529501.6531999996 5876353.362)"
diepwaterroute.76,79,Friesland,Diepwaterroute Friesland noordzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,28.4665082,,,"LINESTRING (546888.6118000001 5984528.724300001, 575189.9330000002 5987590.9625)"
diepwaterroute.77,80,Friesland,Diepwaterroute Friesland zuidzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,27.74826074,,,"LINESTRING (549033.4244999997 5974870.193600001, 576490.9836999997 5978876.239)"
diepwaterroute.82,90,Botney Ground,Diepwaterroute Botney Ground westzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,193.27815265,,,"LINESTRING (469642.76460000034 5751547.829399999, 471407.5696999999 5779419.0932, 472632.27880000044 5794762.411599999, 473112.0181999998 5881157.7425, 485448.8439999996 5912859.6666, 496048.35199999996 5940437.3486)"
diepwaterroute.83,91,Botney Ground,Diepwaterroute Botney Ground oostzijde,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,142.3694937,,,"LINESTRING (481740.4194 5799150.6086, 482038.32600000035 5879632.916200001, 493873.5525000002 5909633.669299999, 500663.1765999999 5926780.735099999, 505965.90660000034 5936638.398499999)"
diepwaterroute.84,92,Brown Ridge,Diepwaterroute Brown Ridge westzijde 2,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,73.57560059,,,"LINESTRING (515872.9983000001 5864329.8697999995, 481740.4194 5799150.6086)"
diepwaterroute.85,93,Brown Ridge,Diepwaterroute Brown Ridge oostzijde 2,2003-01-01T00:00:00,2999-12-31T00:00:00,2009-09-01T00:00:00,2013-07-24T00:00:00,IMO Ships' Routeing,begrenzing,DW,Actief,93.51615145,,,"LINESTRING (480901.33249999955 5778743.3401, 524570.8811999997 5861436.998400001)"
