Leveranciersnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
1e Klas' Grand Caf̩ Restaurant;;1;;;;;;1
2CoolMonkeys B.V.;;;2;;;;;2
2KNOWHOW, art of change B.V.;;2;;;;;;2
360 Veiligheid B.V.;;1;;;;;;1
A3MC Management & Consultancy B.V.;;;4;;;;;4
Aa & C Nederland B.V.;;;1;;;;;1
Aalbers Engineering en Interieurbouw B.V.;;;1;;;;;1
Aapeha B.V.;;;2;;;;;2
ABC Nova Republiq B.V.;;2;;;;;;2
ABC Vastgoed B.V.;;;2;;;;;2
ABF RESEARCH;;;6;;;;;6
ABT B.V.;;3;;;;;;3
ADD EXCITEMENT B.V.;;;2;;;;;2
Ajilon Engineering B.V.;;;2;;;;;2
Akro Consult B.V.;;;2;;;;;2
albertwelvaartfotoos;;;1;;;;;1
Allround Installations;;1;;;;;;1
Altavilla B.V.;;;3;;;;;3
ALTERNATE COMPUTERVERSAND NEDERLAND;;1;;;;;;1
Ambrac Produktie B.V.;;;;;;5;;5
AMI Maastricht;;5;;;;;;5
ANDERSSON ELFFERS FELIX;;;4;;;;;4
Anna Vastgoed Beheer B.V.;;1;;;;;;1
Anoniem 120;;;1;;;;;1
Anoniem 170;;;2;;;;;2
Anoniem 191;;;1;;;;;1
Anoniem 21;;;1;;;;;1
Anoniem 212;;1;;;;;;1
Anoniem 218;;1;;;;;;1
Anoniem 23;;1;;;;;;1
Anoniem 245;;;1;;;;;1
Anoniem 256;;1;;;;;;1
Anoniem 26;;;1;;;;;1
Anoniem 262;;1;;;;;;1
Anoniem 268;;;1;;;;;1
Anoniem 269;;1;;;;;;1
Anoniem 27;;;1;;;;;1
Anoniem 33;;;1;;;;;1
Anoniem 334;;;1;;;;;1
Anoniem 335;;;1;;;;;1
Anoniem 37;;1;;;;;;1
Anoniem 383;;;1;;;;;1
Anoniem 394;;;1;;;;;1
Anoniem 409;;;1;;;;;1
Anoniem 411;;;1;;;;;1
Anoniem 412;;1;;;;;;1
Anoniem 419;;;1;;;;;1
Anoniem 420;;1;;;;;;1
Anoniem 486;;;1;;;;;1
Anoniem 538;;1;;;;;;1
Anoniem 547;;;3;;;;;3
Anoniem 561;;;1;;;;;1
Anoniem 589;;1;;;;;;1
Anoniem 590;;;1;;;;;1
Anoniem 593;;;1;;;;;1
Anoniem 617;;;1;;;;;1
Anoniem 62;;;2;;;;;2
Anoniem 63;;1;2;;;;;2
Anoniem 648;;2;;;;;;2
Anoniem 660;;;1;;;;;1
Anoniem 661;;;1;;;;;1
Anoniem 668;;;1;;;;;1
Anoniem 7;;;1;;;;;1
Anoniem 74;;;1;;;;;1
Anoniem 743;;1;;;;;;1
Anoniem 754;;;1;;;;;1
Anoniem 755;;;1;;;;;1
Anoniem 825;;;1;;;;;1
Anoniem 830;;;1;;;;;1
Anoniem 87;;;;1;;;;1
Anoniem 95;;;1;;;;;1
Anoniem 96;;1;;;;;;1
Anoniem 99;;;1;;;;;1
ANTEA NEDERLAND;;;2;;;;;2
APE PUBLIC ECONOMICS;;;2;;;;;2
APG SERVICE PARTNERS;;2;;;1;;;2
Apptimize;;;1;;;;;1
ARCADIS Nederland;;2;;;;;;2
ARCADIS NEDERLAND B.V.;;;5;;;;;5
