Leverancier;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
4walls;;;;;;;1;;;1
A. de Kom;;;;;;;1;;;1
Aannemingsbedrijf J.C. Nieuwenhuizen B.V.;;;;;;;;1;;1
Absoluta Food and Facilities B.V.;;;;;;;;1;;1
Afeer;;;;;;;1;;;1
Albron Nederland;1;;;;;;;;;1
Albron Nederland B.V.;6;;;;;;;;;6
Algemene Lawntennis Vereniging Zoetermeer;;;;;;;;1;;1
AllBidigit Group Noord B.V.;;;;;2;;;;;2
Allekabels B.V.;;;;;;;;1;;1
Allerlei V.O.F.;;;;;;;1;;;1
Allgifts.nl B.V.;;;;;1;;;1;;1
ALLSAFE mini opslag Utrecht;;;;;1;;;;;1
Alpheios B.V.;;;;;;;;1;;1
ALTER - HAAGLANDEN sleutels - sloten;;2;;;;;;;;2
Ambius B.V.;;;;;;;;1;;1
Anna Vastgoed Beheer B.V.;2;;;;;;;;;2
Anneline Van Der zon Work Environment Insights;;;;;;;1;;;1
Anoniem_BZK_1;;;;;;;;1;;1
Anoniem_BZK_107;;;;;;;1;;;1
Anoniem_BZK_114;;;;;;;1;;;1
Anoniem_BZK_120;;;;;;;;1;;1
Anoniem_BZK_123;;;;;;;1;;;1
Anoniem_BZK_134;;;;;;;1;;;1
Anoniem_BZK_150;;;;;1;;;;;1
Anoniem_BZK_154;;;;;;;1;;;1
Anoniem_BZK_159;;;;;1;;;;;1
Anoniem_BZK_175;;;;;;;2;;;2
Anoniem_BZK_212;;;;;;;1;;;1
Anoniem_BZK_237;;;;;;;1;;;1
Anoniem_BZK_247;;;;;;;1;;;1
Anoniem_BZK_256;;;;;;;1;;;1
Anoniem_BZK_280;;;;;;;1;;;1
Anoniem_BZK_287;;;;;;;1;;;1
Anoniem_BZK_304;;;;;;;1;;;1
Anoniem_BZK_308;;;;;1;;;;;1
Anoniem_BZK_312;;;;;;;1;;;1
Anoniem_BZK_32;;;;;;;;1;;1
Anoniem_BZK_325;;;;;;;;2;;2
Anoniem_BZK_340;;;;;;;1;;;1
Anoniem_BZK_343;1;;;;;;;;;1
Anoniem_BZK_364;;;;;;;1;;;1
Anoniem_BZK_395;;;;;;;1;;;1
Anoniem_BZK_399;;;;;;;;1;;1
Anoniem_BZK_412;;;;;;;1;;;1
Anoniem_BZK_433;;;;;;;2;;;2
Anoniem_BZK_44;;;;;1;;;;;1
Anoniem_BZK_56;;;;;;;;1;;1
Anoniem_BZK_57;;;;;;;;1;;1
Anoniem_BZK_64;;;;;;;1;;;1
Anoniem_BZK_68;;;;;1;;;;;1
Antalis B.V.;;;;1;;;;;;1
Antropia B.V.;1;;;;;;;;;1
ANWB B.V.;;;;;;;;1;;1
Architektenburo en Bouwburo Coors B.V.;;;;;;;2;;;2
Ardis Opleidingen B.V.;;;;;;;1;;;1
Art 4 You Decorations;;;;;;;2;;;2
ASB Security B.V.;;1;;;;;;;;1
Atelier Bultsma;;;;;1;;;;;1
Atelier Van Zijderveld;;;;;;;3;;;3
Atir Schoonmaakstrategen;;;1;;;;;;;1
Atrium Vastgoedmanagement B.V.;1;;;;;;;;;1
ATS Systems B.V.;;1;;;;;;;;1
AVB Language Group B.V.;;;;;1;;;;;1
AvdR Webinars B.V.;;;;;1;;;;;1
AXIS Specialty Europe SE;;;;;;;;;1;1
BaaB Communicatie;;;;;;;1;;;1
Balance B.V.;;;;;1;;;;;1
