buurt;wijk;woonplaats;gemeente;type_proces;type_aanvraag;status;resultaat;periode;aantal_aanvragen
;;* Anders;;Minima;Aanvraag BB;afgehandeld;*NB;209902;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;*NB;209912;3
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201501;3
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201502;2
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201503;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201504;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201505;2
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201506;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201507;6
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201508;3
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201509;7
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201510;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201601;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201602;2
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201606;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201609;2
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvr. niet in behand. genomen;201903;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201501;2
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201503;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201505;1
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201506;8
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201507;6
;;* Anders;;Minima;Aanvraag BB;afgehandeld;Aanvraag ingetrokken;201508;3
