LOCATIE;VINDPLAATSNUMMER;PERIODE_AARD;PROJECT;OBJECTID;X;Y;LONG;LAT
Binnenhof, Hofsingel/Hofstraat 2*;1;MEL, NT, Kasteel, Kasteelterrein;BIN01w, HOF86, HOF87, HOF93;1;81387.8390999995;455096.917900001;4.313338760312081;52.07924757958954
Westeinde, Amicitiahof (voormalige Zuilingstraat)*;3;MEL, Klooster ;AMI97, ZUI93;2;80824.6110999994;454887.686799999;4.305169205963354;52.07729210468551
De la Reyweg-Bothastraat ;4;MEL, Huisplaats;Vindplaats 4;3;79471.9844000004;454014.094300001;4.285634567921098;52.06925851714798
Lange Poten*;6;NEOL, Stenen bijl;Vindplaats 6;4;81448.8993000015;455046.933;4.314240141389586;52.078806490868445
Muurbloemweg ;7;IJZL, Nederzetting;MBW91;5;75924.3577000014;453733.179099998;4.233967615234235;52.066238814397856
Aaltje Noordewierstraat - hoek Mozartlaan ;8;BRONSL, IJZL, Nederzetting;ANS92;6;75780.307599999;453194.2947;4.231992235553294;52.06137548709543
Van Voorschotenlaan ;9;IJZ, Nederzetting;Vindplaats 9;7;81280.9222999997;457514.049600002;4.3112566833135535;52.10095551883857
Golfterrein Ockenburgh ;10;ROMM, Nederzetting;Vindplaats 10;8;74588.7617000006;452823.1395;4.214707474510871;52.05786836690802
De Savornin Lohmanplein ;11;IJZ, ROM, Nederzetting;Vindplaats 11;9;76740.8673000001;453750.086900001;4.245869425510266;52.06650674688687
Ockenburgh ;12;"IJZM, Grafheuvel; ROMM, Ruiterfort, Vicus";OCK93;10;74231.6590000018;452545.704000002;4.209567111037922;52.05532322276762
Laan van Meerdervoort (Meer en Bosch) ;13;PREH, Karrespoor;Vindplaats 13;11;75737.8819000014;453373.005600003;4.231332202699375;52.062975421160374
Laan van Meerdervoort ;14;BRONS-IJZ, Nederzetting;Vindplaats 14;12;75452.7190000005;453087.785;4.227240952024434;52.0603713749215
Kasteel Binckhorst, Binckhorstlaan 141, Binckhorstlaan 209-219 ;15;MEL, NT, Kasteel, Kasteelterrein;BIC02w, BIC14p, BIC16o, BIC18p, Vindplaats 15;13;83112.1433999986;453634.176800003;4.338797161778289;52.06632868817943
Madepolderweg, Madepolderweg 55-57 ;16;"IJZ, Nederzetting; ROM, Nederzetting";Vindplaats 16, MWB18o;14;74576.8388999999;450162.450800005;4.2151597630673105;52.033956118988414
Lozerlaan (vanaf Erasmusweg tot inrit Sterflat) ;17;ROMM, Nederzetting;LZL93, GAS90;15;76764.3304999993;450771.629200003;4.2468936354466695;52.039743666671654
Madepolderweg ;18;ROM, Nederzetting;Vindplaats 18;16;75248.820700001;450502.1342;4.224871729881594;52.03710581318617
Van der Burchlaan hoek Van Voorschotenlaan ;19;MEL, Nederzetting;Vindplaats 19;17;81411.7716999985;457638.144000001;4.313139337823756;52.102088139366
