Leveranciers;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;Eindtotaal
Payroll Professionals B.V.;;;;2;;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;2;;2
Periplus Archeomare BV;;2;;;;;2
PHYSITEC B.V.;;;3;;;;3
Pictrurae;;;1;;;;1
PlasBossinade Notarissen N.V.;;;;;2;;2
Pondera Consult;;;1;;;;1
Postcode.NL B.V.;;;;;;1;1
Praktikon;;;2;;;;2
Pro -Tact;;;4;;;;4
Protinus IT B.V.;1;;;;;;1
R Noga Training en advies;;;1;;;;1
RAAP Archeologisch Adviesbureau;;;1;;;;1
Reprografisch Centrum Groningen B.V.;1;;;;;;1
Restauratieatelier Mandy Slager;;;1;;;;1
Richard Harmanni;;;1;;;;1
RRis;2;;1;;;;2
RuleArts B.V.;;;;;;2;2
SAP Nederland B.V.;1;;;;;;1
Saskia van der Meer Productie & Educatie;;;;;;1;1
Schaap Ontwerpers;;;1;;;;1
Schoonenberg Hoorcomfort B.V.;1;;;;;;1
Schoute, N.;;;1;;;;1
Sjako Ten Haken Consultancy & Visualisatie;;;1;;;;1
Solvinity B.V.;2;;;;;;2
Spaander Restauratie Uurwerken en Speeldozen;;;1;;;;1
Sprengers Advocaten;;;;;1;;1
Stavoor B.V.;1;;;;;;1
Stg. Derd.geld. Stadermann Luiten Advoc.;;;;;1;;1
Sticht. Instituut voor Briljante Mislukkingen;;;2;;;;2
Stichting Art Web;;;2;;;;2
Stichting Electronics Watch Foundation;1;;;;;;1
Stichting Groningen Declaration Network;2;;;;;;2
Stichting Nuffic;;5;;;;;5
Stichting Ring;;;2;;;;2
Stichting SEO Economisch Onderzoek;;;2;;;;2
Stichting TI COAST;;;1;;;;1
SV Land B.V.;;;5;;;;5
Synergy Health Ede B.V.;;;1;;;;1
T.J. Hoebink;;;1;;;;1
Taalpartners;1;;;;;;1
Terra Incognita - stedenbouw en Landsch.arch.;;;2;;;;2
The Twelve B.V.;;;2;;;;2
Things To Make And Do B.V.;;;2;;;;2
TM van den Brink;;;1;;;;1
TOEKOMSTBEELD DER TECHNIEK STG;;;2;;;;2
TOPdesk Nederland B.V.;;;;;;1;1
UNIT4 Business Software B.V.;;;;;;1;1
van Harte en Lingsma;;1;;;;;1
Vancis B.V.;;;;;;1;1
Vercammen, M.C.M.;;;2;;;;2
Verdonck, Klooster & Associates B.V.;;;1;;;;1
Visuall;2;;;;;;2
Voorhorst, M.;;;1;;;;1
Voorhorst, M.A.M.;;;1;;;;1
Vriens Archeo B.V.;;;2;;;;2
Vries-Gonggrijp, E.W.A.M. de;;;1;;;;1
Vrij & Visie B.V.;;;2;;;;2
W. van Drunen;;;;;1;;1
W.Dirks;;;1;;;;1
Wendy Oakes;;;2;;;;2
Wennips Bouwhistorie;;;2;;;;2
Werf, J. van der;;;1;;;;1
Witteverloningen B.V.;;;1;;;;1
Zandstra, J.;;;1;;;;1
Zeeuws maritiem muZEEum;;;1;;;;1
Ziggo B.V.;1;;;;;;1
Eindtotaal;6;6;7;2;5;3;7
