Ministerie;Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
AZ;Actual Design;;;;1;;;;1
AZ;And Products B.V.;;;;2;;;;2
AZ;Ardis Organisatieontwikkeling B.V.;1;;;;;;;1
AZ;Arvato Benelux B.V.;2;;;7;;;;7
AZ;Automotive Publishing B.V.;;;;2;;;;2
AZ;Blauw Research B.V.;;;;2;;;;2
AZ;BTC Mediatest B.V.;;;;2;;;;2
AZ;Bureau voor Overheidscommunicatie B.V.;;;;3;;;;3
AZ;Buro voor Grafische;;;;1;;;;1
AZ;Centric;;;;7;;;;7
AZ;Compacon B.V.;;;;1;;;;1
AZ;COMPAREX Nederland B.V.;;;;5;;;;5
AZ;Computest Group B.V.;;;;2;;;;2
AZ;Creative Idea B.V.;;;;1;;;;1
AZ;De Staat van het Web B.V.;;;;2;;;;2
AZ;De Volkskrant B.V.;;;;;1;;;1
AZ;Deloitte Consulting B.V.;;;;1;;;;1
AZ;design & interactie];;;;1;;;;1
AZ;DPI Animation House B.V.;2;;;;;;;2
AZ;Eend;2;;;2;;;;3
AZ;EMMA Communicatie B.V.;;;;2;;;;2
AZ;Ergo B.V.;;;;3;;;;3
AZ;Ferro Explore B.V.;2;;;;;;;2
AZ;Financieel Denkwerk dr. Jaap Koelewijn B.V.;1;;;;;;;1
AZ;Gabriel van den Brink;1;;;;;;;1
AZ;Geenen Automatisering Service;1;;;;;;;1
AZ;Grandcafe Haagsche Bluf;;;;1;;;;1
AZ;Gridline B.V.;;;;2;;;;2
AZ;GroupM B.V.;;;;2;;;;2
AZ;HeadFirst B.V.;;;;2;;;;2
AZ;Ideeaanzee B.V.;;;;1;;;;1
AZ;IT Management Group Public B.V.;;;;1;;;;1
AZ;J.A. van der Meer;1;;;;;;;1
AZ;Kessels & Smit Learning Company;;;;2;;;;2
AZ;Leids OnderzoeksKollectief;2;;;;;;;2
AZ;Lydia Jumelet;;;;1;;;;1
AZ;M. van Tongeren;;;;;1;;;1
AZ;Maatschap voor Communicatie;2;;;;;;;2
AZ;Madison Gurkha B.V.;;;;1;;;;1
AZ;Maurits Burgers;;;;1;;;;1
AZ;Mauritshuis;;;;1;;;;1
AZ;Measuremail B.V.;;;;3;;;;3
AZ;Novagraaf IP NL B.V.;;;;1;;;;1
AZ;Novotel Breda;;;;1;;;;1
AZ;OBT B.V.;1;;;;;;;1
AZ;Ordina Beheer & Outsourcing;;;;7;;;;7
AZ;P. Paternotte B.V.;;;;;1;;;1
AZ;Pels Rijcken & Droogleever Fortuijn N.V.;;;;3;4;;;4
AZ;PeO;1;;;;;;;1
AZ;Pix Software BENELUX;;;;1;;;;1
AZ;QuoVadis Trustlink B.V.;;;;2;;;;2
AZ;Renée Broekmeulen Tekst & Training;;;;2;;;;2
AZ;Roos IT;;;;1;;;;1
AZ;RTL Nederland B.V.;;;;;1;;;1
AZ;Significant B.V.;;;;2;;;;2
AZ;Soundfocus B.V.;;;;2;;;;2
AZ;St. Nationaal Comite 4 en 5 Mei;2;;;;;;;2
AZ;Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;1;;;;1
AZ;Sticht. Internet Domeinregistratie Nederland;;;;3;;;;3
AZ;Sticht. ROI v/h het Rijks Opleidingsinstituut;1;;;;;;;1
AZ;Stichting Accessibility;;;;1;;;;1
AZ;Stichting Argus;;;;;1;;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';2;;;;;;;2
AZ;Stock/Snel Consult;2;;;;;;;2
AZ;Studio 3005;;;;1;;;;1
AZ;Taalstrategie;;;;1;;;;1
AZ;TeamChange Talentontwikkeling;;;;1;;;;1
AZ;Things To Make And Do B.V.;;;;1;;;;1
AZ;TNS Nipo B.V.;1;;;;;;;1
AZ;Toko Menteng B.V.;;;;1;;;;1
AZ;Tom van Dijk;2;;;1;;;;2
AZ;UMP Research;1;;;;;;;1
AZ;Uptrends B.V.;;;;1;;;;1
AZ;Valerie Kuypers Fotografie;;;;1;;;;1
AZ;Valsplat B.V.;;;;2;;;;2
AZ;Vansvision Organisatiefilosofie;;;;1;;;;1
AZ;Viadesk;;;;2;;;;2
AZ;Winkwaves B.V.;;;;1;;;;1
AZ;Xerox (Nederland) B.V.;1;;;;;;;1
AZ;Xillio B.V.;;;;4;;;;4
AZ;ZZakenPartner B.V.;1;;;;;;;1
BZ;AIRINC International Holdings B.V.;;;;;;;1;1
BZ;ANP Photo;;;1;;;;;1
BZ;APE Public Economics B.V.;;;3;;;;;3
BZ;Berenschot Groep B.V.;;;1;;;;;1
BZ;Carnegie Consult B.V.;;;2;;;;;2
BZ;Centraal Boekhuis B.V.;;;1;;;;;1
BZ;Comunica;;;1;;;;;1
BZ;Duel;;;1;;;;;1
BZ;Elycio Talen B.V.;;;1;;;;;1
BZ;Entopic Expert Services B.V.;;;2;;;;;2
BZ;Esther Jurgens Consultancy;;;2;;;;;2
BZ;Fred Adam B.V.;;;1;;;;;1
BZ;Hollandse Hoogte B.V.;;;1;;;;;1
BZ;K.L. Hartog B.V.;;;1;;;;;1
BZ;Kamphuis Development Consultancy;;;2;;;;;2
BZ;Kluyskens;;;2;;;;;2
BZ;Koninklijk Instituut voor de Tropen;;;2;;;;;2
BZ;Ontbijt & Lunch Juni;;;1;;;;;1
BZ;Partnership Learning Loop;;;4;;;;;4
BZ;Pels Rijcken & Droogleever Fortuijn N.V.;;;;;1;;;1
BZ;PointLogic HR B.V.;;1;1;;;;;2
BZ;Pricewaterhousecoopers N.V.;;;1;;;;;1
BZ;Radar Vertige Training & Opleiding B.V.;;;1;;;;;1
BZ;Repro-van de Kamp B.V.;;;1;;;;;1
BZ;Simone Langeweg Tekst- en Communicatieadvies;;;2;;;;;2
BZ;Speer Publications;;;2;;;;;2
BZ;Stichting Fonds Instituut Clingendael;;;2;;;;;2
BZ;Stichting Nedworc;;;1;;;;;1
BZ;Unclogged English;;;1;;;;;1
BZ;UVA-Kaartenmakers B.V.;;;1;;;;;1
BZ;Van Rijssen Publicaties;;;1;;;;;1
BZ;VCK Travel B.V.;;;1;;;;;1
BZ;Vice Versa;;;2;;;;;2
BZ;WASH2gether;;;2;;;;;2
BZ;Xerox (Nederland) B.V.;;;3;;;;;3
BZK;A3MC Management & Consultancy B.V.;;;4;;;;;4
BZK;Aapeha B.V.;;;2;;;;;2
BZK;ABT B.V.;;4;;;;;;4
BZK;AEVES B.V.;;;1;;;;;1
BZK;Airport Maintenance Services B.V.;;;2;;;;;2
BZK;Akro Consult B.V.;;;2;;;;;2
BZK;Altavilla B.V.;;;4;;;;;4
BZK;AMI Maastricht;2;;;;;;;2
BZK;Anoniem 11;;;1;;;;;1
BZK;Anoniem 159;;;1;;;;;1
BZK;Anoniem 207;;;1;;;;;1
BZK;Anoniem 228;;;1;;;;;1
BZK;Anoniem 237;;;1;;;;;1
BZK;Anoniem 263;;;1;;;;;1
BZK;Anoniem 282;;1;;;;;;1
BZK;Anoniem 328;;2;;;;;;2
BZK;Anoniem 334;;;1;;;;;1
BZK;Anoniem 355;;;1;;;;;1
BZK;Anoniem 359;;;1;;;;;1
BZK;Anoniem 366;;;1;;;;;1
BZK;Anoniem 374;;;1;;;;;1
BZK;Anoniem 381;;;1;;;;;1
BZK;Anoniem 387;;;1;;;;;1
BZK;Anoniem 41;;;2;;;;;2
BZK;Anoniem 498;;;;;1;;;1
BZK;Anoniem 515;;;;2;;;;2
BZK;Anoniem 540;;;1;;;;;1
BZK;Anoniem 548;;;1;;;;;1
BZK;Anoniem 64;;;1;;;;;1
BZK;Anoniem 91;;;1;;;;;1
BZK;Anoniem 92;;;2;;;;;2
BZK;ANP Photo;1;;;;;;;1
BZK;Anthago Intellectual Property B.V.;;;1;;;;;1
BZK;Architectuurstudio HH;;;2;;;;;2
BZK;Ardis Organisatieontwikkeling B.V.;;;1;;;;;1
BZK;Arenda Oomen Fotografie;1;;;;;;;1
BZK;Arnicon Projecten B.V.;;;1;;;;;1
BZK;art of change B.V.;2;;;;;;;2
BZK;Asp4all Hosting B.V.;;;;;;6;;6
BZK;Atelier Boetzkes;;;1;;;;;1
BZK;Atos Nederland B.V.;;;;;;4;;4
BZK;Backup Transport & Depot Services B.V.;;;;;;2;;2
BZK;Balans & Impuls B.V.;;;1;;;;;1
BZK;BedrijfsMotivaties B.V.;4;;;;;;;4
BZK;Berenschot B.V.;3;;;;;;;3
BZK;Berenschot International B.V.;;;3;;;;;3
BZK;Berkel Projectontwikkeling B.V.;1;;;;;;;1
BZK;BIM Media B.V.;1;;;;;;;1
BZK;Blauw Research B.V.;;;1;;;;;1
BZK;Bouwadvies;;3;;;;;;3
BZK;Bouwstart;;;2;;;;;2
BZK;Brasserie Leon;;;1;;;;;1
BZK;Brink Groep B.V.;;;3;;;;;3
