;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal;
bol.com B.V.;;;1;;1;;;1;;1;
Bontje Book Solutions;;;;;1;;;;;1;
Brabo Verpakking B.V.;;;;;;;;1;;1;
Brandmeester's B.V.;2;;;;;;;;;2;
Brasserie Schielandshuis;1;;;;;;;;;1;
Bubb Kuyper, Boek., Manuscript. & Graf. B.V.;;;;;1;;;;;1;
Budgetgift.nl B.V.;;;;;;;;1;;1;
Bunzl Verpakkingen Arnhem B.V.;;;;;;;;1;;1;
Burrata Turfmarkt B.V.;1;;;;;;;;;1;
Buyitdirect.com N.V.;;;;;1;;;2;;2;
Bylo B.V.;;;;;;;;1;;1;
Cannock Incasso Rotterdam;;;;;;;;1;;1;
Canon Nederland N.V.;;;;;2;;;1;;2;
CAOP;;;;1;;;;;;1;
Card Vision B.V.;;;;;1;;;1;;1;
Caterique Partyservice en Catering;1;;;;;;;;;1;
Centralpoint Nijmegen B.V.;;;;;;;;1;;1;
Chubb Fire & Security Apeldoorn;;1;;;;;;;;1;
Ciao! Ciao! B.V.;1;;;;;;;;;1;
Citrus Andriessen B.V.;;;;;;;;2;;2;
COMBICO;;;;;1;;;;;1;
CombiCraft B.V.;;;;;;;;1;;1;
Compass Group Nederland B.V.;4;;;;;;;;;4;
Conrad Electronic Benelux B.V.;;;;;;;;1;;1;
Conrado;;;;1;;;;;;1;
Convoi Nederland;;;;1;;;;;;1;
Coolblue B.V.;;;1;;;;;1;;1;
CSU B.V.;;;4;;;;;1;;4;
Cyklop Nederland B.V.;;;;;;;;1;;1;
Dagelijks Lekker B.V.;1;;;;;;;;;1;
DARA B.V.;1;;;;;;;;;1;
De Algemene Boekhandel;;;;;;;;1;;1;
De Blank Houten Meubelmarkt Alkmaar;;;;;;;;1;;1;
De Dozenhal B.V.;;;;;;;;1;;1;
De Eilanden;;;;;;;2;;;2;
De Goey-Koot;1;;;;;;;;;1;
De Markeringshop;;;;;;;;1;;1;
De Overbuurvrouw;1;;;;;;;;;1;
De Schep PR.;1;;;;;;;;;1;
De Stempelplaats B.V.;;;;;;;;1;;1;
De Sushimeisjes;1;;;;;;;;;1;
De Tijd' Bedrijfskleding;;;;;;;;1;;1;
De Veldkeuken Bakkerij & Keuken B.V.;1;;;;;;;;;1;
De Vries Recht B.V.;1;;;;;;;;;1;
De Zwarte Vosch B.V.;1;;;;;;;;;1;
Delflandhoeve;1;;;;;;;;;1;
Digital Revolution B.V.;;;;1;1;;;2;;2;
Dijkstra-Vereenigde B.V.;;;;;;;1;;;1;
Discountoffice.nl B.V.;;;;1;;;;1;;1;
Dokkumer Vlaggen Centrale B.V.;;;;;1;;;1;;1;
Donker Groep B.V.;;;;;;;1;;;1;
Doornburgh Horeca B.V.;1;;;;;;;;;1;
Douwe Egberts Horeca;1;;;;;;;;;1;
DPI;;;;;;;;1;;1;
Drukkerij Aeroprint;;;;;1;;;;;1;
Drukkerij Excelsior B.V.;;;;;2;;;;;2;
DS 80 Verpakkingsmaterialen B.V.;;;;;;;;1;;1;
Dudok Den Haag B.V.;1;;;;;;;;;1;
DuurzaamNL B.V.;;1;;;;;;;;1;
EcoSmart Nederland B.V.;;;;;;1;;;;1;
Effective Logistic Services B.V.;;;5;;;;;;;5;
Eijsink Afrekensystemen;;;;;;;;1;1;1;
Electro Groothandel Snoeck B.V.;;;;;;;;1;;1;
Engelhart Handelsonderneming B.V.;;;;;;;;1;;1;
Entomologie-Speciaalzaak Vermandel V.O.F.;;;;;;;;1;;1;
Enveloppen.nl B.V.;;;;;;;;1;;1;
Eqomm B.V.;;;;;;;;1;;1;
ESE Beheer B.V.;;;;;;;;1;;1;
Exploitatiemij. Grand Hotel Karel V B.V.;1;;;;;;;;;1;
Felix Trading B.V.;;;;;;;;1;;1;
FEM Products;;;;;;;;1;;1;
Filmolux Benelux B.V.;;;;;;;;1;;1;
Fire-Control B.V.;;;;;;;;1;;1;
Firma Hof der Muzen;1;;;;;;;;;1;
Fisher Emergo B.V.;;;;;;;;2;;2;
Flash Rental Services B.V.;;;;;;;;1;;1;
Fonq.nl B.V.;;;;;;;;1;;1;
Foto Konijnenberg B.V.;;;;;;;;1;;1;
Francissen Communicatie;;;;;1;;;;;1;
Fritz-Events B.V.;;;;;;;;1;;1;
FRUIT OP JE WERK;2;;;;;;;;;2;
G.R. van den Berg;;;;;;;;1;;1;
G10 B.V.;;;;;;;;1;;1;
G4S Training & Safety B.V.;;2;;;;;;;;2;
Gispen Kantoorinrichting;;;;;;;4;;;4;
GLE Maritime B.V.;;;;1;;;;;;1;
Goedkoopste-Kantoorartikelen.nl;;;;;;;;1;;1;
Gran Mercado B.V.;1;;;;;;;;;1;
Graveertechniek Nederland B.V.;;;;;;;;1;;1;
Green Café;2;;;;;;;;;2;
Groeneveld Sign Systems B.V.;;;;;;;2;;;2;
Groenhart Group B.V.;;;;;;;;1;;1;
Gruppo Corso Limited;;;;;;;;1;;1;
H&R Verpakkingen;;;;;;;;1;;1;
H.G. Schuil;;;;;;;1;;;1;
Hafo B.V.;;;;;;;;1;;1;
HanzeCatering;1;;;;;;;;;1;
Happy Copy B.V.;;;;;1;;;;;1;
Hein Post Wijnen Gastronomie;;;;;;;;1;;1;
Henkel & Mulder B.V.;;;;;1;;;;;1;
HerstelDirect B.V.;;;;;;;;1;;1;
Het Kookplein;1;;;;;;;;;1;
High Security International B.V.;;;;;;;;1;;1;
Hint en Tint;1;;;;;;;;;1;
HMSHost Nederland B.V.;1;;;;;;;;;1;
Holding Beheermaatschappij Ropeni B.V.;1;;;;;;;;;1;
Holland Consulting Group;1;;;;;;;;;1;
Hollandse Hoogte B.V.;;;;;1;;;;;1;
Hoogduin Papierrestauratoren;;;;;;;;5;;5;
HT Service B.V.;;;;;;;;1;;1;
Humphrey's Utrecht B.V.;1;;;;;;;;;1;
Huurland Amsterdam;;;;;;;;1;;1;
Hydrocal B.V.;;;;;;;1;;;1;
I.T.C. Alles voor Uw Kantoor N.V.;;;;;;;;1;;1;
ICE Benelux B.V.;;;;;;;;2;;2;
ING Commercial Finance B.V.;1;;;;;;;;;1;
Ingenico B.V.;;;;;;;;;2;2;
Ingenieursbureau Ebatech B.V.;;;;;;;1;;;1;
Initial;;;2;;;;;2;;3;
Inspiratie op Locatie B.V.;1;;;;;;;;;1;
Interlabshop B.V.;;;;;;;;1;;1;
Intexso Adviesbureau B.V.;;;1;;;;;;;1;
Intimus International Netherlands B.V.;;;;1;;;;;;1;
ISS Integrated Facility Services B.V.;1;;;;;;;;;1;
ISSOS B.V.;;;;;;;1;;;1;
Istanbul Catering;1;;;;;;;;;1;
Jalema B.V.;;;;;;;;1;;1;
Janskerkhof B.V.;1;;;;;;;;;1;
Jones Brothers Coffee Company B.V.;1;;;;;;;;;1;
Jos ten Berg's Handelmaatschappij B.V.;;;;;;;1;1;;1;
Juma International B.V.;;;;;;;1;;;1;
Jura Nederland B.V.;;;;;;;1;;;1;
Kaars Koffie B.V.;1;;;;;;1;;;1;
Kabelshop B.V.;;;;;;;;1;;1;
Kalsbeek B.V.;;;1;;;;;;;1;
Kamera Express;;;;;;;;1;;1;
Kemperman Illustratief;;;;;1;;;;;1;
Killco B.V.;;;;;;;;1;;1;
Kloek B.V.;1;;;;;;;;;1;
Knol Health Consulting;;;;;;;;1;;1;
Koerier Company;;;;1;;;;;;1;
Koffie & Anders;1;;;;;;;;;1;
Koffie- en Eetsalon 't Achterommetje;1;;;;;;;;;1;
Koninklijke PostNL B.V.;;;;2;;;;;;2;
Koninklijke van der Most B.V.;;;;;4;;;5;;5;
Kop & Schoud. Conc. & Promot. Services B.V.;;;;;1;;;;;1;
Koro PackVision B.V.;;;;;;;;1;;1;
KralenBerg;1;;;;;;;;;1;
Kruizinga B.V.;;;;;;;1;;;1;
Landelijke Studentenvakbond;;;;;;;;1;;1;
Landgoed Lockhorst;1;;;;;;;;;1;
Landhuis Eten en Drinken;1;;;;;;;;;1;
Langerak-de Jong B.V.;1;;;;;;;;;1;
Lasaulec B.V.;;1;1;;;;;1;;1;
LBL Communicatie & Contentmarketing B.V.;;;;;1;;;;;1;
Le Bistroquet B.V.;1;;;;;;;;;1;
Le Montrachet B.V.;1;;;;;;;;;1;
Lekker Brood;2;;;;;;;;;2;
lekkerbootjevaren.nl;1;;;;;;;;;1;
Leylines B.V.;;;;;;;;1;;1;
Liftinstituut B.V.;;1;;;;;;;;1;
Lijnco B.V.;;;;;7;;;;;7;
Lindozoe;1;;;;;;;;;1;
Little V Den Haag B.V.;1;;;;;;;;;1;
Long John;1;;;;;;;;;1;
LOOF;1;;;;;;;;;1;
Luden Utrecht;1;;;;;;;;;1;
Lupprian's Computer Express B.V.;;;;1;;;;;;1;
Lyreco Nederland B.V.;;;;;;;;1;;1;
M. Voormeulen thodn Spar Den Haag Centraal;1;;;;;;;;;1;
M.A. van der Horst Beheer B.V.;;;;3;;;;;;3;
Maas International B.V.;2;;;;;;;;;2;
Mainfreight B.V.;;;;1;;;;;;1;
Manutan B.V.;;;;;;;1;2;;2;
Marieke Duijsters Fotografie;;;;;1;;;;;1;
Marqt;1;;;;;;;;;1;
Master Nederland B.V.;;;;;;;;1;;1;
Matsu Consultancy;;;;;1;;;;;1;
Mauritshuis;1;;;;;;;;;1;
Mediawerf;;;;;;;;1;;1;
Meldkamer MG;;1;;;;;;;;1;
Metalet B.V.;;;;;;;;1;;1;
Moduli Print B.V.;;;;;2;;;5;;5;
Mondial Movers B.V.;;;;1;;;;;;1;
Montafors B.V.;;;;;1;;;;;1;
Mulder Verhuizingen B.V.;;;;2;;;;;;2;
Mulder-Hardenberg B.V.;;;;;;;;1;;1;
Muller, D.;1;;;;;;;;;1;
Multi Ratio B.V.;;;;;;;1;;;1;
Munckhof Reizen B.V.;;1;;1;;;;;;1;
Museumkwartier B.V.;1;;;;;;;;;1;
Nederlandse Veiligheidsdienst B.V.;;1;;;;;;;;1;
Neuland Nederland;;;;;;;;1;;1;
NFGD Zoetermeer B.V.;;;;;;;;2;;2;
Nieuwe of Litteraire Sociëteit De Witte;1;;;;;;;;;1;
NPN Drukkers B.V.;;;;;1;;;;;1;
NRG;;1;;;;;;;;1;
NVS-NVL schooldecanen, loopbaanbegel.;;;;;;;;1;;1;
Oasis Data & Archief;;;;;;5;;;;5;
Odijks Bouwbedrijf;;;;;;;1;;;1;
Office Depot B.V.;1;;;1;;;;3;;3;
Office Team Hoekschewaard;;;;;;;;1;;1;
Ojin-Chin, E.;;;;;;;;1;;1;
Oliva B.V.;1;;;;;;;;;1;
Olivier van Herpt B.V.;;;;1;;;;;;1;
onlinekabelshop.nl;;;;;;;;1;;1;
Ontwerpgroep Trude Hooykaas BV;;;;;;;2;;;2;
Op 't Indsje B.V.;1;;;;;;;;;1;
Opmeer papier pixels projecten;;;;;1;;;;;1;
Originart;;;;;;;1;;;1;
OSAGE communicatie en ontwerp;;;;;;;;1;;1;
Otto Krol;;;;;;;1;;;1;
P.W.G. Bedrijfsveilige Kleding B.V.;;1;;;;;;;;1;
Paardekooper;;;;;;;;1;;1;
Papyrus Groep Nederland B.V.;;;;;1;1;;2;;2;
Park Hey B.V.;1;;;;;;;;;1;
Parthen Meeting Essentials B.V.;;;;;1;;;;;1;
Pastis St. Leonards B.V.;1;;;;;;;;;1;
Pasveer, Annet;1;;;;;;;;;1;
Pavlov;1;;;;;;;;;1;
PCI Nederland B.V.;;;;;;;;1;;1;
Pennendrukkerij.nl;;;;;1;;;;;1;
People & Print Group;;;;;1;;;;;1;
PETRACON;;;;;;;;1;;1;
Phonsawan B.V.;1;;;;;;;;;1;
Picturae B.V.;;;;;;;;6;;6;
Pinkcube B.V.;;;;;;;;1;;1;
Pizzeria Pinocchio;1;;;;;;;;;1;
Plein 19 Den Haag B.V.;1;;;;;;;;;1;
POL Heteren B.V.;;;;;;;;1;;1;
PostNL Pakketten Benelux B.V.;;;;1;;;;;;1;
PostNL Pharma & Care;;;;6;;;;;;6;
PreSafe B.V.;;1;;;;;;;;1;
Prixos B.V.;;;;;;;;1;;1;
ProFotonet B.V.;;;;;;;;1;;1;
Promotex B.V.;;;;;1;;;;;1;
Protinus IT B.V.;;;;;;;;1;;1;
PSU B.V.;1;;;;;;;;;1;
Puur Amsterdam;1;;;;;;;;;1;
PWJ Digital Repair Services;;;;;;;;1;;1;
Quadient Finance Netherlands B.V.;;;;;;;;1;;1;
Quadient Netherlands B.V.;;;;;;;;2;;2;
Quantes B.V.;;;;;1;;;;;1;
Questionmarkgroup B.V.;;;1;;;;;;;1;
Rama Horeca B.V.;1;;;;;;;;;1;
RBC Brandbeveiliging Nederland B.V.;;1;;;;;;;;1;
REACon B.V.;;;;;;;;1;;1;
Rederij Aemstelland B.V.;1;;;;;;;;;1;
Redouani Holding B.V.;1;;;;;;;;;1;
Redson Regio;;;;;;;;1;;1;
Reeuwijk, M. van;1;;;;;;;;;1;
Reisswolf Nederland B.V.;;;2;;;1;;;;2;
REMONDIS Nederland B.V.;;1;;;;1;;;;1;
Renewi Nederland B.V.;;;;;;1;;;;1;
Repro-van de Kamp B.V.;;;;;1;;;;;1;
Restaurant De Artisjok;1;;;;;;;;;1;
Restaurant De Basiliek B.V.;1;;;;;;;;;1;
Ristorante Trattoria Impero Romano;1;;;;;;;;;1;
Robert Bosch B.V.;;1;;;;;;;;1;
Rob-Son Graphics International;;;;;;;;1;;1;
ROHDE & GRAHL B.V.;;;;1;;;4;3;;4;
Ronell B.V.;;1;;;;;;;;1;
RuimTeUtrecht B.V.;1;;;;;;;;;1;
Ruitercentrum Het Maalwater;;;;1;;;;;;1;
Ruys Handelsvereniging B.V.;;;;;;;;1;;1;
Safability;;2;;;;;;;;2;
SAM International B.V.;;;;;;;1;;;1;
Sanocorpus;;;;;;;;1;;1;
Schoondergang Van Zwanenburg Rest.-&K.a. B.V.;;;;;;;;1;;1;
Schoonenberg Hoorcomfort;;;;;;;;1;;1;
Schoonmaakbedrijf kristal schoon;;;2;;;;;;;2;
Schrijen Boekbind. en Boekrestaurat. V.O.F.;;;;;1;;;;;1;
Schürgers Sleutelservice V.O.F.;;;;;;;;1;;1;
Scrum.shop;;;;;;;;1;;1;
SEB PROFESSIONAL Nederland B.V.;1;;;;;;;;;1;
Securitas Beveiliging B.V.;;5;;;;;;;;5;
Security Monitoring Centre;;1;;;;;;;;1;
Selecta Netherlands B.V.;3;;;;;;;;;3;
September Architectuur;;;;;;;1;;;1;
Servicekantoor Ipse de Bruggen;1;;;;;;;;;1;
Servontyn Catering;1;;;;;;;;;1;
Sikkema Verpakking;;;;;;;;1;;1;
Simon de Vogel B.V.;1;;;;;;;;;1;
Skippi' Sneltransport;;;;1;;;;;;1;
Slaapschepen B.V.;1;;;;;;;;;1;
Smart2B B.V.;;;;;;;;1;;1;
Smits Van Burgst Beveiliging B.V.;;1;;;;;;;;1;
Snip Wonen Plus;;;;;;;1;;;1;
Stadscafé De Observant;1;;;;;;;;;1;
Staples Nederland B.V.;1;;;;1;;;1;;1;
Stas B.V.;;;;;;;1;;;1;
Stg. Kenniscentrum Center People & Buildings;;;;;;;1;;;1;
Stg. Org. Redd.w. & E.H.B.O. Het Oranje Kruis;;;;;;;;1;;1;
Stichting Babylon;1;;;;;;;;;1;
Stichting de Onthaasting;1;;;;;;;;;1;
Stichting Internat. Perscentrum 'Nieuwspoort';1;;;;;;;;;1;
Stichting Kamper Kogge;1;;;;;;;;;1;
Stichting Reinaerdefonds;1;;;;;;;;;1;
Stichting SBI Prinsjesdagontbijt;1;;;;;;;;;1;
Stichting Verhalenhuis Belvédère;1;;;;;;;;;1;
STiQH;;;;;;;;1;;1;
Stoke B.V.;1;;;;;;;;;1;
Stomerij van der Linden;;;1;;;;;;;1;
Stravers Promotions B.V.;;;;;;;;1;;1;
Studio Buitenhof 5;;;;;;;;1;;1;
Summertime;1;;;;;;;;;1;
Taxi Dienst Breda;;;;;;;;1;;1;
Technicon Design Limited;;;;;;;;1;;1;
Techsup;;;;;;;;1;;1;
Telecom Service Leek B.V.;;1;;;;;;;;1;
Ter Hoeven & Partners B.V.;;;2;;;;1;;;2;
Things To Make And Do B.V.;;;;;1;;;;;1;
Tiekstra, R.;;;;;1;;;;;1;
TNO Powertrain Test Services B.V.;;;;;;1;;;;1;
Trigion Alarmcentrale B.V.;;1;;;;;;;;1;
Trust Krediet Beheer (TKB);;1;;;;;;;;1;
TSC Crowd Management;;1;;;;;;;;1;
Ultimoo Incasso B.V.;;;;1;;;;;;1;
Unica Installatietechniek B.V.;;;;;;;1;;;1;
Universal Exports B.V.;;;;1;;;;;;1;
Unlock Scheveningen B.V.;1;;;;;;;;;1;
V.O.F. Banketbakkerij P.P. Wammes;1;;;;;;;;;1;
V.O.F. CIR 'De Chinese Muur';1;;;;;;;;;1;
V.O.F. Multivlaai Cosijnse;1;;;;;;;;;1;
v/d Graaf & v/d Graaf;;;;;1;;;;;1;
Valid Express B.V.;;;;1;;;;;;1;
Van den Brink's High Tech Parts B.V.;;;;;;;1;;;1;
Van der Burght B.V.;;;;;;;;1;;1;
Van der Laan Kantoorefficiëncy B.V.;;;;;;;;1;;1;
Van der Plas Meubel en Projekt B.V.;;;;;;;1;;;1;
Van der Voort Amsterdam Lucht en Milieu B.V.;;;;;;;2;;;2;
Van Kralingen B.V.;;;;1;;;1;;;1;
van Lien & van der Meer h.o.d.n. Simon Lévelt;1;;;;;;;;;1;
Van Scherpenzeel Holding B.V.;;;;;;1;;;;1;
Vandeputte Medical;;1;;;;;;;;1;
V'Business B.V.;4;;;;;;;;;4;
Veiligheidsinstituut Medi-Select B.V.;;1;;;;;;;;1;
Veldhuis Automatisering;;;;;;;;1;;1;
Venditio B.V.;;;;;;;1;;;1;
Vendu Trading B.V.;;;;;;;;1;;1;
Verhuisbedrijf Prof;;;;1;;;;;;1;
Verhuurbedrijf-Westerhuis B.V.;1;;;;;;;1;;1;
Vermaat Bedrijfshoreca B.V.;1;;;;;;;;;1;
Vermaat Leisure B.V.;1;;;;;;;;;1;
Vineyard Domplein B.V.;1;;;;;;;;;1;
Vink Lisse B.V.;;;;;;;1;;;1;
Virol B.V.;;;1;;;;;;;1;
Vitam;2;;;;;;;;;2;
Vitree;1;;;;;;;;;1;
Vollebregt Installatie B.V.;;;;;;;1;;;1;
Voor Claar B.V.;1;;;;;;;;;1;
Walter Benedict B.V.;1;;;;;;;;;1;
Wardenburg Beveiliging B.V.;;1;;;;;;;;1;
Wasserij Sneeuwwit;;;1;;;;;;;1;
Werkman Den Haag B.V.;;;;;;;;2;;2;
Wesseling Banket B.V.;1;;;;;;;;;1;
Wiea Duintjer-brons;;;;;;;1;;;1;
Wielinga voor Vakwerk;;1;;;;;;;;1;
Winterhuis B.V.;1;;;;;;;;;1;
Wolfie;;1;;;;;;;;1;
Worldmeetings.com B.V.;1;;;;1;;1;1;;1;
WVS Visual Systems B.V.;;;;1;;;;;;1;
Xerox (Nederland) B.V.;;;;4;6;;;1;;7;
XTANDIT B.V.;;;;;1;;;;;1;
ZO Logistic Solutions;;;;;;;;1;;1;
Zuidkoop B.V.;;;;;;;1;;;1;
Eindtotaal;6;5;6;7;7;5;5;7;3;9;
