Monumentnummer,Wkpb inschrijfnummer,Datum besluit,Locatieomschrijving,Monumenttype,Categorisering,Bouwtype,Architect,Bouwstijlen,Bouwperiode,Naam van monument,Gemeente,CBS Gemeentecode,Wijknaam,CBS Wijknummer,BAG Referentienummer,Straatnaam,Huisnummer,Postcode,Plaats,Extra adresaanduiding,RDX,RDY,latitude,longitude
GM2001-06,1,20010410000000,Dorpsstraat 2,pand,woonhuis,villa,,eclecticisme,1880-1900,Villa De Tolgaarder,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000008473,Dorpsstraat,2,3433CH,Nieuwegein,,134986.95,446519.32,52.006683,5.095729
GM2001-07,3,20010410000000,Dorpsstraat 27 ,pand,winkel-woonhuis,"winkel-woonhuis, diep huis",,,1600-1700,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007341,Dorpsstraat,27-27A,3433CJ,Nieuwegein,,134959.94,446338.39,52.005056,5.095347
GM2001-08,4,20010410000000,"Dorpsstraat 42, 43 ",pand,winkel-woonhuis,"winkelwoonhuis, diep huis",,neorenaissance elementen,1900-1910,,Nieuwegein,GM0356,Wijk 13 Vreeswijk,WK035613,356200000007431,Dorpsstraat,42-43,3433CL,Nieuwegein,,134938.79,446255.24,52.004308,5.095044
GM2001-09,7,20010410000000,Galecopperdijk 13,pand,agrarisch,langhuisboerderij,,traditioneel,1700-1800,Oudersvrucht,Nieuwegein,GM0356,Wijk 08 Galecop,WK035608,356200000008048,Galecopperdijk,13,3437PH,Nieuwegein,,134235.06,452172.02,52.057462,5.084436
GM2001-10,8,20010410000000,Geinoord 2,pand,woonhuis,dwarshuis,,traditioneel,"1700-1750,",,Nieuwegein,GM0356,Wijk 23 Hoge Landen,WK035623,356200000009488,Geinoord,2,3432ND,Nieuwegein,,133623.19,447528.37,52.015701,5.075805
GM2001-12,10,20010410000000,Herenstraat 45 ,pand,agrarisch,boerderij-herenboerderij,,eclecticisme,1850-1880,Huize Nieuwenstein,Nieuwegein,GM0356,Wijk 01 Jutphaas Wijkersloot,WK035601,356200000013891,Herenstraat,45,3431CW,Nieuwegein,,134868.52,449813.29,52.036285,5.093811
GM2001-13,12,20010410000000,Herenstraat 66-67 ,bouwblok,woonhuis,dubbel woonhuis,"Willemse, Th. J.",Amsterdamse school elementen,1920-1930,,Nieuwegein,GM0356,Wijk 01 Jutphaas Wijkersloot,WK035601,356200000013997,Herenstraat,66-67,3431CX,Nieuwegein,,134680.82,449497.66,52.033441,5.091094
GM2001-02,14,20010410000000,Malapertweg 14,pand,agrarisch,"boerderij, bakhuis",,,1800-1850,Langhuisboerderij Oortmanshoeve,Nieuwegein,GM0356,Wijk 21 Plettenburg,WK035621,356200000008325,De Malapertweg,14,3439MJ,Nieuwegein,,135650.04,449991.75,52.037917,5.10519
GM2001-01,15,20010410000000,Malapertweg 17,pand,woonhuis,villa,,neo-classicisme,1850-1880,Huize Stormerdijk,Nieuwegein,GM0356,Wijk 21 Plettenburg,WK035621,356200000008327,De Malapertweg,17,3439MJ,Nieuwegein,,135729.94,449931.36,52.037377,5.106358
GM2001-14,16,20010410000000,Nedereindseweg 32,pand,agrarisch,langhuisboerderij,,,1900-1910,,Nieuwegein,GM0356,Wijk 02 Zuilenstein,WK035602,356200000018515,Nedereindseweg,32,3438AE,Nieuwegein,,134594,450040.83,52.03832,5.089797
