Nummer;Totaal van;Jaar;Maand;Toezichtsmaatregel;Aantal uitstroom
1;Jaar;2016;;;3610
2;Jaar, Toezichtsmaatregel;2016;;Bevel terugkeer EU lidstaat;520
2;Jaar, Toezichtsmaatregel;2016;;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);1810
2;Jaar, Toezichtsmaatregel;2016;;Overdrachtsdossier aan DT&V zonder meldplicht;50
2;Jaar, Toezichtsmaatregel;2016;;Periodieke meldplicht met een overdrachtsdossier aan DT&V;440
2;Jaar, Toezichtsmaatregel;2016;;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;790
3;Jaar, Maand;2016;1;;290
3;Jaar, Maand;2016;2;;330
3;Jaar, Maand;2016;3;;360
3;Jaar, Maand;2016;4;;330
3;Jaar, Maand;2016;5;;330
3;Jaar, Maand;2016;6;;260
3;Jaar, Maand;2016;7;;250
3;Jaar, Maand;2016;8;;270
3;Jaar, Maand;2016;9;;270
3;Jaar, Maand;2016;10;;320
3;Jaar, Maand;2016;11;;310
3;Jaar, Maand;2016;12;;280
4;Jaar, Maand, Toezichtsmaatregel;2016;1;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2016;1;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);140
4;Jaar, Maand, Toezichtsmaatregel;2016;1;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;1;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2016;2;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2016;2;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);150
4;Jaar, Maand, Toezichtsmaatregel;2016;2;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2016;2;Periodieke meldplicht met een overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2016;2;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2016;3;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2016;3;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);170
4;Jaar, Maand, Toezichtsmaatregel;2016;3;Periodieke meldplicht met een overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2016;3;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2016;4;Bevel terugkeer EU lidstaat;50
4;Jaar, Maand, Toezichtsmaatregel;2016;4;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);160
4;Jaar, Maand, Toezichtsmaatregel;2016;4;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2016;4;Periodieke meldplicht met een overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2016;4;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2016;5;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2016;5;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);170
4;Jaar, Maand, Toezichtsmaatregel;2016;5;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2016;5;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;5;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;80
4;Jaar, Maand, Toezichtsmaatregel;2016;6;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2016;6;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);140
4;Jaar, Maand, Toezichtsmaatregel;2016;6;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2016;6;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;6;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2016;7;Bevel terugkeer EU lidstaat;30
4;Jaar, Maand, Toezichtsmaatregel;2016;7;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);130
4;Jaar, Maand, Toezichtsmaatregel;2016;7;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;7;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2016;8;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2016;8;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);150
4;Jaar, Maand, Toezichtsmaatregel;2016;8;Overdrachtsdossier aan DT&V zonder meldplicht;10
4;Jaar, Maand, Toezichtsmaatregel;2016;8;Periodieke meldplicht met een overdrachtsdossier aan DT&V;20
4;Jaar, Maand, Toezichtsmaatregel;2016;8;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;50
4;Jaar, Maand, Toezichtsmaatregel;2016;9;Bevel terugkeer EU lidstaat;40
4;Jaar, Maand, Toezichtsmaatregel;2016;9;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);140
4;Jaar, Maand, Toezichtsmaatregel;2016;9;Periodieke meldplicht met een overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2016;9;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;40
4;Jaar, Maand, Toezichtsmaatregel;2016;10;Bevel terugkeer EU lidstaat;60
4;Jaar, Maand, Toezichtsmaatregel;2016;10;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);150
4;Jaar, Maand, Toezichtsmaatregel;2016;10;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;10;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;70
4;Jaar, Maand, Toezichtsmaatregel;2016;11;Bevel terugkeer EU lidstaat;60
4;Jaar, Maand, Toezichtsmaatregel;2016;11;Overdrachtsdossier aan DT&V als gevolg van maatregelen van bewaring of vanwege strafrechtelijke detentie (VRIS);170
4;Jaar, Maand, Toezichtsmaatregel;2016;11;Periodieke meldplicht met een overdrachtsdossier aan DT&V;30
4;Jaar, Maand, Toezichtsmaatregel;2016;11;Terugkeerbesluit zonder overdrachtsdossier aan DT&V;60
4;Jaar, Maand, Toezichtsmaatregel;2016;12;Bevel terugkeer EU lidstaat;50
