FID,length,id,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2010.1,17753.59960938,1,ws10_01grd,2010-04-25T00:00:00,,,"LINESTRING (48994.55900000036 369917.375, 32661.420000001788 376875.6559999995)"
vlieglijnen_wschelde_2010.2,27648.19921875,2,ws10_02grd,2010-04-25T00:00:00,,,"LINESTRING (48953.39799999818 370561.8440000005, 23505.33999999985 381370.1559999995)"
vlieglijnen_wschelde_2010.3,28332.30078125,3,ws10_03grd,2010-04-25T00:00:00,,,"LINESTRING (50112.5 370715.4059999995, 24004.390999998897 381719.2809999995)"
vlieglijnen_wschelde_2010.4,28552.80078125,4,ws10_04grd,2010-04-25T00:00:00,,,"LINESTRING (51561.05900000036 370809.0940000005, 25270.89999999851 381948.5940000005)"
vlieglijnen_wschelde_2010.5,26098.80078125,5,ws10_05grd,2010-04-25T00:00:00,,,"LINESTRING (51443.98800000176 371424.813000001, 27458.811000000685 381713.688000001)"
vlieglijnen_wschelde_2010.6,25966.80078125,6,ws10_06grd,2010-04-25T00:00:00,,,"LINESTRING (53885.0700000003 371150.9059999995, 29990.35000000149 381315.4059999995)"
vlieglijnen_wschelde_2010.7,25098.40039063,7,ws10_07grd,2010-04-25T00:00:00,,,"LINESTRING (53820.48800000176 371794.0940000005, 30716.449000000954 381598.9059999995)"
vlieglijnen_wschelde_2010.8,24747.40039063,8,ws10_08grd,2010-04-25T00:00:00,,,"LINESTRING (54362.300999999046 372283.936999999, 31520.070000000298 381805.7190000005)"
vlieglijnen_wschelde_2010.9,20508.69921875,9,ws10_09grd,2010-04-25T00:00:00,,,"LINESTRING (55232.9299999997 372535.4059999995, 36302.3200000003 380424.5309999995)"
vlieglijnen_wschelde_2010.10,18164,10,ws10_10grd,2010-04-25T00:00:00,,,"LINESTRING (55780.76999999955 373041.0309999995, 38838.55900000036 379590.2809999995)"
vlieglijnen_wschelde_2010.11,32220.69921875,11,ws10_11grd,2010-04-25T00:00:00,,,"LINESTRING (56589.35200000182 373221.625, 27050.449000000954 386091.3440000005)"
vlieglijnen_wschelde_2010.12,35506.30078125,12,ws10_12grd,2010-04-25T00:00:00,,,"LINESTRING (58062.1409999989 373306.2809999995, 25438.070000000298 387319.311999999)"
vlieglijnen_wschelde_2010.13,38665.69921875,13,ws10_13grd,2010-04-25T00:00:00,,,"LINESTRING (60734.92199999839 372823.4059999995, 25177.960999999195 388013.5)"
vlieglijnen_wschelde_2010.14,36756.19921875,14,ws10_14grd,2010-04-28T00:00:00,,,"LINESTRING (61008.30900000036 373355.938000001, 27203.721000000834 387787.313000001)"
vlieglijnen_wschelde_2010.15,36793.19921875,15,ws10_15grd,2010-04-28T00:00:00,,,"LINESTRING (61557.41000000015 373783.375, 27711.98999999836 388213.5)"
vlieglijnen_wschelde_2010.16,49852.1015625,16,ws10_16grd,2010-04-28T00:00:00,,,"LINESTRING (73495.6409999989 369353.625, 27630.230000000447 388888)"
vlieglijnen_wschelde_2010.17,43860.5,17,ws10_17grd,2010-05-14T00:00:00,,,"LINESTRING (74079.47700000182 369785.7190000005, 33721.28099999949 386960.061999999)"
vlieglijnen_wschelde_2010.18,46352.30078125,18,ws10_18grd,2010-04-29T00:00:00,,,"LINESTRING (74218.43800000101 370349.9059999995, 31575.561000000685 388519.0940000005)"
vlieglijnen_wschelde_2010.19,41696.69921875,19,ws10_191grd,2010-04-29T00:00:00,,,"LINESTRING (75357.7190000005 370525, 36997.379000000656 386868.186999999)"
vlieglijnen_wschelde_2010.20,11915.09960938,20,ws10_192grd,2010-05-14T00:00:00,,,"LINESTRING (44836.21900000051 383508.561999999, 33901.14799999818 388240.811999999)"
vlieglijnen_wschelde_2010.21,46800.80078125,21,ws10_20grd,2010-05-14T00:00:00,,,"LINESTRING (77108.70300000161 370436.4059999995, 34061.39799999818 388800.6559999995)"
vlieglijnen_wschelde_2010.22,28841.5,22,ws10_21grd,2010-04-28T00:00:00,,,"LINESTRING (76994.9299999997 371170.5, 50459.6799999997 382471.5309999995)"
vlieglijnen_wschelde_2010.23,29225.59960938,23,ws10_22grd,2010-04-28T00:00:00,,,"LINESTRING (77116.29699999839 371741.7809999995, 50237.80900000036 383217.063000001)"
vlieglijnen_wschelde_2010.24,31814.09960938,24,ws10_23grd,2010-04-29T00:00:00,,,"LINESTRING (79649.3909999989 371351.9059999995, 50370.98800000176 383798.3440000005)"
vlieglijnen_wschelde_2010.25,29774.90039063,25,ws10_24grd,2010-05-14T00:00:00,,,"LINESTRING (78070.24199999869 372703.7190000005, 50678.57800000161 384376.063000001)"
vlieglijnen_wschelde_2010.26,28796.90039063,26,ws10_25grd,2010-05-14T00:00:00,,,"LINESTRING (77756.4609999992 373538.311999999, 51227.39799999818 384739.75)"
vlieglijnen_wschelde_2010.27,28803.40039063,27,ws10_26grd,2010-05-14T00:00:00,,,"LINESTRING (77660.7890000008 374205.936999999, 51146.01999999955 385457.8440000005)"
vlieglijnen_wschelde_2010.28,29823.40039063,28,ws10_27grd,2010-05-14T00:00:00,,,"LINESTRING (79156.95300000161 374207.311999999, 51718.800999999046 385894.2809999995)"
vlieglijnen_wschelde_2010.29,27818.80078125,29,ws10_28grd,2010-05-14T00:00:00,,,"LINESTRING (77191.8440000005 375699.436999999, 51599.3590000011 386603.9690000005)"
vlieglijnen_wschelde_2010.30,30666.5,30,ws10_29grd,2010-04-29T00:00:00,,,"LINESTRING (79781.32800000161 375265.0309999995, 51566.55900000036 387279.9690000005)"
vlieglijnen_wschelde_2010.31,27803.09960938,31,ws10_30grd,2010-04-28T00:00:00,,,"LINESTRING (77698.5700000003 376799.688000001, 52117.3590000011 387690.625)"
vlieglijnen_wschelde_2010.32,27743.59960938,32,ws10_31grd,2010-04-25T00:00:00,,,"LINESTRING (78218.61699999869 377284.563000001, 52687.0700000003 388140.313000001)"
vlieglijnen_wschelde_2010.33,27808.90039063,33,ws10_32grd,2010-04-25T00:00:00,,,"LINESTRING (78191.6409999989 377879.688000001, 52605.08999999985 388773.0309999995)"
