FID,type,categorie,geometrie
O10002_Speelomgeving_OD.1,Dekowood,speelondergrond,"MULTIPOLYGON (((178280.727 503454.771, 178283.92 503449.545, 178291.36 503454.069, 178287.991 503459.365, 178280.727 503454.771)))"
O10002_Speelomgeving_OD.2,Zand,speelondergrond,"MULTIPOLYGON (((172388.839 509058.29, 172393.689 509050.68, 172394.149 509050.38, 172394.679 509050.49, 172398.229 509052.75, 172398.529 509053.2, 172398.429 509053.74, 172393.579 509061.37, 172393.129 509061.72, 172392.579 509061.62, 172389.079 509059.3, 172388.729 509058.85, 172388.839 509058.29)))"
O10002_Speelomgeving_OD.3,Dekowood,speelondergrond,"MULTIPOLYGON (((175737.813 505417.855, 175738.387 505413.901, 175738.509 505413.468, 175738.67 505413.158, 175738.946 505412.791, 175739.183 505412.576, 175739.532 505412.364, 175739.912 505412.234, 175740.23 505412.171, 175740.776 505412.204, 175743.257 505412.65, 175743.577 505412.823, 175743.906 505413.073, 175744.167 505413.359, 175744.324 505413.655, 175744.476 505414.008, 175744.54 505414.291, 175744.574 505414.618, 175744.532 505414.97, 175743.939 505418.916, 175743.861 505419.199, 175743.681 505419.493, 175743.471 505419.657, 175743.213 505419.776, 175742.935 505419.839, 175742.658 505419.802, 175738.7 505419.147, 175738.427 505419.059, 175738.168 505418.892, 175737.978 505418.674, 175737.853 505418.415, 175737.792 505418.124, 175737.813 505417.855)))"
O10002_Speelomgeving_OD.4,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177967.33 504409.274, 177960.086 504410.818, 177959.509 504407.449, 177958.561 504402.592, 177965.373 504400.993, 177967.33 504409.274)))"
O10002_Speelomgeving_OD.5,Dekowood,speelondergrond,"MULTIPOLYGON (((177241.209 503102.5, 177254.69 503114.306, 177247.61 503122.421, 177242.859 503118.259, 177242.285 503117.725, 177241.988 503117.417, 177241.593 503116.968, 177241.297 503116.595, 177240.875 503116.004, 177240.551 503115.484, 177240.188 503114.817, 177239.899 503114.189, 177237.639 503108.599, 177237.548 503108.257, 177237.499 503107.864, 177237.505 503107.488, 177237.547 503107.182, 177237.637 503106.838, 177237.751 503106.548, 177237.975 503106.151, 177238.219 503105.84, 177241.209 503102.5)))"
O10002_Speelomgeving_OD.6,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177430.912 503861.502, 177430.331 503856.496, 177435.288 503856.03, 177436.712 503855.839, 177437.609 503864.417, 177433.351 503864.816, 177432.997 503861.309, 177430.912 503861.502)))"
O10002_Speelomgeving_OD.7,Kunstgras,speelondergrond,"MULTIPOLYGON (((175729.403 496594.855, 175740.977 496601.872, 175743.563 496597.575, 175751.762 496602.473, 175748.371 496614.147, 175732.151 496612.669, 175727.577 496608.808, 175729.403 496594.855)))"
O10002_Speelomgeving_OD.8,Kunstgras,speelondergrond,"MULTIPOLYGON (((175684.408 496544.232, 175675.205 496554.579, 175671.622 496551.407, 175677.383 496544.873, 175673.582 496541.451, 175679.438 496534.885, 175687.756 496542.238, 175685.288 496545.014, 175684.408 496544.232)))"
O10002_Speelomgeving_OD.9,Kunstgras,speelondergrond,"MULTIPOLYGON (((175563.272 495962.41, 175560.285 495959.691, 175561.628 495958.119, 175557.571 495954.499, 175560.882 495950.827, 175567.967 495957.124, 175563.272 495962.41)))"
O10002_Speelomgeving_OD.10,Rubber tegels,speelondergrond,"MULTIPOLYGON (((176498.088 503119.84, 176497.22 503117.24, 176500.785 503115.892, 176501.717 503118.492, 176498.088 503119.84)))"
O10002_Speelomgeving_OD.11,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175847.114 505355.575, 175845.185 505355.761, 175842.171 505356.052, 175841.914 505353.495, 175844.935 505353.19, 175846.841 505352.998, 175849.881 505352.691, 175850.161 505355.281, 175847.114 505355.575)))"
O10002_Speelomgeving_OD.12,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175775.802 505270.65, 175775.464 505266.373, 175779.253 505265.925, 175779.39 505266.815, 175784.725 505266.407, 175785.741 505277.28, 175776.85 505278.183, 175775.998 505270.651, 175775.802 505270.65)))"
O10002_Speelomgeving_OD.13,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175775.11 505284.527, 175783.062 505283.768, 175783.25 505286.766, 175775.41 505287.533, 175775.11 505284.527)))"
O10002_Speelomgeving_OD.14,Rubber tegels,speelondergrond,"MULTIPOLYGON (((175896.522 505396.45, 175905.266 505389.745, 175910.437 505396.492, 175901.687 505403.199, 175896.522 505396.45)))"
O10002_Speelomgeving_OD.15,Rubber tegels,speelondergrond,"MULTIPOLYGON (((177645.687 503857.686, 177645.515 503855.359, 177647.67 503855.101, 177646.98 503848.638, 177654.309 503847.863, 177655.128 503856.695, 177645.687 503857.686)))"
