X,Y,OBJECTID,NUMMER,INSTALLATIENAAM,PLAATSINGSADRES,AFVALSTROOM,ZWERFVUILKLEP,BUURTNAAM,WIJKNAAM,MEETLOCATIENR,LAT,LON
5.8605561810339,51.9459866314645,1,900,,Bredasingel / Erpstraat,Papier,Nee,De Laar-West,De Laar,,51.9459870,5.8605563
5.85873874616449,51.9512250349616,2,894,,Milweg 16,Papier,Nee,De Laar-West,De Laar,,51.9512253,5.8587388
5.85871158743552,51.9512359074361,3,893,,Milweg 16,PMD,Nee,De Laar-West,De Laar,,51.9512362,5.8587117
5.86001321630942,51.9457134211099,4,897,,Kruising Eindhovensingel - Brabantweg,Restafval_ZW,Ja,De Laar-West,De Laar,,51.9457137,5.8600133
5.85605397139848,51.9468648756632,5,887,00085,Raamsdonkstraat 2,Restafval,Nee,De Laar-West,De Laar,,51.9468652,5.8560541
5.85372314497501,51.9479365108839,6,876,00084,Udenstraat t.h.v. 57 zijkant,Restafval,Nee,De Laar-West,De Laar,,51.9479368,5.8537232
5.85557093402181,51.9484699948395,7,884,,Eindhovensingel t.h.v. 12 overzijde,Papier,Nee,De Laar-West,De Laar,,51.9484703,5.8555710
5.8556029530432,51.9484492416824,8,885,,Eindhovensingel t.h.v. 12 overzijde,PMD,Nee,De Laar-West,De Laar,,51.9484496,5.8556030
5.85578446171153,51.9496187945923,9,886,00083,Teteringenstraat t.h.v. 97 overzijde,Restafval,Nee,De Laar-West,De Laar,,51.9496191,5.8557845
5.85455628954025,51.9504548995731,10,878,00082,Wanroijhof t.h.v. 81,Restafval,Nee,De Laar-West,De Laar,,51.9504552,5.8545564
5.86237662801442,51.9518412139913,11,909,00081,Oosterhoutstraat t.h.v. 1,Restafval,Nee,De Laar-West,De Laar,,51.9518415,5.8623767
5.86508306523279,51.953121235061,12,916,00088,Helmondstraat t.h.v. 47 overzijde,Restafval,Nee,De Laar-West,De Laar,,51.9531215,5.8650831
5.86087465957263,51.9526247990884,13,902,00078,Bredasingel 13,Restafval,Nee,De Laar-West,De Laar,,51.9526251,5.8608747
5.86011994602333,51.9518681593416,14,898,00077,Geldropstraat t.h.v. 50 overzijde gazon,Restafval,Nee,De Laar-West,De Laar,,51.9518685,5.8601200
5.8564879059377,51.9512773835113,15,888,00076,Lieshoutstraat/ Tilburgweg,Restafval,Nee,De Laar-West,De Laar,,51.9512777,5.8564880
5.85553552237023,51.9525084501328,16,882,00075,Lieshoutstraat t.h.v. 104,Restafval,Nee,De Laar-West,De Laar,,51.9525088,5.8555356
5.86000770885794,51.9538129522751,17,895,00074,Deurnestraat t.h.v. 42,Restafval,Nee,De Laar-West,De Laar,,51.9538133,5.8600078
5.85734119405811,51.9534824200066,18,890,00073,Oudenboschstraat t.h.v. 25 zijkant,Restafval,Nee,De Laar-West,De Laar,,51.9534827,5.8573413
5.85429967384829,51.9541807203883,19,877,00072,Tilburgweg t.h.v. 66 zijkant,Restafval_ZW,Ja,De Laar-West,De Laar,,51.9541810,5.8542997
5.85884723867168,51.9511545876497,20,1147,,Milweg 16,Textiel,Nee,De Laar-West,De Laar,,51.9511549,5.8588473
5.85555050037291,51.9484826590491,21,883,,Eindhovensingel t.h.v. 12 overzijde,Glas,Nee,De Laar-West,De Laar,,51.9484830,5.8555506
5.86304086116151,51.9499086558602,22,912,,Bredasingel 74 - 76,Restafval_ZW,Ja,De Laar-West,De Laar,40888,51.9499090,5.8630409
5.86308432294502,51.9499123539693,23,914,,Bredasingel 74 - 76,PMD,Nee,De Laar-West,De Laar,40888,51.9499127,5.8630844
5.93032382105774,51.9899927696425,24,1101,00751,Römerselaan t.o. 38,Restafval_ZW,Ja,Velperweg-Noord,Velperweg e.o.,,51.9899929,5.9303238
5.93286751334886,51.9910537351572,25,403,,Raapopseweg 66 - 68,Restafval_ZW,Ja,Velperweg-Noord,Velperweg e.o.,,51.9910538,5.9328675
5.93286906548442,51.9910706108053,26,402,,Raapopseweg 66 - 68,Glas,Nee,Velperweg-Noord,Velperweg e.o.,,51.9910707,5.9328691
5.92912338635051,51.9893423332733,27,400,,Dr J.C. Hartogslaan 21,Restafval_ZW,Ja,Velperweg-Noord,Velperweg e.o.,,51.9893424,5.9291234
5.92914990205218,51.9893496597573,28,401,00331,Dr J.C. Hartogslaan 21,Restafval_ZW,Ja,Velperweg-Noord,Velperweg e.o.,,51.9893497,5.9291499
5.92771300532193,51.9895930467419,29,399,00349,Leeuwensteinplein t/o No. 15-16,Restafval,Nee,Velperweg-Noord,Velperweg e.o.,,51.9895931,5.9277130
5.92572305543003,51.9538499239792,30,723,00509,Raaihof 2 (zij-/achterkant),Restafval,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9538501,5.9257231
5.92340719247924,51.9535395858772,31,715,,Keizershof 2-240,Papier,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9535398,5.9234072
5.92342320822216,51.9536387359568,32,716,,Keizershof 2-240,Restafval,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9536389,5.9234232
5.9234281280922,51.9536742806796,33,718,,Keizershof 2-240,Glas,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9536745,5.9234281
5.92376915174462,51.9551553863701,34,721,,Bergse Hoofd 2-216,Restafval_ZW,Ja,'t Duifje,Malburgen-Oost (Zuid),,51.9551556,5.9237692
5.92376964420019,51.9551719929145,35,722,00512,Bergse Hoofd 2-216,Restafval,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9551722,5.9237697
5.92376792396936,51.9551366565226,36,720,,Bergse Hoofd 2-216,Papier,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9551369,5.9237679
5.92376501356686,51.9551162688008,37,719,,Bergse Hoofd 2-216,Glas,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9551165,5.9237650
5.92343346647334,51.9535364468374,38,1209,,Keizershof 2-240,Textiel,Nee,'t Duifje,Malburgen-Oost (Zuid),,51.9535367,5.9234335
5.9234264206168,51.9536550784248,39,717,00522,Keizershof 2-240,Restafval_ZW,Ja,'t Duifje,Malburgen-Oost (Zuid),,51.9536553,5.9234264
5.91132940695484,51.9656965576085,40,742,00533,Lobeliastraat 40,Restafval,Nee,Middelgraaflaan e.o.,Malburgen-Oost (Zuid),,51.9656967,5.9113294
