OBJECTID,PUIC,NAAM,OMSCHRIJVING,GELDIG_VANAF,PUBLICATIEDATUM,REF_VLPOST_PUIC,REF_VLPOST_NAAM,REF_VLPOST_OMSCHRIJVING
1,7b029fcd-abc8-4207-a9ed-20ad0cdf5f44,KV,Keverdijk,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
2,8745a855-c87c-4714-9223-048b77f41311,MDA,Moordrecht aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2c573be2-1b65-48a2-9bc5-aa03903c4d07,UT,Utrecht Centraal
3,4f57347d-1fa4-4453-8e19-85c5a4b8fc10,EEMIA,Eemshaven Industrie Aansl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen
4,a1594df5-b7c0-4e7a-a11f-f2e1a78a22a7,SKND,Sneek Noord,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2e2942cd-6bec-4762-99ca-f8daaf348fba,GN,Groningen
5,4acb1184-40c8-443a-a94b-9590b2181fee,GZ,Gilze-Rijen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5b69dddf-800e-4c3f-9ed6-03156b9a4d33,EHV,Eindhoven
6,1e9bd8ce-924b-4dc6-8aa5-8ad0e52508e2,LUTA,Lutterade aansl,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,58952f87-ac7f-4dc4-a8a2-387ad0f9930e,MT,Maastricht
7,af275dde-a803-45b6-821e-a8f49281038c,RTST,Rotterdam Stadion,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Rotterdam Centraal
8,22b6b823-6358-4c5e-83ef-8578d36a61b7,BD,Breda,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6b0db470-f883-4c80-ac9d-5a57fae2a3d1,RSD,Roosendaal
9,86b62b6c-f86a-4d29-9ef7-379a2e507a46,ASS,Amsterdam Sloterdijk,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Centraal
10,5e54ac3b-7fc9-41a0-9903-723bb3ee2fbe,HR,Heerenveen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,3bef168d-3932-454c-832c-82fde8c67d14,ZL,Zwolle
11,cd874b7f-07a5-4ac4-8b05-babd30506a77,WSPL,Rotterdam Westelijke Splitsing,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Rotterdam Centraal
