ID,VERSIE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,OFFSET_VLAKPUNT,OFFSET_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NR,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,BEHEERDER,FYSIEK_VOORKOMEN,OPPERVLAKTE,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,DOCUMENT,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,AFKORTING
119956,03,541,a,541,541_a,Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,14.716068,"14,716068",133.998524,"133,998524",Randstad Noord,RN,11,Weesp,KUNSTWERKEN,Amstelsepoort,ProRail,gesloten verharding,1480.369791,132924.209067,479708.2305,52.3049001069583,5.06353254283722,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,050e4ec9cdc3499fa2b7018d6befeb7f,0,gerealiseerd,2015/06/01 15:24:59+00,
120418,03,541,a,541,541_a,Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,14.14037,"14,140370",-37.814385,"-37,814385",Randstad Noord,RN,11,Weesp,KUNSTWERKEN,Amstelsepoort,ProRail,gesloten verharding,1446.18615,132349.985874,479790.679,52.3056177834664,5.05510797715086,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,3945691a9767476a8e359e9397d32732,0,gerealiseerd,2020/10/22 07:12:53+00,
275165,03,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,29.652486,"29,652486",-3.991937,"-3,991937",Randstad Noord,RN,11,Weesp,KUNSTWERKEN,Amstelsepoort,ProRail,half verhard,723.156248,186570.186881,504329.983,52.5257176482684,5.85239652454992,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,79470a36891a4d71be64c0badaa96ba5,0,gerealiseerd,2015/11/02 10:49:05+00,
275747,03,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,29.653649,"29,653649",2.888373,"2,888373",Randstad Noord,RN,11,Weesp,KUNSTWERKEN,Amstelsepoort,ProRail,half verhard,762.8529,186569.263967,504336.8995,52.5257798603681,5.85238358097707,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,fdcfe1d23b874bf98a27b40520dd09b1,0,gerealiseerd,2015/11/02 10:49:05+00,
275820,03,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,30.689306,"30,689306",3.488777,"3,488777",Noord-Oost,NO,11,Weesp,KUNSTWERKEN,Amstelsepoort,ProRail,gesloten verharding,1718.088782,187523.333515,504731.464,52.5292698506667,5.86648001373085,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,2f2c17bb02e9439b9d0bea0845b3ce45,0,gerealiseerd,2016/10/05 15:44:05+00,
276602,03,525,b,525,525_b,Amsterdam Singelgracht Aansl.,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,78.625297,"78,625297",-68.439163,"-68,439163",Randstad Noord,RN,9,Amsterdam,KUNSTWERKEN,Amsterdam,ProRail,gesloten verharding,1242.786999,119999.246906,489117.1,52.3887902646709,4.87305638022329,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,23a616db552d45749576fd8dcabed9e2,0,gerealiseerd,2021/02/01 17:56:18+00,
276779,03,054,a,54,054_a,Boxtel - Eindhoven,Bd-Ehv,Breda - Eindhoven ,49.225329,"49,225329",0.834407,"0,834407",Zuid,Z,23,Boxtel,KUNSTWERKEN,Brabant,ProRail,gesloten verharding,2420.252136,155340.6585,390825.370939,51.5064428832701,5.3921078747985,KUNSTWERKEN,Zuid,Z,Prorail,L0004,bestaand,,,283,2eeae24a38cf4a6f8e3d5e2635b92126,-1,gerealiseerd,2021/06/22 07:09:10+00,
277329,03,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,28.641399,"28,641399",-0.555867,"-0,555867",Randstad Noord,RN,8,Haarlem,KUNSTWERKEN,Kennemerland,ProRail,gesloten verharding,122.783042,101358.015315,471643.1445,52.2302467349095,4.60202408143527,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,03a779bf9b194a13a81cedce9f3dde5a,0,gerealiseerd,2020/03/06 15:08:14+00,
277427,03,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,43.971304,"43,971304",-27.236286,"-27,236286",Randstad Noord,RN,12,Amersfoort,KUNSTWERKEN,Eemland,ProRail,half verhard,604.194246,153447.243164,462782.668,52.1532167887681,5.36451470998226,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,8718ed5e59d34abfb9899e2a6247439e,0,gerealiseerd,2015/09/01 13:44:30+00,
277606,03,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,43.623734,"43,623734",-46.416636,"-46,416636",Randstad Noord,RN,12,Amersfoort,KUNSTWERKEN,Eemland,ProRail,half verhard,822.68832,153009.716297,462863.694,52.1539436506802,5.35812112241623,KUNSTWERKEN,Randstad Noord,RN,Prorail,L0004,bestaand,,,283,45318400f61640bca7ed74e5e52cb252,0,gerealiseerd,2015/09/07 13:11:59+00,
