Leveranciersnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
&Maes B.V.;1;1;;;;;;1
&Morgen;2;;;;;;;2
(BBP) Beerens-Business Press B.V.;;;1;;;;;1
.FABRIC;2;;;;;;;2
/. de WERKPR GRONINGEN WLP OSSENKOP;;;1;;;;;1
[frisbee];;;;2;;;;2
1Camera B.V.;2;;;;;;;2
1OFF B.V.;1;;;;;;;1
20 leafdesdichten en in liet fan wanhoop B.V.;1;;;;;;;1
24/7 Photo;;1;;;;;;1
2CC Drinks;;1;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;1;1;;;;;1
2ndSense B.V.;4;;;;;;;4
2-Nice B.V.;3;;;;;;;3
2VO;3;;;;;;;3
3DMens;;1;;;;;;1
3K Horeca B.V.;1;;;;;;;1
4bis Innovations;1;;;;;;;1
4cast B.V.;4;;;;;;;4
4Meetings & Events;1;;;;;;;1
50+ Carri̬re B.V.;;1;;;;;;1
75b Rotterdam;2;;;;;;;2
7AM Den Haag B.V.;1;;;;;;;1
7Beaufort;;;;2;;;;2
A Gent B.V.;1;;;;;;;1
A new zero;1;;;;;;;1
A&R Promotions B.V.;1;;;;;;;1
A. Terlouw Consult;2;;;;;;;2
A. van Helden Relatiegeschenken B.V.;2;;;;;;;2
A.J. Vaessen thodn Multi-Vl. 's-Hertogenbosch;1;;;;;;;1
A10plus;1;;;;;;;1
A12 Van der Valk Hotel Veenendaal B.V.;2;;;;;;;2
Aalsmeers Bloemenhuis;1;;;;;;;1
Aardrijk- & landschaparchitectuur;1;;;;;;;1
Aarhus University;2;;;;;;;2
Aartstra Vastgoed B.V.;1;;;;;;;1
Aatop personeelsdiensten B.V.;;;3;;;;;3
abcnova Utrecht B.V.;2;;;;;;;2
ABDIJ SINT BENEDICTUSBERG;;;1;;;;;1
Abhishek Abhishek;;;2;;;;;2
Abilitec Consultants B.V.;2;;;;;;;2
